DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,1,0,NA,0.0168,0.0014,0.368,23,9,0.0096
SEP,1,1,0.0161,0.0161,0.0019,NA,25,20,NA
SEP,1,2,0.0141,0.0154,0.0019,NA,18,18,NA
SEP,1,3,0.0109,0.0144,0.0019,NA,13,15,NA
SEP,1,4,0.0127,0.0142,0.0019,NA,15,13,0.0076
SEP,1,5,0.0098,0.0128,0.0019,NA,14,11,NA
SEP,1,6,0.006,0.0114,0.0019,NA,18,16,0.0177
SEP,1,7,0.0044,0.0106,0.0019,NA,18,17,0.0174
SEP,1,8,0.006,0.01,0.0019,NA,13,16,0.0163
SEP,1,9,0.0091,0.0091,0.0019,NA,16,13,0.0154
SEP,1,10,0.0152,0.0093,0.0019,0.364,14,11,0.0102
SEP,1,11,NA,0.009,0.0019,0.378,17,10,NA
SEP,1,12,NA,0.0084,0.0019,0.378,17,13,NA
SEP,1,13,NA,NA,0.0024,0.401,19,15,NA
SEP,1,14,NA,NA,0.0024,0.409,20,20,NA
SEP,1,15,NA,NA,0.0023,0.396,16,18,NA
SEP,1,16,0.0591,NA,0.0023,0.363,19,14,NA
SEP,1,17,0.0658,NA,0.0024,0.332,20,16,NA
SEP,1,18,0.0579,NA,0.0024,0.314,22,19,NA
SEP,1,19,0.0528,NA,0.0024,0.3,20,18,NA
SEP,1,20,0.0347,NA,0.0025,0.332,40,26,NA
SEP,1,21,0.0279,0.0497,0.0025,0.311,35,25,NA
SEP,1,22,0.0277,0.0466,0.0024,0.285,24,15,NA
SEP,1,23,0.0257,0.044,0.0025,0.292,17,11,NA
SEP,2,0,0.0252,0.0397,0.002,0.302,13,12,NA
SEP,2,1,0.0279,0.035,0.0016,NA,12,12,NA
