DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ABRIL,1,0,0.0459,0.0533,0.0165,0.269,55,17,NA
ABRIL,1,1,0.0464,0.0497,0.0161,0.256,59,22,NA
ABRIL,1,2,0.0455,0.0481,0.0159,0.256,53,23,NA
ABRIL,1,3,0.0408,0.0466,0.0158,0.251,44,24,NA
ABRIL,1,4,0.0386,0.0452,0.0158,0.246,39,21,NA
ABRIL,1,5,0.0375,0.0438,0.0204,0.239,35,21,NA
ABRIL,1,6,0.0352,0.0422,0.0254,0.234,32,21,NA
ABRIL,1,7,0.0343,0.0405,0.0359,0.234,29,20,NA
ABRIL,1,8,0.0308,0.0386,0.0414,0.238,31,22,0.0082
ABRIL,1,9,0.0353,0.0372,0.0458,0.240,40,27,0.0063
ABRIL,1,10,0.0388,0.0364,0.0480,0.243,43,28,0.0053
ABRIL,1,11,0.0380,0.0361,0.0488,0.250,47,28,0.0046
ABRIL,1,12,0.0396,0.0362,0.0493,0.256,47,26,0.0043
ABRIL,1,13,0.0418,0.0367,0.0503,0.263,52,20,0.0045
ABRIL,1,14,0.0411,0.0375,0.0514,0.264,52,23,0.0038
ABRIL,1,15,0.0435,0.0386,0.0526,0.258,51,18,0.0025
ABRIL,1,16,0.0395,0.0397,0.0541,0.250,55,17,0.0032
ABRIL,1,17,0.0379,0.0400,0.0560,0.242,49,20,0.0014
ABRIL,1,18,0.0356,0.0396,0.0571,0.239,38,17,0.0010
ABRIL,1,19,0.0343,0.0392,0.0585,0.236,34,10,0.0016
ABRIL,1,20,0.0330,0.0383,0.0592,0.231,38,7,0.0031
ABRIL,1,21,0.0302,0.0369,0.0594,0.225,38,7,0.0013
ABRIL,1,22,0.0294,0.0354,0.0595,0.222,29,7,0.0006
ABRIL,1,23,0.0291,0.0336,0.0595,0.222,19,5,0.0013
ABRIL,2,0,0.0295,0.0324,0.0590,0.221,13,4,NA
ABRIL,2,1,0.0290,0.0313,0.0589,0.219,12,4,NA
ABRIL,2,2,0.0282,0.0303,0.0589,0.213,9,NA,NA
ABRIL,2,3,0.0292,0.0297,0.0588,0.204,7,NA,0.0005
ABRIL,2,4,0.0293,0.0292,0.0606,0.200,6,NA,NA
ABRIL,2,5,0.0300,0.0292,0.0592,0.196,5,NA,NA
ABRIL,2,6,0.0279,0.0290,0.0583,0.193,9,NA,0.0020
ABRIL,2,7,0.0270,0.0288,0.0513,0.191,10,6,NA
ABRIL,2,8,0.0267,0.0284,0.0504,0.193,11,6,0.0032
ABRIL,2,9,0.0322,0.0288,0.0497,0.198,8,11,0.0011
ABRIL,2,10,0.0362,0.0298,0.0507,0.203,11,11,0.0011
ABRIL,2,11,0.0416,0.0314,0.0526,0.209,24,12,0.0022
ABRIL,2,12,0.0406,0.0328,0.0534,0.213,33,NA,0.0022
ABRIL,2,13,0.0464,0.0348,0.0531,0.215,32,NA,0.0014
ABRIL,2,14,0.0483,0.0374,0.0530,0.217,30,NA,0.0012
ABRIL,2,15,0.0480,0.0400,0.0527,0.217,26,13,0.0011
ABRIL,2,16,0.0475,0.0426,0.0520,0.210,27,12,NA
ABRIL,2,17,0.0462,0.0444,0.0517,0.201,27,13,NA
ABRIL,2,18,0.0449,0.0454,0.0527,0.192,31,13,NA
ABRIL,2,19,0.0405,0.0453,0.0535,0.182,29,10,0.0006
ABRIL,2,20,0.0302,0.0440,0.0530,0.184,34,8,NA
ABRIL,2,21,0.0330,0.0423,0.0529,0.180,33,5,NA
ABRIL,2,22,0.0334,0.0405,0.0552,0.176,30,3,NA
ABRIL,2,23,0.0340,0.0387,0.0591,0.174,27,4,NA
ABRIL,3,0,0.0341,0.0370,0.0626,0.176,19,5,NA
ABRIL,3,1,0.0329,0.0354,0.0669,0.178,16,4,NA
ABRIL,3,2,0.0315,0.0337,0.0673,0.178,13,4,NA
ABRIL,3,3,0.0321,0.0327,0.0677,0.175,9,2,NA
ABRIL,3,4,0.0323,0.0329,0.0688,0.167,8,2,0.0014
ABRIL,3,5,0.0334,0.0330,0.0723,0.164,8,3,NA
ABRIL,3,6,0.0297,0.0325,0.0714,0.160,9,4,NA
ABRIL,3,7,0.0243,0.0313,0.0714,0.159,21,8,0.0043
ABRIL,3,8,0.0315,0.0310,0.0752,0.161,18,13,0.0017
ABRIL,3,9,0.0355,0.0313,0.0751,0.159,15,11,NA
ABRIL,3,10,0.0361,0.0319,0.0741,0.164,17,8,NA
ABRIL,3,11,0.0363,0.0324,0.0720,0.185,22,6,0.0031
ABRIL,3,12,0.0458,0.0341,0.0697,0.212,24,6,0.0027
ABRIL,3,13,0.0543,0.0367,0.0697,0.249,26,11,0.0073
ABRIL,3,14,0.0678,0.0415,0.0702,0.274,36,20,0.0039
ABRIL,3,15,0.0627,0.0463,0.0695,0.306,36,25,0.0069
ABRIL,3,16,0.0524,0.0489,0.0685,0.340,35,20,0.0071
ABRIL,3,17,0.0615,0.0521,0.0671,0.356,32,16,NA
ABRIL,3,18,0.0625,0.0554,0.0649,0.368,33,16,NA
ABRIL,3,19,0.0518,0.0574,0.0629,0.388,34,15,0.0094
ABRIL,3,20,0.0422,0.0569,0.0628,0.375,34,14,NA
ABRIL,3,21,0.0407,0.0552,0.0634,0.339,40,15,NA
ABRIL,3,22,0.0427,0.0521,0.0632,0.315,35,8,NA
ABRIL,3,23,0.0392,0.0492,0.0620,0.281,37,5,NA
ABRIL,4,0,0.0376,0.0473,0.0626,0.244,33,4,NA
ABRIL,4,1,0.0364,0.0442,0.0617,0.227,29,6,NA
ABRIL,4,2,0.0342,0.0406,0.0660,0.213,29,6,NA
ABRIL,4,3,0.0314,0.0381,0.0687,0.177,19,4,NA
ABRIL,4,4,0.0282,0.0363,0.0681,0.166,17,4,NA
ABRIL,4,5,0.0287,0.0348,0.0632,0.169,13,6,NA
ABRIL,4,6,0.0245,0.0325,0.0650,0.174,19,7,0.0034
ABRIL,4,7,0.0211,0.0303,0.0629,0.186,31,21,0.0035
ABRIL,4,8,0.0226,0.0284,0.0568,0.193,26,18,0.0032
ABRIL,4,9,0.0299,0.0276,0.0556,0.199,28,21,0.0015
ABRIL,4,10,0.0352,0.0277,0.0546,0.204,30,27,NA
ABRIL,4,11,0.0426,0.0291,0.0541,0.213,25,19,NA
ABRIL,4,12,0.0482,0.0316,0.0544,0.222,19,14,NA
ABRIL,4,13,0.0569,0.0351,0.0542,0.229,20,13,NA
ABRIL,4,14,0.0666,0.0404,0.0533,0.231,17,11,NA
ABRIL,4,15,0.0664,0.0461,0.0535,0.229,18,10,NA
ABRIL,4,16,0.0674,0.0516,0.0537,0.225,20,13,NA
ABRIL,4,17,0.0684,0.0565,0.0537,0.227,20,11,NA
