DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,1,0,0.0230,0.0422,0.0132,0.553,56,25,NA
MAYO,1,1,0.0265,0.0382,0.0134,0.514,58,31,0.0098
MAYO,1,2,0.0233,0.0343,0.0138,0.483,53,33,0.0099
MAYO,1,3,0.0218,0.0312,0.0143,0.437,50,34,NA
MAYO,1,4,0.0202,0.0289,0.0147,0.408,48,32,0.0131
MAYO,1,5,0.0211,0.0264,0.0149,0.382,43,29,0.0145
MAYO,1,6,0.0145,0.0234,0.0155,0.379,52,29,0.024
MAYO,1,7,0.0147,0.0206,0.0156,0.401,54,31,0.0244
MAYO,1,8,0.0152,0.0197,0.0157,0.432,51,36,0.0226
MAYO,1,9,0.0294,0.0200,0.0157,0.451,46,29,0.014
MAYO,1,10,0.0367,0.0217,0.0158,0.473,43,24,0.0153
MAYO,1,11,0.0410,0.0241,0.0158,0.500,45,27,0.0133
MAYO,1,12,0.0432,0.0270,0.0158,0.537,40,30,0.0128
MAYO,1,13,0.0431,0.0297,0.0158,0.552,45,32,0.0099
MAYO,1,14,0.0480,0.0339,0.0158,0.548,43,23,0.0098
MAYO,1,15,0.0492,0.0382,0.0158,0.536,46,20,0.0103
MAYO,1,16,0.0495,0.0425,0.0158,0.507,48,15,0.0086
MAYO,1,17,0.0479,0.0448,0.0158,0.490,44,14,0.007
MAYO,1,18,0.0488,0.0463,0.0158,0.468,44,16,0.0058
MAYO,1,19,0.0430,0.0466,0.0158,0.457,45,20,0.0088
MAYO,1,20,0.0354,0.0456,0.0158,0.443,46,19,0.01
MAYO,1,21,0.0287,0.0438,0.0158,0.467,50,22,0.0124
MAYO,1,22,0.0288,0.0414,0.0159,0.477,48,28,0.0087
MAYO,1,23,0.0232,0.0382,0.0158,0.475,45,23,0.0099
MAYO,2,0,0.0307,0.0358,0.0155,0.470,44,22,0.0065
MAYO,2,1,0.0279,0.0333,0.0154,0.468,41,23,0.0063
MAYO,2,2,0.0236,0.0302,0.0150,0.465,41,26,0.0066
MAYO,2,3,0.0216,0.0275,0.0145,0.444,43,25,0.0071
MAYO,2,4,0.0211,0.0257,0.0142,0.413,40,27,0.0079
MAYO,2,5,0.0211,0.0247,0.0140,0.363,39,23,0.0075
MAYO,2,6,0.0177,0.0234,0.0134,0.340,33,18,0.0118
MAYO,2,7,0.0081,0.0215,0.0133,0.377,31,14,0.0208
MAYO,2,8,0.0087,0.0187,0.0133,0.408,34,12,0.0186
MAYO,2,9,0.0290,0.0189,0.0132,0.400,34,15,0.0081
MAYO,2,10,0.0365,0.0205,0.0132,0.401,32,14,0.0063
MAYO,2,11,0.0386,0.0226,0.0131,0.405,27,14,0.0052
MAYO,2,12,0.0425,0.0253,0.0131,0.420,23,11,0.0068
MAYO,2,13,0.0456,0.0283,0.0131,0.432,24,10,0.0054
MAYO,2,14,0.0461,0.0319,0.0131,0.432,21,11,0.0069
MAYO,2,15,0.0510,0.0372,0.0130,0.380,22,9,0.0052
MAYO,2,16,0.0537,0.0429,0.0130,0.337,22,9,0.0041
MAYO,2,17,0.0530,0.0459,0.0130,0.330,23,9,0.0032
MAYO,2,18,0.0500,0.0476,0.0130,0.324,22,8,0.0025
MAYO,2,19,0.0479,0.0487,0.0130,0.334,26,7,0.0039
MAYO,2,20,0.0349,0.0478,0.0129,0.359,35,8,0.0115
MAYO,2,21,0.0181,0.0443,0.0129,0.442,37,7,0.0226
MAYO,2,22,0.0280,0.0421,0.0129,0.493,46,13,0.0136
MAYO,2,23,0.0298,0.0394,0.0129,0.519,54,16,0.0065
MAYO,3,0,NA,0.0374,0.0128,0.551,54,16,NA
MAYO,3,1,0.0272,0.0337,0.0128,0.554,42,18,0.0051
MAYO,3,2,0.0174,0.0290,0.0128,0.556,38,16,0.0108
MAYO,3,3,0.0149,0.0243,0.0129,0.547,40,18,0.0137
MAYO,3,4,0.0137,0.0213,0.0128,0.515,41,23,0.0133
MAYO,3,5,0.0128,0.0205,0.0129,0.432,42,26,0.0137
MAYO,3,6,0.0026,0.0169,0.0131,0.407,46,29,0.0212
MAYO,3,7,0.0022,0.0130,0.0133,0.505,51,30,0.0241
MAYO,3,8,0.0068,0.0122,0.0135,0.570,62,35,0.0236
MAYO,3,9,0.0250,0.0119,0.0135,0.596,58,35,0.0152
MAYO,3,10,0.0418,0.0150,0.0136,0.640,53,32,0.0127
MAYO,3,11,0.0523,0.0196,0.0136,0.671,53,32,0.01
MAYO,3,12,0.0491,0.0241,0.0136,0.707,49,36,0.0108
MAYO,3,13,0.0546,0.0293,0.0136,0.720,47,44,0.0095
MAYO,3,14,0.0558,0.0359,0.0137,0.718,46,39,0.0099
MAYO,3,15,0.0622,0.0434,0.0137,0.626,44,36,0.0084
MAYO,3,16,0.0593,0.0500,0.0137,0.561,41,32,0.0094
MAYO,3,17,0.0588,0.0542,0.0137,0.558,42,26,0.0082
MAYO,3,18,0.0549,0.0559,0.0137,0.533,40,19,0.0078
MAYO,3,19,0.0481,0.0554,0.0137,0.510,38,15,0.0091
MAYO,3,20,0.0341,0.0535,0.0137,0.509,41,13,0.0156
MAYO,3,21,0.0341,0.0509,0.0137,0.507,44,16,0.0086
MAYO,3,22,0.0296,0.0477,0.0137,0.494,46,19,0.0066
MAYO,3,23,0.0284,0.0434,0.0137,0.481,45,19,0.0057
MAYO,4,0,0.0375,0.0407,0.0137,0.459,45,22,0.0025
MAYO,4,1,0.0297,0.0371,0.0137,0.441,46,23,0.007
MAYO,4,2,0.0288,0.0338,0.0137,0.427,45,33,0.0117
MAYO,4,3,0.0335,0.0320,0.0137,0.427,47,37,0.0131
MAYO,4,4,0.0367,0.0323,0.0137,0.402,48,41,0.0092
MAYO,4,5,0.0227,0.0309,0.0136,0.387,49,37,0.012
MAYO,4,6,0.0084,0.0282,0.0137,0.416,51,34,0.0221
MAYO,4,7,0.0064,0.0255,0.0136,0.508,60,35,0.0265
MAYO,4,8,0.0184,0.0231,0.0135,0.603,66,41,0.0236
MAYO,4,9,0.0385,0.0242,0.0135,0.673,63,46,0.0125
MAYO,4,10,0.0497,0.0268,0.0135,0.699,57,42,0.009
MAYO,4,11,0.0580,0.0298,0.0136,0.704,55,35,0.0065
MAYO,4,12,0.0586,0.0326,0.0136,0.705,47,29,0.0055
MAYO,4,13,0.0576,0.0369,0.0136,0.708,38,26,0.0063
MAYO,4,14,0.0623,0.0437,0.0136,0.669,36,24,0.0045
MAYO,4,15,0.0673,0.0513,0.0136,0.575,31,23,0.0044
MAYO,4,16,0.0683,0.0575,0.0137,0.491,32,22,0.0065
MAYO,4,17,0.0649,0.0608,0.0137,0.431,33,22,NA
MAYO,4,18,0.0704,0.0634,0.0138,0.403,31,NA,0.0053
MAYO,4,19,0.0671,0.0646,0.0138,0.395,33,NA,0.0089
MAYO,4,20,0.0411,0.0624,0.0138,0.421,44,21,0.0216
MAYO,4,21,0.0152,0.0571,0.0139,0.499,49,25,0.0315
MAYO,4,22,0.0143,0.0511,0.0140,0.586,58,23,0.0296
MAYO,4,23,0.0414,0.0478,0.0144,0.582,61,29,0.007
MAYO,5,0,NA,0.0449,0.0144,0.608,61,29,NA
MAYO,5,1,0.0179,0.0382,0.0151,0.575,54,34,0.0128
MAYO,5,2,0.0086,0.0294,0.0158,0.573,55,32,0.0219
MAYO,5,3,0.0041,0.0204,0.0161,0.563,51,32,0.027
MAYO,5,4,0.0077,0.0156,0.0169,0.531,53,29,0.0277
MAYO,5,5,0.0125,0.0152,0.0175,0.455,60,36,0.0275
MAYO,5,6,0.0143,0.0152,0.0176,0.402,69,40,0.0283
MAYO,5,7,0.0034,0.0098,0.0178,0.505,78,43,0.0337
MAYO,5,8,0.0058,0.0093,0.0182,0.608,89,48,0.0371
MAYO,5,9,0.0298,0.0108,0.0188,0.651,102,56,0.0206
MAYO,5,10,0.0499,0.0159,0.0199,0.652,87,53,0.0105
MAYO,5,11,0.0633,0.0233,0.0211,0.654,78,47,0.0114
MAYO,5,12,0.0720,0.0314,0.0219,0.650,68,42,0.0103
MAYO,5,13,0.0760,0.0393,0.0226,0.643,62,38,0.0114
MAYO,5,14,0.0819,0.0478,0.0235,0.611,60,43,0.0117
MAYO,5,15,0.0827,0.0577,0.0242,0.525,59,41,0.0122
MAYO,5,16,0.0854,0.0676,0.0246,0.402,54,42,0.01
MAYO,5,17,0.0735,0.0731,0.0243,0.361,52,47,0.0095
MAYO,5,18,0.0599,0.0743,0.0244,0.352,56,39,0.0062
MAYO,5,19,0.0471,0.0723,0.0247,0.344,78,43,0.009
MAYO,5,20,0.0444,0.0689,0.0254,0.340,66,38,0.0118
MAYO,5,21,0.0438,0.0649,0.0257,0.334,52,37,0.0116
MAYO,5,22,0.0366,0.0592,0.0259,0.327,76,28,0.0125
MAYO,5,23,0.0310,0.0527,0.0256,0.315,56,25,0.0173
MAYO,6,0,0.0186,0.0444,0.0252,0.306,39,19,0.0192
MAYO,6,1,0.0245,0.0382,0.0248,0.290,34,17,0.0166
MAYO,6,2,0.0388,0.0356,0.0242,0.287,32,16,0.0176
MAYO,6,3,0.0151,0.0316,0.0241,0.287,34,21,0.0201
MAYO,6,4,0.0102,0.0273,0.0236,0.282,32,22,0.0249
MAYO,6,5,0.0098,0.0231,0.0238,0.293,30,17,0.0257
MAYO,6,6,0.0087,0.0196,0.0249,0.329,34,21,0.0268
MAYO,6,7,0.0131,0.0174,0.0265,0.364,35,25,0.0251
MAYO,6,8,0.0109,0.0164,0.0279,NA,34,28,0.0242
MAYO,6,9,0.0304,0.0171,0.0279,NA,32,30,0.0169
MAYO,6,10,0.0404,0.0173,0.0274,NA,28,26,0.0131
MAYO,6,11,0.0471,0.0213,0.0271,NA,32,25,0.0148
MAYO,6,12,0.0558,0.0270,0.0271,0.445,36,28,0.0143
MAYO,6,13,0.0623,0.0336,0.0273,NA,34,28,0.0145
MAYO,6,14,0.0665,0.0408,0.0274,NA,35,29,0.015
MAYO,6,15,0.0657,0.0474,0.0277,NA,39,28,0.0148
MAYO,6,16,0.0597,0.0535,0.0278,0.415,38,25,0.0101
MAYO,6,17,0.0650,0.0578,0.0286,0.420,35,21,0.0104
MAYO,6,18,0.0651,0.0609,0.0291,0.439,39,24,0.0104
MAYO,6,19,0.0546,0.0618,0.0288,0.413,35,21,0.0081
MAYO,6,20,0.0496,0.0611,0.0282,0.389,32,15,0.0085
MAYO,6,21,0.0422,0.0586,0.0279,0.389,34,18,0.0072
MAYO,6,22,0.0380,0.0550,0.0280,0.376,33,19,0.0101
MAYO,6,23,0.0475,0.0527,0.0281,NA,33,20,NA
MAYO,7,0,0.0450,0.0509,0.0284,NA,31,19,NA
MAYO,7,1,0.0428,0.0481,0.0285,NA,33,18,NA
MAYO,7,2,0.0403,0.0450,0.0284,NA,29,15,0.0068
MAYO,7,3,0.0391,0.0431,0.0285,NA,28,15,NA
MAYO,7,4,0.0345,0.0412,0.0283,NA,27,17,NA
MAYO,7,5,0.0343,0.0402,0.0276,NA,23,19,NA
MAYO,7,6,0.0343,0.0397,0.0262,NA,22,17,0.0102
MAYO,7,7,0.0350,0.0382,0.0243,0.343,22,19,0.0099
MAYO,7,8,0.0388,0.0374,0.0225,0.381,21,19,0.0091
MAYO,7,9,0.0421,0.0373,0.0221,0.418,24,17,0.0066
MAYO,7,10,0.0452,0.0379,0.0220,0.426,24,18,0.0065
MAYO,7,11,0.0497,0.0392,0.0220,0.436,27,16,0.0073
MAYO,7,12,0.0569,0.0420,0.0221,0.461,33,19,0.0079
MAYO,7,13,0.0575,0.0449,0.0221,0.483,37,24,0.0072
MAYO,7,14,0.0585,0.0480,0.0220,0.500,33,21,0.0073
MAYO,7,15,0.0592,0.0510,0.0218,0.506,34,19,0.0063
MAYO,7,16,0.0619,0.0539,0.0218,0.507,32,19,0.0068
MAYO,7,17,0.0621,0.0564,0.0214,0.507,32,19,0.005
MAYO,7,18,0.0575,0.0579,0.0209,0.508,29,15,0.0036
MAYO,7,19,0.0462,0.0575,0.0209,0.508,26,10,0.0039
MAYO,7,20,0.0418,0.0556,0.0209,0.502,28,8,0.0034
MAYO,7,21,0.0395,0.0533,0.0208,0.488,28,7,0.0029
MAYO,7,22,0.0390,0.0509,0.0205,0.469,24,7,0.0021
MAYO,7,23,0.0358,0.0480,0.0203,0.453,26,10,0.0035
MAYO,8,0,0.0313,0.0441,0.0200,0.438,26,12,0.0065
MAYO,8,1,0.0306,0.0402,0.0200,0.407,26,15,NA
MAYO,8,2,0.0273,0.0364,0.0201,0.375,25,14,NA
MAYO,8,3,0.0306,0.0345,0.0201,0.354,24,14,NA
MAYO,8,4,0.0329,0.0334,0.0201,0.335,20,12,NA
MAYO,8,5,0.0309,0.0323,0.0204,0.319,19,14,NA
MAYO,8,6,0.0208,0.0300,0.0211,NA,21,16,0.0106
MAYO,8,7,0.0130,0.0272,0.0217,NA,24,17,0.0173
MAYO,8,8,0.0238,0.0262,0.0226,NA,26,19,0.0123
MAYO,8,9,0.0323,0.0264,0.0227,NA,24,18,0.0086
MAYO,8,10,0.0383,0.0278,0.0229,NA,24,19,0.0082
MAYO,8,11,0.0459,0.0297,0.0225,NA,29,22,0.0084
MAYO,8,12,0.0536,0.0323,0.0222,0.545,29,20,0.0099
MAYO,8,13,0.0676,0.0369,0.0226,0.554,37,22,0.0085
MAYO,8,14,0.0700,0.0431,0.0223,0.571,37,23,0.0097
MAYO,8,15,0.0739,0.0507,0.0218,0.581,33,20,0.0081
MAYO,8,16,0.0707,0.0565,0.0213,0.611,36,21,0.0087
MAYO,8,17,0.0686,0.0611,0.0210,0.627,36,22,0.0083
MAYO,8,18,0.0618,0.0640,0.0209,0.637,36,21,0.0063
MAYO,8,19,0.0562,0.0653,0.0209,0.646,39,20,0.0073
MAYO,8,20,0.0504,0.0649,0.0209,0.664,35,18,0.0104
MAYO,8,21,0.0468,0.0623,0.0209,0.691,35,16,0.0108
MAYO,8,22,0.0446,0.0591,0.0209,0.719,36,17,0.0149
MAYO,8,23,0.0363,0.0544,0.0209,0.753,39,20,0.0183
MAYO,9,0,0.0298,0.0493,0.0209,0.784,51,22,0.0202
MAYO,9,1,0.0305,0.0446,0.0208,0.781,59,47,0.0111
MAYO,9,2,0.0263,0.0401,0.0206,0.777,58,43,0.0123
MAYO,9,3,0.0296,0.0368,0.0205,0.759,58,38,0.0112
MAYO,9,4,0.0296,0.0342,0.0205,0.727,59,38,0.0098
MAYO,9,5,0.0279,0.0318,0.0202,0.691,56,34,0.0104
MAYO,9,6,0.0210,0.0289,0.0195,0.648,50,32,0.0139
MAYO,9,7,0.0138,0.0261,0.0189,0.635,46,29,0.018
MAYO,9,8,0.0169,0.0245,0.0180,0.612,45,28,0.016
MAYO,9,9,0.0270,0.0240,0.0177,0.640,42,30,0.0109
MAYO,9,10,0.0354,0.0251,0.0171,0.686,41,33,0.0119
MAYO,9,11,0.0447,0.0270,0.0167,0.744,39,31,0.0115
MAYO,9,12,0.0526,0.0299,0.0161,0.802,40,28,0.0104
MAYO,9,13,0.0593,0.0338,0.0149,0.847,38,30,0.0099
MAYO,9,14,0.0658,0.0394,0.0144,0.889,34,28,0.0108
MAYO,9,15,0.0687,0.0463,0.0142,0.903,32,26,0.0112
MAYO,9,16,0.0714,0.0531,0.0141,0.920,32,25,0.0112
MAYO,9,17,0.0626,0.0576,0.0140,0.934,42,25,0.0128
MAYO,9,18,0.0499,0.0594,0.0139,0.937,60,28,0.0122
MAYO,9,19,0.0489,0.0599,0.0139,0.956,54,27,0.0106
MAYO,9,20,0.0274,0.0567,0.0143,0.959,48,29,0.0158
MAYO,9,21,0.0286,0.0529,0.0145,0.976,42,29,0.0183
MAYO,9,22,0.0350,0.0491,0.0147,0.967,42,28,0.0147
MAYO,9,23,0.0446,0.0460,0.0148,0.945,29,18,0.0132
MAYO,10,0,0.0413,0.0423,0.0148,0.916,19,15,NA
