DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
FEBRERO,1,0,0.022,0.024,0.001,0.63,41,21,0.007
FEBRERO,1,1,0.017,0.021,0.001,0.61,37,17,0.01
FEBRERO,1,2,0.019,0.019,0.001,0.58,32,15,NA
FEBRERO,1,3,0.015,0.018,0.001,0.53,30,15,0.012
FEBRERO,1,4,0.011,0.017,0.001,0.47,30,16,0.017
FEBRERO,1,5,0.007,0.016,0.001,0.43,36,19,0.016
FEBRERO,1,6,0.007,0.014,0.001,0.4,36,22,0.017
FEBRERO,1,7,0.006,0.013,0.001,0.47,36,23,0.02
FEBRERO,1,8,0.005,0.011,0.001,0.68,52,24,0.02
FEBRERO,1,9,0.006,0.009,0.002,0.83,68,39,0.027
FEBRERO,1,10,0.017,0.009,0.002,0.9,75,39,0.026
FEBRERO,1,11,0.03,0.011,0.002,0.92,59,34,0.014
FEBRERO,1,12,0.04,0.015,0.002,0.94,43,27,0.01
FEBRERO,1,13,0.042,0.019,0.002,0.96,31,19,0.01
FEBRERO,1,14,0.04,0.023,0.002,0.98,26,16,0.01
FEBRERO,1,15,0.045,0.028,0.002,0.89,34,14,0.007
FEBRERO,1,16,0.041,0.033,0.002,0.68,50,13,0.007
FEBRERO,1,17,0.042,0.037,0.002,0.56,43,12,0.008
FEBRERO,1,18,0.037,0.04,0.002,0.52,34,12,0.013
FEBRERO,1,19,0.027,0.039,0.002,0.57,46,11,0.023
FEBRERO,1,20,0.017,0.036,0.002,0.64,51,11,0.028
FEBRERO,1,21,0.018,0.033,0.002,0.7,56,18,0.028
FEBRERO,1,22,0.019,0.031,0.002,0.76,61,23,0.028
FEBRERO,1,23,0.021,0.028,0.002,0.78,61,29,0.025
FEBRERO,2,0,0.019,0.025,0.002,0.79,51,27,0.014
FEBRERO,2,1,0.027,0.023,0.002,0.79,46,24,0.017
FEBRERO,2,2,0.033,0.023,0.002,0.78,45,22,0.023
FEBRERO,2,3,0.018,0.022,0.002,0.71,45,24,0.022
FEBRERO,2,4,0.008,0.021,0.002,0.63,39,26,0.02
FEBRERO,2,5,0.007,0.019,0.002,0.54,35,25,0.021
FEBRERO,2,6,0.007,0.018,0.002,0.47,36,25,0.022
FEBRERO,2,7,0.003,0.015,0.002,0.5,42,26,0.022
FEBRERO,2,8,0.004,0.013,0.002,0.64,57,28,0.022
FEBRERO,2,9,0.006,0.011,0.002,0.76,62,36,0.025
FEBRERO,2,10,0.016,0.009,0.002,0.88,67,39,0.034
FEBRERO,2,11,0.03,0.01,0.002,0.9,62,39,0.014
FEBRERO,2,12,0.035,0.014,0.002,0.92,41,33,0.008
FEBRERO,2,13,0.039,0.017,0.002,0.93,26,25,0.009
FEBRERO,2,14,0.041,0.022,0.002,0.94,23,18,0.01
FEBRERO,2,15,0.044,0.027,0.002,0.88,16,15,0.007
FEBRERO,2,16,0.036,0.031,0.002,0.75,17,13,0.01
FEBRERO,2,17,0.034,0.034,0.002,0.64,17,13,0.009
FEBRERO,2,18,0.027,0.036,0.002,0.53,22,12,0.011
FEBRERO,2,19,0.013,0.033,0.002,0.55,26,12,0.017
FEBRERO,2,20,0.006,0.03,0.002,0.67,32,13,0.025
FEBRERO,2,21,0.012,0.027,0.002,0.71,38,20,0.019
FEBRERO,2,22,0.02,0.024,0.002,0.72,37,20,0.012
FEBRERO,2,23,0.019,0.021,0.002,0.72,33,17,0.009
FEBRERO,3,0,0.018,0.019,0.002,0.7,31,19,0.009
FEBRERO,3,1,0.011,0.016,0.002,0.69,33,20,0.016
FEBRERO,3,2,0.014,0.014,0.002,0.68,37,20,0.018
FEBRERO,3,3,0.01,0.014,0.002,0.62,33,23,0.019
FEBRERO,3,4,0.009,0.014,0.002,0.5,35,25,0.019
FEBRERO,3,5,0.018,0.015,0.002,0.43,32,23,0.011
FEBRERO,3,6,0.004,0.013,0.002,0.43,34,20,0.02
FEBRERO,3,7,0.009,0.012,0.002,0.48,37,23,0.019
FEBRERO,3,8,0.02,0.012,0.002,0.59,48,25,0.022
FEBRERO,3,9,0.026,0.014,0.002,0.69,46,33,0.023
FEBRERO,3,10,0.031,0.016,0.002,0.74,42,32,0.015
FEBRERO,3,11,0.038,0.019,0.002,0.75,38,28,0.008
FEBRERO,3,12,0.039,0.023,0.002,0.76,29,23,0.008
FEBRERO,3,13,0.038,0.026,0.002,0.77,21,21,0.006
FEBRERO,3,14,0.042,0.03,0.002,0.77,20,18,0.008
FEBRERO,3,15,0.039,0.034,0.002,0.72,20,18,0.007
FEBRERO,3,16,0.039,0.037,0.002,0.61,23,16,0.009
FEBRERO,3,17,0.04,0.038,0.002,0.52,23,15,0.009
FEBRERO,3,18,0.036,0.039,0.002,0.49,28,16,0.014
FEBRERO,3,19,0.024,0.037,0.002,0.53,33,18,0.018
FEBRERO,3,20,0.013,0.034,0.002,0.58,31,19,0.019
FEBRERO,3,21,0.012,0.031,0.002,0.65,33,20,0.021
FEBRERO,3,22,0.012,0.027,0.002,0.67,34,22,0.017
FEBRERO,3,23,0.014,0.024,0.002,0.68,30,22,0.012
FEBRERO,4,0,0.017,0.021,0.002,0.66,29,19,0.009
FEBRERO,4,1,0.013,0.017,0.002,0.65,26,18,0.012
FEBRERO,4,2,0.004,0.013,0.002,0.62,27,17,0.019
FEBRERO,4,3,0.005,0.011,0.002,0.58,25,19,0.02
FEBRERO,4,4,0.005,0.01,0.002,0.51,27,19,0.02
FEBRERO,4,5,0.005,0.009,0.002,0.44,28,20,0.02
FEBRERO,4,6,0.005,0.009,0.002,0.43,30,23,0.019
FEBRERO,4,7,NA,0.008,0.002,0.46,43,26,0.018
FEBRERO,4,8,NA,0.006,0.002,0.56,69,33,0.018
FEBRERO,4,9,NA,NA,0.002,0.7,71,36,0.022
FEBRERO,4,10,0.012,NA,0.002,0.75,72,38,0.023
