DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,1,0,0.0285553,0.043306673,0.017895733,0.790249875,46,22
MARZO,1,1,0.016441864,0.036733731,0.017927135,0.784493625,43,22
MARZO,1,2,0.011272698,0.029584006,0.016573502,0.77196575,42,23
MARZO,1,3,0.009057798,0.024203893,0.016520588,0.71632925,40,24
MARZO,1,4,0.019743417,0.023201301,0.01617216,0.5860965,40,24
MARZO,1,5,0.0240556,0.021443024,0.015844083,0.54202,38,26
MARZO,1,6,0.018696717,0.019428424,0.015609394,0.529195125,32,26
MARZO,1,7,0.009017823,0.017105152,0.015478856,0.587396,36,24
MARZO,1,8,0.007915728,0.014525206,0.015691531,0.684648625,52,23
MARZO,1,9,0.010297892,0.013757209,0.015226112,0.7523995,54,25
MARZO,1,10,0.022380217,0.015145649,0.011280219,0.798576375,53,27
MARZO,1,11,0.0361901,0.018537187,0.007626491,0.837159375,46,26
MARZO,1,12,0.045692333,0.021780801,0.004223709,0.861302125,40,25
MARZO,1,13,0.0465773,0.024596014,0.00338598,0.88696925,33,25
MARZO,1,14,0.051574817,0.028705776,0.003149111,0.89286175,31,25
MARZO,1,15,0.043733433,0.033045228,0.003019346,0.82441625,27,25
MARZO,1,16,0.047568867,0.03800187,0.002940603,0.729775,29,24
MARZO,1,17,0.046341167,0.042507279,0.002847775,0.664103125,34,23
MARZO,1,18,0.041560983,0.044904875,0.002759341,0.634557,32,23
MARZO,1,19,0.0314199,0.0443086,0.002704792,0.663432625,32,22
MARZO,1,20,0.015294845,0.040508914,0.002652834,0.732466125,38,22
MARZO,1,21,0.0138815,0.036421939,0.002644812,0.7855105,45,21
MARZO,1,22,0.02019485,0.032499443,0.002658732,0.826188625,50,21
MARZO,1,23,0.028119517,0.030547704,0.002637414,0.81483325,45,22
MARZO,2,0,0.025708,0.027815095,0.002591069,0.793039125,36,22
MARZO,2,1,0.018948917,0.024391064,0.002562958,0.77893,31,21
MARZO,2,2,0.01470374,0.021033909,0.002536434,0.748874375,31,19
MARZO,2,3,0.008926772,0.018222268,0.002509709,0.678384375,31,19
MARZO,2,4,0.008147492,0.017328849,0.002492236,0.58103275,32,20
MARZO,2,5,0.011710347,0.017057454,0.002484566,0.50582275,31,20
