DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
SEP,1,0,0.031,0.037,NA,0.933,NA,NA,0.003
SEP,1,1,0.022,0.034,NA,0.883,35,NA,0.005
SEP,1,2,0.028,0.031,NA,0.77,38,NA,0.005
SEP,1,3,0.029,0.03,NA,0.62,35,NA,0.003
SEP,1,4,0.028,0.03,NA,0.484,28,NA,0.005
SEP,1,5,0.025,0.029,NA,0.408,29,NA,0.004
SEP,1,6,0.015,0.027,NA,0.349,29,NA,0.005
SEP,1,7,0.013,0.024,NA,0.358,27,NA,0.015
SEP,1,8,0.017,0.022,NA,0.401,NA,NA,0.013
SEP,1,9,0.021,0.022,NA,0.44,32,NA,0.019
SEP,1,10,0.022,0.021,NA,0.473,35,NA,0.014
SEP,1,11,0.031,0.022,NA,0.503,33,NA,0.011
SEP,1,12,0.045,0.024,NA,0.515,29,NA,0.005
SEP,1,13,0.044,0.026,NA,0.545,29,NA,0.009
SEP,1,14,0.047,0.03,NA,0.573,30,NA,0.008
SEP,1,15,0.053,0.035,NA,0.576,30,NA,0.006
SEP,1,16,0.055,0.04,NA,0.555,30,NA,0.008
SEP,1,17,0.059,0.045,NA,0.538,29,NA,0.006
SEP,1,18,0.052,0.048,NA,0.603,31,NA,0.014
SEP,1,19,0.039,0.049,NA,0.651,32,NA,0.016
SEP,1,20,0.036,0.048,NA,0.696,32,NA,0.015
SEP,1,21,0.028,0.046,NA,0.746,32,NA,0.02
SEP,1,22,0.023,0.043,NA,0.803,37,NA,0.02
SEP,1,23,0.04,0.042,NA,0.824,31,NA,0.006
SEP,2,0,0.034,0.039,NA,0.829,31,NA,0.008
SEP,2,1,0.036,0.036,NA,0.82,31,NA,0.007
SEP,2,2,0.03,0.033,NA,0.726,43,NA,0.008
SEP,2,3,0.029,0.032,NA,0.655,46,NA,0.007
SEP,2,4,0.03,0.031,NA,0.6,40,NA,0.004
SEP,2,5,0.032,0.032,NA,0.523,37,NA,0.005
SEP,2,6,0.024,0.032,NA,0.446,36,NA,0.007
SEP,2,7,0.008,0.028,0.479,0.429,34,NA,0.017
SEP,2,8,0.016,0.026,0.479,0.439,33,NA,0.014
SEP,2,9,0.026,0.024,0.479,0.445,36,NA,0.011
SEP,2,10,0.039,0.026,0.479,0.458,42,NA,0.007
SEP,2,11,0.05,0.028,0.479,0.46,39,NA,0.004
SEP,2,12,0.059,0.032,0.479,0.47,37,NA,0.005
SEP,2,13,0.064,0.036,0.479,0.486,33,NA,0.002
SEP,2,14,0.062,0.041,0.479,0.485,30,NA,0.002
SEP,2,15,0.059,0.047,0.479,0.511,32,NA,0.005
SEP,2,16,0.062,0.053,0.479,0.533,36,NA,0.004
SEP,2,17,0.065,0.058,0.479,0.555,36,NA,0.003
SEP,2,18,0.062,0.06,0.479,0.565,41,NA,0.006
SEP,2,19,0.056,0.061,0.479,0.588,38,NA,0.008
SEP,2,20,0.04,0.059,0.479,0.639,37,NA,0.017
SEP,2,21,0.041,0.056,0.479,0.626,34,NA,0.006
SEP,2,22,0.044,0.054,0.479,0.656,31,NA,0.006
SEP,2,23,0.049,0.052,0.479,0.601,27,NA,0.002
SEP,3,0,0.04,0.049,0.479,0.574,34,NA,0.007
SEP,3,1,0.038,0.046,0.479,0.548,43,NA,0.008
SEP,3,2,0.042,0.044,0.479,0.638,38,NA,0.006
SEP,3,3,0.041,0.042,0.479,0.671,32,NA,0.007
SEP,3,4,0.043,0.042,0.479,0.62,32,NA,0.002
SEP,3,5,0.043,0.042,0.479,0.614,33,NA,0.002
SEP,3,6,0.039,0.042,0.479,0.636,33,NA,0.004
SEP,3,7,0.041,0.041,0.479,0.644,34,NA,0.003
SEP,3,8,0.04,0.041,0.479,0.698,34,NA,0.004
SEP,3,9,0.047,0.042,0.479,0.728,32,NA,0.002
SEP,3,10,0.051,0.043,0.479,0.668,34,NA,0.001
SEP,3,11,0.055,0.045,0.479,0.691,31,NA,0.001
SEP,3,12,0.057,0.047,0.479,0.736,31,NA,0.001
SEP,3,13,0.058,0.048,0.479,0.8,34,NA,0.002
SEP,3,14,0.059,0.051,0.479,0.761,34,NA,0.002
SEP,3,15,0.061,0.053,0.479,0.826,34,NA,0.004
SEP,3,16,0.061,0.056,0.479,0.805,35,NA,0.003
SEP,3,17,0.062,0.058,0.479,0.79,39,NA,0.006
SEP,3,18,0.061,0.059,0.479,0.765,37,NA,0.007
SEP,3,19,0.056,0.059,0.479,0.723,36,NA,0.011
SEP,3,20,0.046,0.058,0.479,0.734,33,NA,0.015
SEP,3,21,0.034,0.055,0.479,0.733,33,NA,0.021
SEP,3,22,0.038,0.052,0.479,0.729,32,NA,0.01
SEP,3,23,0.04,0.05,0.479,0.669,32,NA,0.006
SEP,4,0,0.037,0.047,0.479,0.609,32,NA,0.006
SEP,4,1,0.042,0.044,0.479,0.576,29,NA,0.004
SEP,4,2,0.037,0.041,0.479,0.544,26,NA,0.003
SEP,4,3,0.033,0.038,0.479,0.493,25,NA,0.003
SEP,4,4,0.028,0.036,0.479,0.418,25,NA,0.004
SEP,4,5,0.021,0.035,0.479,0.35,26,NA,0.01
SEP,4,6,0.017,0.032,0.479,0.329,27,NA,0.01
SEP,4,7,0.011,0.028,0.479,0.338,25,NA,0.016
SEP,4,8,0.017,0.026,0.479,0.356,32,NA,0.014
SEP,4,9,0.031,0.024,0.479,0.376,33,NA,0.006
SEP,4,10,0.039,0.025,0.479,0.394,35,NA,0.006
SEP,4,11,0.046,0.026,0.479,0.41,33,NA,0.005
SEP,4,12,0.055,0.03,0.479,0.434,34,NA,0.008
SEP,4,13,0.059,0.034,0.479,0.451,32,NA,0.004
SEP,4,14,0.057,0.039,0.479,0.465,31,NA,0.005
SEP,4,15,0.051,0.044,0.479,0.456,32,NA,0.003
SEP,4,16,0.055,0.049,0.479,0.435,38,NA,0.005
SEP,4,17,0.051,0.052,0.479,0.431,36,NA,0.007
SEP,4,18,0.045,0.052,0.479,0.45,35,NA,0.01
SEP,4,19,0.035,0.051,0.479,0.495,32,NA,0.017
SEP,4,20,0.027,0.048,0.479,0.529,31,NA,0.022
SEP,4,21,0.039,0.045,0.479,0.533,33,NA,0.01
SEP,4,22,0.033,0.042,0.479,0.539,31,NA,0.011
SEP,4,23,0.035,0.04,0.479,0.536,28,NA,0.006
SEP,5,0,0.034,0.038,0.479,0.533,25,NA,0.006
SEP,5,1,0.026,0.034,0.479,0.518,27,NA,0.01
SEP,5,2,0.024,0.032,0.479,0.481,26,NA,0.006
SEP,5,3,0.023,0.03,0.479,0.42,26,NA,0.005
SEP,5,4,0.02,0.029,0.479,0.361,28,NA,0.005
SEP,5,5,0.012,0.026,0.479,0.34,30,NA,0.014
SEP,5,6,0.017,0.024,0.479,0.324,32,NA,0.008
SEP,5,7,0.012,0.021,0.479,0.334,33,NA,0.013
SEP,5,8,0.011,0.018,0.479,0.378,34,NA,0.014
SEP,5,9,0.016,0.017,0.479,0.409,45,NA,0.012
SEP,5,10,0.026,0.017,0.479,0.423,48,NA,0.008
SEP,5,11,0.034,0.018,0.479,0.434,45,NA,0.01
SEP,5,12,0.044,0.021,0.479,0.451,43,NA,0.006
SEP,5,13,0.06,0.028,0.479,0.466,42,NA,0.007
SEP,5,14,0.065,0.034,0.479,0.476,41,NA,0.006
SEP,5,15,0.067,0.041,0.479,0.464,40,NA,0.004
SEP,5,16,0.069,0.048,0.479,0.425,40,NA,0.005
SEP,5,17,0.066,0.054,0.479,0.395,40,NA,0.006
SEP,5,18,0.056,0.058,0.479,0.413,35,NA,0.009
SEP,5,19,0.039,0.059,0.479,0.459,31,NA,0.014
SEP,5,20,0.028,0.057,0.479,0.505,28,NA,0.02
SEP,5,21,0.031,0.053,0.479,0.526,30,NA,0.007
SEP,5,22,0.03,0.048,0.479,0.516,31,NA,0.007
SEP,5,23,0.028,0.043,0.479,0.516,28,NA,0.006
SEP,6,0,0.028,0.038,0.479,0.509,27,NA,0.004
SEP,6,1,NA,NA,0.479,0.533,NA,NA,NA
SEP,6,2,NA,NA,0.479,0.527,NA,NA,NA
SEP,6,3,NA,NA,0.479,NA,NA,NA,NA
SEP,6,4,NA,NA,0.479,NA,NA,NA,NA
SEP,6,5,NA,NA,0.479,NA,NA,NA,NA
SEP,6,6,NA,NA,0.479,NA,NA,NA,NA
SEP,6,7,NA,NA,0.479,NA,NA,NA,NA
SEP,6,8,NA,NA,0.479,NA,NA,NA,NA
SEP,6,9,0.021,NA,0.479,NA,NA,NA,0.008
SEP,6,10,0.031,NA,0.479,NA,38,NA,0.004
SEP,6,11,0.039,NA,0.479,NA,43,NA,0.007
SEP,6,12,0.047,NA,0.479,NA,40,NA,0.005
SEP,6,13,0.046,NA,0.479,NA,39,NA,0.011
SEP,6,14,0.055,NA,0.479,0.462,39,NA,0.006
SEP,6,15,0.061,NA,0.479,0.461,39,NA,0.007
SEP,6,16,0.061,0.045,0.479,0.466,41,NA,0.007
SEP,6,17,0.06,0.05,0.479,0.461,43,NA,0.007
SEP,6,18,0.056,0.053,0.479,0.51,41,NA,0.006
SEP,6,19,0.046,0.054,0.479,0.569,39,NA,0.017
SEP,6,20,0.038,0.053,0.479,0.61,37,NA,0.015
SEP,6,21,0.038,0.052,0.479,0.601,32,NA,0.005
SEP,6,22,0.038,0.05,0.479,0.596,29,NA,0.005
SEP,6,23,0.036,0.047,0.479,0.593,25,NA,0.005
SEP,7,0,0.038,0.044,0.479,0.573,21,NA,0.002
SEP,7,1,0.034,0.041,0.479,0.56,20,NA,0.003
SEP,7,2,0.034,0.038,0.479,0.498,19,NA,0.002
SEP,7,3,0.032,0.036,0.479,0.416,21,NA,0.002
SEP,7,4,0.019,0.034,0.479,0.359,21,NA,0.01
SEP,7,5,0.016,0.031,0.479,0.34,25,NA,0.011
SEP,7,6,0.011,0.028,0.479,0.333,27,NA,0.015
SEP,7,7,0.015,0.025,0.479,0.354,25,NA,0.014
SEP,7,8,0.017,0.022,0.479,0.406,25,NA,0.014
SEP,7,9,0.022,0.021,0.479,0.458,27,NA,0.01
SEP,7,10,0.031,0.02,0.479,0.549,40,NA,0.012
SEP,7,11,0.032,0.02,0.479,0.569,45,NA,0.008
SEP,7,12,0.043,0.023,0.479,0.584,51,NA,0.008
SEP,7,13,0.052,0.028,0.479,0.61,51,NA,0.01
SEP,7,14,0.056,0.033,0.479,0.646,51,NA,0.013
SEP,7,15,0.067,0.04,0.479,0.716,50,NA,0.012
SEP,7,16,0.066,0.046,0.479,0.725,53,NA,0.015
SEP,7,17,0.064,0.051,0.479,0.709,49,NA,0.01
SEP,7,18,0.055,0.054,0.479,0.668,47,NA,0.012
SEP,7,19,0.039,0.055,0.479,0.706,38,NA,0.013
SEP,7,20,0.033,0.054,0.479,0.735,31,NA,0.011
SEP,7,21,0.033,0.052,0.479,0.751,30,NA,0.011
SEP,7,22,0.032,0.049,0.479,0.729,30,NA,0.01
SEP,7,23,0.028,0.044,0.479,0.641,31,NA,0.007
SEP,8,0,0.027,0.039,0.479,0.585,25,NA,0.006
SEP,8,1,0.029,0.034,0.479,0.551,25,NA,0.004
SEP,8,2,0.027,0.031,0.479,0.503,24,NA,0.003
SEP,8,3,0.021,0.029,0.479,0.445,29,NA,0.006
SEP,8,4,0.02,0.027,0.479,0.398,30,NA,0.008
SEP,8,5,0.018,0.025,0.479,0.356,30,NA,0.007
SEP,8,6,0.014,0.023,0.479,0.339,30,NA,0.009
SEP,8,7,0.01,0.021,0.479,0.338,28,NA,0.015
SEP,8,8,0.008,0.018,0.479,0.446,32,NA,0.017
SEP,8,9,0.013,0.016,0.479,0.526,34,NA,0.015
SEP,8,10,0.021,0.016,0.479,0.566,34,NA,0.01
SEP,8,11,0.035,0.017,0.479,0.621,NA,NA,0.009
SEP,8,12,0.04,0.02,0.479,0.666,NA,NA,0.004
SEP,8,13,0.041,0.023,0.479,0.726,40,NA,0.003
SEP,8,14,0.046,0.027,0.479,0.765,35,NA,0.003
SEP,8,15,0.05,0.032,0.479,0.803,37,NA,0.004
SEP,8,16,0.05,0.037,0.479,0.73,36,NA,0.007
SEP,8,17,0.051,0.042,0.479,0.685,36,NA,0.008
SEP,8,18,0.041,0.044,0.479,0.708,32,NA,0.009
SEP,8,19,0.016,0.042,0.479,0.811,34,NA,0.024
SEP,8,20,0.008,0.038,0.479,0.964,30,NA,0.03
SEP,8,21,0.01,0.034,0.479,1.128,31,NA,0.025
SEP,8,22,0.022,0.031,0.479,1.163,32,NA,0.009
SEP,8,23,0.023,0.028,0.479,1.196,28,NA,0.008
SEP,9,0,0.024,0.025,0.479,1.249,28,NA,0.008
SEP,9,1,0.024,0.021,0.479,1.215,NA,NA,0.006
SEP,9,2,0.023,0.019,0.479,1.153,NA,NA,0.008
SEP,9,3,0.025,0.02,0.479,1.023,NA,NA,0.005
SEP,9,4,0.021,0.022,0.479,0.915,30,NA,0.007
SEP,9,5,0.023,0.023,0.479,0.768,32,NA,0.008
SEP,9,6,0.022,0.023,0.479,0.684,31,NA,0.005
SEP,9,7,0.014,0.022,0.479,0.61,32,NA,0.011
SEP,9,8,0.01,0.02,0.479,0.586,34,NA,0.016
SEP,9,9,0.027,0.021,0.479,0.624,34,NA,0.006
SEP,9,10,0.039,0.023,0.479,0.68,34,NA,0.002
SEP,9,11,0.042,0.025,0.479,0.665,33,NA,0.004
SEP,9,12,0.045,0.028,0.479,0.589,32,NA,0.004
SEP,9,13,0.05,0.031,0.479,0.535,32,NA,0.004
SEP,9,14,0.05,0.035,0.479,0.564,32,NA,0.004
SEP,9,15,0.049,0.039,0.479,0.553,33,NA,0.005
SEP,9,16,0.053,0.044,0.479,0.48,37,NA,0.005
SEP,9,17,0.052,0.047,0.479,0.435,39,NA,0.005
SEP,9,18,0.045,0.048,0.479,0.394,38,NA,0.003
SEP,9,19,0.039,0.048,0.479,0.373,38,NA,0.003
SEP,9,20,0.036,0.047,0.479,0.349,NA,NA,0.002
SEP,9,21,0.037,0.045,0.479,0.313,NA,NA,0.002
SEP,9,22,0.036,0.044,0.479,0.278,NA,NA,0.001
SEP,9,23,NA,NA,0.479,0.269,NA,NA,NA
SEP,10,0,0.035,NA,0.479,0.251,NA,NA,0
SEP,10,1,0.033,NA,0.479,0.273,NA,NA,0.001
SEP,10,2,0.027,NA,0.479,0.484,NA,NA,0.005
SEP,10,3,NA,NA,0.479,0.525,NA,NA,NA
SEP,10,4,NA,NA,0.479,NA,NA,NA,NA
SEP,10,5,0.024,NA,0.479,NA,NA,NA,0.005
SEP,10,6,NA,NA,0.479,NA,NA,NA,NA
SEP,10,7,0.019,NA,0.479,NA,NA,NA,0.006
SEP,10,8,NA,NA,0.479,NA,NA,NA,NA
SEP,10,9,NA,NA,0.479,NA,NA,NA,NA
SEP,10,10,0.032,NA,0.479,NA,NA,NA,0.003
SEP,10,11,0.038,NA,0.479,NA,NA,NA,0.002
SEP,10,12,0.045,NA,0.479,NA,NA,NA,0.002
SEP,10,13,0.049,NA,0.479,NA,NA,NA,0.002
SEP,10,14,0.05,NA,0.479,0.362,NA,NA,0.002
SEP,10,15,0.047,NA,0.479,0.36,NA,NA,0.004
SEP,10,16,0.045,NA,0.479,0.351,NA,NA,0.003
SEP,10,17,0.045,0.044,0.479,0.336,NA,NA,0.002
SEP,10,18,0.044,0.045,0.479,0.328,NA,NA,0.003
SEP,10,19,0.039,0.046,0.479,0.319,NA,NA,0.002
SEP,10,20,0.036,0.044,0.479,0.315,NA,NA,0.002
SEP,10,21,0.037,0.043,0.479,0.285,NA,NA,0.002
SEP,10,22,0.038,0.041,0.479,0.26,NA,NA,0.001
SEP,10,23,0.036,0.04,0.479,0.248,NA,NA,0.001
SEP,11,0,0.028,0.038,0.479,0.315,NA,NA,0.006
SEP,11,1,0.028,0.036,0.479,0.338,NA,NA,0.006
SEP,11,2,0.026,0.033,0.479,0.34,NA,NA,0.006
SEP,11,3,0.029,0.032,0.479,0.556,NA,NA,0.005
SEP,11,4,0.031,0.032,0.479,0.604,NA,NA,0.004
SEP,11,5,0.023,0.03,0.479,0.604,NA,NA,0.004
SEP,11,6,0.018,0.027,0.479,0.605,NA,NA,0.008
SEP,11,7,0.015,0.025,0.479,0.618,NA,NA,0.014
SEP,11,8,0.021,0.024,0.479,0.569,NA,NA,0.01
SEP,11,9,0.023,0.023,0.479,0.578,NA,NA,0.01
SEP,11,10,0.035,0.024,0.479,0.595,NA,NA,0.006
SEP,11,11,0.046,0.027,0.479,0.388,32,NA,0.003
SEP,11,12,0.057,0.03,0.479,0.381,32,NA,0.003
SEP,11,13,0.059,0.034,0.479,0.395,34,NA,0.004
SEP,11,14,0.062,0.04,0.479,0.405,34,NA,0.004
SEP,11,15,0.06,0.046,0.479,0.411,35,NA,0.004
SEP,11,16,0.058,0.05,0.479,0.394,37,NA,0.004
SEP,11,17,0.055,0.054,0.479,0.37,40,NA,0.006
SEP,11,18,0.052,0.056,0.479,0.4,37,NA,0.005
SEP,11,19,0.04,0.055,0.479,0.421,34,NA,0.01
SEP,11,20,0.032,0.052,0.479,0.393,25,NA,0.01
SEP,11,21,0.038,0.049,0.479,0.383,21,NA,0.007
SEP,11,22,0.038,0.046,0.479,0.474,25,NA,0.006
SEP,11,23,0.039,0.044,0.479,0.525,24,NA,0.005
SEP,12,0,0.044,0.042,0.479,0.515,22,NA,0.002
SEP,12,1,0.056,0.042,0.479,0.511,22,NA,0.007
SEP,12,2,0.031,0.04,0.479,0.465,31,NA,0.007
SEP,12,3,0.02,0.037,0.479,0.433,26,NA,0.014
SEP,12,4,0.019,0.036,0.479,0.418,24,NA,0.015
SEP,12,5,0.026,0.034,0.479,0.416,25,NA,0.01
SEP,12,6,0.029,0.033,0.479,0.318,24,NA,0.008
SEP,12,7,0.022,0.031,0.479,0.286,24,NA,0.018
SEP,12,8,0.022,0.028,0.479,0.37,32,NA,0.018
SEP,12,9,0.033,0.025,0.479,0.42,35,NA,0.014
SEP,12,10,0.04,0.026,0.479,0.44,36,NA,0.006
SEP,12,11,0.049,0.03,0.479,0.484,33,NA,0.003
SEP,12,12,0.053,0.034,0.479,0.528,33,NA,0.005
SEP,12,13,0.054,0.038,0.479,0.548,35,NA,0.006
SEP,12,14,NA,NA,0.479,0.587,NA,NA,NA
SEP,12,15,NA,NA,0.479,0.593,NA,NA,NA
SEP,12,16,NA,NA,0.479,NA,NA,NA,NA
SEP,12,17,NA,NA,0.479,NA,NA,NA,NA
