DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
OCTUBRE ,1,0,NA,NA,NA,0.331,NA ,NA,NA
OCTUBRE ,1,1,0.029,NA,NA,0.321,28,17,0.005
OCTUBRE,1,2,0.031,NA,NA,0.314,21,13,0.003
OCTUBRE,1,3,0.031,NA,NA,0.311,19,11,0.003
OCTUBRE,1,4,0.036,NA,NA,0.292,14,11,0.001
OCTUBRE,1,5,0.036,NA,NA,0.288,11,12,NA
OCTUBRE,1,6,0.036,NA,NA,0.279,12,12,NA
OCTUBRE,1,7,0.036,NA,NA,0.265,11,14,NA
OCTUBRE,1,8,0.034,0.033,NA,0.269,10,12,0.002
OCTUBRE,1,9,0.036,0.034,NA,0.269,11,15,0.002
OCTUBRE,1,10,0.04,0.036,NA,0.271,13,18,NA
OCTUBRE,1,11,0.041,0.037,NA,0.277,15,17,0.002
OCTUBRE,1,12,0.045,0.038,NA,0.284,17,20,0.002
OCTUBRE,1,13,0.049,0.04,NA,0.294,19,22,0.003
OCTUBRE,1,14,0.049,0.041,NA,0.308,20,23,0.004
OCTUBRE,1,15,0.048,0.043,NA,0.314,16,21,NA
OCTUBRE,1,16,0.046,0.044,NA,0.319,16,18,0.002
OCTUBRE,1,17,0.046,0.046,NA,0.321,14,16,0.002
OCTUBRE,1,18,0.044,0.046,NA,0.316,15,13,0.001
OCTUBRE,1,19,0.039,0.046,NA,0.311,13,13,0.002
OCTUBRE,1,20,0.033,0.044,NA,0.312,15,11,0.004
OCTUBRE,1,21,0.032,0.042,NA,0.309,15,8,0.004
OCTUBRE,1,22,0.033,0.04,NA,0.295,14,8,0.001
OCTUBRE,1,23,0.033,0.038,NA,0.286,13,7,0.003
OCTUBRE,2,0,0.034,0.037,0.01,0.272,NA ,NA,0.002
OCTUBRE,2,1,0.031,0.035,0.01,0.265,7,6,0.002
OCTUBRE,2,2,0.029,0.033,0.01,0.267,9,7,0.004
OCTUBRE,2,3,0.029,0.032,0.01,0.264,8,5,0.002
OCTUBRE,2,4,0.027,0.031,0.01,0.256,11,4,0.003
OCTUBRE,2,5,0.03,0.031,0.01,0.251,10,7,0.001
OCTUBRE,2,6,0.027,0.03,0.01,0.253,9,10,0.002
OCTUBRE,2,7,0.021,0.029,0.01,0.271,10,11,0.006
OCTUBRE,2,8,0.015,0.026,0.01,0.335,16,12,0.014
OCTUBRE,2,9,0.022,0.025,0.012,0.364,24,15,0.009
OCTUBRE,2,10,0.034,0.026,0.012,0.373,20,18,0.001
OCTUBRE,2,11,0.039,0.027,0.012,0.384,17,14,0.002
OCTUBRE,2,12,0.047,0.029,0.012,0.401,17,17,0.002
OCTUBRE,2,13,0.053,0.032,0.011,0.419,21,20,0.003
OCTUBRE,2,14,0.053,0.036,0.011,0.443,23,21,0.006
OCTUBRE,2,15,0.054,0.04,0.011,0.453,23,22,0.005
OCTUBRE,2,16,0.054,0.045,0.012,0.416,26,22,0.006
OCTUBRE,2,17,0.056,0.049,0.012,0.411,25,22,0.005
OCTUBRE,2,18,0.052,0.051,0.012,0.429,28,23,0.007
OCTUBRE,2,19,0.041,0.051,0.013,0.479,31,26,0.016
OCTUBRE,2,20,0.021,0.048,0.013,0.566,34,22,0.025
OCTUBRE,2,21,0.027,0.045,0.013,0.565,33,18,0.004
OCTUBRE,2,22,0.029,0.042,0.013,0.544,23,15,0.001
OCTUBRE,2,23,0.025,0.038,0.013,0.523,19,11,0.003
OCTUBRE,3,0,0.025,0.035,0.013,0.501,15,9,0.002
OCTUBRE,3,1,0.022,0.03,0.012,0.48,19,9,0.003
OCTUBRE,3,2,0.021,0.026,0.012,0.453,16,9,0.003
OCTUBRE,3,3,0.019,0.024,0.013,0.395,18,9,0.004
OCTUBRE,3,4,0.018,0.023,0.013,0.292,15,13,0.005
OCTUBRE,3,5,0.023,0.023,0.013,0.274,13,12,0.002
OCTUBRE,3,6,0.02,0.022,0.013,0.27,10,12,0.004
OCTUBRE,3,7,0.014,0.02,0.014,0.274,17,12,0.009
OCTUBRE,3,8,0.015,0.019,0.015,0.3,19,17,0.011
OCTUBRE,3,9,0.024,0.019,0.013,0.319,18,18,0.006
OCTUBRE,3,10,0.031,0.02,0.013,0.33,17,17,0.003
OCTUBRE,3,11,0.034,0.022,0.014,0.345,19,16,0.004
OCTUBRE,3,12,0.044,0.026,0.013,0.361,17,28,0.003
OCTUBRE,3,13,0.049,0.029,0.013,0.39,21,25,0.008
OCTUBRE,3,14,0.054,0.033,0.013,0.413,22,25,0.004
OCTUBRE,3,15,0.051,0.038,0.013,0.43,20,24,0.003
OCTUBRE,3,16,0.055,0.043,0.013,0.426,21,21,0.006
OCTUBRE,3,17,0.051,0.046,0.012,0.42,26,20,0.005
OCTUBRE,3,18,0.035,0.047,0.012,0.449,24,16,0.008
OCTUBRE,3,19,0.023,0.045,0.012,0.484,22,16,0.012
OCTUBRE,3,20,0.015,0.042,0.012,0.527,32,14,0.014
OCTUBRE,3,21,0.013,0.037,0.012,0.546,25,22,0.01
OCTUBRE,3,22,0.026,0.034,0.013,0.54,16,19,0.004
OCTUBRE,3,23,0.026,0.031,0.012,0.53,12,16,0.004
OCTUBRE,4,0,0.022,0.026,0.012,0.514,9,12,0.004
OCTUBRE,4,1,0.022,0.023,0.012,0.501,11,10,0.003
OCTUBRE,4,2,0.024,0.021,0.011,0.462,8,11,0.002
OCTUBRE,4,3,0.017,0.021,0.01,0.41,10,9,0.006
OCTUBRE,4,4,0.018,0.021,0.01,0.35,10,15,0.005
OCTUBRE,4,5,0.007,0.02,0.01,0.307,13,11,0.008
OCTUBRE,4,6,0.008,0.018,0.01,0.296,15,11,0.009
OCTUBRE,4,7,0.008,0.016,0.009,0.315,15,14,0.011
OCTUBRE,4,8,0.008,0.014,0.008,0.368,19,16,0.012
OCTUBRE,4,9,0.009,0.012,0.008,0.409,21,22,0.012
OCTUBRE,4,10,0.012,0.011,0.007,0.442,22,21,0.009
OCTUBRE,4,11,0.02,0.011,0.008,0.465,25,21,0.01
OCTUBRE,4,12,0.033,0.013,0.008,0.49,25,26,0.007
OCTUBRE,4,13,0.039,0.017,0.007,0.506,19,21,0.005
OCTUBRE,4,14,0.04,0.021,0.007,0.516,16,21,0.004
OCTUBRE,4,15,0.04,0.025,0.006,0.501,11,13,0.005
OCTUBRE,4,16,0.032,0.028,0.006,0.491,16,10,0.01
OCTUBRE,4,17,0.026,0.03,0.006,0.5,22,10,0.01
OCTUBRE,4,18,0.026,0.032,0.006,0.512,20,14,0.007
OCTUBRE,4,19,0.021,0.032,0.006,0.535,21,17,0.008
OCTUBRE,4,20,0.016,0.03,0.005,0.575,18,16,0.011
OCTUBRE,4,21,0.017,0.027,0.005,0.6,16,14,0.013
OCTUBRE,4,22,0.015,0.024,0.005,0.629,18,12,0.011
OCTUBRE,4,23,0.013,0.021,0.005,0.645,18,11,0.009
OCTUBRE,5,0,0.014,0.019,0.005,0.611,17,14,0.008
OCTUBRE,5,1,0.01,0.016,0.005,0.576,16,19,0.01
OCTUBRE,5,2,0.01,0.014,0.005,0.543,19,18,0.009
OCTUBRE,5,3,0.01,0.013,0.005,0.507,20,16,0.012
OCTUBRE,5,4,0.008,0.012,0.005,0.449,19,19,0.008
OCTUBRE,5,5,0.01,0.011,0.005,0.416,19,16,0.012
OCTUBRE,5,6,0.008,0.01,0.005,0.387,21,16,0.014
OCTUBRE,5,7,0.008,0.01,0.006,0.394,22,23,0.012
OCTUBRE,5,8,0.008,0.009,0.006,0.445,25,19,0.011
