DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,1,0,0.029,0.039,0.02,0.35,17,NA,0.004
NOVIEMBRE,1,1,0.028,0.035,0.02,0.34,14,NA,0.004
NOVIEMBRE,1,2,0.027,0.032,0.02,0.34,10,NA,0.003
NOVIEMBRE,1,3,0.026,0.030,0.02,0.32,8,NA,0.003
NOVIEMBRE,1,4,0.026,0.028,0.02,0.32,8,NA,0.002
NOVIEMBRE,1,5,0.025,0.027,0.02,0.31,5,NA,0.003
NOVIEMBRE,1,6,0.026,0.027,0.02,0.3,4,NA,0.001
NOVIEMBRE,1,7,0.025,0.026,0.02,0.299,4,NA,0.001
NOVIEMBRE,1,8,0.024,0.026,0.01,0.304,3,NA,0.002
NOVIEMBRE,1,9,0.025,0.025,0.01,0.307,4,NA,0.002
NOVIEMBRE,1,10,0.027,0.025,0.01,0.312,4,NA,0.001
NOVIEMBRE,1,11,0.030,0.026,0.01,0.316,8,3,0.001
NOVIEMBRE,1,12,0.034,0.027,0.01,0.316,8,5,0.001
NOVIEMBRE,1,13,0.037,0.028,0.01,0.319,8,8,0.002
NOVIEMBRE,1,14,0.041,0.030,0.01,0.327,9,11,0.001
NOVIEMBRE,1,15,0.042,0.032,0.01,0.331,11,10,0.002
NOVIEMBRE,1,16,0.043,0.035,0.01,0.333,11,10,0.001
NOVIEMBRE,1,17,0.042,0.037,NA,0.335,14,10,0.002
NOVIEMBRE,1,18,0.043,0.039,NA,0.336,18,11,0.003
NOVIEMBRE,1,19,0.036,0.040,NA,0.342,17,12,0.005
NOVIEMBRE,1,20,0.031,0.039,NA,0.347,15,10,0.005
NOVIEMBRE,1,21,0.028,0.038,NA,0.348,16,6,0.004
NOVIEMBRE,1,22,0.025,0.036,NA,0.346,16,3,0.005
NOVIEMBRE,1,23,0.025,0.034,NA,0.344,14,2,0.005
NOVIEMBRE,2,0,0.025,0.032,NA,0.341,15,3,0.005
NOVIEMBRE,2,1,0.026,0.030,NA,0.334,12,4,0.005
NOVIEMBRE,2,2,0.027,0.028,NA,0.327,8,4,0.004
NOVIEMBRE,2,3,0.027,0.027,NA,0.316,7,4,0.004
NOVIEMBRE,2,4,0.023,0.026,NA,0.307,7,6,0.006
NOVIEMBRE,2,5,0.025,0.025,NA,0.301,7,9,0.005
NOVIEMBRE,2,6,0.026,0.025,0.01,0.295,5,9,0.003
NOVIEMBRE,2,7,0.025,0.025,0.01,0.29,5,7,0.005
NOVIEMBRE,2,8,0.025,0.025,0.01,0.29,6,6,0.004
NOVIEMBRE,2,9,0.025,0.025,0.01,0.294,5,5,0.006
NOVIEMBRE,2,10,0.029,0.025,0.01,0.296,10,5,0.003
NOVIEMBRE,2,11,0.030,0.026,0.01,0.302,12,8,0.004
NOVIEMBRE,2,12,0.034,0.027,0.01,0.314,16,10,0.004
NOVIEMBRE,2,13,0.040,0.029,0.01,0.324,18,15,0.005
NOVIEMBRE,2,14,0.048,0.032,0.01,0.346,19,18,0.004
NOVIEMBRE,2,15,0.051,0.035,0.01,0.355,16,14,0.002
NOVIEMBRE,2,16,0.056,0.039,0.01,0.358,12,15,0.001
NOVIEMBRE,2,17,0.053,0.043,0.01,0.357,15,13,0.001
NOVIEMBRE,2,18,0.048,0.045,0.01,0.363,18,16,0.002
NOVIEMBRE,2,19,0.041,0.046,0.01,0.379,17,16,0.008
NOVIEMBRE,2,20,0.039,0.047,0.01,0.381,18,14,0.007
NOVIEMBRE,2,21,0.036,0.046,0.01,0.381,17,13,0.006
NOVIEMBRE,2,22,0.032,0.045,0.01,0.367,21,13,0.007
NOVIEMBRE,2,23,0.026,0.042,0.02,0.363,21,12,0.011
NOVIEMBRE,3,0,0.027,0.038,0.02,0.362,24,14,0.008
NOVIEMBRE,3,1,0.024,0.034,0.02,0.356,30,15,0.010
NOVIEMBRE,3,2,0.025,0.031,0.02,0.343,26,19,0.009
NOVIEMBRE,3,3,0.025,0.029,0.03,0.316,19,15,0.007
NOVIEMBRE,3,4,0.027,0.028,0.03,0.296,16,13,0.003
NOVIEMBRE,3,5,0.023,0.026,0.03,0.283,18,13,0.004
NOVIEMBRE,3,6,0.019,0.024,0.03,0.274,20,18,0.006
NOVIEMBRE,3,7,0.013,0.023,0.03,0.278,27,17,0.010
NOVIEMBRE,3,8,0.015,0.021,0.03,0.284,24,23,0.012
NOVIEMBRE,3,9,0.019,0.021,0.04,0.298,27,24,0.009
NOVIEMBRE,3,10,0.025,0.021,0.04,0.313,24,23,0.007
NOVIEMBRE,3,11,0.032,0.022,0.04,0.331,25,23,0.007
NOVIEMBRE,3,12,0.038,0.023,0.04,0.347,20,20,0.005
NOVIEMBRE,3,13,0.045,0.026,0.04,0.353,16,18,0.003
NOVIEMBRE,3,14,0.046,0.029,0.04,0.362,14,16,0.003
NOVIEMBRE,3,15,0.046,0.033,0.04,0.357,13,15,0.003
NOVIEMBRE,3,16,0.047,0.037,0.04,0.349,10,13,0.003
NOVIEMBRE,3,17,0.045,0.041,0.04,0.347,13,13,0.004
