DATOS HORARIOS 2010_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,ENE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2010,ENE,1,1,NA,15.26,NA,2.29,376.37,1.12,121.22,17.4,42.05,629.04,2.87,,
2010,ENE,1,2,NA,14.52,NA,2.32,382.54,1.17,128.37,16.28,46.7,629.02,2.91,,
2010,ENE,1,3,NA,14.09,NA,2.32,362.31,1.65,85.4,16.2,47.43,628.88,2.97,,
2010,ENE,1,4,NA,13.68,NA,2.3,267.72,1.26,88.17,15.18,52.09,628.51,2.92,,
2010,ENE,1,5,NA,13.1,NA,2.27,67.04,1.77,81.65,14.55,56.31,628.83,2.92,,
2010,ENE,1,6,NA,12.8,NA,2.22,38.99,2.79,85.93,14.62,60.93,629.31,3.01,,
2010,ENE,1,7,NA,12.54,NA,2.13,24.99,3.57,79.08,14.33,65.29,629.57,2.98,,
2010,ENE,1,8,NA,12.44,NA,2.01,24.38,3.78,74.23,14.6,63.81,629.84,21,,
2010,ENE,1,9,NA,12.38,NA,1.9,17.2,4.22,74.78,15.35,60.96,630.5,193.34,,
2010,ENE,1,10,NA,12.27,NA,1.77,47.23,5.38,64.3,16.9,55.12,631.14,391.89,,
2010,ENE,1,11,NA,12.2,NA,1.61,82.06,5.51,89.53,17.68,50.7,631.43,391.4,,
2010,ENE,1,12,NA,12.16,NA,1.46,101.96,5.68,88.69,18.22,47.21,630.93,425.91,,
2010,ENE,1,13,NA,12.2,NA,1.33,38.38,5.08,82.32,19.23,43.07,629.98,460.17,,
2010,ENE,1,14,NA,12.24,NA,1.22,37.39,4.48,88.23,19.57,42.52,628.83,323.83,,
2010,ENE,1,15,NA,12.22,NA,1.14,35.84,4.55,90.82,19.83,42.69,627.91,396.44,,
2010,ENE,1,16,NA,12.25,NA,1.06,38.05,4.35,101.99,19.55,43.77,627.58,244.06,,
2010,ENE,1,17,NA,12.3,NA,1.01,42.09,4.15,103.84,18.53,46.44,627.59,89.82,,
2010,ENE,1,18,NA,12.35,NA,0.95,33,3.66,91.34,17.79,47.49,627.71,31.73,,
2010,ENE,1,19,NA,12.35,NA,0.92,43.16,3.56,92.03,17.09,49.54,627.96,4.88,,
2010,ENE,1,20,NA,12.35,NA,0.9,46.07,3.82,92.86,15.77,52.29,628.43,2.92,,
2010,ENE,1,21,NA,12.3,NA,0.91,39,4.04,96.38,14.74,54.88,628.96,2.88,, 
2010,ENE,1,22,NA,12.21,NA,0.9,32.45,4.26,100.04,14.22,56.27,629.26,3.03,,
2010,ENE,1,23,NA,12.27,NA,1.11,24.79,3.76,95.89,13.72,56.35,629.27,3.12,,
2010,ENE,2,0,NA,12.25,NA,1.12,18.77,3.53,92.95,12.94,55.28,629.4,2.78,,
2010,ENE,2,1,NA,12.18,NA,1.1,19.37,3.35,94.55,12.19,56.66,629.43,3.26,,
2010,ENE,2,2,NA,12.16,NA,1.1,12.34,3.23,86.69,12.05,56.89,628.96,3.24,,
2010,ENE,2,3,NA,12.1,NA,1.08,10.34,3.1,99,11.65,58.7,628.48,3.23,,
2010,ENE,2,4,NA,12.14,NA,1.05,10.04,3.24,99.11,11.14,60.65,628.26,3.07,,
2010,ENE,2,5,NA,12.1,NA,1.05,11.52,3.34,102.92,10.78,63.36,628.24,3.26,,
2010,ENE,2,6,NA,12.17,NA,1.02,12.1,2.63,90.34,10.33,67.11,628.16,3.31,,
2010,ENE,2,7,NA,12.34,NA,1.02,16.02,2.44,98.54,10.25,66.64,628.26,3.17,,
2010,ENE,2,8,NA,12.41,NA,1.01,24.75,2.53,107.82,10.03,69.36,628.72,11.44,,
2010,ENE,2,9,NA,12.36,NA,1,35.06,2.89,106.23,10.37,67.83,629.06,70.32,,
2010,ENE,2,10,NA,12.5,NA,1.01,29.63,3.05,92.39,11.61,63.57,629.31,249.96,,
2010,ENE,2,11,NA,12.89,NA,1.03,36.8,1.96,97.38,13.68,56.28,629.29,342.56,,
2010,ENE,2,12,NA,13.02,NA,1.07,37.54,2.46,296.16,14.43,53.45,629.36,227.2,,
2010,ENE,2,13,NA,13.52,NA,1.12,56.92,3.26,302.96,14.52,53.82,628.62,192.12,,
2010,ENE,2,14,NA,13.14,NA,1.19,45.59,2.78,274.21,14.84,58,627.72,292.01,,
2010,ENE,2,15,NA,13.03,NA,1.23,45.86,3.29,282.61,14.52,63.49,626.87,182.64,,
2010,ENE,2,16,NA,12.68,NA,1.25,36.88,3.82,300.78,13.87,75.64,626.49,78.81,,
2010,ENE,2,17,NA,12.45,NA,1.31,26.71,3.11,269.34,13.31,83.63,627.02,24.38,,
2010,ENE,2,18,NA,12.4,NA,1.32,26.53,2.13,272.82,12.88,92.57,627.48,14.75,,
2010,ENE,2,19,NA,12.45,NA,1.35,23.62,1.74,265.73,12.87,94.11,627.99,4.03,,
2010,ENE,2,20,NA,12.49,NA,1.37,23.01,2.75,308.81,12.8,94.87,627.7,3.03,,
2010,ENE,2,21,NA,12.44,NA,1.41,26.26,1.81,272.65,12.72,NA,628.3,3.03,,
2010,ENE,2,22,NA,12.42,NA,1.43,19.81,1.39,249.49,12.47,NA,628.8,3.25,,
2010,ENE,2,23,NA,12.45,NA,1.34,17.26,1.2,245.44,12.19,NA,629.07,3.16,,
2010,ENE,3,0,NA,12.49,NA,1.33,14.37,0.91,233.16,12.08,NA,628.55,3.18,,
2010,ENE,3,1,NA,12.48,NA,1.34,15.79,0.73,226.22,12.05,NA,628.05,3.13,,
2010,ENE,3,2,NA,12.43,NA,1.34,17.07,0.39,243.63,12.14,NA,627.15,3.08,,
2010,ENE,3,3,NA,12.48,NA,1.31,14.52,1.35,288.56,12,NA,626.77,3.23,,
2010,ENE,3,4,NA,12.41,NA,1.29,13.32,1.35,299.96,11.9,NA,626.26,3.06,,
2010,ENE,3,5,NA,12.44,NA,1.29,17.25,1.93,303.5,11.74,99.53,626.12,3.23,,
2010,ENE,3,6,NA,12.4,NA,1.24,11.24,1.21,254.98,11.54,95.78,626.43,3.19,,
2010,ENE,3,7,NA,12.38,NA,1.21,3.93,0.86,252.23,11.3,96.56,626.51,3.07,,
2010,ENE,3,8,NA,12.41,NA,1.17,8.07,1.52,135.38,11.21,NA,626.44,5.72,,
2010,ENE,3,9,NA,12.4,NA,1.16,7.36,1.26,123.11,11.36,NA,626.86,35.59,,
2010,ENE,3,10,NA,12.46,NA,1.12,9.83,1.21,140.16,11.78,NA,627.46,141.89,,
2010,ENE,3,11,NA,12.48,NA,1.11,7.8,0.9,137.83,12.82,NA,627.71,411.26,,
2010,ENE,3,12,NA,12.49,NA,1.12,26.17,0.71,170.3,14.23,89.67,627.38,352.73,,
2010,ENE,3,13,NA,12.56,NA,1.11,27.9,1.22,277.25,15.67,68.07,626.62,553.74,,
2010,ENE,3,14,NA,12.59,NA,1.12,19.56,1.36,228.04,16.52,60.89,625.67,412.75,,
2010,ENE,3,15,NA,12.53,NA,1.12,19.44,1.55,225.79,17.24,56.96,624.85,533.56,,
2010,ENE,3,16,NA,12.49,NA,1.09,13.81,1.92,233.67,18.35,50.69,624.45,536.8,,
2010,ENE,3,17,NA,12.49,NA,1.06,12.61,1.24,253.19,18.84,47.89,624.24,362.87,,
2010,ENE,3,18,NA,12.46,NA,1.04,16.89,1.3,257.47,18.92,45.49,624.3,152.15,,
2010,ENE,3,19,NA,12.52,NA,1.01,19.77,1.03,292.47,18.37,49.27,625.04,6.47,,
2010,ENE,3,20,NA,12.69,NA,1.05,52.92,2.27,313.24,17,53.69,625.66,2.86,,
2010,ENE,3,21,NA,23.93,NA,1.12,35.21,3.48,69.65,16.33,51.17,626.27,2.95,,
2010,ENE,3,22,NA,15.28,NA,1.17,22.65,1.82,82.11,14.58,60.36,626.96,3.04,,
2010,ENE,3,23,NA,13.67,NA,1.37,26.63,2.41,72.89,13.46,65.12,627.23,3.13,,
2010,ENE,4,0,NA,13.23,NA,1.37,19.9,2.13,80.12,12.7,68,627.2,3.01,,
2010,ENE,4,1,NA,12.99,NA,1.36,10.6,2.51,82.11,13,66.08,627.35,3.23,,
2010,ENE,4,2,NA,12.73,NA,1.33,9.45,2.62,87.87,12.56,65.46,627.34,3.12,,
2010,ENE,4,3,NA,12.59,NA,1.3,5.88,2.52,80.34,11.85,68.91,627.14,3.16,,
2010,ENE,4,4,NA,12.51,NA,1.26,7.96,2.56,93.24,11.46,70.13,626.77,3.06,,
2010,ENE,4,5,NA,12.49,NA,1.2,7.1,1.9,101.24,11.15,70.88,626.78,3.09,,
2010,ENE,4,6,NA,12.43,NA,1.16,8.35,1.97,104.08,10.61,72.7,627.2,3.15,,
2010,ENE,4,7,NA,12.4,NA,1.12,16.54,2.06,85.14,10.08,74.69,627.73,3.26,,
2010,ENE,4,8,NA,12.4,NA,1.08,17.97,2.65,91.28,10,74.16,628.38,12.86,,
2010,ENE,4,9,NA,12.37,NA,1.04,22.7,3.33,87.54,10.53,73.39,629.33,170.95,,
2010,ENE,4,10,NA,12.3,NA,1.03,20.71,5.3,76.9,12.26,64.69,629.79,332.67,,
2010,ENE,4,11,NA,12.29,NA,1.04,20.93,5.06,69.66,13.36,59.4,629.78,378.82,,
2010,ENE,4,12,NA,12.29,NA,1.03,18.67,5.37,64.77,14.7,54.01,629.67,600.9,,
2010,ENE,4,13,NA,12.29,NA,1.02,18.77,4.41,73.94,15.84,48.94,628.87,519.87,,
2010,ENE,4,14,NA,12.3,NA,1.04,18.3,4.06,73.55,17.09,41.75,627.91,531.29,,
2010,ENE,4,15,NA,12.29,NA,1.04,20.42,3.55,69,18.09,36.25,627.2,531.95,,
2010,ENE,4,16,NA,12.29,NA,1.02,16.39,3.46,82.77,18.79,31.03,626.75,387.05,,
2010,ENE,4,17,NA,12.29,NA,1.02,20.7,3.45,89.51,19.2,28.13,626.54,304.04,,
2010,ENE,4,18,NA,12.31,NA,1.03,23.13,3.28,71.76,18.47,35.28,626.72,86.4,,
2010,ENE,4,19,NA,12.52,NA,1.02,26.8,3.03,69.09,17.13,42.76,627.18,9.26,,
2010,ENE,4,20,NA,12.38,NA,1.05,34.14,3.39,78.67,15.22,51.49,628.12,2.96,,
2010,ENE,4,21,NA,12.32,NA,1.08,24.79,3.61,77.85,13.21,59.08,629.11,3.08,,
2010,ENE,4,22,NA,12.33,NA,1.1,20.1,4.15,70.76,11.72,63.89,629.59,3.14,,
2010,ENE,4,23,NA,12.33,NA,1.12,15.71,4.13,82.67,11.03,66.1,629.93,3.12,,
2010,ENE,5,0,NA,12.31,NA,1.1,12.84,4.62,76.06,10.59,67.52,630.15,3.14,,
2010,ENE,5,1,NA,12.3,NA,1.08,7.5,3.73,70.18,10.05,68.54,630.32,3.39,,
2010,ENE,5,2,NA,12.3,NA,1.05,5.64,3.1,76.46,9.84,68.23,629.98,3.18,,
2010,ENE,5,3,NA,12.3,NA,1.04,3.95,2.6,79.49,9.43,69.44,629.54,3.43,,
2010,ENE,5,4,NA,12.27,NA,1.02,4.9,2.19,80.42,9.01,70.63,629.41,3.38,,
2010,ENE,5,5,NA,12.29,NA,0.98,9.43,2.04,96.4,8.7,71.93,629.27,3.34,,
2010,ENE,5,6,NA,12.3,NA,0.97,4.23,2.11,95.9,8.3,74.62,629.31,3.34,,
2010,ENE,5,7,NA,12.33,NA,0.96,10.09,2.11,92.06,8.16,74.86,629.61,3.26,,
2010,ENE,5,8,NA,12.4,NA,0.95,15.85,2.27,83.82,7.97,75.65,630.02,13.33,,
2010,ENE,5,9,NA,12.45,NA,0.95,19.04,2.23,91.31,8.5,74.24,630.51,95.64,,
2010,ENE,5,10,NA,12.45,NA,0.97,18.53,2.95,83.09,10.74,66.47,630.97,278.68,,
2010,ENE,5,11,NA,12.45,NA,0.98,17.6,3.71,83.67,12.05,60.66,631.11,372.56,,
2010,ENE,5,12,NA,13.56,NA,NA,18.85,3.38,84.85,12.87,58.56,630.78,381.76,,
2010,ENE,5,13,NA,11.64,NA,1.6,28.22,3.4,89.06,13.97,54.78,629.97,454.32,,
2010,ENE,5,14,NA,11.35,NA,1.21,21.71,3.12,97.5,15.1,51.28,628.95,398.55,,
