DATOS HORARIOS 2010_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,MZO,1,0,NA,13.25,NA,NA,21.5,1.86,229.67,16.02,38.07,623.95,12.69,,
2010,MZO,1,1,NA,13.39,NA,NA,19.14,1.43,253.83,14.82,44.39,623.78,3.25,,
2010,MZO,1,2,NA,13.23,NA,NA,18.28,0.75,265.26,14.36,47.34,623.93,3.39,,
2010,MZO,1,3,NA,13.16,NA,NA,16.58,1.25,249.36,13.5,51.06,623.77,3.44,,
2010,MZO,1,4,NA,13.2,NA,NA,12.3,1.05,264.9,12.5,54.51,623.75,3.45,,
2010,MZO,1,5,NA,13.12,NA,NA,15.62,0.84,257.97,11.94,54.9,623.81,3.64,,
2010,MZO,1,6,NA,13.02,NA,NA,21.84,1.24,246.77,11.63,53.35,623.97,3.36,,
2010,MZO,1,7,NA,13.1,NA,NA,23.67,1.13,266.22,11.12,56.32,624.62,3.64,,
2010,MZO,1,8,NA,12.94,NA,NA,69.5,0.94,240.96,10.8,59.66,625.06,63.42,,
2010,MZO,1,9,NA,13.54,NA,NA,107.78,1.03,266.94,12.45,59.89,625.72,286.44,,
2010,MZO,1,10,NA,13.69,NA,NA,54.97,2.18,277.68,14.09,51.89,626.18,524.61,,
2010,MZO,1,11,NA,13.63,NA,NA,20.43,2.02,265.44,16.66,42.22,626.12,725.85,,
2010,MZO,1,12,NA,13.43,NA,NA,27.2,2.9,237.86,19.37,27.1,625.53,876.62,,
2010,MZO,1,13,NA,13.46,NA,NA,38.05,4.11,245.81,21.57,15.41,624.64,961.59,,
2010,MZO,1,14,NA,13.07,NA,NA,60.53,5,259.01,22.72,14.88,623.97,849.67,,
2010,MZO,1,15,NA,12.89,NA,NA,60.26,4.46,251.66,23.92,13.89,623.03,883.54,,
2010,MZO,1,16,NA,12.53,NA,NA,53.11,4.87,254.52,24.55,11.74,622.26,747.12,,
2010,MZO,1,17,NA,12.67,NA,NA,47.28,4.23,250.29,24.68,12.13,622,542.36,,
2010,MZO,1,18,NA,12.53,NA,NA,37.17,3.94,239.36,24.37,12.62,622.04,305.34,,
2010,MZO,1,19,NA,12.56,NA,NA,43.92,2.67,226.37,23.09,13.64,622.42,76.23,,
2010,MZO,1,20,NA,12.6,NA,NA,46.53,2.3,231.35,21.5,13.92,622.78,3.02,,
2010,MZO,1,21,NA,12.57,NA,NA,37.96,1.97,262.09,19.5,18.59,623.48,2.99,, 
2010,MZO,1,22,NA,12.89,NA,NA,55.76,0.99,249.53,18.06,22.55,624.27,3.18,,
2010,MZO,1,23,NA,13.3,NA,NA,56.3,0.89,189.76,17.33,24.79,624.91,3.17,,
2010,MZO,2,0,NA,13.85,NA,NA,75.69,0.63,183.06,15.07,33.33,625.17,3.29,,
2010,MZO,2,1,NA,14.49,NA,NA,53.26,0.58,245.96,15.46,36.35,625.02,3.25,,
2010,MZO,2,2,NA,14.12,NA,NA,37.39,1.02,270.66,14.78,41.98,624.73,3.15,,
2010,MZO,2,3,NA,13.81,NA,NA,22.93,1.05,266.12,13.78,46.27,624.62,3.49,,
2010,MZO,2,4,NA,13.88,NA,NA,30.62,0.73,152.12,12.32,51.43,624.44,3.41,,
2010,MZO,2,5,NA,15.99,NA,NA,37.56,0.53,115.66,10.94,54.07,624.31,3.45,,
2010,MZO,2,6,NA,18.2,NA,NA,61.96,0.28,88.66,11.17,55.81,624.36,3.39,,
2010,MZO,2,7,NA,20.29,NA,NA,62.58,0.29,101.5,11,55.38,624.6,3.74,,
2010,MZO,2,8,NA,22.28,NA,NA,77.57,0.5,105.61,10.15,59.12,625.21,58.47,,
2010,MZO,2,9,NA,25.38,NA,NA,110.7,0.75,130.64,11.02,57.71,625.79,267.88,,
