DATOS HORARIOS 2010_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,JUN,1,0,NA,14.86,NA,NA,87.45,1.77,99.26,22.67,22.23,626.41,2.95,,
2010,JUN,1,1,NA,21.94,NA,NA,166.17,2.77,90.9,22.68,40.48,626.85,2.92,,
2010,JUN,1,2,NA,19.3,NA,NA,87.76,2.28,110.89,21.14,55.29,627.03,3.09,,
2010,JUN,1,3,NA,16.53,NA,NA,65.49,2.52,110.84,20.65,60.64,626.81,3.03,,
2010,JUN,1,4,NA,16.23,NA,NA,56.6,1.69,136.59,18.73,64.19,626.89,3.14,,
2010,JUN,1,5,NA,16.35,NA,NA,66.49,1.45,141.78,18.11,67.14,627.09,3,,
2010,JUN,1,6,NA,16.47,NA,NA,61.6,1.39,130.92,17.83,68.98,627.48,3.44,,
2010,JUN,1,7,NA,16.55,NA,NA,89.07,1.12,85.11,18.29,69.41,627.85,38.77,,
2010,JUN,1,8,NA,15.77,NA,NA,114.94,1.14,99.6,21.72,60.77,628.17,212.99,,
2010,JUN,1,9,NA,15.7,NA,NA,91.7,2.54,93.69,23.79,52.42,628.37,429.26,,
2010,JUN,1,10,NA,17.31,NA,NA,79.62,1.97,138.73,26.81,40.62,628.37,632.22,,
2010,JUN,1,11,NA,21.15,NA,NA,45.02,1.35,200.14,30.25,27.17,628.01,804.77,,
2010,JUN,1,12,NA,18.17,NA,NA,61.12,1.54,206.84,31.38,22,627.34,920.4,,
2010,JUN,1,13,NA,14.95,NA,NA,34.46,1.45,245.67,32.72,16.74,626.52,986.61,,
2010,JUN,1,14,NA,12.86,NA,NA,NA,2.44,262.32,33.22,11.12,625.61,997.05,,
2010,JUN,1,15,NA,12.58,NA,NA,NA,2.67,262.64,33.78,8.01,624.64,925.6,,
2010,JUN,1,16,NA,12.4,NA,NA,47.38,2.06,259.15,34.36,7.33,623.78,780.58,,
2010,JUN,1,17,NA,12.93,NA,NA,34.47,1.97,234.46,34.77,7.2,623.04,595.9,,
2010,JUN,1,18,NA,13.17,NA,NA,50.22,2.12,237.49,34.13,7.9,622.48,358.07,,
2010,JUN,1,19,NA,13.44,NA,NA,41,1.97,228.12,32.92,8.35,622.37,146.57,,
2010,JUN,1,20,NA,14.16,NA,NA,124.5,1.51,204.6,30.57,9.3,622.52,11.48,,
2010,JUN,1,21,NA,14.96,NA,NA,156.35,2.7,185.56,28.53,16.96,623.25,2.46,, 
2010,JUN,1,22,NA,15.27,NA,NA,109.77,1.98,204.93,27.58,21.62,623.98,2.38,,
2010,JUN,1,23,NA,15.64,NA,NA,73.2,1.03,160.31,25.93,23.89,624.88,2.72,,
2010,JUN,2,0,NA,16.83,NA,NA,75.16,1.47,132.23,24.76,27.66,625.84,2.69,,
2010,JUN,2,1,NA,21.06,NA,NA,56.83,1.42,143.4,23.4,29.47,625.94,2.79,,
2010,JUN,2,2,NA,20.53,NA,NA,55.08,1.22,200.36,22.95,30.78,625.52,2.98,,
2010,JUN,2,3,NA,16.3,NA,NA,52.39,0.79,204.3,21.63,33.45,625.21,2.93,,
2010,JUN,2,4,NA,14.82,NA,NA,55.46,1.01,187.61,20.6,36.98,625.2,3.09,,
2010,JUN,2,5,NA,14.34,NA,NA,67.6,0.92,201.67,20.13,40.46,625.28,3.17,,
2010,JUN,2,6,NA,15.16,NA,NA,60.48,0.92,235.35,19.24,42.16,625.59,3.14,,
2010,JUN,2,7,NA,14.79,NA,NA,100.14,1.6,265.05,19.53,44.15,626.04,43.66,,
2010,JUN,2,8,NA,14.12,NA,NA,104.9,1.71,266.79,23.05,39.43,626.52,223.47,,
2010,JUN,2,9,NA,13.63,NA,NA,83.2,2.17,264.45,26.08,32.97,626.9,440.53,,
2010,JUN,2,10,NA,13.34,NA,NA,37.49,2.95,268.94,27.91,26.55,626.88,649.5,,
2010,JUN,2,11,NA,13.01,NA,NA,65.69,2.21,260.85,30.24,20.49,626.53,813.67,,
2010,JUN,2,12,NA,12.91,NA,NA,NA,2.72,278.75,31.39,15.42,626.01,946.15,,
2010,JUN,2,13,NA,12.7,NA,NA,28,2.68,266.56,32.22,10.62,625.39,1006.65,,
2010,JUN,2,14,NA,12.63,NA,NA,NA,3.1,248.66,32.75,7.9,624.37,996.14,,
2010,JUN,2,15,NA,12.55,NA,NA,59.21,2.99,263.08,33.6,6.93,623.4,922.8,,
2010,JUN,2,16,NA,12.93,NA,NA,32.07,2.94,274.87,34.31,6.39,622.61,786.76,,
2010,JUN,2,17,NA,13.11,NA,NA,NA,3.06,267.66,34.32,4.3,621.96,604.01,,
2010,JUN,2,18,NA,13.95,NA,NA,37.19,3.27,252.68,33.69,3.72,621.78,386.65,,
2010,JUN,2,19,NA,14.2,NA,NA,68.06,3.52,242.87,32.28,4.23,621.99,160.93,,
2010,JUN,2,20,NA,14.91,NA,NA,64.74,2.67,256.33,29.59,5.21,622.3,13.32,,
2010,JUN,2,21,NA,15.41,NA,NA,58.79,2.06,241.55,27.07,6.1,622.85,2.51,,
2010,JUN,2,22,NA,15.74,NA,NA,123.97,2.26,228.78,26.26,8.82,623.44,2.65,,
2010,JUN,2,23,NA,15.51,NA,NA,87.38,1.95,219.83,25.34,16.34,624.07,2.6,,
2010,JUN,3,0,NA,15.27,NA,NA,66.69,0.64,220.04,22.65,19.29,624.73,2.81,,
2010,JUN,3,1,NA,15.63,NA,NA,82.47,1.09,262.47,22.39,25.37,624.63,2.85,,
2010,JUN,3,2,NA,15.36,NA,NA,61.06,1.71,249.88,22.01,30.37,624.16,2.94,,
2010,JUN,3,3,NA,14.59,NA,NA,66.62,1.88,248.69,21.6,34.92,623.81,3.13,,
2010,JUN,3,4,NA,14.36,NA,NA,53.23,1.33,261.34,20.43,39.26,623.84,3.15,,
2010,JUN,3,5,NA,14.16,NA,NA,65.99,1.2,289.28,19.53,42.52,624.04,3.15,,
2010,JUN,3,6,NA,14.77,NA,NA,71.24,1.11,262.43,18.8,45.71,624.56,3.37,,
2010,JUN,3,7,NA,14.9,NA,NA,130.33,0.85,250.32,19.06,47.44,625.09,40.1,,
2010,JUN,3,8,NA,15.79,NA,NA,124.21,1.11,255.15,23.33,42.33,625.69,219.65,,
2010,JUN,3,9,NA,14.89,NA,NA,84.04,2.04,252.86,26.19,33.02,625.89,442.56,,
2010,JUN,3,10,NA,13.74,NA,NA,36.3,2.44,250.66,28.51,26.14,625.71,660.35,,
2010,JUN,3,11,NA,13,NA,NA,NA,2.2,250.78,30.66,18.97,625.61,837.33,,
2010,JUN,3,12,NA,12.49,NA,NA,NA,2.52,270.93,31.06,14.39,625.03,966.28,,
2010,JUN,3,13,NA,12.71,NA,NA,30.51,2.68,275.53,31.63,12.59,624.29,1008.09,,
2010,JUN,3,14,NA,12.51,NA,NA,20.44,2.87,260.93,32.04,10.62,623.28,1012.02,,
2010,JUN,3,15,NA,12.62,NA,NA,35.69,2.68,247.92,32.76,8.39,622.45,927.69,,
2010,JUN,3,16,NA,12.89,NA,NA,NA,3.09,249.37,33.26,6.09,621.69,803.64,,
2010,JUN,3,17,NA,12.98,NA,NA,60.65,3.66,255.83,33.38,4.29,621.15,614.81,,
2010,JUN,3,18,NA,13.22,NA,NA,37.13,3.56,265.54,32.86,4.35,621.01,398.62,,
2010,JUN,3,19,NA,13.87,NA,NA,61.84,3.13,262.1,31.35,5.13,621.04,162.08,,
2010,JUN,3,20,NA,14.36,NA,NA,46.74,2.12,253.02,28.79,5.97,621.49,14.61,,
2010,JUN,3,21,NA,15,NA,NA,77.94,1.23,226.86,26.47,6.69,622.16,2.54,,
2010,JUN,3,22,NA,15.83,NA,NA,112.49,0.76,237.36,24.45,8.18,622.92,2.81,,
2010,JUN,3,23,NA,16.53,NA,NA,133.23,0.83,206.44,23.32,9.85,623.96,2.74,,
