DATOS HORARIOS 2010_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,JUL,1,0,NA,16.64,NA,1.32,13.49,1.25,200.75,20.57,80.87,622.45,3.11,,
2010,JUL,1,1,NA,16.93,NA,1.33,9.83,2.29,239.78,20.85,80.33,622.1,2.97,,
2010,JUL,1,2,NA,16.73,NA,1.33,3.96,3.69,241.21,20.86,76.24,621.78,2.88,,
2010,JUL,1,3,NA,17.22,NA,1.23,7.64,3.88,245.4,18.89,83.65,621.44,2.93,,
2010,JUL,1,4,NA,16.9,NA,1.33,4.44,2.91,236.59,17.81,93.06,621.04,3.19,,
2010,JUL,1,5,NA,16.54,NA,1.35,4.16,2.84,240.53,17.69,94.19,621.06,3.14,,
2010,JUL,1,6,NA,16.55,NA,1.39,5.31,3.01,244.04,17.73,94.65,621.06,3.04,,
2010,JUL,1,7,NA,15.77,NA,1.46,7.3,2.47,239.21,18.03,94.99,621.23,7.09,,
2010,JUL,1,8,NA,15.89,NA,1.56,9.56,1.83,232.46,18.41,95.27,621.47,61.09,,
2010,JUL,1,9,NA,15.78,NA,1.59,12.34,2.62,238.27,19.08,95.43,621.88,91.24,,
2010,JUL,1,10,NA,16.13,NA,1.67,11.05,2.88,233.31,19.93,95.56,621.91,215.2,,
2010,JUL,1,11,NA,16.2,NA,1.68,14.12,3.65,249.72,20.08,95.48,621.98,181.94,,
2010,JUL,1,12,NA,16.54,NA,1.67,7.57,2.67,234.74,18.13,95.44,623.03,140.68,,
2010,JUL,1,13,NA,16.07,NA,1.62,6.09,1.83,225.55,19.79,95.73,623.12,318.98,,
2010,JUL,1,14,NA,16.29,NA,1.64,9.61,2.41,248.74,21.47,95.9,622,359.54,,
2010,JUL,1,15,NA,16.02,NA,1.6,10.91,2,225.83,22.01,95.96,621.6,457.74,,
2010,JUL,1,16,NA,16.43,NA,1.81,12.58,2.97,280.44,22.67,93.2,621.1,347.9,,
2010,JUL,1,17,NA,16.23,NA,1.66,12.53,1.84,232.55,23.24,79.17,620.95,224.09,,
2010,JUL,1,18,NA,16,NA,1.69,12.28,2.68,172.01,21.9,74.93,620.98,68.95,,
2010,JUL,1,19,NA,16.13,NA,1.83,9.21,1.55,232.08,20.18,81.53,621.45,31.93,,
2010,JUL,1,20,NA,16.14,NA,1.73,10.25,1.13,132.64,20.05,81.92,622.16,6.83,,
2010,JUL,1,21,NA,16.33,NA,1.89,22.24,1.21,114.85,19.98,87.48,622.63,3.07,, 
2010,JUL,1,22,NA,NA,NA,1.57,14.1,1.25,116.56,19.56,91.14,623.07,2.95,,
2010,JUL,1,23,NA,17.07,NA,1.1,15.52,0.58,136.97,19.48,91.42,623.8,2.97,,
2010,JUL,2,0,NA,17.06,NA,1.03,13.19,1.55,152.31,19.52,90.38,624.22,2.94,,
2010,JUL,2,1,NA,16.85,NA,0.9,5.2,1.81,187.68,18.42,94.12,624.39,2.92,,
2010,JUL,2,2,NA,16.66,NA,0.86,NA,1.8,245.08,18.15,95.08,624.26,2.98,,
2010,JUL,2,3,NA,16.46,NA,0.85,NA,0.45,153.88,18.09,95.36,624.07,2.82,,
2010,JUL,2,4,NA,16.47,NA,0.85,NA,1.01,128.22,18.11,95.49,623.96,2.88,,
2010,JUL,2,5,NA,16.52,NA,0.9,NA,1.01,90.59,18.18,95.69,623.98,2.94,,
2010,JUL,2,6,NA,16.68,NA,1.12,14.43,1.39,63.72,18.13,95.79,624.21,2.99,,
