DATOS HORARIOS 2010_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,SEP,1,0,NA,27.37,NA,1.55,10.3,1.29,77.91,20.51,65.47,626.45,3.51,,
2010,SEP,1,1,NA,27.35,NA,1.38,3.67,1.52,77.87,19.99,68.22,626.07,3.52,,
2010,SEP,1,2,NA,27.25,NA,1.47,3.52,0.72,67.02,19.66,69.53,625.69,3.67,,
2010,SEP,1,3,NA,28.1,NA,1.66,2.48,0.42,80.09,19.47,70.11,625.49,3.53,,
2010,SEP,1,4,NA,27.78,NA,1.71,4.37,0.4,85.77,19.29,70.93,625.21,3.55,,
2010,SEP,1,5,NA,26.45,NA,1.7,4.07,0.28,82.79,19.3,70.13,625.32,3.57,,
2010,SEP,1,6,NA,25.47,NA,1.49,8.19,0.61,88.87,18.91,71.84,625.01,3.48,,
2010,SEP,1,7,NA,24.96,NA,1.7,18.5,0.57,86.28,18.32,74.79,625.16,11.39,,
2010,SEP,1,8,NA,24.46,NA,1.76,20.29,0.49,106.49,18.91,73.57,625.47,78.66,,
2010,SEP,1,9,NA,24.08,NA,1.89,22.76,0.24,97.76,21.21,65.77,625.91,293.82,,
2010,SEP,1,10,NA,23.75,NA,1.84,19.9,2.37,85.32,23.5,54.82,626.19,500.87,,
2010,SEP,1,11,NA,23.92,NA,1.67,52.75,3.6,100.57,25.53,46.07,626.06,773.35,,
2010,SEP,1,12,NA,24.13,NA,1.68,29.61,1.99,99.39,26.39,42.18,625.78,647.19,,
2010,SEP,1,13,NA,24,NA,1.84,25.25,0.68,119.66,27.32,39.75,625.19,514.42,,
2010,SEP,1,14,NA,24.15,NA,1.77,17.9,0.45,137.5,28.29,37.12,624.39,673.64,,
2010,SEP,1,15,NA,24.62,NA,1.74,18.79,0.26,149.68,28.03,37.33,623.51,417.01,,
2010,SEP,1,16,NA,24.09,NA,1.58,42.32,1.29,185.76,26.77,44.92,622.66,333.26,,
2010,SEP,1,17,NA,24.17,NA,1.59,28.36,0.87,216.56,27.39,43.91,622.2,593.06,,
2010,SEP,1,18,NA,24.46,NA,1.44,34.21,1.84,192.75,26.51,48.01,621.85,327.91,,
2010,SEP,1,19,NA,24.71,NA,1.84,17.25,0.81,115.16,25.57,49.44,622.68,172.04,,
2010,SEP,1,20,NA,27.19,NA,1.69,27.39,0.7,54.15,22.88,58.73,623.37,5.07,,
2010,SEP,1,21,NA,31.08,NA,1.66,35.47,0.27,82.23,22.81,56.4,623.57,3.41,, 
