DATOS HORARIOS 2011_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2011,AGO,1,0,NA,20.36,NA,0.2,21.96,3.27,69.4,18.34,68.88,624.92,3.77,,
2011,AGO,1,1,NA,12.82,NA,0.2,20.32,1.86,76.59,18.09,69.52,625.03,3.75,,
2011,AGO,1,2,NA,9.74,NA,0.2,14.36,2.9,79.02,17.87,69.03,625.04,3.88,,
2011,AGO,1,3,NA,15.43,NA,0.2,13.16,3.22,73.34,17.7,68.07,625.13,3.76,,
2011,AGO,1,4,NA,18.12,NA,0.2,15.25,3.59,61.51,17.47,68.08,625.1,3.76,,
2011,AGO,1,5,NA,19.38,NA,0.19,14.7,2.27,68.98,17.36,67,625.12,4,,
2011,AGO,1,6,NA,18.4,NA,0.19,23.51,2.71,68.29,16.86,69.48,625.25,3.99,,
2011,AGO,1,7,NA,37.86,NA,0.2,38.45,3.34,61.13,17.13,68.88,625.24,8.88,,
2011,AGO,1,8,NA,9.78,NA,0.2,30.39,2.2,93.9,17.39,70.02,625.12,59.02,,
2011,AGO,1,9,NA,8.26,NA,0.19,22.02,2.32,87.64,19.94,64.08,624.74,339.42,,
2011,AGO,1,10,NA,8.71,NA,0.21,12.19,3.63,74.09,22.87,50.85,624.3,580.29,,
2011,AGO,1,11,NA,8.13,NA,0.2,31.01,3.77,82.18,23.3,49.44,624.24,577.58,,
2011,AGO,1,12,NA,5.68,NA,0.18,28,3.63,95.92,24.63,45.44,624.04,602.94,,
2011,AGO,1,13,NA,5.49,NA,0.2,33.86,3.9,95.79,25.36,42.91,623.95,579.62,,
2011,AGO,1,14,NA,5.71,NA,0.21,29.12,4.43,88.91,26.18,39.69,623.87,592.4,,
2011,AGO,1,15,NA,7.25,NA,0.21,48.21,3.28,78.25,26.58,38.51,623.7,461.03,,
2011,AGO,1,16,NA,18.84,NA,0.22,33.85,3.97,81.18,27.25,36.18,623.54,444.49,,
2011,AGO,1,17,NA,24.36,NA,0.22,44.61,3.48,73.77,26.54,39.7,623.78,238.16,,
2011,AGO,1,18,NA,19.61,NA,0.21,46.3,4.63,54.19,25.35,44.1,623.92,173.27,,
2011,AGO,1,19,NA,22.88,NA,0.23,42.28,4.54,62.87,23.84,47.63,624.01,89.85,,
