DATOS HORARIOS 2012_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2012,ABR,1,0,10,22.8,45.93,0.463121792,109.67,0.43,219.74,17.86,21.42,628.37,2.5,,
2012,ABR,1,1,8.9,24.8,46.69,0.493121792,86.04,0.41,261.22,17.46,21.54,628.44,2.4,,
2012,ABR,1,2,12,24.9,38.37,0.423121792,49.12,0.43,268.83,15.74,24.98,628.68,2.5,,
2012,ABR,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2012,ABR,1,4,6.4,25.9,46.61,0.383121792,47.51,0.41,234.82,14.93,26.65,628.76,3.7,,
2012,ABR,1,5,12,25.5,27.46,0.383121792,49.68,0.51,255.82,14.72,31.79,628.76,2.6,,
2012,ABR,1,6,13,25.2,25.34,0.403121792,43.77,0.38,240.46,14.1,34.75,628.84,2.7,,
2012,ABR,1,7,11,25,29.41,0.413121792,43.07,0.38,241.77,13.4,37.16,628.95,2.7,,
2012,ABR,1,8,5.9,26.1,38.83,0.393121792,59.79,0.38,226.28,12.12,38.73,629.11,9.6,,
2012,ABR,1,9,5.4,27.7,43.96,0.603121792,93.95,0.39,240.64,14.9,38.66,628.71,150,,
2012,ABR,1,10,8.8,27.3,36.15,0.663121792,74.48,0.38,244.79,18.03,27.97,628.22,333.7,,
2012,ABR,1,11,14,26.1,27.28,0.453121792,38.75,0.49,253.61,21.6,22.67,627.7,546.8,,
2012,ABR,1,12,19,24.7,20.53,0.393121792,29.46,1.92,252.27,23.42,17.91,627.41,804.7,,
2012,ABR,1,13,24,23.6,18.85,0.413121792,30.11,2.87,270.47,24.02,15.74,627.38,947.3,,
2012,ABR,1,14,27,22.3,17.66,0.433121792,44.04,3.57,268.43,24.33,16.75,627.35,931.2,,
2012,ABR,1,15,28,21.5,17.24,0.473121792,64.73,4.41,265.79,25.17,14.07,627.28,1025.2,,
2012,ABR,1,16,29,20.5,16.43,0.503121792,108.86,5.09,256.69,25.83,11.57,627.18,946.2,,
2012,ABR,1,17,29,19.6,15.88,0.533121792,93.09,5.4,264.32,25.52,13.58,627.28,554.1,,
