DATOS HORARIOS 2012_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2012,OCT,1,0,12.5,14.66,27.18,0.48,17.8,0.37,137,19.54,77.89,628.12,10.23,,
2012,OCT,1,1,13.03,15.01,24.3,0.41,15.11,0.95,62.46,19.5,78.19,628.11,24.63,,
2012,OCT,1,2,9.43,14.81,28.44,0.38,43.25,0.58,85.77,18.89,80.44,628.22,2.48,,
2012,OCT,1,3,11.56,18.22,22.05,0.36,27.02,1.15,65.66,18.86,79.82,628.23,11.38,,
2012,OCT,1,4,13.74,23.21,19.79,0.54,23.46,1.19,60.72,18.14,79.79,628.33,3.66,,
2012,OCT,1,5,34.83,23.07,23.14,0.42,21.98,1.13,118.19,16.95,90.86,628.47,13.28,,
2012,OCT,1,6,11.94,16.36,22.31,0.47,12.27,2.06,85.5,16.87,90.14,628.47,8.76,,
2012,OCT,1,7,10.56,17.63,28.22,1.28,12.85,1.14,93.68,16.62,89.98,628.5,22.73,,
2012,OCT,1,8,11.06,17.84,28.46,1.06,21.93,0.95,81.83,17.72,88.95,628.33,140.15,,
2012,OCT,1,9,13.94,23.86,26.17,0.78,37.65,1.74,78.87,20.18,79.63,627.96,348.92,,
2012,OCT,1,10,18.06,19.49,22.85,0.7,26.82,2.77,86,22.58,64.7,627.64,628.35,,
2012,OCT,1,11,21.16,19.9,20.79,0.58,28.65,3.25,89.16,24.47,52.8,627.36,802.44,,
2012,OCT,1,12,23.95,16.27,17.68,0.54,15.34,1.7,107.4,25.16,47.78,627.28,514.84,,
2012,OCT,1,13,27.4,16.82,17.58,0.48,13.25,0.75,130.48,25.43,45.38,627.26,494.96,,
2012,OCT,1,14,29.88,22.9,18.11,0.44,20.13,1.11,135.76,27.82,38.86,626.98,883.04,,
2012,OCT,1,15,36.85,18.89,17.38,0.41,22.29,1.11,163.11,29.04,34.13,626.8,905.22,,
2012,OCT,1,16,38.63,14,20.24,0.46,32.47,1.15,264.64,28.48,33.38,626.88,422.01,,
2012,OCT,1,17,39.12,12.76,24.43,0.57,38.54,0.98,186.78,26.43,37.46,627.18,143.66,,
2012,OCT,1,18,26.39,14.91,28.26,0.6,41.44,1.67,71.66,25.58,41.82,627.28,147.08,,
2012,OCT,1,19,20.18,16.07,32.95,0.52,42.71,0.58,123.72,23.99,47.55,627.49,23.43,,
2012,OCT,1,20,11.06,15.67,41.3,0.61,50.47,0.42,128.95,21.72,57.05,627.83,17.45,,
2012,OCT,1,21,9.08,17.19,46.84,0.9,67.55,0.37,107.24,20.79,58.9,627.98,2.37,, 
2012,OCT,1,22,10.81,20.54,40.98,0.79,66.76,1.14,64.66,20.15,58.45,628.11,2.39,,
2012,OCT,1,23,13.01,25.9,34.15,0.51,39.63,1.37,82.27,19.45,61.94,628.16,12.45,,
2012,OCT,2,0,16.63,19.29,24.04,0.43,19.71,1.19,71.91,18.24,66.49,628.36,17.55,,
2012,OCT,2,1,16.22,15.11,22.89,0.45,15.85,0.72,90.17,17.09,71.24,628.53,2.57,,
2012,OCT,2,2,13.39,10.94,25.62,0.44,15.92,2.17,94.42,15.93,75.81,628.7,2.65,,
2012,OCT,2,3,17.77,11.95,21.44,0.41,14.72,3.19,74.55,15.87,77.92,628.68,4.89,,
2012,OCT,2,4,48.67,12.78,18.02,0.41,14.77,3.56,70.25,15.66,76.81,628.72,2.72,,
2012,OCT,2,5,18.32,20.76,19.88,0.43,18.39,3.08,74.03,14.88,76.63,628.78,7.73,,
2012,OCT,2,6,17.24,13.89,25.33,0.63,23.89,0.77,92.4,13.84,79.7,628.92,2.77,,
2012,OCT,2,7,12.76,13.76,35.62,0.95,36.12,0.75,85.2,13.38,81.16,628.94,9.49,,
2012,OCT,2,8,15.2,12.83,30.31,1.07,40.22,2.33,67.74,15.73,73.15,628.59,170.83,,
2012,OCT,2,9,19.74,19.53,27.58,0.9,34.83,3.27,80.51,18.91,58.97,628.13,408.13,,
2012,OCT,2,10,23.13,20.01,25.02,0.83,33.89,3.83,70.91,20.68,50.05,627.88,630.76,,
2012,OCT,2,11,24.64,26.63,25.02,0.77,31.78,4.14,71.69,22.19,44.46,627.66,783.57,,
2012,OCT,2,12,27.16,29.53,26.67,0.84,32.84,3.78,74.44,23.47,37.25,627.47,895.91,,
2012,OCT,2,13,28.77,29.79,28.33,0.87,36.04,3.39,80.41,24.57,30.87,627.32,818.54,,
2012,OCT,2,14,30.74,20.78,26.37,0.77,31.31,3.53,66.6,24.29,28.83,627.39,517.06,,
2012,OCT,2,15,31.31,19.65,26.66,0.78,36.43,3.16,75.26,24.75,27.81,627.39,554.77,,
2012,OCT,2,16,31.01,28.91,26.69,0.97,36.01,2.6,72.94,25.84,25.21,627.2,640.66,,
2012,OCT,2,17,32.41,15.13,24.7,0.78,34.21,2.14,69.88,24.89,25.46,627.37,273.94,,
2012,OCT,2,18,30.22,17.72,29.6,1.02,42.83,2.18,65.08,24.24,26.62,627.44,175.86,,
2012,OCT,2,19,29.42,35.5,28.73,0.91,37.47,3.27,55.23,22.62,29.03,627.72,22.97,,
2012,OCT,2,20,27.85,15.89,27.85,0.75,36.04,3.25,57.16,20.72,34.09,628.02,2.42,,
2012,OCT,2,21,24.35,21.8,30.31,0.7,50.22,2.68,63.57,19.25,38.32,628.19,2.48,,
2012,OCT,2,22,16.53,15.92,38.87,0.69,51.25,0.95,98.7,16.57,49.63,628.61,4.87,,
2012,OCT,2,23,18.47,16.72,31.63,0.63,30.06,1.59,80.26,16.37,52.98,628.6,2.62,,
2012,OCT,3,0,21.4,20.52,25.27,0.52,21.31,1.51,68.83,16.32,52.11,628.62,4.87,,
2012,OCT,3,1,20.92,16.54,24.47,0.45,20.65,1.34,113.11,14.78,57.91,628.84,2.72,,
2012,OCT,3,2,19.13,10.75,26.4,0.45,19.59,1.86,104.37,13.46,65.15,629.02,2.75,,
2012,OCT,3,3,44,10.45,31.47,0.5,23.7,2.42,103.48,12.6,71.16,629.11,2.81,,
2012,OCT,3,4,14.51,9.7,28.1,0.46,15.93,1.71,98.41,11.57,74.58,629.23,2.92,,
2012,OCT,3,5,11.44,9.7,35.93,0.53,21.75,1.28,115.97,10.74,75.95,629.33,2.96,,
2012,OCT,3,6,10.65,9.24,40.06,0.63,26.89,1.35,112.9,10.17,77.01,629.4,2.94,,
2012,OCT,3,7,8.6,11.04,42.67,0.93,37.82,0.9,106.32,9.6,78.41,629.44,11.63,,
2012,OCT,3,8,11.24,10.93,34.45,1.06,47.76,1.1,114.23,12.5,69.74,629.02,184.69,,
2012,OCT,3,9,16.61,18.83,32.05,0.96,52.26,1.55,82.59,16.61,52.99,628.42,427.75,,
2012,OCT,3,10,24.79,10.37,26.71,0.72,39.96,4.09,88.19,19.08,36.16,628.04,651.21,,
2012,OCT,3,11,29.02,9.14,23.93,0.68,43.27,4.46,94.64,21.03,30.68,627.74,828.79,,
2012,OCT,3,12,33.96,9.31,23.05,0.69,42.26,3.87,95.57,22.73,27.07,627.5,946.79,,
2012,OCT,3,13,45.3,7.81,22.81,0.71,37.3,3.42,81.36,24.04,24.18,627.27,958.48,,
2012,OCT,3,14,42.5,12.81,23.79,0.6,41.76,3.65,86.84,24.88,22.41,627.28,952.45,,
2012,OCT,3,15,40.54,9.48,22.25,0.56,38.04,3.48,102.96,25.75,20.24,627.2,845.45,,
2012,OCT,3,16,40.53,6.43,23.54,0.58,39.63,3.33,95.51,26.25,19.27,627.15,674.23,,
2012,OCT,3,17,40.35,6.67,23.63,0.57,41.31,2.84,98.43,26.35,18.72,627.14,455.11,,
2012,OCT,3,18,38.29,6.6,25.05,0.58,50.56,2.04,121.08,25.65,20.75,627.31,207.29,,
2012,OCT,3,19,33.26,7.21,32,0.58,58.84,0.5,136.49,22.44,27.6,627.75,20.63,,
2012,OCT,3,20,16.32,9.21,58.34,1.09,90.39,1.19,64.67,20.72,31.88,627.99,7.4,,
2012,OCT,3,21,12.96,20.83,48.87,0.72,62.74,2.05,64.6,19.66,32.57,628.15,2.47,,
2012,OCT,3,22,12.59,17.43,40.48,0.68,59.79,1.01,84.09,17.06,41.17,628.51,12.61,,
2012,OCT,3,23,14.18,14.69,32.87,0.56,34.28,0.9,54.18,15.01,48.66,628.81,17.67,,
2012,OCT,4,0,15.9,16.15,29.59,0.47,25.5,1.11,70.88,14.51,49.2,628.89,2.79,,
2012,OCT,4,1,16.49,11.25,30.1,0.49,22.02,1.06,93.54,13.14,55.23,629.08,7.82,,
2012,OCT,4,2,52.37,10.03,26.27,0.46,15.66,2.31,89.83,13.06,55.44,629.08,17.81,,
2012,OCT,4,3,14.95,9.46,31.25,0.45,15.27,0.71,83.88,12.11,57.96,629.17,2.86,,
2012,OCT,4,4,13.97,9.07,42.44,0.47,21.18,0.53,121.49,10.55,62.35,629.38,2.94,,
2012,OCT,4,5,18.01,10.78,43.8,0.55,35.87,0.72,105.39,10.18,66.17,629.41,10.19,,
2012,OCT,4,6,11.42,9.56,42.32,0.61,34.49,0.91,122.16,9.13,68.97,629.55,2.99,,
2012,OCT,4,7,10.4,12.96,48.96,0.81,46.34,0.57,123.32,8.11,72.68,629.71,11.68,,
2012,OCT,4,8,14.64,12.6,43.95,1.01,63.37,1.87,112.44,11.22,64.99,629.24,185.32,,
2012,OCT,4,9,14.01,14.32,47.52,0.96,63.55,2.13,119.67,15.13,54.18,628.66,428.21,,
2012,OCT,4,10,19.82,10.61,36.33,0.78,42.72,3.15,115.02,18.73,37.99,628.11,654.1,,
2012,OCT,4,11,26.47,8.1,27.37,0.62,38.37,3.12,102.8,21.23,30.73,627.74,835.28,,
2012,OCT,4,12,28.99,12.63,25.21,0.6,34.75,3.01,92.61,23.44,24.93,627.39,954.15,,
2012,OCT,4,13,28.81,12.09,25.43,0.6,30.42,3.7,96.9,25.06,18.5,627.18,965.95,,
2012,OCT,4,14,30.51,13.46,24.14,0.58,31.69,3.16,97.77,26.52,16.86,627.01,965.46,,
2012,OCT,4,15,33.57,11.39,23.25,0.51,28.34,3.34,95.72,27.45,15.17,626.94,848.7,,
2012,OCT,4,16,30.09,11.93,24.21,0.51,27.19,3.39,97.43,27.95,11.25,626.92,681.06,,
2012,OCT,4,17,28.58,6.45,23.3,0.5,36.22,2.81,101.43,28.11,10.41,626.9,460.24,,
2012,OCT,4,18,25.49,7.03,33.66,0.6,61.11,2.89,102.61,26.98,12,627.13,209.84,,
2012,OCT,4,19,16.82,11.02,41.28,0.74,69.73,2.46,82.81,23.98,16.66,627.52,20.21,,
2012,OCT,4,20,15.98,16.3,35.51,0.6,53.67,3.46,65.8,21.75,22.64,627.87,7.35,,
2012,OCT,4,21,17.01,25.11,33.32,0.56,51.13,3.32,61.66,19.79,26.61,628.14,12.45,,
2012,OCT,4,22,17.44,12.94,33.52,0.54,34.57,2.64,83.48,18.31,29.27,628.35,7.55,,
2012,OCT,4,23,17.08,10.09,31.1,0.49,42.53,2.16,102.55,16.66,33.47,628.61,7.62,,
2012,OCT,5,0,17.39,13.65,42.33,0.5,42.32,1,118.53,14.56,42.35,628.9,2.69,,
2012,OCT,5,1,47.56,10.19,36.79,0.48,28.6,0.89,110.25,13.52,47.21,629.04,12.78,,
2012,OCT,5,2,11.04,10.65,41.18,0.49,32.04,1.23,118.13,12.49,51.36,629.17,2.84,,
2012,OCT,5,3,10.76,13.02,46.63,0.55,36.47,0.49,115.58,10.84,56.55,629.37,7.92,,
2012,OCT,5,4,7.9,11.09,47.59,0.55,32.83,0.61,121.96,10.52,58.25,629.4,2.92,,
2012,OCT,5,5,7,11.64,52.96,0.57,35.82,0.86,106.24,10.14,60.99,629.43,2.97,,
2012,OCT,5,6,6.79,11.58,52.81,0.73,50.83,1.2,113.73,9.99,63.27,629.45,2.96,,
2012,OCT,5,7,8.18,14.28,52.06,1.03,67.41,0.78,114.71,8.53,69,629.67,11.01,,
2012,OCT,5,8,7.94,12.01,47.74,1.68,77.18,1.85,88.25,11.52,60.45,629.21,177.5,,
2012,OCT,5,9,8.6,20.4,64.17,4.36,122.55,1.31,108.28,15.74,48.95,628.67,415.77,,
2012,OCT,5,10,12.82,23,51.26,2.68,85.11,1.5,102.51,19.01,40.17,628.09,634.8,,
2012,OCT,5,11,20.95,13.33,35.59,1.78,27,1.8,106.39,22.61,26.15,627.54,822.99,,
2012,OCT,5,12,23.88,30.77,31.4,1.43,35.76,2.03,108.71,24.73,20.04,627.23,936.32,,
2012,OCT,5,13,29.47,16,19.96,1.05,22.64,2.29,116.3,26.52,17.9,626.95,941.95,,
2012,OCT,5,14,31.03,20.96,20.1,0.86,18.53,2.71,98.73,28.25,11.73,626.87,959.89,,
2012,OCT,5,15,30.41,14.2,20.94,0.85,26.48,2.49,103.51,28.98,12.12,626.87,839.04,,
2012,OCT,5,16,29.58,28.24,27.26,1.04,33.75,1.54,82,29.67,11.55,626.8,660.48,,
2012,OCT,5,17,26.61,23.5,30.03,1.1,31.52,1.69,78.1,29.7,9.65,626.81,451.53,,
2012,OCT,5,18,21.1,30.66,40.89,1.59,39.28,2.18,166.8,28.61,9.56,627,216.35,,
2012,OCT,5,19,15.28,46.08,52.71,1.51,53.99,2.7,154.53,25.56,10.58,627.49,21.22,,
2012,OCT,5,20,14.17,29.53,41.64,1.48,51.75,3.21,59.84,23.31,11.85,627.76,2.34,,
2012,OCT,5,21,8.91,38.45,49.41,1.48,74.38,0.82,96.15,19.7,18.84,628.35,2.52,,
2012,OCT,5,22,9.95,18.69,38.68,1.44,62.31,2.16,92.16,17.69,26.86,628.61,2.64,,
2012,OCT,5,23,10.37,15.22,39.67,1.3,47.08,2.96,91.56,17.58,28.04,628.61,2.65,,
2012,OCT,6,0,44.57,12.68,41.89,1.03,47.16,3.24,92.86,16.68,31.07,628.77,6.04,,
2012,OCT,6,1,10.81,11.46,33.58,0.33,31.25,1.04,75.85,13.75,40.54,629.13,2.88,,
2012,OCT,6,2,10.55,11.61,33.3,0.35,21.41,1.17,77.87,12.7,43.27,629.26,2.89,,
2012,OCT,6,3,9.12,10.93,34.42,0.38,17.97,0.95,84.25,11.59,46.65,629.39,4.58,,
2012,OCT,6,4,11.82,11.22,27.34,0.4,17.84,0.66,81.06,10.99,48.27,629.48,2.92,,
2012,OCT,6,5,8.1,12.34,33.02,0.4,23.17,0.38,102.97,9.88,54.18,629.63,3.02,,
2012,OCT,6,6,5.35,13.4,41.09,0.35,41.15,0.38,91.02,9.64,54.32,629.67,3,,
2012,OCT,6,7,5.49,15.51,44.44,0.31,69.97,0.38,134.21,9.69,55.96,629.64,10.98,,
2012,OCT,6,8,6.42,16.07,46.37,0.34,108.79,0.43,108.19,13.37,51.95,629.08,170.02,,
2012,OCT,6,9,9.84,16.26,42.43,0.33,80.94,0.85,110.86,17.01,43.27,628.54,405.64,,
2012,OCT,6,10,13.15,18.97,43.27,0.3,72.36,0.72,113.33,21.07,35.88,627.93,629.29,,
2012,OCT,6,11,19.14,14.99,33.66,0.31,35.38,2.19,103.58,23.44,34.26,627.55,809.47,,
2012,OCT,6,12,22.4,15.34,30.47,0.32,25.83,2.55,96.38,25.22,30.37,627.29,929.7,,
2012,OCT,6,13,26.01,13.28,27.83,0.33,25.09,2.43,115.08,26.61,25.28,627.09,919.71,,
2012,OCT,6,14,27.79,15.53,25.9,0.35,31.49,2.56,108.43,27.92,20.98,626.97,941.26,,
2012,OCT,6,15,27,22.37,28.58,0.33,18.71,2.27,153.97,29.49,14.11,626.81,833.89,,
2012,OCT,6,16,25.91,27.75,30.05,0.32,23.95,1.83,143.86,30.02,11.51,626.76,668.98,,
2012,OCT,6,17,25.18,23.27,32.62,0.31,26.79,2.31,175.51,29.96,11.86,626.81,447.39,,
2012,OCT,6,18,25.62,20.87,35.08,0.3,41.21,1.77,136.11,29.02,12.43,626.92,204.96,,
2012,OCT,6,19,18.9,14.4,45.27,0.31,50.99,1.37,64.21,26.09,14.41,627.38,18.69,,
2012,OCT,6,20,13.26,17.74,46.32,0.31,58.57,1.61,61.97,23.06,18.55,627.82,5.67,,
2012,OCT,6,21,7.62,18.85,56.75,0.65,120.76,0.58,181.28,20.61,22.58,628.18,2.49,,
2012,OCT,6,22,8.29,18.53,53.87,0.54,76.02,0.5,93.33,19.31,29.09,628.36,2.56,,
2012,OCT,6,23,37.91,17.61,41.43,0.41,53.04,1.96,75.65,18.33,31.73,628.51,5.97,,
2012,OCT,7,0,13.03,17.51,35.25,0.32,33.13,2.04,82.01,17.63,32.87,628.61,2.66,,
2012,OCT,7,1,13.88,13.55,33.51,0.37,35.79,1.49,101.59,15.43,40.29,628.92,2.73,,
2012,OCT,7,2,12.35,13.27,35.75,0.45,25.68,0.76,129.78,13.81,44.11,629.13,2.82,,
2012,OCT,7,3,8.45,15.26,41.31,0.49,33.71,1.17,128.15,12.62,51.42,629.26,4.53,,
2012,OCT,7,4,9.98,13.36,37.48,0.51,24.21,1.26,103.42,12.99,51.14,629.2,2.84,,
2012,OCT,7,5,14.57,10.64,31.21,0.55,22.8,0.67,99.75,12.46,50.21,629.26,4.56,,
2012,OCT,7,6,12.69,9.82,32.82,0.53,28.21,1.07,110.45,11.68,54.55,629.37,2.93,,
2012,OCT,7,7,10.75,10.56,33.89,0.49,36.65,1.89,111.31,11.14,63.26,629.44,10.52,,
2012,OCT,7,8,10.31,10.64,35.32,0.43,52.93,1.7,109.46,13.35,61.72,629.09,171.09,,
2012,OCT,7,9,12.6,11.09,32.12,0.37,47.27,2.04,108.35,17.15,55.97,628.53,407.5,,
2012,OCT,7,10,18.32,10.67,29.54,0.38,28.66,2.93,94.88,20.69,41.66,627.97,628.01,,
2012,OCT,7,11,22.75,9.61,28.53,0.4,25.18,3.15,98.61,23.16,33.47,627.61,806.09,,
2012,OCT,7,12,26.73,11.23,27.41,0.42,22.78,2.81,100.11,25.29,27.61,627.31,922.69,,
2012,OCT,7,13,31.42,13.22,26.88,0.42,24.09,2.42,88.78,27.02,22.2,627.07,905.48,,
2012,OCT,7,14,32.78,9.48,24.46,0.47,21.75,2.39,119.3,28.62,16.97,626.92,939.19,,
2012,OCT,7,15,33.7,10.39,23.7,0.5,21.48,2.48,110.78,29.41,16.36,626.84,825.11,,
2012,OCT,7,16,34.34,8.93,21.63,0.54,22.61,1.79,110.95,30.07,16.4,626.8,647.42,,
2012,OCT,7,17,35.87,8.28,22.05,0.54,25.8,1.1,110.63,30.13,17,626.8,428.29,,
2012,OCT,7,18,28.51,23.09,30.98,0.41,29.43,1.58,85.49,29.11,15.5,626.9,192.97,,
2012,OCT,7,19,21.34,12.13,33.46,0.37,45.87,2.26,59.39,25.9,21.56,627.42,17.22,,
2012,OCT,7,20,16.08,18.35,33.68,0.37,57.64,2.55,72.09,22.58,32.69,627.88,2.35,,
2012,OCT,7,21,14.58,15.65,29.68,0.38,49.93,2.71,79.73,20.73,45.01,628.16,4.13,,
2012,OCT,7,22,38.48,13.1,28.58,0.41,47.88,3.7,88.44,19.15,53.74,628.36,2.57,,
2012,OCT,7,23,17.12,10.32,27.33,0.46,34.03,3.2,81.83,18,59.92,628.52,2.59,,
2012,OCT,8,0,15.22,27.16,28.24,0.48,35.54,3.39,73.65,16.94,66.45,628.69,2.66,,
2012,OCT,8,1,14.73,29.11,27.03,0.31,27.42,2.48,84.36,16.43,70.91,628.74,6.59,,
2012,OCT,8,2,14.43,18.14,25.89,0.32,22.24,1.54,113.18,15.64,73.21,628.86,2.72,,
2012,OCT,8,3,9.69,13.72,32.25,0.32,22.02,0.73,107.95,13.86,79.28,629.09,6.7,,
2012,OCT,8,4,11.63,13.91,28.3,0.31,19.76,1.06,99.72,13.96,79.99,629.05,2.78,,
2012,OCT,8,5,13.51,11.86,25.82,0.3,18.75,1.04,115.43,13.29,82.24,629.13,2.81,,
2012,OCT,8,6,12.7,13.54,29.66,0.3,28.66,2.14,95.97,13.46,83.24,629.08,2.86,,
2012,OCT,8,7,10.19,14.2,35.94,0.31,42.74,0.58,156.52,12.43,84.72,629.2,9.44,,
2012,OCT,8,8,9.67,15.06,37.27,0.35,69.37,0.66,143.6,14.68,82.06,628.84,151.13,,
2012,OCT,8,9,12.67,37.63,37.24,0.4,75.85,0.5,107.29,19.8,66.3,628.1,384.96,,
2012,OCT,8,10,16.56,33.5,33.18,0.44,54.04,2.78,66.25,22.93,53.19,627.63,603.21,,
2012,OCT,8,11,19.27,29.88,28.64,0.36,35.7,3.47,78.87,24.35,46.35,627.44,796.98,,
2012,OCT,8,12,22.44,15.5,25.82,0.32,34.11,3.45,91.53,25.48,42.61,627.3,868.39,,
2012,OCT,8,13,24.77,20.57,26.05,0.31,34.78,2.94,83.06,26.39,39.11,627.22,781.83,,
2012,OCT,8,14,26.76,18.27,24.37,0.3,32.95,2.42,97.51,27.82,34.41,627.03,906.35,,
2012,OCT,8,15,27.93,22.45,25.77,0.3,37.65,2.33,86.66,28.47,32.5,626.95,698.23,,
2012,OCT,8,16,28.87,18.41,25.9,0.3,38.92,2.63,75.85,28.28,31.8,627.03,404.36,,
