DATOS HORARIOS 2013_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2013,FEB,1,0,12.87,15.6,21.24,2.59,124.21,1.19,131.57,15.54,36.58,628.89,7.66,,
2013,FEB,1,1,15.4,15.99,12.38,1.3,69.67,1.5,108.13,14.73,39.36,628.98,7.74,,
2013,FEB,1,2,11.38,15.58,15.51,0.62,49.18,1.33,113.82,13.45,42.13,629.17,6.11,,
2013,FEB,1,3,11.65,18.01,17.18,0.39,51.69,1.66,106.74,12.84,44.75,629.25,7.27,,
2013,FEB,1,4,24.79,13.85,10.7,0.33,60.77,1.24,97.26,11.68,48.6,629.42,12.33,,
2013,FEB,1,5,13.22,13.21,14.04,0.31,61.41,1.85,96.99,10.61,54.22,629.59,2.87,,
2013,FEB,1,6,12.02,13.14,14.1,0.31,54.2,2.44,96.09,10.11,56.41,629.66,2.94,,
2013,FEB,1,7,12.09,12.98,13.99,0.36,60.54,1.9,101.48,9.28,57.69,629.78,7.98,,
2013,FEB,1,8,10.18,13.53,15,0.48,76.91,1.72,100.52,8.74,59.74,629.85,30.34,,
2013,FEB,1,9,12.1,15.3,15.5,0.81,72.45,2.57,100.6,11.92,52.62,629.37,225.81,,
2013,FEB,1,10,17.97,14.94,12.51,0.83,79.41,2.53,108.16,15.76,43.65,628.81,454,,
2013,FEB,1,11,27.9,13.68,8.31,0.63,69.37,2,113.49,19.73,34.86,628.23,641.21,,
2013,FEB,1,12,34.3,14.01,10.41,0.48,73.67,1.01,144.47,23.39,30.34,627.69,767.7,,
2013,FEB,1,13,45.2,13.68,8.52,0.44,67.56,0.56,264.86,26.67,25.01,627.18,830.66,,
2013,FEB,1,14,57.03,20.47,8.86,0.53,69.01,0.89,294.51,28.13,19.11,626.97,621.76,,
2013,FEB,1,15,58.6,12.47,3.74,0.53,59.4,1.31,298.78,29.05,15.51,626.9,762.61,,
2013,FEB,1,16,70.46,12.79,2.32,0.49,64.95,1.68,268.77,29.52,14.42,626.87,628.85,,
2013,FEB,1,17,70.26,13.29,3.11,0.44,57.26,1.56,257.4,29.47,13.39,626.88,428.7,,
2013,FEB,1,18,67.07,12.73,7.07,0.43,65.6,0.95,252.56,28.73,13.76,627.05,214.69,,
2013,FEB,1,19,43.31,13.43,36.87,0.57,70.36,0.37,268.76,26.04,15.31,627.49,29.25,,
2013,FEB,1,20,10.98,17.37,74.33,2.55,149.47,0.36,231.25,22.54,17.51,627.93,16.72,,
2013,FEB,1,21,10.21,21.88,77.41,7.68,233.18,0.36,286.64,20.89,21.52,628.13,11.81,, 
2013,FEB,1,22,9.55,28.78,79.07,14.07,293.75,0.51,111.85,19.79,26.03,628.31,8,,
2013,FEB,1,23,10.39,25.06,55.26,12.17,202.31,1.29,122.31,18.33,30.94,628.5,12.52,,
2013,FEB,2,0,12.26,21.32,37.57,6.44,98.19,1.52,116.32,16.84,36.99,628.7,7.07,,
2013,FEB,2,1,16.31,16.98,25.61,1.99,78.2,0.79,115.25,15.61,40.46,628.9,2.64,,
2013,FEB,2,2,13.49,16.04,26.28,0.79,53.64,1.53,116.66,14.21,45.04,629.08,2.73,,
2013,FEB,2,3,22.31,13.93,23.1,0.42,56.24,1.57,110.12,13.83,48.84,629.13,2.73,,
2013,FEB,2,4,12.88,15.15,22.47,0.34,80.61,1.5,95.79,12.5,54.68,629.3,17.79,,
2013,FEB,2,5,10.78,13.4,23.03,0.32,59.04,1.02,90.47,11.53,57.33,629.44,2.87,,
2013,FEB,2,6,10.31,12.61,23.56,0.31,59.67,1.51,84.55,10.86,58.41,629.54,2.87,,
2013,FEB,2,7,11.32,12.58,22.14,0.31,54.83,1.25,109.95,10.32,60.38,629.62,7.35,,
2013,FEB,2,8,9.55,14.24,26.34,0.34,73.99,1.3,108.23,9.88,63.95,629.68,35.06,,
2013,FEB,2,9,12.5,14.13,23.6,0.47,80.06,2.2,102.18,12.72,55.44,629.26,226.82,,
2013,FEB,2,10,18.53,13.3,20.35,0.48,87.49,2.4,100.02,16.64,45.15,628.67,452.06,,
2013,FEB,2,11,26.2,12.81,15.91,0.45,77.92,1.73,123.59,20.39,36.91,628.13,634.07,,
2013,FEB,2,12,38.05,13.36,15.23,0.38,60.77,0.78,131.82,24.13,29.31,627.56,758.93,,
2013,FEB,2,13,47.06,13.65,16.99,0.35,74.02,1.03,131,26.67,25.53,627.18,829.43,,
2013,FEB,2,14,56.76,13.82,12.92,0.34,80.4,1.65,141.72,28.19,21.31,627,599.57,,
2013,FEB,2,15,55.62,10.96,5.99,0.32,55.73,1.59,142.99,29.4,17.95,626.85,761.66,,
2013,FEB,2,16,54.63,10.52,2.84,0.31,47.97,1.64,166.51,30.47,15.52,626.7,615.55,,
2013,FEB,2,17,53.71,11.37,1,0.32,42.26,1.51,161.1,30.43,14.78,626.73,423.61,,
2013,FEB,2,18,50.33,11.4,1.66,0.33,42.42,1.09,150.52,29.73,14.55,626.86,208.22,,
2013,FEB,2,19,35.65,22.12,18.44,0.32,82.28,0.77,84.87,26.75,15.78,627.31,32.61,,
2013,FEB,2,20,22.43,18.87,20.98,0.39,367.62,1.22,72.73,23.94,17.66,627.72,2.24,,
2013,FEB,2,21,29.07,17.12,8.71,0.35,134.87,4.46,55,21.56,24.89,628.09,20.7,,
2013,FEB,2,22,29.83,13.34,7.25,0.31,75.4,4.26,73.47,19.81,28.38,628.3,30.22,,
2013,FEB,2,23,29.47,14.61,5.92,0.31,71.99,4.23,80.56,18.71,28.39,628.44,11.41,,
2013,FEB,3,0,27.42,14.38,7.06,0.31,56.33,2.08,95.41,16.79,32.17,628.71,2.58,,
2013,FEB,3,1,28.07,14.34,5.26,0.56,36.34,2.19,101.13,15.58,35.43,628.88,27.64,,
2013,FEB,3,2,41.16,13.72,2.5,0.49,31.6,2.38,99.1,14.48,37.89,629.03,7.15,,
2013,FEB,3,3,28.68,13.07,2.98,0.42,27.97,2.75,96.55,13.27,41.68,629.19,2.78,,
2013,FEB,3,4,27.97,13.04,1.99,0.35,25.42,2.63,89.92,12.54,42.43,629.29,7.81,,
2013,FEB,3,5,28.07,13.12,2.85,0.43,24.05,2.51,111.66,11.78,43.3,629.4,2.82,,
2013,FEB,3,6,27.5,12.56,2.51,0.56,33.66,2.79,102.16,10.87,49.16,629.53,2.89,,
2013,FEB,3,7,26.27,11.94,3.5,0.65,25.74,2.54,102.59,9.94,55.3,629.66,2.93,,
