DATOS HORARIOS 2013_ NATIVITAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2013,DIC,1,0,21.34,15.53,4.36,NA,35.06,3,99.15,12.42,65.73,625.74,3.21,,
2013,DIC,1,1,14.15,18.42,3.39,NA,29.12,2.66,98.79,11.55,70.68,625.85,3.28,,
2013,DIC,1,2,13.46,16.78,2.44,NA,24.14,2.39,110.08,10.63,74.97,625.99,3.3,,
2013,DIC,1,3,12.79,16.27,3.13,NA,21.18,2.79,111.55,9.78,78.86,626.11,3.39,,
2013,DIC,1,4,13.86,15.29,1,NA,17.24,2.87,103.15,9.4,80.65,626.19,3.41,,
2013,DIC,1,5,13.03,14.79,1,NA,17.22,2.25,104.97,8.71,82.98,626.3,3.44,,
2013,DIC,1,6,11.88,14.58,1.02,NA,21.9,2.16,114.34,7.82,85.32,626.43,3.45,,
2013,DIC,1,7,11.21,14.3,1.5,NA,28.6,2.35,96.72,7.36,86.89,626.51,3.85,,
2013,DIC,1,8,9.57,15.42,4.58,NA,59.15,2.07,110.48,7.87,86.35,626.51,75.02,,
2013,DIC,1,9,11.25,14.93,1.9,NA,52.93,2.89,103.28,10.28,79.62,626.31,227.32,,
2013,DIC,1,10,13.23,14.35,1.13,NA,44.77,3.48,100.93,13.72,69.9,626.01,471.96,,
2013,DIC,1,11,15.43,13.97,1,NA,42.41,3.09,93.17,16.89,57.8,625.72,639.2,,
2013,DIC,1,12,18.03,15.49,1,NA,50.09,2.03,102.53,20.18,47.1,625.37,763.71,,
2013,DIC,1,13,19.93,33.38,2.81,NA,64.4,1.26,146.51,23.57,37.77,625.01,717.68,,
2013,DIC,1,14,21.83,40.57,3.22,NA,60.57,1.24,116.64,25.25,31.12,624.82,711.74,,
2013,DIC,1,15,26.09,37.41,1,NA,37.38,1.37,140.83,26.66,25.05,624.68,694.33,,
2013,DIC,1,16,28.3,46.48,1.26,NA,76.03,1.1,199.58,27.57,22.99,624.49,511.23,,
2013,DIC,1,17,34.92,52.63,5.91,NA,71.36,1.49,261.51,27.47,20.09,624.42,335.18,,
2013,DIC,1,18,37.13,45.72,9.38,NA,93.26,1.43,263.15,24.8,21.08,624.6,100.07,,
2013,DIC,1,19,24.44,38.77,25.8,NA,208.69,0.58,230.6,21.55,22.64,624.86,3.61,,
2013,DIC,1,20,10.52,36.18,43.65,NA,325.52,0.63,95.8,19.4,30.87,625.01,2.82,,
2013,DIC,1,21,8.84,38.76,41.77,NA,285.74,0.73,130.78,17.67,33.24,625.12,8.46,, 
2013,DIC,1,22,8.81,37.02,37.31,NA,270.2,0.57,189.94,16.21,35.86,625.24,2.99,,
2013,DIC,1,23,15.99,33.39,28.84,NA,208.92,1.17,120.72,15.29,48.03,625.3,3.08,,
2013,DIC,2,0,10.06,25.08,16.57,NA,87.23,1.35,105.91,13.9,50.13,625.45,3.1,,
2013,DIC,2,1,8.91,22.28,14.63,NA,101.73,1.39,109.5,13.05,51.06,625.67,3.19,,
2013,DIC,2,2,8.81,17.63,13.05,NA,86.04,0.84,120.43,11.88,52.47,625.93,3.27,,
2013,DIC,2,3,8.74,16.79,12.35,NA,89.09,0.9,134.79,11,55.15,626.09,3.26,,
2013,DIC,2,4,8.61,17.5,11.64,NA,82.48,1.08,125.66,10.24,58.66,626.22,3.33,,
2013,DIC,2,5,8.52,16.16,9.61,NA,60.38,1.49,119.22,8.94,64.15,626.4,4.54,,
2013,DIC,2,6,8.5,16.1,11.38,NA,77.44,1.33,133.3,8.32,65.51,626.51,3.43,,
2013,DIC,2,7,8.49,15.95,10.39,NA,78.41,1.25,119.25,8.07,66.97,626.57,4.09,,
2013,DIC,2,8,8.61,17.69,11.37,NA,119.75,1.21,117.34,8.38,66.99,626.56,57.05,,
2013,DIC,2,9,9.18,22.19,13.98,NA,205.42,1.61,124.48,12.06,59.86,626.24,286.69,,
2013,DIC,2,10,11.82,22.42,12.41,NA,158.81,2.2,102.01,16.1,48.88,625.89,461.12,,
2013,DIC,2,11,15.2,15.27,12.44,NA,104.89,1.32,120.56,18.85,43.5,625.64,381.69,,
2013,DIC,2,12,19.68,27.38,12.17,NA,105.54,1.03,260.09,23.16,34.82,625.21,658.18,,
2013,DIC,2,13,24.4,14.78,10.26,NA,86.39,1.36,258.53,24.62,31.4,625.05,613.01,,
2013,DIC,2,14,27.62,12.11,3.62,NA,63.9,1.41,246.35,26.42,27.77,624.73,637.41,,
2013,DIC,2,15,31.88,13.08,1.05,0.31,50.11,1.73,260.67,27.93,25.62,624.48,652.77,,
2013,DIC,2,16,29.87,13.97,1,0.33,56.77,2.3,271.5,27.99,24.05,624.42,476.85,,
2013,DIC,2,17,30.81,14.13,2.7,0.43,71.71,1.96,260.03,27.43,26.16,624.39,274.05,,
2013,DIC,2,18,27.8,14.76,10.63,0.44,108.26,1.18,229.79,25.12,30.91,624.51,74.81,,
2013,DIC,2,19,16.62,17.83,27.54,0.43,260.75,0.67,165.69,22.35,35.38,624.69,5.31,,
2013,DIC,2,20,9.37,24.06,38.87,1.1,369.59,0.38,123.12,20.2,40.98,624.8,2.78,,
2013,DIC,2,21,9.03,21.62,28.34,1.96,274.23,0.91,231.04,18.92,41.96,624.88,2.81,,
2013,DIC,2,22,19.19,19.77,18.18,1.54,160.06,1.3,273.83,18.31,44.41,624.89,2.89,,
2013,DIC,2,23,10.69,19.9,18.25,1.39,96.83,0.79,273.18,16.77,46.95,625.05,15.15,,
2013,DIC,3,0,15.07,17.91,10.57,1.08,47.15,1.61,253.44,16.65,49.93,625.1,4.03,,
2013,DIC,3,1,11.31,19.43,15.26,0.89,51.14,0.89,236.75,15.08,53.48,625.21,3.05,,
2013,DIC,3,2,8.9,22,16.49,0.73,95.29,1.06,203.68,13.96,57.44,625.34,3.09,,
2013,DIC,3,3,8.77,23.77,13.5,0.67,82.58,0.59,169.43,12.87,63.23,625.48,6.94,,
2013,DIC,3,4,8.71,28.83,16.21,0.62,92.21,1.03,129.71,11.89,68.72,625.62,3.23,,
2013,DIC,3,5,8.73,26.27,16.81,0.55,93.15,0.63,92.73,10.87,71.46,625.67,11.27,,
2013,DIC,3,6,8.78,29.46,16.85,0.51,95.31,0.79,119.12,10.83,73.77,625.7,8.3,,
2013,DIC,3,7,8.81,28.32,16.68,0.55,105.46,0.74,134.66,10,76.41,625.81,13.48,,
2013,DIC,3,8,8.77,25.71,18.32,0.64,129.86,0.76,131.89,10.72,75.57,625.79,57.15,,
2013,DIC,3,9,10.02,36.7,20.09,0.83,217.01,1.5,105.22,14.98,63.23,625.4,250.42,,
2013,DIC,3,10,15.26,41.48,16.47,0.76,144.09,1.2,104.55,19.42,52.3,625.07,445.12,,
2013,DIC,3,11,19.11,31.14,16.14,0.67,120.09,1.15,227.29,22.83,46.26,624.78,603.47,,
2013,DIC,3,12,23.28,20.63,8.56,0.57,61.75,1.45,266.82,25.19,39.6,624.58,721.57,,
2013,DIC,3,13,26.13,18.61,4.36,0.5,42.81,2.29,255.35,26.55,34.51,624.41,671.03,,
2013,DIC,3,14,27.5,18.19,3.16,0.41,51.32,2.55,271.69,27.4,30.54,624.27,673.15,,
2013,DIC,3,15,27.86,18.39,1.62,0.32,43.79,2.69,260.41,28.37,25.22,624,648.84,,
2013,DIC,3,16,27.04,18.26,1,0.31,42.64,2.6,246.11,28.88,22.54,623.86,488.62,,
2013,DIC,3,17,26.41,18.63,2.03,0.31,47.82,3.08,268.86,28.32,23.65,623.86,298.86,,
2013,DIC,3,18,21.83,18.89,4.64,0.31,56.76,2.75,248.89,26.76,23.09,623.92,95.77,,
2013,DIC,3,19,15.61,19.77,10.83,0.31,102.61,2.31,240.84,23.44,27.43,624.15,16.88,,
2013,DIC,3,20,13.78,20.41,11.67,0.31,85.38,2.22,245.12,21.48,28.82,624.26,28.2,,
2013,DIC,3,21,17.63,20.91,14.38,0.31,172.16,1.49,227.63,19.9,28.3,624.35,32.76,,
2013,DIC,3,22,15.46,20.9,9.13,0.33,125.44,1.45,235.02,18.62,37.25,624.45,20.08,,
2013,DIC,3,23,11.17,26.87,14.77,0.31,93.56,1.23,42.87,17.63,45.31,624.49,2.9,,
2013,DIC,4,0,10.01,28.38,15.92,0.49,102.24,0.62,273.42,16.41,45.78,624.65,6.31,,
2013,DIC,4,1,10.06,21.89,12.53,0.91,84,1.67,275.8,16.07,56.12,624.7,8.01,,
2013,DIC,4,2,12.24,18.09,8.74,0.66,45.66,1.33,270.57,15.18,62.56,624.83,7.46,,
2013,DIC,4,3,12.11,16.79,7.97,0.47,41.38,0.92,256.94,14.33,65.68,624.96,13.1,,
2013,DIC,4,4,10.52,16.1,9.16,0.39,44.39,0.78,258.06,13.54,65.74,625.08,8.13,,
2013,DIC,4,5,10.82,15.7,9.65,0.36,43.81,0.72,316.41,13.35,68.18,625.13,8.15,,
2013,DIC,4,6,9.11,16.47,12.04,0.38,54.82,1.03,297.51,12.8,71.91,625.23,3.72,,
2013,DIC,4,7,9.2,15.52,11.91,0.47,66.13,0.83,285.27,12.34,75.6,625.36,16.49,,
2013,DIC,4,8,9.11,16.27,14.3,0.94,115.73,0.52,148.48,12.76,80.47,625.54,45.34,,
2013,DIC,4,9,9.81,18.19,17.37,1.65,186.18,0.77,128.79,17.17,69.58,625.18,225.11,,
2013,DIC,4,10,12.82,18.32,15.09,1.74,135.46,0.9,147.77,20.44,60.88,624.95,428.67,,
2013,DIC,4,11,17.06,15.53,10.4,1.35,85.31,1.45,264.66,23.17,54.49,624.71,594.88,,
2013,DIC,4,12,20.78,13.57,3.43,0.89,40.81,1.6,278.26,25.19,45.62,624.39,725.4,,
2013,DIC,4,13,22.13,13.26,2.12,0.6,38.98,2.47,274.81,26.27,37.8,624.22,683.28,,
2013,DIC,4,14,22.9,13,1.3,0.45,45.06,2.72,273.97,26.97,34.57,624.1,647.38,,
2013,DIC,4,15,23.17,13,1,0.37,50.1,3.22,276.73,27.68,31.98,623.94,631.62,,
2013,DIC,4,16,23.8,13.22,1,0.33,51.19,2.85,278.69,28.24,30.95,623.8,473.34,,
2013,DIC,4,17,23.12,13.7,2.37,0.36,51.88,2.24,272.23,28.07,29.28,623.69,280.28,,
2013,DIC,4,18,18.99,14.35,6.82,0.38,55.58,2.18,261.88,26.6,28.68,623.71,93.29,,
2013,DIC,4,19,15.64,15.47,12.2,0.49,127.08,1.79,230.1,23.19,37.44,623.96,6.28,,
2013,DIC,4,20,22.11,16.13,12.31,0.61,114.86,2.19,234.96,21.32,43.41,624.04,7.69,,
2013,DIC,4,21,14.85,16.37,13.49,0.63,100.02,2.04,251.5,20.02,45.59,624.12,17.81,,
2013,DIC,4,22,11.81,16.53,14.26,0.74,89.4,1.75,284.23,18.58,48.61,624.23,22.87,,
2013,DIC,4,23,9.58,17.4,15.87,0.99,92.84,1.34,264,17.33,52.46,624.35,9.57,,
2013,DIC,5,0,9.59,17,14.59,0.91,87.34,1.51,245.59,16.68,54.55,624.41,18.52,,
