DATOS HORARIOS 2015_ NATIVITAS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
FEB,1,0,14.96,9.25,2.26,22.81,66.6,1.58,208,14.38
FEB,1,1,13.64,14.16,2.28,22.86,79.14,1.9,283.09,13.74
FEB,1,2,22.36,16.82,2.13,21.32,46.86,2.41,282.18,13.91
FEB,1,3,23.62,16.48,2.06,19.51,54.32,2.64,266.31,13.73
FEB,1,4,24.69,16.24,2,17.76,30.07,1.69,248.6,13.65
FEB,1,5,24.97,16.05,1.97,16.45,26.61,1.99,247.11,13.66
FEB,1,6,22.25,15.76,1.97,17.05,27.21,2.52,275.35,13.57
FEB,1,7,21.21,15.53,2.02,17.03,36.57,2.62,280.18,13.32
FEB,1,8,15.38,15.69,2.06,18.45,58.68,2.01,317.99,12.5
FEB,1,9,16.09,16.81,2.19,19.83,46.35,1.52,130.23,13.03
FEB,1,10,20.87,19.23,2.13,19.74,31.25,1.93,180.15,15.82
FEB,1,11,29.42,17.42,2.08,19.48,23.81,2.2,191.5,17.4
FEB,1,12,33.39,16.14,2.07,18.3,35.36,2.01,223.93,18.66
FEB,1,13,35.53,15.8,2.13,17.99,22.52,2.22,284.87,20.16
FEB,1,14,37.04,15.5,2.1,17.81,27.43,3.09,278.04,20.84
FEB,1,15,34.77,15,2.11,18.94,49.45,3.26,263.94,19.54
FEB,1,16,34.95,14.93,2.13,18.79,39.23,2.39,275.21,20.21
FEB,1,17,34.98,14.7,2.08,17.43,49.25,3.04,236.99,20.23
FEB,1,18,31.34,18.74,2.12,17.07,76.63,3.27,152.87,19.01
FEB,1,19,29.59,14.47,2.06,16.6,54.57,2.96,196.8,18.16
FEB,1,20,23.76,14.31,2.13,16.78,52.29,2.56,204.07,17.61
FEB,1,21,19.65,14.49,2.18,18.33,69.39,2.29,174.6,16.71
FEB,1,22,19.59,14.47,2.15,19.08,91.11,1.9,175.37,14.85
FEB,1,23,9.04,15.45,2.55,20.29,80.61,1.29,259.64,14.23
FEB,2,0,5.97,16.65,2.46,21.66,86.17,2.09,299.83,12.97
FEB,2,1,10.83,17.13,2.27,22.21,60.93,1.68,201.68,12.97
FEB,2,2,5.63,21.93,2.3,21.93,68.12,1.18,97.47,12.4
FEB,2,3,4.99,30.17,2.27,21.1,60.54,1.43,167,12.16
FEB,2,4,5.09,29.29,2.23,20.84,50.06,1.17,149.56,11.92
