DATOS HORARIOS 2015_ NATIVITAS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
MAY,1,0,23.8,25.39,2.31,21.8,56.48,1.67,179.78,18.88
MAY,1,1,29.67,24.8,2.24,17.96,36.4,1.98,257.11,18.69
MAY,1,2,20.07,24.38,2.27,21.27,45.58,0.98,246.59,17.4
MAY,1,3,13.13,24.44,2.23,22.24,50.65,0.98,159.68,16.26
MAY,1,4,11.59,24.85,2.29,25.22,51.21,1.63,118.17,15.16
MAY,1,5,9.83,26.31,2.41,26.52,87,1.12,97.08,14.5
MAY,1,6,6.9,26.28,2.34,25.44,79.34,1.69,128.44,13.92
MAY,1,7,7.49,26.6,2.5,24.86,73.66,1.76,131.72,13.25
MAY,1,8,8.13,30.67,2.58,30.13,74.66,2.47,119.55,16.74
MAY,1,9,22.06,28.78,2.46,22.98,63.56,2.72,106.9,20.77
MAY,1,10,35.63,46.52,2.5,27.86,50.72,1.96,245.52,24.54
MAY,1,11,42.24,36.37,2.41,27.95,60.48,2,265.64,26.8
MAY,1,12,51.99,29.28,2.3,24.53,41.91,2.48,301.74,27.42
MAY,1,13,53.7,24.41,2.25,18.67,31.91,3.17,280.18,27.88
MAY,1,14,52.82,23.47,2.17,15.05,18.12,2.99,268.9,28.43
MAY,1,15,51.13,26.26,2.18,14.93,11.34,3.18,271.35,29.9
MAY,1,16,49.42,26.81,2.19,16.5,41.43,3.04,276.14,27.52
MAY,1,17,53.76,25.58,2.17,15.3,18.54,2.4,253.47,29.33
MAY,1,18,51.36,23.35,2.2,15.42,23.62,2.64,275.63,28.67
MAY,1,19,43.01,23.49,2.34,20.45,44.15,3.16,278.26,26.08
MAY,1,20,38,23.59,2.26,16.58,80.98,4.22,234.01,23.69
MAY,1,21,33.07,23.64,2.3,17.99,68.49,2.97,228.17,22.64
MAY,1,22,29.79,29.68,2.4,19.88,62.12,2.76,237.88,21.64
MAY,1,23,19.22,40.7,2.66,25.7,57.91,2.15,320.95,20.7
MAY,2,0,25.07,26.38,2.35,19.23,67.6,3.32,95.87,19.47
MAY,2,1,27.79,24.95,2.22,15,60.54,3.42,83.24,17.86
MAY,2,2,27.96,24.57,2.17,13.37,33.63,3.51,82.2,17.04
MAY,2,3,27.34,24.75,2.14,12.88,28.97,3.97,85.18,16.3
MAY,2,4,25.27,24.49,2.14,13.04,37.88,3.46,90.27,15.17
MAY,2,5,23.7,24.36,2.16,13.73,36.45,3.28,101.52,15.05
MAY,2,6,23.8,24.19,2.18,14.76,42.56,3.26,94.92,15.1
MAY,2,7,17.17,24.25,2.27,19.02,66.2,3.23,101.27,14.99
MAY,2,8,21.92,24.07,2.31,17.12,29.44,3.9,89.77,16.9
MAY,2,9,27.67,24.05,2.32,17.12,11.27,4.44,94.98,19.64
MAY,2,10,34.91,23.8,2.26,15.39,27.71,4.3,107.16,22.04
MAY,2,11,44.21,23.83,2.24,16.16,25.79,3.04,107.06,24.75
MAY,2,12,51.34,31.26,2.24,16.44,45.21,2.73,156.66,26.97
MAY,2,13,53.15,29.85,2.25,14.9,37.31,2.76,260.7,28.85
MAY,2,14,54.71,25.24,2.19,13.1,28.97,2.57,253.05,29.25
MAY,2,15,52.22,23.16,2.18,12.85,21.3,3.09,259.2,29.87
MAY,2,16,52.84,22.99,2.18,13.04,28.45,3.31,266.16,29.88
MAY,2,17,53.17,22.65,2.14,12.68,25.34,4.33,259.76,30.44
MAY,2,18,51.17,22.55,2.15,12.42,55.71,3.72,221.96,29.06
MAY,2,19,41.22,22.78,2.18,13.96,74.75,4,238.08,27.52
MAY,2,20,34.62,23.01,2.26,17.01,52.72,3.38,238.08,25.75
MAY,2,21,27.91,23.27,2.32,18.99,77.36,3.41,234.31,24.04
MAY,2,22,28.37,23.29,2.31,17.26,63.54,3.09,236.75,22.7
MAY,2,23,27.01,23.15,2.26,16.14,54.79,2.72,242.27,21.41
MAY,3,0,25.49,23.01,2.24,15.18,44.65,1.97,159.75,20.31
MAY,3,1,20.79,24.19,2.26,17.59,41.29,1.16,210.18,20.03
MAY,3,2,14.72,25.6,2.27,20.1,62.6,1.48,164.19,18.91
MAY,3,3,16.17,25.15,2.25,19.08,61.59,1.67,109.39,18.03
MAY,3,4,10.81,25.75,2.27,22.86,54.94,2.13,134.29,17.08
MAY,3,5,10.52,26.04,2.29,22,54.51,1.74,153.66,16.49
MAY,3,6,10.11,25.85,2.33,21.93,45.7,1.7,144.37,16.47
MAY,3,7,19.86,25.64,2.29,16.68,25.54,1.83,238.6,17.45
MAY,3,8,21.56,25.45,2.33,15.52,5.65,1.75,261.44,21.32
MAY,3,9,24,25.54,2.43,18.06,15.85,2.26,289.34,23.81
MAY,3,10,32.97,25.41,2.3,15.83,23.06,2.48,276.57,25.82
MAY,3,11,37.34,24.82,2.25,13.55,27.4,2.4,255.43,26.78
MAY,3,12,37.51,24.46,2.2,12.03,29.83,3.21,229.25,26.99
MAY,3,13,37.52,24.29,2.19,11,25.72,2.83,242.48,28.15
MAY,3,14,40.19,24.1,2.17,10.95,26.63,3.98,234.67,28.57
MAY,3,15,44.05,23.9,2.15,10.73,49.12,4.53,234.97,29.31
MAY,3,16,48.12,23.86,2.14,10.71,49.03,3.9,239.61,29.98
MAY,3,17,50.99,23.93,2.13,10.76,33.47,3.59,251.91,30.34
MAY,3,18,52.95,23.97,2.14,12.33,25.12,4.24,277.49,29.65
MAY,3,19,53.62,24.07,2.19,14.95,57.92,4.23,276.25,28.32
MAY,3,20,42.15,24.27,2.39,23.98,44.31,3.57,283.52,25.66
MAY,3,21,31.09,24.49,2.47,29,67.1,3.12,272.8,23.65
MAY,3,22,24.34,24.47,2.46,28.25,59.61,1.89,244.01,21.91
MAY,3,23,25.18,24.64,2.41,24.17,78.2,1.55,223.37,20.8
MAY,4,0,32.06,24.32,2.27,19.16,45.92,2.54,281.73,20.18
MAY,4,1,24.84,24.97,2.28,21.25,46.7,1.81,299.08,18.77
MAY,4,2,15.42,25.7,2.33,26.08,62.11,1.99,284.8,18.18
MAY,4,3,12.44,25.8,2.28,27.17,68.68,1.94,240.42,17.18
MAY,4,4,19.5,25.82,2.27,23.2,120.85,1.57,299.98,16.54
MAY,4,5,6.25,31.65,2.33,27.17,58.13,1.21,81.31,14.97
MAY,4,6,5.27,33.48,2.4,27.93,71.72,1.21,167.13,14.3
MAY,4,7,5.53,33.41,2.91,29.2,90.13,1.31,94.03,15.2
MAY,4,8,8.9,34.2,2.86,28.31,129.92,1.82,107.81,19.3
MAY,4,9,20.24,31.98,2.59,27.19,112.9,1.67,162.43,23.56
MAY,4,10,32.14,28.97,2.44,23.16,72.08,2.29,258.45,26.19
MAY,4,11,42.41,27.77,2.31,20.36,29.7,2.41,256.38,27.54
MAY,4,12,46.88,27.16,2.23,16.76,36.09,3.08,258.21,28.37
MAY,4,13,48.96,26.65,2.17,12.91,41.38,3.97,240.16,29.07
MAY,4,14,52.27,26.38,2.17,11.75,85.29,4.38,229.86,29.83
MAY,4,15,53.7,26.12,2.17,11.5,61.63,4.18,251.01,30.92
MAY,4,16,61.07,25.88,2.19,12.52,35.81,4.71,273.77,31.28
MAY,4,17,64.58,25.68,2.17,12.4,33.65,4.04,265.97,31.46
MAY,4,18,64.65,25.64,2.19,12.84,60.06,4.09,258.6,30.78
MAY,4,19,61.43,25.63,2.21,14.89,54.86,4.14,258.14,29.36
MAY,4,20,49.74,25.63,2.27,19.37,53.36,3.74,266.58,26.6
MAY,4,21,36.63,25.95,2.33,22.18,59.21,3.65,265.96,24.66
MAY,4,22,32.29,26.03,2.35,21.59,60.31,3.11,259.71,23.53
MAY,4,23,33.1,26.16,2.36,19.07,79.4,2.92,250.49,22.64
MAY,5,0,28.94,26.16,2.38,20.24,72.78,1.97,277.12,20.83
MAY,5,1,20.73,26.22,2.36,23.55,80.46,1.17,209.22,19.32
MAY,5,2,22.27,25.86,2.36,21.67,73.67,1.18,253.38,19.02
MAY,5,3,16.5,25.95,2.37,24.83,61.51,1.17,252.55,18.21
MAY,5,4,5.62,36.72,2.52,29.35,94.88,1.47,107.06,16.55
MAY,5,5,5.31,39.42,2.59,27.57,126.44,1.08,95.94,15.89
MAY,5,6,5.55,40.47,2.72,25.6,125.78,0.97,119.91,15.19
MAY,5,7,6.19,41.14,2.94,25.97,219.04,1.59,129.65,15.39
MAY,5,8,7.5,38.77,2.94,26.74,174.84,1.76,122.61,19.7
MAY,5,9,15.47,37.86,2.74,27.8,157.07,1.59,171.42,24.77
MAY,5,10,30.65,31.05,1.97,21.02,71.59,2.31,234.98,27.4
MAY,5,11,40.02,28.14,1.65,18.46,38.05,2.52,238.27,28.81
MAY,5,12,43.03,27.18,1.61,15.82,21.69,2.49,225.86,30.2
MAY,5,13,53.92,26.76,1.62,14.26,33.45,2.85,276.54,31.02
MAY,5,14,59.96,24.26,1.55,9.13,27.61,3.63,278.97,31.78
MAY,5,15,50.28,24.54,1.52,9.61,26.53,3.84,259.21,32.36
MAY,5,16,53.63,25.17,1.51,9.84,37.69,3.35,246.69,32.46
MAY,5,17,53.56,25.14,1.55,11.4,34.74,3.29,270.27,32.58
MAY,5,18,52.62,25.39,1.55,11.7,69.9,3.02,270.61,31.79
MAY,5,19,46.03,25.96,1.61,14.25,72.09,3.44,248.75,30.28
MAY,5,20,30.91,25.85,1.84,22.39,84.43,2.8,252.38,28.28
MAY,5,21,28.61,26.17,1.86,23.27,109.92,2.63,230.57,26.24
MAY,5,22,37.49,26.23,1.76,16.77,135.88,3.83,234.84,24.86
MAY,5,23,35.54,26.16,1.72,15.88,84.23,1.89,251.9,23.47
MAY,6,0,34.62,26.16,1.69,15.12,75.12,2.11,272.34,22.71
MAY,6,1,31.99,25.43,1.66,17.27,64.18,1.98,244.9,21.94
MAY,6,2,30.86,25.15,1.62,14.63,76.16,1.91,194.77,20.7
MAY,6,3,35.82,24.82,1.57,12.43,53.44,2.55,264.33,20.31
MAY,6,4,33.82,24.61,1.55,11.62,47.44,2.32,266.64,19.43
MAY,6,5,30.02,24.65,1.56,12.27,52.27,1.63,257.52,19.32
MAY,6,6,25.5,24.73,1.61,14.81,56.06,1.47,199.42,19.23
MAY,6,7,23.69,25.09,1.74,18.29,76.22,1.86,221.28,19.65
MAY,6,8,25.44,25.41,1.81,18.3,71.77,2,209.51,22.56
MAY,6,9,40.51,24.69,1.75,16.62,37.85,2.08,268.16,27.19
MAY,6,10,45.04,22.53,1.6,10.11,50.37,2.93,235.18,28.37
MAY,6,11,49.02,23.08,1.62,8.95,75.2,3.68,236.33,28.03
MAY,6,12,52.17,23.39,1.61,8.57,57.81,3.06,227.78,29.75
MAY,6,13,50.14,23.47,1.67,9.57,95.62,3.21,262.4,30.72
MAY,6,14,53.43,23.61,1.61,9.28,44.62,3.07,251.4,30.55
MAY,6,15,52.88,23.65,1.68,12.24,63.51,4.1,279.84,28.58
MAY,6,16,39.48,24.31,1.96,20.91,114.68,4.12,309.84,26.33
MAY,6,17,36.16,24.21,1.77,16.84,125.37,4.23,180.3,23.6
MAY,6,18,34.01,23.58,1.6,11.65,84.42,4.14,173.08,21
MAY,6,19,28.63,23.57,1.71,14.28,131.13,3.26,118.83,19.16
MAY,6,20,22.18,28.11,1.72,15.65,17.1,3.22,87.02,19.19
MAY,6,21,21.19,27.08,1.77,17.55,40.96,3.22,98.4,19.39
MAY,6,22,17.8,26.63,1.68,17.47,51.65,2.53,109.17,19.28
MAY,6,23,19.47,26.09,1.6,14.79,48.71,3.23,99.4,19.14
MAY,7,0,19.21,26.4,1.6,15.21,56.49,4.19,102.37,18.98
MAY,7,1,17.08,25.97,1.58,14.04,126.89,3,97.93,18.04
MAY,7,2,14.9,25.97,1.56,14.34,68.28,2.47,101.14,17.22
MAY,7,3,8.08,27.74,1.56,17.62,61.36,2,127.78,16.34
MAY,7,4,6,32.14,1.57,19.18,68.79,2.3,134.29,15.53
MAY,7,5,5.85,35.12,1.67,19.43,129.83,1.77,93.53,15.46
MAY,7,6,5.44,30.77,1.75,18.1,110.26,1.94,117.01,14.92
MAY,7,7,5.6,36.58,2.24,18.73,111.16,1.66,46.38,15.98
MAY,7,8,9.76,36.33,2.08,18.95,NA,1.85,103.67,20.55
MAY,7,9,13.68,34.72,1.93,21.76,42.68,2.74,134.17,22.84
MAY,7,10,30.19,30.51,1.7,17.51,23.6,2.49,139.14,25.32
MAY,7,11,40.61,28.63,1.65,16.39,24.53,1.78,146.87,28.14
MAY,7,12,49.91,27.41,1.58,14.37,40.75,2.59,204.27,29.23
MAY,7,13,56.04,33.63,1.64,13.1,34.91,2.42,229.53,30.04
MAY,7,14,58.06,31.77,1.58,12.54,28.18,2.48,195.07,31.29
MAY,7,15,51.19,25.6,1.49,10.7,10.66,2.7,227.34,32.24
MAY,7,16,50.81,25.53,1.48,10.4,12.58,2.41,254.68,32.92
MAY,7,17,51.81,25.53,1.46,10.63,15.84,2.48,227.33,32.96
MAY,7,18,55.86,25.8,1.54,12.2,42.51,2.57,251.69,31.71
MAY,7,19,51.33,26,1.6,14.6,55.2,2.6,246.34,30.01
MAY,7,20,38.17,26.58,1.8,20.7,99.96,1.56,219.14,27.8
MAY,7,21,15.14,27.99,2.09,31.67,160.85,1.47,146.35,26.45
MAY,7,22,16.15,27.74,1.84,26.63,135.41,3.52,94.22,25.61
MAY,7,23,22.18,26.71,1.6,16.85,83.25,4.66,85.83,24.15
MAY,8,0,22.87,26.04,1.5,13.92,47.84,4.11,85.67,22.93
MAY,8,1,21.66,25.59,1.47,12.92,41.16,3.36,89.96,22.52
MAY,8,2,24.9,26.65,1.42,11.17,27.3,2.73,82.39,22.34
MAY,8,3,15.9,25.86,1.42,15.27,18.76,2.34,132.42,20.77
MAY,8,4,6.38,26.36,1.44,18.53,39.97,2.73,113.56,19.63
MAY,8,5,5.92,26.21,1.47,19.24,26.71,2.34,115.36,19.65
MAY,8,6,7.82,25.78,1.54,17.81,38.37,2.29,113.44,18.52
MAY,8,7,5.98,26.97,1.75,19.3,70.31,2.19,92.95,17.92
MAY,8,8,9.93,28.41,1.83,18.09,58.01,3.12,81.55,20.63
MAY,8,9,17.3,29.43,1.85,18.78,69.17,2.53,131.51,25.16
MAY,8,10,35.77,26.89,1.67,16.72,44.05,2.49,206.3,28.18
MAY,8,11,49.46,26.05,1.7,16.94,53.25,2.2,243.34,30.03
MAY,8,12,57.1,25.57,1.69,14,49.86,2.6,276.84,31.41
MAY,8,13,60.39,25.09,1.6,12.15,41.2,2.5,228.37,32.29
MAY,8,14,63.59,25.14,1.64,13.67,40.65,2.76,314.88,33.11
MAY,8,15,72.19,25.58,1.58,12,46.41,2.66,219.88,34.02
MAY,8,16,75.24,26.56,1.62,12.11,73.03,3.02,238.78,32.26
MAY,8,17,65.64,25.74,1.64,12.93,83.42,3.2,238.17,31.04
MAY,8,18,52.44,24.95,1.67,14.82,77.29,3.27,251.66,31.27
MAY,8,19,47.1,24.83,1.67,15,82.36,4.04,98.34,29.8
MAY,8,20,33.15,25.29,1.64,15.34,111.36,4.98,88.84,25.48
MAY,8,21,33.9,25.4,1.6,13.96,92.56,4.79,119.55,22.64
MAY,8,22,30.54,25.49,1.66,13.46,163.38,3.58,123.71,18.47
MAY,8,23,31.14,26.36,1.53,11.03,179.02,4.81,142.79,16.53
MAY,9,0,33,25.34,1.49,10.35,9.02,2.88,93.09,17.76
MAY,9,1,26.35,26.39,1.48,11.89,43.03,2.71,75.36,18.14
MAY,9,2,26.3,27.1,1.48,11.65,41.91,2.61,77.53,17.94
MAY,9,3,21.55,27.72,1.49,12.64,40.54,1.59,112.05,17.34
MAY,9,4,9.8,27.58,1.52,18.23,56.37,1.99,117.54,16.99
MAY,9,5,7.82,27.11,1.59,19.06,74.55,1.16,126.16,16.77
MAY,9,6,8.14,27.47,1.68,19,79.28,1.34,87.2,16.28
MAY,9,7,6.7,29.02,1.78,18.28,99.43,1.63,117.21,16.62
MAY,9,8,9.9,28.94,1.84,17.19,11.29,2.09,104.45,19.94
MAY,9,9,19.51,29.01,1.81,15.86,5.21,2.28,101.2,23.1
MAY,9,10,28.96,31.69,1.86,20.48,33.15,2.32,118.92,25.83
MAY,9,11,39.45,28.88,1.71,17.25,51.26,2.81,105.79,27.03
MAY,9,12,50.05,27.45,1.64,15.24,24.59,2.62,113.44,28.63
MAY,9,13,59.15,27.41,1.6,15,34.55,2.28,151.26,30.22
MAY,9,14,57.84,31.91,1.63,13.18,7.89,2.04,188.45,31.93
MAY,9,15,62.86,30.92,1.62,13.28,19.86,2.2,236.19,32.79
MAY,9,16,60.31,25.97,1.56,11.98,10.85,2.09,252.68,33.58
MAY,9,17,65.41,26.31,1.55,12.27,19.82,2.08,262.06,33.27
MAY,9,18,62.58,26.92,1.55,12.48,24.08,1.76,238.75,32.88
MAY,9,19,51.52,32.88,1.66,16.11,53.45,2.3,133.94,30.31
MAY,9,20,35.31,26.15,1.71,22,67.09,2.01,128.7,27.68
MAY,9,21,13.08,27.02,1.95,31.06,100.79,1.96,126.78,25.89
MAY,9,22,20.03,28.43,2.03,29.81,128.81,2.84,258.41,25.78
MAY,9,23,30.19,27.6,1.87,24.23,58.41,1.95,168.34,24.57
MAY,10,0,28.9,26.76,1.76,20.58,65.04,1.94,196.39,23.33
MAY,10,1,19.56,26.6,1.86,23.99,68.69,1.88,280.75,22.96
MAY,10,2,22.29,25.88,1.84,22.02,77.63,2.01,262.02,21.78
MAY,10,3,27.54,25.41,1.78,17.26,103.64,2.73,268.4,20.51
MAY,10,4,29.81,24.96,1.72,15.41,84.39,2.39,251.79,19.72
MAY,10,5,29.23,24.82,1.7,14.42,66.49,2.16,285.62,19.22
MAY,10,6,23.16,24.67,1.77,17.65,71.43,1.74,276.51,18.72
MAY,10,7,19.85,24.89,1.87,18.83,95.63,1.14,248.38,18.45
MAY,10,8,31.36,25.28,1.89,17.15,25.27,2.52,238.41,21.43
MAY,10,9,40.8,25.38,1.79,14.07,24.82,2.4,248.33,24.82
MAY,10,10,43.47,24.96,1.76,12.82,25.05,2.23,268.56,26.92
MAY,10,11,48.1,24.63,1.68,11.17,32.87,2.39,240.73,29.36
MAY,10,12,52.56,24.31,1.64,10.24,35.34,2.28,196.14,30.61
MAY,10,13,55.38,24.13,1.61,9.88,35.66,2.49,214.86,32.36
MAY,10,14,57.35,23.85,1.6,9.92,52.08,2.77,207.41,32.5
MAY,10,15,59.48,23.9,1.63,10.36,45.32,3.14,247.89,33.49
MAY,10,16,60.87,23.74,1.63,10.28,57.42,2.81,248.57,32.96
MAY,10,17,60.64,23.73,1.61,10.76,46.02,3.3,278.08,33.25
MAY,10,18,59.63,23.6,1.61,11.17,58.35,3.17,245.51,32.51
MAY,10,19,55.4,23.45,1.62,11.11,71.93,3.46,203.66,30.76
MAY,10,20,42.85,23.14,1.69,13.05,111.8,3.03,169.84,26.86
MAY,10,21,33.63,23.49,1.83,16.16,106.24,1.95,171.13,25.35
MAY,10,22,26.89,24.11,1.85,17.81,95.63,1.88,145.71,24.26
MAY,10,23,24.39,23.85,1.77,16.32,85.08,1.87,145.4,22.78
MAY,11,0,24.7,24.64,1.74,15.71,59.87,1.84,225.89,22.4
MAY,11,1,31.33,24.65,1.65,12.82,62.97,2.13,213.38,22.04
MAY,11,2,28.04,25.27,1.64,11.96,61.54,1.64,187.89,20.59
MAY,11,3,29.74,24.91,1.62,10.98,64.19,1.83,264.82,20.13
MAY,11,4,25.99,24.88,1.63,12.66,55.62,2.23,272.74,19.63
MAY,11,5,16.72,25.08,1.65,17.83,62.66,2.39,293.96,18.72
MAY,11,6,7.35,25.51,1.84,23.47,67.8,1.85,315.14,18.07
MAY,11,7,6.03,27.12,2.44,24.36,106.47,1.59,266.58,18.69
MAY,11,8,10.46,27.53,2.3,24.3,88.08,1.61,266.47,20.77
MAY,11,9,22.19,26.94,2.11,21.75,63.71,1.8,248.67,23.71
MAY,11,10,30.09,26.39,1.94,20.36,42.45,1.77,232.91,26.05
MAY,11,11,37.3,25.81,1.82,18.74,63.09,1.7,176.22,26.34
MAY,11,12,44.82,25.94,1.7,14.92,42.25,1.85,172.17,29.69
MAY,11,13,47.92,29.78,1.69,12.61,38.62,2.27,230.14,31.29
MAY,11,14,51.07,30.35,1.61,11.13,35.2,2.44,189.13,32.21
MAY,11,15,66.54,26.43,1.48,8.72,44.57,2.48,180.74,32.81
MAY,11,16,59.16,23.04,1.49,8.68,36.04,2.41,128.7,33.12
MAY,11,17,58.06,23.44,1.49,8.82,42.77,2.52,151.23,32.76
MAY,11,18,50.36,23.42,1.51,9.53,67.66,4.11,177.33,30.19
MAY,11,19,38.38,24.16,1.6,12.7,134.01,5.25,241.54,27.91
MAY,11,20,30.31,24.94,1.64,13.91,188.64,5.23,263.73,25.39
