DATOS HORARIOS 2015_ NATIVITAS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
JUL,1,0,26.45,8.31,NA,20.63,30.58,2.72,114.13,18.13
JUL,1,1,36.85,11.71,NA,12.33,105.96,3.3,70.12,18.38
JUL,1,2,42.63,25.01,NA,10.77,19.42,3.52,76.43,17.47
JUL,1,3,40.42,17.83,NA,11.14,54.09,3.07,92.97,17.28
JUL,1,4,34.17,14.85,NA,16.23,33.44,2.1,110.14,16.94
JUL,1,5,25.07,15.76,NA,17.97,78.77,1.48,326.43,16.42
JUL,1,6,20.5,18.43,NA,23.79,50,1.89,307.01,16.26
JUL,1,7,13.9,16.47,NA,27.37,53.71,1.45,306.38,16.52
JUL,1,8,15.37,15.58,NA,25.2,16.84,1.64,138.65,17.57
JUL,1,9,30.97,16.27,NA,18.08,10.34,2.12,139.46,20.29
JUL,1,10,46.95,19.65,NA,13.48,14.04,2.21,162.01,24.2
JUL,1,11,51.15,17.83,NA,12.51,28.17,1.61,212.22,25.55
JUL,1,12,57.56,17.44,NA,14.21,63.18,1.86,282.99,26.42
JUL,1,13,67.63,16.83,NA,15.7,64,1.98,287.68,27.72
JUL,1,14,74.92,15.81,NA,14,68.86,2.57,283.31,27.66
JUL,1,15,61.79,13.73,NA,12.16,43.61,3.51,265.7,27.96
JUL,1,16,50.11,12.57,NA,12.26,80.1,4.22,280.14,26.32
JUL,1,17,46.32,12.03,NA,14.18,18.95,3.86,303.51,26.3
JUL,1,18,42.53,12.18,NA,16.83,37.76,3.25,298.66,25.79
JUL,1,19,36.17,25.47,NA,19.25,89.4,2.9,36.05,24.36
JUL,1,20,37.74,28.9,NA,15.25,150.58,3.7,60.26,23.08
JUL,1,21,36.69,20.13,NA,14.71,83.51,3.6,79.38,21.51
JUL,1,22,36.25,21.13,NA,13.71,58.67,2.95,61.62,21.16
JUL,1,23,33.06,37.74,NA,18.38,37.46,2.93,145.11,20.81
