DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
ENE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENE,1,1,0.99,18.29,2.052,25.12,580.35,2.08,106.14,17.82,60.83,626.88,3.42
ENE,1,2,0.99,16.91,1.352,21.21,449.2,2.43,127.88,16.56,64.22,627.01,2.35
ENE,1,3,1.31,8.81,0.962,12.66,303.93,3.11,113.75,15.79,69.08,627.15,2.41
ENE,1,4,3.37,7.15,0.752,8.04,184.64,3.42,108.83,15.33,71.06,627.27,2.43
ENE,1,5,1.99,4.01,0.592,6.9,141.43,3.67,107.66,14.59,73.98,627.35,2.48
ENE,1,6,0.99,3.08,0.462,7.12,122.14,4.35,107.97,14.05,76.98,627.42,2.52
ENE,1,7,0.99,1.88,0.352,4.55,117.2,4.56,109.47,13.37,79.73,627.53,2.59
ENE,1,8,0.99,0.88,0.282,3.53,78.22,4.91,103.6,12.95,81.49,627.55,22.08
ENE,1,9,2.33,0.2,0.192,1.45,46,4.81,101.83,14.29,78.04,627.44,171.14
ENE,1,10,6.18,0.2,0.142,0.99,26.65,5.05,96.83,16.74,68.8,627.2,366.02
ENE,1,11,10.75,0.2,0.122,1.32,58.31,5.1,89.73,18.86,61.38,626.95,535.26
ENE,1,12,14.10,0.2,0.122,1.84,51.63,4.59,94.86,21.32,52.92,626.73,649.18
ENE,1,13,18.12,5.27,0.162,2.76,70.96,4.84,89.77,22.91,47.64,626.59,712.69
ENE,1,14,17.79,20.72,0.162,4.02,64.09,4.96,82.75,23.76,44.61,626.52,556.92
ENE,1,15,17.67,36.37,0.172,5.51,72.84,4.86,76.35,24.93,41.3,626.37,630.65
ENE,1,16,19.26,30.42,0.202,5.79,66.88,4.2,79.92,26.25,37.85,626.22,491.46
ENE,1,17,21.28,7.9,0.182,3.15,49.78,4.43,97.91,26.22,37.36,626.18,306.02
ENE,1,18,19.80,6.05,0.212,3.88,78.32,4.19,74.75,24.84,40.9,626.19,104.84
ENE,1,19,15.95,6.65,0.192,3.97,85.05,3.91,64.74,21.88,48.93,626.41,85.3
ENE,1,20,9.47,3.2,0.252,4.66,81.52,4.11,61.15,19.61,56.04,626.49,13.76
ENE,1,21,4.53,10.94,0.242,5.25,73.91,4.4,81.21,18.14,61.6,626.58,18.08
ENE,1,22,1.28,53.97,0.182,6.58,82.65,5.57,78.62,16.56,67.3,626.85,10
ENE,1,23,9.27,39.74,0.132,4.98,77.58,5.59,73.57,15.81,69.92,626.91,34.63
ENE,2,0,11.84,18.84,0.092,1.87,68.28,5.59,70.78,15.26,72.01,627.1,36.38
ENE,2,1,13.43,17.11,0.062,1.85,53.24,5.41,68.63,15.34,71.67,627.22,6.33
ENE,2,2,8.10,42.1,0.042,3.8,56.22,3.87,79.91,14.61,74.31,627.3,18.58
ENE,2,3,9.81,27.15,0.032,2.34,41.18,3.75,74.16,14.4,75.31,627.33,24.08
ENE,2,4,11.52,25.1,0.022,2.64,32.2,3.58,75.29,15.18,71.63,627.29,2.47
ENE,2,5,13.57,10.91,0.012,0.08,26.16,4.34,97.54,14.67,72.37,627.35,2.52
