DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
MZO,1,0,12.68,0.2,0.182,9.95,52.06,1.76,94.92,19.15,45.81,627.06,25.58
MZO,1,1,8.36,0.25,0.112,13.42,50.8,1.07,133.88,18.95,47.13,627.05,2.32
MZO,1,2,13.75,0.91,0.082,7.52,52.79,0.95,85.52,18.65,48.85,627.11,2.25
MZO,1,3,15.64,3.3,0.062,5.4,48.47,1.02,62.34,18.62,50.47,627.05,2.25
MZO,1,4,12.62,5.49,0.072,8.16,55.17,0.96,96.94,17.52,54.27,627.15,3.49
MZO,1,5,1.03,4.39,0.102,16.67,68.86,1.03,135.71,16.05,58.28,627.27,2.43
MZO,1,6,0.99,3.6,0.162,14.99,75.11,1.06,91.91,15.5,63.65,627.35,2.49
MZO,1,7,2.50,4.14,0.232,10.31,120.26,1.02,92.71,14.86,66.67,627.33,2.59
MZO,1,8,0.99,5.27,0.332,12.09,128.87,1.04,126.01,14.59,69.23,627.35,36.61
MZO,1,9,0.99,5.22,0.412,11.13,68.53,1.44,113.91,17.77,62.9,626.99,259.09
MZO,1,10,10.06,5.12,0.322,8.53,59.26,2.69,120.49,20.89,53.73,626.7,512.87
MZO,1,11,13.05,4.53,0.292,10.66,77.29,2.01,134.49,23.55,47.05,626.49,665.56
MZO,1,12,20.61,19.48,0.252,8.35,66.43,1.86,154.54,25.8,39.39,626.21,788.9
MZO,1,13,23.77,5.46,0.152,2.58,43.79,2.29,132.26,26.34,33.58,626.19,690.43
MZO,1,14,21.20,2.6,0.112,0.08,35.04,2.2,133.13,26.3,32.98,626.21,562.18
MZO,1,15,18.63,1.49,0.112,0.5,62.38,2.58,121.74,24.03,38.84,626.47,470.18
MZO,1,16,22.76,5.76,0.092,0.08,15.2,1.29,199.49,27.93,30.23,626.13,710.6
MZO,1,17,25.35,9.28,0.192,1.19,30.94,1.84,306.8,27.91,26.09,626.16,461.47
MZO,1,18,24.54,18.52,0.232,3.5,56.82,1.21,100.71,25.98,29.53,626.42,152.01
MZO,1,19,17.83,11.33,0.262,4.46,97.24,3.61,166.56,20.82,47.64,626.88,12.62
MZO,1,20,16.10,8.46,0.162,2.79,102.96,2.66,137.96,16.59,72.97,627.14,5.89
MZO,1,21,7.60,9.28,0.312,9.31,25,1.97,93.46,17.73,68.56,626.91,2.26
MZO,1,22,13.11,9.26,0.202,4.33,29.11,3.07,98.47,17.48,62.36,626.8,2.31
MZO,1,23,6.17,9.15,0.172,8.97,39.55,2.09,108.31,16.75,65.59,626.97,2.35
MZO,2,0,9.57,8.75,0.122,3.47,35.86,2.69,85.74,16.22,67.62,626.94,2.36
MZO,2,1,8.48,8.6,0.102,3.56,37.08,2.28,73.9,15.75,70.46,627.03,2.38
MZO,2,2,4.59,9.71,0.072,3.89,47.94,1.85,78.31,14.55,76.44,627.14,2.46
MZO,2,3,5.07,10.21,0.052,3.62,38.16,1.48,94.25,14.41,78.4,627.11,2.48
MZO,2,4,7.34,9.25,0.042,2.71,45.53,2.53,95.65,14.25,77.77,627.14,2.52
MZO,2,5,9.37,8.53,0.022,2.46,28.52,2.49,98.53,14.07,77.76,627.2,2.52
MZO,2,6,10.82,8.43,0.032,1.79,31.36,2.47,103.23,13.88,77.95,627.19,2.59
MZO,2,7,5.41,8.2,0.212,7.38,89.69,2.03,100.35,13.64,78.81,627.17,2.59
MZO,2,8,2.96,8.54,0.382,8.05,95.19,2.01,91.14,13.5,79.76,627.26,35.24
MZO,2,9,4.93,8.57,0.412,8.34,38.95,1.43,94.25,14.6,76.45,627.11,83.05
MZO,2,10,11.75,8.76,0.302,5.14,29.75,2.94,90.55,17.65,66.03,626.83,467.99
MZO,2,11,19.81,8.11,0.182,3.51,17.38,4.96,94.95,19.95,52.11,626.59,675.91
MZO,2,12,24.19,8.03,0.152,3.73,25.7,4.57,90.3,22.15,44.14,626.4,924.94
MZO,2,13,27.13,8.44,0.172,5.11,46.54,3.23,117.91,24.09,41.16,626.25,856.06
MZO,2,14,35.40,6.03,0.192,4.24,52.5,2.94,112.33,25.44,37.35,626.13,837.82
MZO,2,15,35.11,4.37,0.132,0.93,34.74,2.16,119.7,26.56,30.56,626.01,791.24
MZO,2,16,34.60,2.44,0.122,1.48,25.94,1.76,332.26,28,25.54,625.91,752.55
MZO,2,17,33.56,2.41,0.102,0.44,44.55,2.02,162.06,28.16,22.62,626.06,543.78
MZO,2,18,30.76,1.35,0.052,0.08,118.39,3.83,152.75,24.86,30.57,626.42,187.78
MZO,2,19,24.47,1.01,0.042,0.23,68.61,4.44,174.27,21.22,41.96,626.8,25.25
MZO,2,20,20.82,1.22,0.062,0.18,69.68,4.69,176.03,19.49,50.26,626.96,2.31
MZO,2,21,21.41,0.84,0.062,0.08,48.6,3.26,175.3,18.64,50.83,627.03,2.23
MZO,2,22,17.12,1.47,0.072,0.08,64.13,1.05,139.14,18.03,53.08,627.06,2.36
MZO,2,23,12.05,6.21,0.102,2.72,49.28,1.21,76.58,17.77,55.81,627.08,2.3
MZO,3,0,10.04,17.83,0.102,4.06,46.48,1.36,91.87,17.37,57.79,627.07,2.33
MZO,3,1,3.84,7.74,0.092,7.52,32.66,1.21,120.42,16.93,58.78,627.13,12.4
MZO,3,2,3.00,3.93,0.062,8.1,39.51,1.08,128.55,16.15,61.37,627.16,2.42
MZO,3,3,4.21,2.53,0.032,8.25,40.36,1.07,117.62,15.5,64.96,627.22,2.44
MZO,3,4,5.12,1.78,0.012,7.7,38.7,1.06,144,14.72,66.66,627.28,2.49
MZO,3,5,11.94,1.3,0.022,4.53,39.72,1.2,139.72,14.22,68.28,627.32,2.51
MZO,3,6,5.19,1.44,0.052,9.21,52.63,0.97,100.91,13.6,70.97,627.35,2.58
MZO,3,7,2.47,5.67,0.132,10.74,57.61,0.97,98.78,13.93,71.58,627.33,2.6
MZO,3,8,2.65,7.18,0.272,11.83,70.76,0.97,103.46,14.1,70.85,627.25,42.17
MZO,3,9,6.70,5.98,0.332,9.41,67.63,1.56,115.31,15.61,66.36,627.08,202.59
MZO,3,10,13.56,4.58,0.302,8.25,46.99,1.78,120.56,20.36,52.97,626.67,586.5
MZO,3,11,24.02,2.31,0.242,2.34,41.53,1.29,231.17,23.58,43.37,626.34,712.14
MZO,3,12,32.58,1.01,0.182,1.24,37.68,2.1,283.39,24.79,35.34,626.25,793.27
MZO,3,13,41.53,1.11,0.182,3.21,54.58,2.84,294.2,26.2,31.18,626.08,972.03
MZO,3,14,51.63,2.5,0.252,2.21,63.36,2.25,271.57,27.51,27.87,626.02,828.94
MZO,3,15,51.41,1.66,0.222,2.56,56.32,2.24,284.84,28.3,25.26,626.01,871.09
MZO,3,16,51.75,2.82,0.212,3.12,68,2.17,119.54,27.33,24.72,626.16,513.23
MZO,3,17,40.07,5.87,0.262,4.46,51.29,2.82,85.88,28.44,15.84,626.1,564.62
MZO,3,18,30.92,8.51,0.292,6.46,60.82,3.27,84.39,27.96,12.01,626.2,321.08
MZO,3,19,28.20,12.2,0.292,7.38,74.1,3.14,63.19,25.58,15.14,626.45,58.56
MZO,3,20,20.48,33.68,0.302,11.37,58.4,2.23,59.91,23.09,20.07,626.69,2.04
MZO,3,21,20.56,79.37,0.292,8.11,58.53,2.92,61.55,21.56,24.8,626.86,2.08
MZO,3,22,20.63,59.98,0.242,6.09,42.21,2.25,74.9,20.05,26.99,627,2.22
MZO,3,23,18.00,46.54,0.182,5.87,48.12,2.59,68.76,18.21,30.67,627.14,2.33
MZO,4,0,18.61,46.4,0.142,5.39,54.93,2.32,71.06,17.51,35.72,627.22,2.34
MZO,4,1,17.00,21.01,0.102,6.5,46.02,2.02,75.97,16.94,39.33,627.24,2.37
MZO,4,2,20.13,19.06,0.052,2.97,33.53,2.14,69.58,16.3,40.15,627.26,2.45
MZO,4,3,11.76,NA,0.022,10.92,33.91,1.28,143.47,14.86,41.2,627.36,2.5
MZO,4,4,5.53,NA,0.012,15.19,44.58,1.26,130.98,14.06,44.21,627.38,2.57
MZO,4,5,9.73,NA,0.012,11.18,46.31,1.24,106.34,13.42,47.17,627.45,2.55
MZO,4,6,2.39,NA,0.072,16.39,61.27,1.15,111.73,12.19,52.9,627.53,9.32
MZO,4,7,0.99,NA,0.182,18.01,72.62,1.01,97.34,11.61,53.5,627.55,2.86
MZO,4,8,0.99,NA,0.302,16.78,85.01,0.97,141.47,13.11,50.62,627.35,88.83
MZO,4,9,5.58,NA,0.332,13.73,81.62,1.19,114.8,18.11,37.48,626.81,344.62
MZO,4,10,18.29,3.19,0.162,11.49,75.55,1.05,141.08,21.61,30.98,626.35,556.21
MZO,4,11,34.34,3.51,0.042,2.01,56.62,2.85,107.04,23.19,24.93,626.35,700.49
MZO,4,12,36.18,1.69,0.042,1.7,51.28,3.51,107.76,24.32,23.25,626.3,958.63
MZO,4,13,38.45,1.54,0.062,0.59,49.75,3.55,101.71,25.32,20.6,626.26,955.85
MZO,4,14,39.27,0.86,0.062,0.08,40.27,3.34,102.24,26.49,17.97,626.12,919.83
MZO,4,15,38.39,0.47,0.062,0.08,41.56,3.35,108.82,27.19,17.09,626.15,919.67
MZO,4,16,35.85,1.11,0.072,0.57,86.7,3.53,90.04,27.6,17.08,626.13,762.03
MZO,4,17,35.97,1.24,0.072,0.25,100.29,3.01,112.14,27.56,17.87,626.15,541.66
MZO,4,18,35.87,0.84,0.072,0.18,54.62,3.48,120.34,26.48,19.27,626.35,292.29
MZO,4,19,25.96,11.4,0.102,7.66,65.67,2.27,115.99,24.09,22.53,626.54,62.57
MZO,4,20,14.75,25.51,0.262,12.58,98,3.1,75.29,21.47,28.53,626.88,3.89
MZO,4,21,20.78,52,0.232,5.09,76.77,4.1,64.28,20.71,29.55,626.97,7.13
MZO,4,22,25.22,31.44,0.152,0.74,80.95,4.3,67.74,19.39,31.12,627.13,3.91
