DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
OCT,1,0,11.84,1.48,0.142,2.51,21.86,2.74,104.18,18.37,77.59,626.31,3.27
OCT,1,1,10.88,0.79,0.182,1.44,30.94,3.21,98.19,17.47,82.58,626.21,9.29
OCT,1,2,9.85,0.42,0.172,0.93,29.83,2.83,90.6,16.78,85.58,625.9,8.09
OCT,1,3,8.29,0.29,0.182,1.61,25.36,2.46,89.01,16.37,86.9,625.63,12.15
OCT,1,4,6.2,0.2,0.172,2.79,15.37,3.27,98.26,15.9,88.18,625.34,25.39
OCT,1,5,3.38,0.2,0.172,5.49,17.81,3.21,95.13,15.48,88.34,625.13,20.56
OCT,1,6,1.25,0.56,0.112,7.06,30.22,3,96.55,15.06,88.9,625.41,10
OCT,1,7,0.99,0.6,0.052,7.54,37.33,3.3,90.09,15.16,88.77,625.71,11.83
OCT,1,8,0.99,0.69,0.012,6.15,24.57,3.17,113.15,16.91,83.59,626.02,147.04
OCT,1,9,0.99,1.31,0.072,4.86,25.05,3.54,101.61,19.46,75.15,626.43,330.84
OCT,1,10,8.7,0.54,0.142,1.82,5.85,4.05,89.42,22.36,60.05,626.47,603.39
OCT,1,11,13.73,0.4,0.102,1.02,19.15,4.25,97.57,24.12,52.59,626.39,786
OCT,1,12,18.78,0.2,0.212,0.88,21.94,3.68,101.23,25.45,47.55,626.13,732
OCT,1,13,21.38,0.77,0.372,1.31,30.09,2.46,101.46,25.89,46.37,625.45,476.47
OCT,1,14,21.55,13.13,0.252,2.83,14.11,2.28,92.55,28.29,40.14,624.38,851.46
OCT,1,15,20.44,16.64,0.042,3.69,23.45,2.35,113.67,29.09,36.62,623.49,722.54
OCT,1,16,19.85,10.03,0.512,2.56,35.91,2.53,304.35,28.54,37.48,622.84,444.51
OCT,1,17,21.39,1.76,0.192,0.74,18.99,2.73,295.29,30.01,34.16,622.46,477.55
OCT,1,18,22.98,0.2,0.212,3.37,26.79,3.3,291.29,28.72,37.66,622.47,251.16
OCT,1,19,19.52,7.08,0.282,6.12,48.86,3.18,176.34,25.59,47.45,622.93,45.88
OCT,1,20,14.88,4.2,0.102,8.6,72.69,1.86,159,23.25,55.31,623.44,6.38
OCT,1,21,6.05,2.55,0.122,17.88,81.66,2.27,295.2,23.3,55.23,623.87,27.43
OCT,1,22,4.02,5.28,0.292,14.65,68.67,2.12,340.17,23.13,57.11,624.43,33.26
OCT,1,23,3.1,18.54,0.232,11.7,100.61,2.72,106.61,21.72,64.98,624.89,37.96
OCT,2,0,6.82,5.8,0.062,3.34,62.08,3.72,80.87,20.26,71.94,625.03,18.49
OCT,2,1,8.21,1.61,0.052,1.61,50.71,3.95,80.21,19.82,73.81,625.07,10.37
OCT,2,2,24.58,NA,0.162,2.82,68.43,3.38,89.6,19.28,75.2,624.76,18.07
OCT,2,3,15.25,NA,0.402,1.73,143.03,2.63,76.92,19.05,75.63,624.56,28.63
OCT,2,4,8.08,79.53,0.102,1.78,29.61,3.11,89.35,18.65,77,624.23,10.94
OCT,2,5,5.54,12.68,0.022,1.86,38.87,2.91,86.86,17.93,80.97,624.15,21.28
OCT,2,6,4.7,47.73,0.222,2,34.56,3.54,87.95,17.51,82.61,624.15,5.67
OCT,2,7,6.78,136.86,0.132,3.77,63.24,3.03,92.58,16.67,85.57,624.36,8.6
OCT,2,8,2.05,16.18,0.122,4.62,30.89,2.6,113.85,17.43,84.68,624.85,106.21
OCT,2,9,7.48,9.06,0.142,1.49,2.84,3.17,98.21,20.75,72.61,625.29,337.35
OCT,2,10,12.45,4.37,0.112,0.49,2.44,3.63,80.4,22.94,61.5,625.37,534.32
OCT,2,11,16.25,2.81,0.132,0.08,2.35,2.87,105.22,25.53,52.03,625.17,754.56
OCT,2,12,19.54,4.06,0.362,0.08,2.4,2.33,109.22,27.73,45.22,624.84,900.98
OCT,2,13,27.1,24.39,0.252,2.21,43.2,2.1,145.44,29.22,40.67,624.22,865.63
OCT,2,14,37.66,14.34,0.152,2.75,43.42,2.56,257.2,29.32,38.81,623.36,482.7
OCT,2,15,30.28,3.16,0.442,0.56,41.14,2.57,254.73,29.77,37.94,622.47,808.57
OCT,2,16,27.03,2.46,0.212,3.06,56.14,4.6,255.91,27.63,46.37,622.05,284.24
OCT,2,17,20.18,3.02,0.312,2.26,35.75,3.04,230.1,27.81,43.33,621.79,336.49
OCT,2,18,22.54,0.98,0.012,2.03,13.41,3.42,302.75,28.69,36.95,621.73,218.71
OCT,2,19,16.7,0.88,0.162,7.28,82.73,3.52,308.69,25.61,50.29,621.98,10.68
OCT,2,20,12,4.07,0.152,8.38,83.3,3.55,10.93,24.35,55.64,622.61,1.75
OCT,2,21,9.66,6.11,0.092,5.63,42.14,2.52,60.34,23.55,54.83,623.27,3.04
OCT,2,22,10.17,4.05,0.252,3.07,23.92,3.35,73.93,21.94,58.22,623.75,21.48
OCT,2,23,10.53,2.13,0.172,0.6,47.44,4.34,67.88,20.11,66.21,624.09,25.17
OCT,3,0,11.11,2.16,0.162,0.08,34.6,4.16,64.34,19.43,69.36,623.84,21.5
OCT,3,1,10.7,0.83,0.132,0.49,29.27,3.27,82.81,19.12,71.16,623.91,6.22
OCT,3,2,9.11,NA,0.092,0.93,32.1,2.82,77.64,18.06,75.41,623.81,2.11
OCT,3,3,10.22,NA,0.062,0.14,32.87,2.99,79.86,17.43,78.87,623.51,11.72
OCT,3,4,9.59,1.22,0.092,1.66,31.45,2.52,74,17.46,78.61,623.38,2.1
OCT,3,5,2.67,0.53,0.302,5.99,47.43,2.45,118.48,16.24,83.35,623.48,15.88
OCT,3,6,2.48,0.49,0.012,5.53,43.32,2.56,94.76,15.87,85.49,623.7,28.26
OCT,3,7,0.99,0.2,0.182,7.14,52.99,1.97,96.51,15.62,87.25,623.9,12.92
OCT,3,8,0.99,0.6,0.142,7.5,28.59,2.96,110.63,17.67,82.12,623.99,152.4
OCT,3,9,4.15,0.27,0.232,4.33,3.16,3.43,101.69,20.58,70.68,624.26,381.31
OCT,3,10,10.69,0.42,0.142,3.12,15.97,3.67,112.21,22.97,61.36,624.27,591.55
OCT,3,11,15.28,NA,0.252,1.24,12.91,2.46,108.74,25.78,51.52,623.94,777.13
OCT,3,12,20.9,NA,0.172,0.08,13.66,2.38,207.59,28.18,44.81,623.42,946.27
OCT,3,13,30.72,NA,0.112,0.99,20.79,2.59,250.3,29.71,38.7,622.84,939.96
OCT,3,14,36.67,0.89,0.052,0.08,30.78,2.57,236.8,30.34,36.2,622.12,984.81
OCT,3,15,36.86,NA,0.302,0.08,43.14,2.91,254.17,30.11,36.03,621.43,690.42
OCT,3,16,38.75,NA,0.172,0.08,43.71,3.21,275.64,30.76,33.81,620.8,638.35
OCT,3,17,36.2,NA,0.092,1.37,49,3.26,276.25,29.86,35.31,620.57,288.9
OCT,3,18,27.11,NA,0.352,5.02,35.54,3.37,296.19,29.69,34.56,620.57,272.79
OCT,3,19,17.62,38.16,0.292,16.25,68.12,2.62,329.97,27.48,42.91,620.83,49.59
OCT,3,20,17.63,1.12,0.282,11.37,76.44,3.11,311.06,25.33,50.81,621.15,18.37
OCT,3,21,17.55,NA,0.282,9.88,37.82,2.07,269.67,24.62,50.65,621.79,6.49
OCT,3,22,15.74,NA,0.412,8.47,66.15,3.7,304.33,23.72,55.18,622.56,11.33
OCT,3,23,16.93,NA,0.262,4.82,72.87,2.29,63.87,21.56,65.34,622.71,24.82
OCT,4,0,11.67,NA,0.262,4.38,65.64,2.18,98.57,20.14,71.89,622.71,15.02
OCT,4,1,4.84,0.81,0.112,12.95,27.34,2.38,109.5,19.72,73.95,622.75,2.55
OCT,4,2,3.74,1.47,0.222,12.03,91.28,1.48,153.49,19.25,76.72,622.56,10.06
OCT,4,3,6.15,0.77,0.082,5.96,75.52,1.77,187.98,19.01,79.93,622.48,23.33
OCT,4,4,7.22,0.57,0.212,4.13,52.15,1.61,205.51,18.55,81.85,622.16,9.81
OCT,4,5,2.52,0.55,0.102,6.49,40.31,1.67,205.67,17.79,84.96,622.2,9.07
OCT,4,6,2.96,0.26,0.012,7.57,42.23,2.09,228.45,18.5,84.8,622.56,2.04
OCT,4,7,1.95,0.2,0.182,8.25,31.47,2.49,261.6,18.51,85.06,622.87,12.48
OCT,4,8,0.99,0.43,0.072,9.16,30.8,2.5,264.96,18.97,85.32,623.35,64.7
OCT,4,9,2.39,0.73,0.032,10.37,42.7,2.49,287.84,20.33,83.15,623.7,183.29
OCT,4,10,7.81,0.47,0.312,5.29,6.6,2.8,278.23,23.4,73.15,623.94,474.92
OCT,4,11,15.23,0.27,0.182,5.15,2.71,2.64,275.42,27.12,56.82,623.84,796.01
OCT,4,12,29.39,NA,0.102,2.71,3.52,2.94,263.61,28.17,47.84,623.34,891
OCT,4,13,38.26,NA,0.222,2.95,25.66,2.61,272.3,29.36,42.24,622.6,923.78
OCT,4,14,37.34,NA,0.062,0.51,23.28,2.69,272.04,30.16,36.78,621.84,925.92
OCT,4,15,35.09,NA,0.102,0.08,10.14,2.76,260.16,31.14,32.19,621.13,826.07
OCT,4,16,35.94,NA,0.162,0.08,24.14,3.01,280.12,31.58,29.69,620.6,659.78
OCT,4,17,37.54,NA,0.242,0.58,29.31,2.53,278.37,31.4,29.89,620.39,390.29
OCT,4,18,24.78,0.69,0.262,6.29,36.46,3.19,313.52,28.75,34.46,620.51,72.05
OCT,4,19,13.58,1.94,0.192,18.01,62.1,2.92,301.03,27.07,39.92,620.93,19.96
OCT,4,20,8.33,2.56,0.362,13.45,96.7,3.26,268.85,24.97,49.93,621.56,22.95
OCT,4,21,11.06,2.35,0.282,7,67.72,3.04,253.17,23.17,58.1,622.09,22.8
OCT,4,22,9.57,2.35,0.182,7.28,54.59,2.85,252.38,22.58,61.45,622.87,11.83
OCT,4,23,13.42,2.22,0.202,3.85,47.43,2.49,218.73,21.97,63.77,623.17,6.2
OCT,5,0,16.01,2.04,0.142,1.18,45.16,2.11,234.11,21.16,67.61,623.03,6.7
OCT,5,1,13.43,0.6,0.072,2.35,57.76,2.33,281.91,20.61,70.59,623.17,4.29
OCT,5,2,6.99,2.8,0.152,9.83,58.23,1.89,136.2,20.01,74.19,623.11,10.34
OCT,5,3,5.98,3.47,0.092,10.14,68.73,2.12,240.45,20.11,74.6,622.91,6.59
