DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
ABR,1,0,14.28,3.03,0.182,5.84,48.1,2.49,227.98,17.71,30.31,622.68,23.63
ABR,1,1,14.18,2.86,0.132,4.69,44.02,2.03,217.97,16.81,32,622.47,32.3
ABR,1,2,11.19,2.67,0.132,4.5,44.33,2.02,301.44,15.85,33.81,622.31,25.3
ABR,1,3,9.42,2.79,0.142,5.39,38.19,1.42,274.01,14.74,35.28,622.2,15.2
ABR,1,4,3.67,2.82,0.182,6.91,55.09,1.45,262.82,13.15,37.93,622.16,15.89
ABR,1,5,2.41,3.02,0.192,8.29,47.4,1.77,275.34,12.35,40.32,622.3,20.47
ABR,1,6,2,2.98,0.182,9.8,42.94,1.97,239.39,11.69,42.86,622.61,26.09
ABR,1,7,3.34,3.08,0.252,9.96,47.53,2.03,247.74,11.44,43.14,623.06,16.23
ABR,1,8,4.61,2.95,0.332,10.62,32.79,2.03,274.3,16.42,35.3,623.44,242.78
ABR,1,9,8.66,2.87,0.332,12.11,51.29,2.53,289.65,18.92,27.54,623.78,418.04
ABR,1,10,15.11,2.63,0.242,11.99,43.23,2.63,294.23,21.6,25.52,623.89,664.7
ABR,1,11,19.38,2.52,0.192,8.73,48,3.09,285.65,22.84,23.38,623.79,876.73
ABR,1,12,20.61,2.07,0.102,5.55,36.44,4.49,277.91,24.19,16.37,623.35,1067.09
ABR,1,13,19.47,1.66,0.022,2.91,32.47,5.28,276.39,25.19,12.62,622.58,1211.04
ABR,1,14,20.3,1.39,0.012,2.26,18.9,4.89,265.6,25.16,12.89,621.79,774.96
ABR,1,15,22.14,1.27,0.012,2.74,30.74,5.23,269.44,26.55,12.37,620.99,931.81
ABR,1,16,23.53,1.23,0.052,2.85,31.63,5.62,274.81,26.77,11.97,620.43,734.71
ABR,1,17,24.23,1.06,0.052,3.07,46.39,5.8,269.6,26.51,11.49,620.19,511
ABR,1,18,22.96,0.89,0.042,2.87,62.59,5.43,262.41,25.13,11.69,620.43,247.33
ABR,1,19,21.55,0.8,0.082,4.36,56.24,4.92,262.44,24.09,12.65,620.64,132.04
ABR,1,20,18.34,0.8,0.172,5.64,53.05,3.79,260.15,21.46,14.51,621.18,32.69
ABR,1,21,12.22,0.8,0.292,8.08,45.63,2.88,255.35,19.4,17.26,621.9,33.12
ABR,1,22,10.06,0.8,0.292,8.84,63.85,2.6,229.96,17.65,20.1,622.6,35.38
ABR,1,23,9.54,0.94,0.302,8.68,60.08,2.93,218.24,17.15,22.51,622.98,22.37
ABR,2,0,11.81,0.94,0.232,7.51,49.26,2.67,234.85,16.28,24.12,622.85,11.33
ABR,2,1,10.44,2.22,0.222,6.94,28.78,2.46,267.7,14.66,27.38,622.66,12.01
ABR,2,2,8.95,2.64,0.202,7.01,26.22,2.11,294.19,13.51,31.3,622.37,12.46
ABR,2,3,2,2.64,0.272,8.99,40.3,1.52,229.84,11.83,34.34,622.12,21.49
ABR,2,4,2.27,2.92,0.282,9.91,47.41,1.94,261.8,11.68,36.35,621.91,13.88
ABR,2,5,2,3.16,0.272,10.63,43.95,2.23,260.71,10.7,39.97,621.99,13.76
ABR,2,6,4.16,2.87,0.302,11.53,39.05,2.94,275.35,10.48,44.61,622.37,10.44
ABR,2,7,6.39,2.79,0.382,11.16,45.12,2.09,265.51,9.88,46.49,622.9,14.15
ABR,2,8,7.19,2.85,0.492,11,39.19,2.74,298.39,14.38,38.06,623.38,188.23
ABR,2,9,11.51,2.64,0.342,11.65,30.62,2.82,291.45,17.71,30,623.77,455.47
ABR,2,10,17.03,2.88,0.282,9.97,32.5,2.62,276.63,20.36,29.07,623.84,706.58
ABR,2,11,20.34,2.53,0.202,6.74,29.32,2.82,257.23,22.24,25.48,623.61,913.89
ABR,2,12,20.56,2.13,0.142,4.7,32.3,3.79,245.96,23.75,18.07,623.12,1060.56
ABR,2,13,21.6,1.95,0.092,3.48,31.79,5.15,248.78,24.81,14.57,622.46,1126.32
ABR,2,14,23.12,1.87,0.122,3.25,44.02,5.06,264.6,25.82,14.47,621.87,1112.04
ABR,2,15,25.19,1.61,0.252,3.56,31.57,5.88,268.15,26.54,12.01,621.02,1019.46
ABR,2,16,27.01,1.46,0.322,3.02,97.34,6.87,262.85,26.78,9.48,620.59,853.88
ABR,2,17,27.21,0.95,0.322,1.7,111.12,7.21,260.69,26.05,9.76,620.54,631.75
ABR,2,18,25.35,0.82,0.362,1.7,55.02,6.18,257.58,25.22,11.05,620.75,374.17
ABR,2,19,23.19,0.8,0.412,1.7,44.25,5.07,249.8,23.44,13.22,620.96,101.58
ABR,2,20,18.74,0.93,0.512,2.42,48.44,3.54,228.48,20.96,15.87,621.38,17.09
ABR,2,21,14.42,1.33,0.592,3.84,62.99,3.07,208.52,18.9,18.33,621.84,23.86
ABR,2,22,14.11,1.54,0.562,4.46,56.46,3.03,210.99,17.8,19.24,622.3,8.93
