DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
JUN,1,0,8.83,18.63,0.182,5.13,33.08,4.47,69.29,19.56,52.74,623.59,4.81
JUN,1,1,8.58,4.54,0.052,4.12,26.34,4.59,84.09,18.26,58.6,623.5,7.1
JUN,1,2,6.16,2.33,0.022,5.37,22.15,3.89,80.15,17.83,60.77,623.53,14.75
JUN,1,3,7.08,3.38,0.012,4.23,18.44,3.9,59.17,17.3,63.07,623.17,17.72
JUN,1,4,7.39,6.18,0.012,4.5,21.87,3.42,59.03,16.91,64.77,623.26,2
JUN,1,5,6.66,7.71,0.032,5.43,26.08,3.04,62.86,16.1,67.78,623.26,2.08
JUN,1,6,5.32,6.97,0.082,6.45,27.18,3.58,68.8,15.56,69.92,623.35,2.26
JUN,1,7,2,5.62,0.212,9.91,38.73,3.11,69.6,15.58,71,623.62,48.06
JUN,1,8,4.73,8.21,0.212,10.07,22.23,2.98,70.44,18.86,60.08,623.91,263.34
JUN,1,9,10.42,22.48,0.142,7.18,15.81,4.03,75,20.57,52.32,624.02,493.41
JUN,1,10,13.72,8.25,0.112,4.53,17.97,3.94,96.3,22.29,47.07,623.89,704.29
JUN,1,11,17.19,4.1,0.062,2.67,17.8,3.73,107.73,24.11,40.81,623.64,880.12
JUN,1,12,19.12,3,0.022,1.7,12.98,3.44,128.11,25.95,34.87,623.13,998.78
JUN,1,13,22.05,3.14,0.022,1.7,16.18,2.97,158.48,27.25,31.12,622.39,890.22
JUN,1,14,26.08,5.79,0.012,1.76,17.87,3.16,155.99,28.52,27.3,621.5,1076.58
JUN,1,15,31.84,9.6,0.042,2.41,16.52,2.95,269.22,29.28,25.11,620.7,956.15
JUN,1,16,31.5,9.99,0.152,2.52,20.18,3.3,255.5,30.54,19.91,619.97,782.75
JUN,1,17,24.36,26.82,0.252,4.36,35.43,3.06,74.56,29.84,20.05,619.53,395.75
JUN,1,18,23.51,5.11,0.132,4.12,34.02,3.69,87.08,29.85,19.65,619.26,354.41
JUN,1,19,18.64,1.32,0.132,7.63,46.97,4.4,78.08,27.31,26.66,619.48,77.11
JUN,1,20,12.39,5.89,0.172,10.6,60.53,4.31,82.08,25.38,29.57,620.02,18.5
JUN,1,21,8.91,19.63,0.132,9.16,49.35,4.95,75.52,24.07,35.26,620.73,32.98
JUN,1,22,5.6,34.42,0.092,7.98,58.65,5.57,68.58,22.61,44.23,621.23,18.79
JUN,1,23,7.13,9.89,0.062,5.28,42.86,3.65,20.2,21.36,48.32,622.05,24
JUN,2,0,12.38,1.38,0.042,3.18,25.1,3,255.58,20.02,51.91,622.64,38.63
JUN,2,1,12.62,0.8,0.052,5.25,26.92,1.79,154.35,18.55,55.22,622.39,27.73
JUN,2,2,9.09,1.68,0.032,3.86,36,3.97,65.38,18.99,60.55,621.99,13.28
JUN,2,3,11.04,1.35,0.012,2.3,19.55,4.4,62.88,18.71,61.41,621.84,4.6
