DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
AGO,1,0,24.29,27.87,0.042,6.05,25.92,5.31,54.68,18.95,41.79,624.99,15.35
AGO,1,1,20.15,20.8,0.012,9.01,20.29,4.66,74.25,17.92,44.31,624.71,33.54
AGO,1,2,9.58,19.22,0.042,15.25,19.7,2.22,147.4,15.66,54.19,624.85,24.34
AGO,1,3,10.05,9.45,0.012,12.78,20.83,2.21,110.18,14.85,58.99,624.89,4.47
AGO,1,4,8.43,5.21,0.012,11.91,12.09,3.17,75.44,13.85,64.76,624.8,28.99
AGO,1,5,4.57,11.79,0.022,16.67,22.33,2.89,95.22,13.43,68.14,624.62,31.15
AGO,1,6,2,6.94,0.132,17.45,51.87,2.49,118.57,11.77,74.33,624.77,15.43
AGO,1,7,2,7.46,0.152,15.83,39.81,2.19,138.16,11.65,76.77,625.29,31.78
AGO,1,8,2,11.11,0.192,12.85,32.39,2.26,136.19,15.17,69.83,625.51,193.16
AGO,1,9,8.43,10.22,0.202,10.38,43.77,2.7,119.98,18.34,58.78,625.84,427.98
AGO,1,10,18.84,3.18,0.132,4.73,34.4,3.57,103.21,21.04,45.91,625.92,646.74
AGO,1,11,24.53,5.07,0.092,3.94,19.98,3.12,102.69,22.72,39.36,625.84,819.63
AGO,1,12,27.84,10.92,0.092,4.61,23.39,3.56,84.29,23.99,34.73,625.44,961.97
AGO,1,13,35.81,10.25,0.062,5.49,18.06,3.26,90.33,24.78,31.62,624.85,1023.41
AGO,1,14,40.81,7.62,0.042,3.98,19.06,3.69,97.69,25.88,28.75,624.27,1024.78
AGO,1,15,41.34,5.1,0.032,3.14,15.48,3.41,101.85,26.67,26.02,623.64,946.41
AGO,1,16,44.3,2.03,0.012,1.7,24.02,3.35,119.29,27.43,25.27,623.15,804.91
AGO,1,17,46.66,3.09,0.012,3.01,11.69,3.14,111.56,27.84,23.64,622.66,600.81
AGO,1,18,43.15,3.69,0.032,4.4,20.51,3.13,98.48,27.81,23.7,622.29,381.01
AGO,1,19,37.97,4.35,0.092,8.35,28.33,2.56,78.89,26.97,24.63,622.3,150.55
AGO,1,20,25.35,40.02,0.552,13.12,38.13,3.25,153.61,24.71,31.22,622.63,35.39
AGO,1,21,19.69,169.21,1.352,10.67,59,3.73,73.78,22.9,37.81,623.14,59.22
AGO,1,22,20.26,40.4,0.322,4.73,39.19,5.67,65.8,21.52,45.34,623.84,36.75
AGO,1,23,16.18,17.66,0.152,9.21,32.79,4.33,66.74,20.32,51.64,624.64,25.16
AGO,2,0,14.35,22.06,0.082,12.08,25.33,4.29,76.48,18.98,58,624.96,46.41
AGO,2,1,13.12,18.12,0.072,12.47,23.51,2.82,84.63,17.81,62.06,624.88,33.26
AGO,2,2,16.05,9.89,0.032,9.97,22.43,3.23,79.24,17.16,62.82,624.9,13.91
AGO,2,3,14.3,8.92,0.032,9.67,18.4,3.2,95.31,16.06,67.07,624.9,12.28
AGO,2,4,15.13,8.8,0.012,8.52,18.65,2.42,74.19,15.51,67.19,624.56,21.6
AGO,2,5,11.48,8.81,0.012,14.23,18.7,1.72,103.86,14.97,67.09,624.76,9.88
AGO,2,6,5.29,7.32,0.112,18.99,36.63,1.95,98.75,13.86,70.07,625.19,13.47
AGO,2,7,2,6.92,0.212,21.02,44.04,1.81,149.36,13.49,72.33,625.53,28.68
AGO,2,8,3.26,10.15,0.172,17.6,48.05,2.5,139.34,16.17,70.65,625.96,170.71
AGO,2,9,9.82,7.61,0.172,10.25,58.86,2.95,112.83,19.58,61.65,625.98,391.85
AGO,2,10,20.51,3.47,0.142,3,39.28,4.55,95.62,21.43,54.19,626.02,617.52
AGO,2,11,24.18,2.85,0.112,2.17,33.45,4.55,98.99,23,50.18,625.86,806.31
AGO,2,12,31.08,3.73,0.082,1.7,32.41,3.83,96.93,24.15,46.17,625.6,873.13
AGO,2,13,39.12,4.56,0.072,1.7,29.95,3.23,104.61,25.75,41.26,625.17,947.56
AGO,2,14,44.64,5.41,0.062,3.3,36.92,3.09,110.84,26.64,38.07,624.49,929.3
AGO,2,15,44.59,9.71,0.052,4.27,36.77,2.96,114.07,27.43,34.88,623.74,908.58
AGO,2,16,43,11.01,0.042,4.68,35.47,3.07,116.38,27.67,33.95,623.14,657.51
AGO,2,17,38.47,7.36,0.012,3.43,36.98,3.37,116.2,27.88,31.21,622.51,519.17
AGO,2,18,39.51,4.67,0.012,3.81,31.25,2.47,151.11,27.75,32.1,622.23,303.06
AGO,2,19,40.44,5.55,0.062,6.1,42.25,2.67,213.91,26.77,35.58,622.48,127.65
AGO,2,20,38.74,4.01,0.192,9.66,73.89,3.26,240.33,22.67,53.37,623.12,10.91
AGO,2,21,29.3,1.2,0.192,8.53,63.17,3.08,266.09,19.96,62.01,623.62,27.81
AGO,2,22,27.81,0.8,0.162,9.4,39.4,2.36,266.78,19.49,62.26,624.36,24.62
AGO,2,23,22.14,0.8,0.202,15.53,35.51,2.2,245.72,19.51,64.18,625.04,1.84
AGO,3,0,21.37,0.8,0.132,12.22,38.55,1.96,185.41,18.68,65.98,625.44,6.98
AGO,3,1,16.09,3.36,0.102,16.5,31.07,2.07,124.16,18.3,67.95,625.51,7.51
AGO,3,2,4.73,6.43,0.082,21.41,30.83,2.96,92.74,17.87,69.6,625.35,9.3
AGO,3,3,5.27,7.82,0.032,9.86,29.07,3.33,83.42,17.46,73.46,625.39,2.03
AGO,3,4,4.55,5.84,0.022,9.82,32.44,3.05,93.47,16.39,78.35,625.31,5.64
AGO,3,5,5.47,3.69,0.012,9.15,21.97,2.88,114.08,15.5,80.38,625.55,2.09
AGO,3,6,2,8.14,0.042,14.47,29.57,2.73,141.5,15.23,79.97,626.21,6.58
AGO,3,7,2,6.37,0.122,11.45,29.81,2.66,83.43,15.63,78.44,626.38,20.64
AGO,3,8,2,9.3,0.192,12.45,30.42,1.85,72.54,16.65,75.65,626.63,95.71
AGO,3,9,2,38.31,0.342,13.41,36.8,1.98,274.59,20.28,65.5,626.9,313.16
AGO,3,10,11.96,8.17,0.112,3.25,39.03,3.39,106.79,22.32,55.54,627.16,562.65
AGO,3,11,18.04,4.67,0.102,3.57,24.89,3.73,91.6,22.71,53.55,627,666.07
AGO,3,12,24.59,4.55,0.032,1.7,18.15,2.8,109.4,25.23,45.17,626.5,939.91
AGO,3,13,30.42,3.74,0.012,1.7,29.13,2.61,155.33,26.26,41.92,626.11,935.43
AGO,3,14,35.25,3.52,0.032,1.7,30.45,2.41,190.23,27.24,37.76,625.53,917.8
AGO,3,15,38.65,3.14,0.062,2.01,28.26,2.67,263.78,27.67,36.63,624.96,956.23
AGO,3,16,41.47,3.92,0.132,5.25,34.89,2.36,277.87,26.83,37.2,624.44,399.04
AGO,3,17,45.4,5.59,0.082,2.98,23.26,2.74,288.33,28.01,32.97,623.75,613.3
AGO,3,18,46.95,12.91,0.132,4.05,34.17,2.71,258.91,27.63,31.66,623.56,376.27
AGO,3,19,38.57,3.71,0.092,4.21,43.27,2.94,253.85,25.54,37.9,623.85,112.83
AGO,3,20,30.49,2.17,0.202,10.48,50.3,2.65,236.53,23.57,43.86,623.83,11.72
AGO,3,21,21.37,2.45,0.222,13.27,65.05,2.72,218.54,22.04,51.89,624.48,34.78
AGO,3,22,18.15,6.26,0.132,8.36,51.32,2.92,213.79,20.38,64.36,625.34,29.6
AGO,3,23,25.56,13.01,0.122,4.42,43.33,4.26,128.15,16.17,75.8,626.55,3.76
AGO,4,0,21.25,4.88,0.062,6.88,12.53,2.46,133.76,14.4,87.28,627.45,11.2
AGO,4,1,10.21,3.95,0.062,13,23.68,2.96,141.21,14.34,93.91,627.53,4.05
AGO,4,2,11.26,2.31,0.042,7.42,16.24,2.04,151.48,14.55,95.15,627.44,10.78
AGO,4,3,12.15,1.7,0.052,7.46,13.7,1.62,227.62,14.83,96.08,627.5,13.69
AGO,4,4,9.13,1.44,0.022,6.59,11.99,1.63,251.46,14.47,96.41,626.69,2.76
AGO,4,5,10.96,1.02,0.012,6.84,14.72,2.47,260.39,14.1,96.38,626.55,5.6
AGO,4,6,11.1,0.8,0.112,12.78,8.98,2.5,299.09,13.85,96.95,626.55,2.24
AGO,4,7,4.25,0.8,0.252,20.06,16.85,1.84,308.28,13.62,96.81,626.83,18.94
AGO,4,8,10.22,0.8,0.312,16.31,17.58,2.05,279,14.83,96.68,627.05,75.41
AGO,4,9,15.37,0.8,0.332,14.8,13.88,1.52,217.4,17.23,90.65,627.18,235
AGO,4,10,16.93,14.73,0.672,15.19,32.05,1.72,195.4,20.09,84.8,627.19,481.02
AGO,4,11,31.97,27.83,0.882,12.15,49.33,2.11,206.56,23.13,73.76,627.19,737.22
AGO,4,12,36.16,4.81,0.292,4.39,37.05,2.25,241.67,24.71,56.01,627.02,968.24
AGO,4,13,43.51,1.8,0.232,2.35,23.5,2.32,216.24,24.95,49.3,626.54,936.78
AGO,4,14,44.13,4.96,0.162,1.7,16.13,2.38,191.68,25.65,45.68,625.94,988.36
