DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
JUL,1,0,21.18,NA,NA,2.91,13.5,2.69,255.76,19.89,60.82,NA,2.3
JUL,1,1,17.87,3.62,NA,2.87,16.66,2.35,298.51,19.21,63.58,NA,2.31
JUL,1,2,14.03,5.61,NA,3.35,8.12,2.53,298.47,18.76,67.68,NA,2.33
JUL,1,3,11.31,5.53,NA,4.5,9.91,1.76,303.35,18.61,69.36,NA,2.29
JUL,1,4,6.15,5.9,NA,5.18,18.95,2.53,151.52,17.41,75.87,NA,12.4
JUL,1,5,9.58,5.43,NA,4.83,16.43,2.18,115.86,16.94,78.29,NA,2.45
JUL,1,6,3.5,6.41,NA,5.14,16.95,1.48,124.54,16.64,81.41,NA,2.71
JUL,1,7,0.2,6.47,NA,5.99,28.77,1.71,102.91,17.72,83.3,NA,57.76
JUL,1,8,7.67,6.31,NA,5.73,23.43,2.76,110.81,20.79,73.73,NA,220.24
JUL,1,9,13.51,4.2,NA,5.13,16.45,2.58,112.4,23.64,60.49,NA,412.84
JUL,1,10,18.14,3.93,NA,4.24,29.41,3.38,113.31,24.95,54.9,NA,599.78
JUL,1,11,21.03,3.62,NA,3.34,32.86,2.87,110.06,24.73,54.2,NA,500.03
JUL,1,12,23.17,3.5,NA,2.85,33.73,2.48,150.86,25.6,50.41,NA,358.65
JUL,1,13,24.84,3.9,NA,3.23,49.33,1.77,191.26,26.25,49.95,NA,488.98
JUL,1,14,30.62,4.41,NA,3.51,41.16,1.96,198.48,28.16,42.64,NA,616.68
JUL,1,15,32.25,4.85,NA,3.76,41.35,2.05,166.68,29.62,37.96,NA,704.25
JUL,1,16,37.26,4.28,NA,3.47,55.57,2.2,169.82,28.43,41.09,NA,372.67
JUL,1,17,34.72,4.53,NA,3.56,37.15,2.22,259.68,30.24,35.84,NA,604.95
JUL,1,18,31,4.99,NA,4.51,39.6,3.04,155.48,30.46,34.27,NA,431.63
JUL,1,19,24.3,4.75,NA,4.4,42.82,3.18,72.37,28.05,37.89,NA,58.42
JUL,1,20,17.43,8.32,NA,5.32,42.2,4.47,136.22,25.6,47.59,NA,5.98
JUL,1,21,26.06,5.19,NA,3.44,46.75,3.66,200.86,21.39,62.81,NA,2.19
JUL,1,22,26.2,4.58,NA,3.22,27.38,2.71,230.89,19.79,68.78,NA,2.3
JUL,1,23,25.53,5.65,NA,3.44,22.02,2.31,281.85,19.42,68.16,NA,2.28
