DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
SEP,1,0,9.08,3.5,NA,17.19,21.14,1.98,128.69,18.67,91.84,NA,8.97
SEP,1,1,8.21,4.9,NA,17.79,10.34,2.3,130.04,18.35,93.58,NA,2.37
SEP,1,2,9.67,11.21,NA,16.07,4.42,1.89,126.75,17.86,95.59,NA,2.36
SEP,1,3,14.3,12.14,NA,7.89,9.83,2.01,249.17,17.42,96.83,NA,2.4
SEP,1,4,13.31,9.99,NA,5.26,2.5,2.38,298.02,17.17,97.13,NA,5.73
SEP,1,5,11,6.84,NA,4.24,NA,2.43,278.22,16.92,97.23,NA,4.06
SEP,1,6,5.73,7.05,NA,7.08,9.74,2.03,271.28,16.88,97.53,NA,2.43
SEP,1,7,3.84,6.96,NA,9.6,12.93,2.09,266.28,16.84,97.86,NA,5.43
SEP,1,8,3.81,6.98,NA,9.92,6.81,1.77,272.77,17.29,98.23,NA,71.43
SEP,1,9,12.89,14.6,NA,9.9,8.81,1.8,325.76,20.17,95.57,NA,252.32
SEP,1,10,17.49,26.25,NA,7.35,3.72,1.93,114.24,21.61,81.77,NA,406.81
SEP,1,11,20.61,26.41,NA,5.34,6.79,1.81,104.55,24.5,78.39,NA,593.54
SEP,1,12,26.9,23,NA,11.55,6.06,1.82,292.35,25.19,74.77,NA,494.87
SEP,1,13,31.53,18.97,NA,6.5,9.6,2.14,253.46,25.95,65.05,NA,585.8
SEP,1,14,34.49,15.45,NA,2.75,18.98,2.4,259.92,27.55,52.4,NA,853.5
SEP,1,15,34.84,13.38,NA,2.7,11.22,1.98,219.44,29.22,43.66,NA,897.36
SEP,1,16,32.45,11.75,NA,3.14,17.5,2.5,265.09,29.85,38.59,NA,753.22
SEP,1,17,29.32,11.05,NA,4.76,14.34,2.97,299.22,29.67,38.21,NA,527.65
SEP,1,18,28.31,10.14,NA,8.25,22.8,3.08,296.76,27.79,43.95,NA,232.88
SEP,1,19,14.69,9.51,NA,13.04,34.16,2.78,273.95,24.93,56.27,NA,32.87
SEP,1,20,17.88,9.09,NA,18.22,20.77,3.39,304.39,23.34,62.12,NA,2.08
SEP,1,21,17.5,8.71,NA,13.69,16.69,3.48,254.35,21.77,66.9,NA,12.06
SEP,1,22,8.8,9.17,NA,5.93,17.73,3.72,244.25,19.83,70.49,NA,33.36
SEP,1,23,6.39,9.75,NA,5.58,20.05,2.68,265.08,19.4,73.02,NA,11.13
SEP,2,0,2.7,9.5,NA,6.97,8.92,1.94,185.54,19.24,75.03,NA,8.91
SEP,2,1,0.2,7.09,NA,17.79,29.92,2.3,130.04,18.35,93.58,NA,2.37
SEP,2,2,0.2,5.61,NA,16.07,15.86,1.89,126.75,17.86,95.59,NA,2.36
SEP,2,3,0.2,5.37,NA,7.89,21.21,2.01,249.17,17.42,96.83,NA,2.4
SEP,2,4,2.98,4.99,NA,5.93,7.52,2.38,298.02,17.17,97.13,NA,5.73
SEP,2,5,7.16,4.6,NA,4.91,4.27,2.43,278.22,16.92,97.23,NA,4.06
SEP,2,6,6.22,4.24,NA,7.75,9.22,2.03,271.28,16.88,97.53,NA,2.43
SEP,2,7,2.76,4.3,NA,10.27,7.05,2.09,266.28,16.84,97.86,NA,5.43
SEP,2,8,0.75,4.23,NA,10.59,9.33,1.77,272.77,17.29,98.23,NA,71.43
SEP,2,9,12.15,4.17,NA,10.57,3.93,1.8,325.76,20.17,95.57,NA,252.32
SEP,2,10,17.61,4.54,NA,8.02,14.41,1.93,114.24,21.61,81.77,NA,406.81
SEP,2,11,21.02,4.5,NA,6.01,13.1,1.81,104.55,24.5,78.39,NA,593.54
SEP,2,12,22.5,4.78,NA,12.22,31.97,1.82,292.35,25.19,74.77,NA,494.87
SEP,2,13,27.4,4.79,NA,7.17,40.63,2.14,253.46,25.95,65.05,NA,585.8
SEP,2,14,25.7,4.14,NA,3.42,14.59,2.4,259.92,27.55,52.4,NA,853.5
SEP,2,15,25.83,3.81,NA,3.37,7.01,1.98,219.44,29.22,43.66,NA,897.36
SEP,2,16,30.07,3.74,NA,3.86,9.03,2.5,265.09,29.85,38.59,NA,753.22
SEP,2,17,31.04,3.64,NA,5.43,14.29,2.97,299.22,29.67,38.21,NA,527.65
SEP,2,18,30.77,3.77,NA,8.92,21.7,3.08,296.76,27.79,43.95,NA,232.88
SEP,2,19,16.9,3.85,NA,13.71,33.45,2.78,273.95,24.93,56.27,NA,32.87
SEP,2,20,11.42,4.25,NA,18.89,30.9,3.39,304.39,23.34,62.12,NA,2.08
SEP,2,21,12.05,4.41,NA,14.36,33.99,3.48,254.35,21.77,66.9,NA,12.06
SEP,2,22,16.43,3.9,NA,6.6,20.9,3.72,244.25,19.83,70.49,NA,33.36
SEP,2,23,15.66,3.5,NA,6.25,9.77,2.68,265.08,19.4,73.02,NA,11.13
SEP,3,0,NA,NA,NA,7.64,NA,1.94,185.54,19.24,75.03,NA,8.91
SEP,3,1,12.93,4.11,NA,6.31,10.19,3.37,160.8,17.91,83.71,NA,9.1
SEP,3,2,17.32,4.43,NA,2.7,17.69,4.25,164.41,16.42,94.4,NA,4.67
SEP,3,3,19.33,3.95,NA,3.28,7.37,2.53,151.39,15.95,96.59,NA,2.5
SEP,3,4,17.66,3.95,NA,5.3,NA,2,273.38,15.98,96.92,NA,2.41
SEP,3,5,10.89,4.09,NA,11.13,7.3,2.32,311.72,15.73,96.9,NA,5.24
SEP,3,6,8.43,4.4,NA,14.88,7.47,1.76,230.28,15.56,97.21,NA,12.06
SEP,3,7,0.2,4.48,NA,18.43,17.03,2.17,121.59,15.34,98.18,NA,20.29
SEP,3,8,1.72,4.55,NA,20.4,16.47,2.29,121.77,17.19,97.5,NA,175.93
SEP,3,9,12.57,4.32,NA,8.89,6.87,2.85,136.85,20.01,90.52,NA,317.25
SEP,3,10,19.39,3.5,NA,9.09,21.65,2.51,125.78,22.14,81.84,NA,588.44
SEP,3,11,26.95,3.5,NA,4.93,7.74,2.64,108.57,24.01,70,NA,730.25
SEP,3,12,30.14,3.53,NA,4.31,13.42,3.33,105.01,24.89,62.12,NA,878.67
SEP,3,13,30.45,3.5,NA,3.89,13.62,3.08,103.7,26.38,53.14,NA,935.68
SEP,3,14,30.2,3.5,NA,4.77,10.9,3.04,95.35,27.36,46.31,NA,952.1
SEP,3,15,31.4,3.57,NA,3.76,9.56,2.6,101.96,28.74,39.38,NA,875.88
SEP,3,16,32.95,4.01,NA,4.39,12.12,2.94,111.97,29.37,35.35,NA,728.23
SEP,3,17,34.3,3.65,NA,2.82,8.19,2.95,129.23,29.74,33.38,NA,522.18
SEP,3,18,34.07,3.5,NA,3.97,12.02,3.17,142.96,29.02,36.09,NA,285.11
SEP,3,19,30.71,3.5,NA,11.01,50.31,2.68,168.68,27.07,42.64,NA,77.32
SEP,3,20,23.51,3.65,NA,21.54,39.29,2.11,246.65,24.45,51.66,NA,2
SEP,3,21,22.81,3.93,NA,10.69,38.79,2.5,234.9,22.19,61.21,NA,2
SEP,3,22,19.39,3.9,NA,9.45,19.95,2.36,285,20.5,67.72,NA,2.12
SEP,3,23,13.03,4.32,NA,15.25,23.37,2.12,327.2,20.13,71.97,NA,14.91
SEP,4,0,15.27,4.46,NA,12.43,13.72,1.99,318.71,19.9,75.71,NA,2.14
SEP,4,1,9.8,4.67,NA,17.02,22.11,2.19,108.67,19.42,80.76,NA,5.57
SEP,4,2,6.87,3.97,NA,15.6,18.47,2.61,122.96,18.72,84.72,NA,2.27
SEP,4,3,9.07,3.67,NA,15.85,12.73,2.19,142.29,17.86,89.53,NA,2.32
SEP,4,4,11.85,3.5,NA,9.85,15.05,1.61,133.08,17.65,91.91,NA,10.64
SEP,4,5,8.51,3.51,NA,15.88,19.19,1.44,163.63,17.29,90.8,NA,2.88
SEP,4,6,3.58,3.68,NA,23.74,23.93,1.84,294.64,17.41,89.12,NA,3.39
SEP,4,7,NA,4.55,NA,27.08,28.29,1.95,288.33,17.1,89.84,NA,14.95
SEP,4,8,0.95,4.76,NA,23.79,31.08,2.13,265.48,18.92,89.7,NA,111.7
SEP,4,9,7.48,4.6,NA,18.22,25.95,2.02,287.48,20.31,86.79,NA,181
SEP,4,10,19.69,6.19,NA,11.57,23.63,1.99,124.29,24.25,69.24,NA,510.94
SEP,4,11,23.26,4.08,NA,4.71,19.71,3.54,100.21,25.36,55.49,NA,744.43
SEP,4,12,25.75,3.5,NA,4.66,15.25,3.5,126.22,26.46,52.29,NA,829.33
SEP,4,13,26.82,3.5,NA,3.9,9.86,2.98,115.49,26.83,49.57,NA,575.06
SEP,4,14,25.9,3.5,NA,4.68,13.9,3.21,107.96,26.76,49.07,NA,556.63
SEP,4,15,26.77,3.7,NA,3.41,8.88,2.89,115.58,28.26,44.23,NA,712.15
SEP,4,16,27.81,3.53,NA,2.7,7.68,2.85,129.13,28,42.83,NA,411.18
SEP,4,17,28.69,3.5,NA,2.7,11.88,2.02,167.06,28.18,42.91,NA,366.95
SEP,4,18,28.54,3.66,NA,4.96,20.05,2,165.42,29.28,39.18,NA,278.91
