DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,1,0,2.08,3.40,NA,33,1.23,130.53,14.43,46.38,5.67
FEB,1,1,NA,3.51,NA,24,1.42,175.31,12.98,49.17,2.95
FEB,1,2,NA,4.06,NA,24,1.24,258.83,12.35,49.87,19.08
FEB,1,3,NA,5.50,NA,29,1.22,206.34,11.45,53.21,5.89
FEB,1,4,NA,4.17,NA,35,1.92,235.85,10.90,58.16,11.42
FEB,1,5,NA,2.55,NA,23,2.06,295.04,10.25,59.26,19.37
FEB,1,6,NA,4.46,NA,23,1.23,43.15,8.44,62.16,12.70
FEB,1,7,NA,5.55,NA,32,1.58,166.10,8.35,65.47,66.02
FEB,1,8,NA,7.34,NA,45,1.10,120.20,8.66,65.59,15.81
FEB,1,9,2.00,11.25,NA,69,1.77,105.80,11.89,61.18,201.76
FEB,1,10,4.94,6.26,NA,33,1.49,191.24,18.35,45.34,455.30
FEB,1,11,12.08,3.79,NA,41,1.73,175.27,21.44,37.34,631.44
FEB,1,12,26.67,1.76,NA,20,1.79,268.13,23.55,32.69,767.36
FEB,1,13,35.22,1.10,NA,16,2.50,213.21,23.85,30.64,851.28
FEB,1,14,32.08,NA,NA,7,2.48,276.09,25.24,26.12,631.61
FEB,1,15,29.03,NA,NA,4,4.03,282.97,25.42,21.20,789.14
FEB,1,16,35.17,NA,NA,8,3.62,269.27,25.91,21.04,642.24
FEB,1,17,33.81,NA,NA,8,2.98,245.60,26.17,18.98,444.69
FEB,1,18,31.14,NA,NA,20,3.41,268.38,25.33,19.87,201.37
FEB,1,19,18.14,NA,NA,22,2.65,294.31,22.45,24.59,33.98
FEB,1,20,2.00,1.38,NA,35,1.80,214.08,20.16,27.25,19.28
FEB,1,21,2.00,2.23,NA,62,1.60,217.59,18.78,31.79,6.58
FEB,1,22,2.41,2.53,NA,47,1.76,196.28,18.10,34.91,8.84
FEB,1,23,7.72,2.23,NA,41,1.69,212.80,17.13,40.65,30.73
FEB,2,0,4.17,2.60,NA,40,1.46,70.48,15.81,43.57,39.63
FEB,2,1,10.97,6.27,NA,50,1.32,63.46,14.72,47.82,27.87
FEB,2,2,NA,5.71,NA,72,1.26,1.14,13.76,49.20,27.38
FEB,2,3,NA,7.54,NA,23,1.37,162.78,13.15,53.06,32.55
FEB,2,4,29.40,8.88,NA,42,1.19,162.57,12.36,58.81,37.56
FEB,2,5,25.50,8.43,NA,50,2.11,112.72,11.24,65.89,17.54
FEB,2,6,17.04,8.66,NA,45,1.59,123.35,10.73,65.61,27.52
FEB,2,7,9.65,5.43,NA,43,1.30,154.29,10.28,65.29,7.57
FEB,2,8,NA,10.64,NA,33,1.53,112.83,10.61,66.47,25.76
FEB,2,9,13.99,15.68,NA,57,1.97,102.61,13.90,58.18,199.63
FEB,2,10,10.02,4.36,NA,44,2.43,102.51,18.18,45.53,442.27
FEB,2,11,19.92,3.40,NA,18,1.91,142.47,22.08,39.42,635.16
FEB,2,12,27.51,3.21,NA,4,1.88,164.82,24.68,33.41,771.29
FEB,2,13,34.81,1.10,NA,12,2.46,264.99,25.65,29.64,841.64
FEB,2,14,33.17,NA,NA,4,2.86,262.35,26.27,22.92,608.51
FEB,2,15,35.26,NA,NA,1,3.17,270.43,26.74,20.20,797.99
FEB,2,16,37.65,NA,NA,3,2.96,276.68,27.47,20.60,643.46
FEB,2,17,41.48,NA,NA,9,2.84,253.94,27.49,20.77,447.28
FEB,2,18,38.80,NA,NA,18,2.46,259.36,26.70,20.15,225.61
FEB,2,19,30.56,NA,NA,27,1.79,250.48,23.76,20.32,40.21
FEB,2,20,6.96,1.27,NA,38,1.52,289.56,20.99,24.64,8.68
FEB,2,21,4.27,2.02,NA,51,1.76,257.41,19.50,27.35,7.66
FEB,2,22,4.37,2.63,NA,54,1.84,153.14,17.56,30.96,64.13
FEB,2,23,3.61,2.47,NA,59,1.50,185.27,16.56,31.33,56.87
FEB,3,0,8.75,2.09,NA,38,1.56,240.81,16.03,30.44,22.79
FEB,3,1,NA,1.82,NA,32,1.30,296.81,14.72,31.48,5.66
FEB,3,2,NA,1.10,NA,41,1.43,152.77,13.38,37.43,17.36
FEB,3,3,NA,1.97,NA,39,1.69,116.48,12.48,44.41,5.73
FEB,3,4,NA,2.76,NA,41,1.56,124.80,10.77,51.70,14.20
FEB,3,5,2.00,2.70,NA,28,1.14,79.50,10.32,53.18,8.69
FEB,3,6,NA,7.10,NA,43,1.51,138.18,9.67,56.61,5.94
FEB,3,7,NA,31.72,NA,46,1.56,125.42,9.47,56.85,5.94
FEB,3,8,NA,10.57,NA,45,1.67,118.77,9.41,60.72,29.81
FEB,3,9,2.64,4.87,NA,37,2.48,102.03,13.27,52.40,216.48
FEB,3,10,11.87,4.87,NA,31,2.27,107.39,17.48,45.07,436.93
FEB,3,11,23.28,1.56,NA,15,1.79,305.01,22.01,34.81,635.53
FEB,3,12,35.75,NA,NA,10,2.57,275.82,24.24,28.06,782.48
