DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MZO,1,1,11.57,1.92,0.399,26,2.00,258.21,19.56,37.72,6.58
MZO,1,2,15.13,2.10,0.240,35,2.70,275.76,18.59,46.09,2.20
MZO,1,3,16.93,1.70,0.220,24,1.91,271.19,17.19,49.93,2.20
MZO,1,4,16.49,1.80,0.220,16,2.05,280.29,16.58,54.28,8.88
MZO,1,5,7.96,5.98,0.270,29,1.65,112.51,15.53,58.00,6.72
MZO,1,6,NA,4.94,0.329,30,1.35,80.21,14.35,62.66,8.41
MZO,1,7,NA,6.98,0.479,39,1.79,116.53,13.73,64.62,2.60
MZO,1,8,2.00,13.21,0.638,51,2.11,113.44,14.42,61.27,70.16
MZO,1,9,3.42,8.52,0.548,33,2.03,124.36,19.17,48.21,297.74
MZO,1,10,11.71,10.11,0.459,37,2.18,126.43,23.11,41.32,536.69
MZO,1,11,23.93,9.01,0.319,27,1.83,188.20,26.54,36.23,738.46
MZO,1,12,36.38,4.35,0.329,18,2.16,250.21,28.23,30.83,887.93
MZO,1,13,45.85,4.30,0.289,28,2.08,217.90,29.70,26.67,963.01
MZO,1,14,42.19,2.50,0.260,33,2.78,270.76,30.39,22.49,848.95
MZO,1,15,30.56,1.83,0.210,6,2.97,278.54,31.19,18.02,905.39
MZO,1,16,31.96,1.11,0.180,9,3.00,255.00,31.84,16.93,747.80
MZO,1,17,35.18,1.12,0.190,16,3.47,260.19,31.75,16.73,531.23
MZO,1,18,34.19,1.20,0.180,18,2.89,258.70,30.97,16.43,286.63
MZO,1,19,31.91,1.10,0.260,19,2.33,223.18,28.92,18.59,59.27
MZO,1,20,12.41,1.10,0.658,36,1.75,198.47,25.61,22.87,1.86
MZO,1,21,9.55,1.35,0.697,61,1.86,238.89,24.35,27.50,1.84
MZO,1,22,10.44,1.10,0.518,39,1.93,249.84,23.34,28.15,8.61
MZO,1,23,3.89,1.57,0.508,36,1.83,162.16,21.53,30.86,5.38
MZO,2,0,8.81,1.11,0.319,30,2.62,300.66,20.99,30.94,2.06
MZO,2,1,4.67,6.27,0.349,13,1.98,123.51,19.52,36.31,32.20
MZO,2,2,NA,6.12,0.309,37,1.38,170.54,17.75,40.76,2.19
MZO,2,3,7.04,4.04,0.250,36,1.34,215.00,18.08,43.14,8.97
MZO,2,4,6.93,2.59,0.329,29,1.11,46.68,17.28,46.47,2.27
