DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MAY,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,1,30.48,3.16,0.220,30,4.13,85.75,23.20,39.69,1.92
MAY,1,2,28.41,3.23,0.230,25,3.02,95.74,22.47,41.25,2.02
MAY,1,3,17.67,3.62,0.250,18,2.27,113.09,21.01,45.20,2.07
MAY,1,4,11.36,4.38,0.299,24,2.59,110.48,20.05,49.64,2.14
MAY,1,5,2.30,7.83,0.379,34,2.38,105.98,19.08,54.72,2.22
MAY,1,6,4.98,4.29,0.349,32,2.01,112.25,18.15,56.58,2.24
MAY,1,7,2.06,4.85,0.538,38,2.29,97.58,18.57,56.35,28.21
MAY,1,8,2.00,5.82,0.488,66,2.00,134.92,21.44,51.02,192.74
MAY,1,9,9.48,6.15,0.459,32,2.41,129.66,24.97,41.36,418.96
MAY,1,10,25.14,NA,0.379,26,1.85,181.74,29.24,30.21,667.64
MAY,1,11,42.73,2.71,0.329,32,2.64,256.92,31.56,21.73,881.48
MAY,1,12,52.48,2.11,0.319,32,2.87,267.85,33.20,17.50,965.88
MAY,1,13,53.15,1.63,0.319,29,2.94,282.68,34.28,14.17,934.68
MAY,1,14,54.23,1.63,0.299,25,2.67,283.70,35.42,13.21,1002.56
MAY,1,15,54.25,1.89,0.270,24,3.18,248.91,35.56,12.35,888.43
MAY,1,16,53.11,2.26,0.230,27,3.00,259.49,34.95,12.28,610.35
MAY,1,17,51.55,2.78,0.230,21,3.05,276.68,35.35,12.07,483.87
MAY,1,18,52.40,2.37,0.260,35,3.36,259.52,34.07,12.99,232.43
MAY,1,19,48.57,2.90,0.409,47,2.91,272.72,31.77,15.45,30.94
MAY,1,20,40.59,7.31,0.429,52,2.22,263.95,30.99,15.82,1.48
MAY,1,21,40.47,15.47,0.409,87,3.75,147.10,30.07,17.70,1.46
MAY,1,22,39.60,4.34,0.250,67,4.58,103.07,27.65,26.10,1.69
MAY,1,23,34.19,3.96,0.180,85,6.07,92.89,25.23,34.40,1.82
MAY,2,0,31.98,4.24,0.190,87,6.08,87.69,22.89,43.76,1.99
MAY,2,1,32.45,4.41,0.190,51,6.01,97.09,21.51,48.74,2.08
MAY,2,2,27.69,2.88,0.190,25,4.28,101.71,20.29,53.00,2.11
MAY,2,3,26.85,3.42,0.200,16,3.54,106.81,19.76,53.62,2.15
MAY,2,4,20.65,3.17,0.220,16,2.72,115.52,19.00,54.87,2.21
MAY,2,5,15.53,2.94,0.270,23,2.66,119.94,18.39,56.83,2.25
MAY,2,6,2.14,3.66,0.349,30,2.30,125.43,17.09,62.39,2.31
MAY,2,7,NA,4.86,0.548,35,2.30,118.05,17.00,64.61,32.06
MAY,2,8,2.00,4.77,0.528,36,2.95,103.99,20.28,55.29,208.58
MAY,2,9,2.00,4.82,0.449,28,3.65,96.66,23.25,45.22,438.63
MAY,2,10,21.69,4.71,0.419,26,2.22,108.54,27.46,35.12,664.66
MAY,2,11,35.41,3.59,0.369,24,2.54,283.67,30.63,25.96,853.66
MAY,2,12,38.14,2.61,0.339,27,2.71,269.00,32.17,19.88,988.95
MAY,2,13,44.24,2.08,0.329,20,2.89,271.08,33.29,18.03,1042.04
MAY,2,14,44.58,1.30,0.220,16,2.52,253.35,34.28,13.13,1035.88
MAY,2,15,39.01,1.10,0.250,18,4.57,288.84,34.77,11.59,946.40
MAY,2,16,40.73,1.10,0.200,19,3.54,260.08,35.07,11.70,772.65
MAY,2,17,40.58,1.10,0.180,19,2.98,257.33,35.05,11.42,557.15
MAY,2,18,35.11,1.10,0.280,26,3.11,268.67,33.05,12.04,148.53
MAY,2,19,30.06,2.11,0.319,35,2.21,229.67,31.75,12.43,63.25
MAY,2,20,26.30,1.45,0.260,35,2.61,212.94,30.33,13.17,3.19
MAY,2,21,26.59,1.27,0.220,40,2.86,212.66,28.72,14.24,1.57
MAY,2,22,28.00,1.43,0.200,36,3.36,232.33,27.93,14.40,1.65
MAY,2,23,25.83,1.90,0.299,50,3.13,262.39,26.33,18.11,1.73
MAY,3,0,19.34,4.66,0.359,50,2.06,143.97,24.09,22.49,1.89
MAY,3,1,16.05,2.84,0.299,51,2.15,186.16,23.52,24.17,3.04
MAY,3,2,25.18,3.14,0.260,47,2.12,213.26,23.28,26.30,1.96
MAY,3,3,29.23,2.37,0.260,34,2.73,238.35,22.69,28.53,7.00
MAY,3,4,27.96,2.40,0.280,41,2.93,227.62,21.77,32.16,2.65
MAY,3,5,24.99,2.29,0.289,36,2.32,228.51,20.91,36.31,3.21
MAY,3,6,17.90,1.99,0.399,41,1.73,174.99,19.59,39.32,2.18
MAY,3,7,10.50,2.67,0.757,48,1.18,163.37,19.25,38.76,32.17
MAY,3,8,2.00,3.46,1.016,67,2.07,279.16,23.83,33.66,206.08
MAY,3,9,11.76,3.46,0.488,44,2.94,275.45,26.31,26.63,447.36
MAY,3,10,43.81,3.10,0.399,38,2.90,262.19,28.66,22.73,680.66
MAY,3,11,52.62,2.65,0.369,48,3.49,247.61,29.88,19.99,863.49
MAY,3,12,53.78,2.18,0.379,51,4.02,269.88,31.22,18.37,999.99
MAY,3,13,44.58,1.82,0.339,33,4.17,269.21,32.15,16.35,1032.40
MAY,3,14,46.81,1.75,0.289,29,3.95,263.57,32.62,16.14,952.24
MAY,3,15,48.48,1.93,0.250,23,3.51,250.70,34.05,14.55,876.43
MAY,3,16,34.85,1.10,0.190,26,4.48,273.65,33.69,12.93,595.19
MAY,3,17,33.68,1.10,0.180,20,4.18,266.57,33.15,13.07,383.84
MAY,3,18,32.62,1.23,0.180,43,4.28,247.45,31.64,14.17,197.06
MAY,3,19,31.86,1.56,0.220,42,3.84,249.91,30.56,14.96,70.68
MAY,3,20,25.12,2.40,0.299,51,3.24,242.80,28.88,16.93,2.47
MAY,3,21,26.29,2.34,0.270,60,3.25,264.80,27.11,19.27,1.71
MAY,3,22,28.54,2.42,0.359,51,2.26,224.41,25.74,20.16,1.74
MAY,3,23,24.96,2.44,0.280,48,1.85,225.13,23.85,21.52,1.91
MAY,4,0,47.01,2.98,0.270,43,2.50,281.92,22.88,24.32,1.96
MAY,4,1,29.70,1.64,0.289,48,2.21,272.29,22.11,25.95,2.57
MAY,4,2,28.48,1.83,0.280,40,2.46,265.46,21.47,27.63,3.19
MAY,4,3,29.15,1.32,0.280,35,2.39,252.22,20.94,28.51,4.28
MAY,4,4,25.57,1.25,0.299,41,2.05,296.48,19.81,30.35,20.46
MAY,4,5,23.55,1.34,0.349,42,1.70,252.43,18.81,33.07,2.16
MAY,4,6,21.98,1.42,0.449,42,1.47,209.33,18.29,33.66,11.11
MAY,4,7,37.36,2.85,1.404,66,1.19,31.57,18.42,34.53,29.43
MAY,4,8,6.10,11.43,0.886,76,1.69,82.54,20.11,34.20,134.06
MAY,4,9,21.07,8.71,0.658,80,1.80,120.00,25.32,28.84,500.41
MAY,4,10,38.85,4.92,0.429,53,2.10,253.34,29.65,22.87,562.56
MAY,4,11,46.43,3.29,0.299,31,2.34,272.89,30.42,20.65,724.22
MAY,4,12,45.36,2.62,0.210,18,2.64,258.94,33.20,16.72,1055.76
MAY,4,13,42.37,2.05,0.190,14,2.83,267.05,33.33,14.55,847.79
MAY,4,14,39.67,1.64,0.190,12,3.66,282.51,33.97,13.97,1052.10
MAY,4,15,40.99,1.20,0.180,13,3.76,268.18,33.24,14.16,512.72
MAY,4,16,40.95,1.34,0.230,27,3.53,247.28,30.96,17.13,235.80
MAY,4,17,46.25,1.34,0.200,20,3.61,191.48,31.78,16.96,284.42
MAY,4,18,39.22,1.10,0.270,46,3.89,261.50,28.85,21.54,74.51
MAY,4,19,29.87,1.10,0.339,38,3.32,274.64,29.08,18.91,45.42
