DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
AGO,1,0,5.02,24.87,0.245,38,2.92,95.95,19.73,63.34,2.77
AGO,1,1,7.82,25.76,0.217,36,3.06,85.47,18.88,64.05,2.80
AGO,1,2,5.79,15.53,0.213,35,2.51,88.29,18.32,66.59,2.84
AGO,1,3,5.88,14.82,0.202,39,3.48,77.63,18.06,67.67,2.87
AGO,1,4,3.71,6.49,0.237,28,2.81,79.84,17.64,70.49,2.91
AGO,1,5,4.47,5.39,0.271,33,2.60,98.08,16.42,76.15,2.94
AGO,1,6,3.69,6.77,0.340,40,1.63,135.83,15.67,80.33,2.95
AGO,1,7,13.37,4.30,0.503,55,1.84,149.57,15.31,82.37,26.30
AGO,1,8,6.52,3.59,0.449,48,3.23,108.31,18.51,74.11,196.59
AGO,1,9,14.60,2.91,0.389,36,3.55,101.14,21.68,62.19,416.17
AGO,1,10,22.18,8.20,0.301,34,3.93,91.16,23.95,47.53,622.93
AGO,1,11,25.99,5.62,0.290,25,4.20,89.54,25.37,39.63,798.76
AGO,1,12,33.32,5.02,0.307,30,3.74,83.05,26.52,37.25,920.47
AGO,1,13,42.00,4.11,0.352,21,3.42,97.44,27.91,33.78,975.05
AGO,1,14,47.04,11.11,0.315,29,3.07,105.71,29.06,30.07,987.01
AGO,1,15,46.08,5.41,0.211,18,3.16,106.80,29.68,25.24,880.45
AGO,1,16,46.46,4.64,0.186,10,3.29,116.32,30.25,23.07,786.15
AGO,1,17,45.59,3.48,0.185,14,3.04,117.31,30.72,22.71,589.34
AGO,1,18,46.54,1.16,0.180,13,2.71,137.72,30.66,22.59,372.32
AGO,1,19,42.65,1.10,0.245,27,2.42,108.35,29.57,24.36,130.72
AGO,1,20,27.79,20.61,0.550,43,2.76,96.72,27.10,28.88,6.72
AGO,1,21,19.82,12.30,0.278,27,3.02,90.20,25.40,33.76,2.16
AGO,1,22,14.72,18.49,0.348,53,2.45,130.86,23.41,42.26,2.36
AGO,1,23,12.35,19.29,0.227,32,2.96,86.52,22.24,43.58,2.50
