DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
OCT,1,0,6.92,1.10,0.690,5,2.55,112.24,17.05,99.20,3.08
OCT,1,1,7.36,1.12,0.668,3,1.87,106.12,17.05,99.54,3.02
OCT,1,2,4.83,1.59,0.664,1,1.89,119.75,17.01,99.64,3.04
OCT,1,3,6.67,1.53,0.670,6,2.01,105.78,16.94,99.80,10.82
OCT,1,4,6.43,1.10,0.693,3,1.65,120.50,16.76,NA,3.08
OCT,1,5,7.61,1.10,0.673,2,1.65,94.79,16.76,NA,3.03
OCT,1,6,4.91,1.10,0.791,4,1.77,91.01,16.75,NA,4.14
OCT,1,7,2.00,1.36,0.892,10,1.78,121.52,16.80,NA,6.34
OCT,1,8,2.00,1.85,0.928,14,1.92,127.33,17.21,NA,68.17
OCT,1,9,6.26,1.67,0.909,10,2.34,115.83,20.19,NA,295.77
OCT,1,10,13.95,1.31,0.800,10,3.67,97.40,22.14,86.57,547.17
OCT,1,11,18.57,2.02,0.762,16,3.55,91.64,23.45,75.16,445.70
OCT,1,12,24.28,3.16,0.335,30,3.26,98.30,24.63,67.57,425.29
OCT,1,13,29.83,5.07,0.369,25,3.06,95.56,25.72,59.56,604.63
OCT,1,14,36.84,3.01,0.241,15,2.60,133.61,28.08,47.66,790.16
OCT,1,15,36.71,2.81,0.253,14,2.45,120.13,28.85,42.19,579.09
OCT,1,16,36.72,6.04,0.217,17,2.32,101.16,28.71,41.85,459.62
OCT,1,17,34.93,8.85,0.194,19,2.19,115.27,28.91,39.62,309.61
OCT,1,18,34.63,2.79,0.237,29,2.74,138.91,26.58,48.54,109.98
OCT,1,19,29.64,2.59,0.332,33,3.58,123.21,23.24,64.97,29.89
OCT,1,20,21.65,4.21,0.360,26,2.55,133.97,21.30,71.70,9.25
OCT,1,21,5.32,2.86,0.370,23,2.03,121.13,20.39,78.35,11.59
OCT,1,22,14.20,2.10,0.313,40,2.17,163.42,19.25,81.83,2.82
OCT,1,23,15.33,1.61,0.338,19,1.68,174.85,18.76,90.22,8.47
OCT,2,0,15.48,2.17,0.219,19,3.22,175.20,18.35,91.22,2.98
OCT,2,1,20.83,1.28,0.180,17,2.53,166.26,17.67,92.08,4.16
OCT,2,2,19.15,1.29,0.180,14,1.88,153.16,17.22,93.20,7.46
OCT,2,3,14.82,1.10,0.187,8,2.00,102.78,17.01,96.88,7.55
OCT,2,4,10.99,1.10,0.218,7,1.75,76.25,16.99,97.79,3.02
OCT,2,5,9.71,1.10,0.239,7,1.55,124.29,17.05,97.72,4.11
OCT,2,6,3.25,1.10,0.349,18,1.67,156.90,17.14,98.43,7.43
OCT,2,7,2.00,1.69,0.477,19,1.94,122.89,17.04,98.20,13.83
OCT,2,8,2.82,1.39,0.492,13,2.31,134.51,18.89,95.46,142.47
OCT,2,9,6.60,1.10,0.436,19,2.88,108.59,21.53,83.93,353.83
OCT,2,10,16.67,1.10,0.331,13,3.59,95.35,23.15,74.25,592.38
OCT,2,11,24.86,1.10,0.314,18,3.47,92.02,24.88,59.75,753.65
OCT,2,12,32.63,1.21,0.277,19,3.12,109.14,26.52,50.27,825.60
OCT,2,13,39.45,2.42,0.322,16,3.00,96.98,27.72,44.77,872.27
OCT,2,14,43.60,6.68,0.236,21,2.24,103.31,28.76,39.13,902.50
OCT,2,15,45.39,7.96,0.240,19,2.68,99.94,29.49,35.97,780.61
OCT,2,16,45.85,3.84,0.206,18,3.02,97.67,29.71,35.28,636.29
OCT,2,17,42.92,6.03,0.209,16,3.46,103.77,29.75,35.29,445.47
OCT,2,18,26.75,6.87,0.310,24,3.48,77.67,27.03,42.68,83.58
OCT,2,19,21.05,1.77,0.313,23,3.18,82.33,25.07,48.25,10.08
OCT,2,20,20.08,1.63,0.240,13,3.79,69.69,23.88,51.10,55.00
OCT,2,21,21.31,8.53,0.256,17,2.38,218.51,22.76,55.69,22.01
OCT,2,22,27.73,3.47,0.271,27,2.18,223.68,21.30,60.96,17.57
OCT,2,23,26.22,1.10,0.262,16,1.15,167.36,19.92,64.23,13.99
OCT,3,0,15.58,1.10,0.264,22,1.25,135.29,19.56,68.07,2.72
OCT,3,1,9.53,1.10,0.206,12,1.43,170.07,18.72,70.57,2.87
OCT,3,2,9.46,4.80,0.192,19,2.20,100.87,18.08,73.94,8.43
OCT,3,3,10.56,4.75,0.180,7,2.75,69.58,17.74,77.96,11.86
OCT,3,4,10.45,11.32,0.180,11,1.55,143.74,16.89,80.61,2.95
OCT,3,5,5.84,3.15,0.226,18,1.64,115.51,15.98,86.03,3.06
OCT,3,6,2.46,1.89,0.285,17,1.79,162.34,15.27,87.61,7.52
OCT,3,7,2.00,2.18,0.446,29,1.42,150.60,14.90,92.13,20.75
OCT,3,8,2.00,2.13,0.432,25,1.96,96.94,18.30,84.02,154.10
OCT,3,9,4.83,10.60,0.367,22,2.74,82.50,22.16,69.14,379.23
OCT,3,10,14.90,9.94,0.269,19,4.17,91.00,23.38,57.07,578.22
OCT,3,11,18.52,5.69,0.237,10,4.13,87.36,25.16,49.79,804.17
OCT,3,12,20.17,4.23,0.260,12,3.69,76.46,25.76,46.02,663.01
OCT,3,13,22.37,13.45,0.318,10,3.03,78.96,26.92,42.35,669.35
OCT,3,14,23.70,14.20,0.308,12,3.49,101.39,27.66,38.31,579.86
OCT,3,15,21.03,36.53,0.260,25,3.07,103.10,26.90,39.79,412.95
OCT,3,16,25.37,14.81,0.183,18,3.22,97.61,28.84,34.06,518.11
OCT,3,17,24.11,8.53,0.203,15,3.55,84.57,28.94,33.50,396.82
OCT,3,18,21.26,5.58,0.294,28,3.67,71.04,27.34,35.97,134.76
OCT,3,19,15.02,4.01,0.437,25,2.54,63.30,25.49,41.42,18.02
OCT,3,20,9.41,7.27,0.404,28,2.88,61.43,23.96,46.66,13.41
