DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
NOV,1,0,10.43,11.23,0.203,9,4.57,73.62,13.84,69.52,3.12
NOV,1,1,10.35,13.57,0.194,10,4.23,76.32,13.17,70.41,3.19
NOV,1,2,11.81,9.96,0.189,12,4.05,81.78,13.07,70.09,4.84
NOV,1,3,14.59,3.66,0.187,9,3.70,97.87,12.39,68.01,3.17
NOV,1,4,15.91,2.56,0.180,4,3.49,103.75,12.26,68.16,3.20
NOV,1,5,19.03,1.33,0.180,10,3.26,108.08,12.24,66.20,3.21
NOV,1,6,18.15,1.81,0.180,14,2.88,116.97,11.67,66.36,7.15
NOV,1,7,15.74,1.43,0.220,11,3.33,104.04,12.11,63.57,4.62
NOV,1,8,10.63,1.76,0.315,29,2.89,116.04,12.91,62.32,78.71
NOV,1,9,15.73,1.10,0.256,7,3.80,102.52,16.04,55.12,333.44
NOV,1,10,18.66,1.10,0.239,9,4.34,91.56,17.87,52.31,464.91
NOV,1,11,20.20,1.10,0.227,4,3.82,94.39,20.21,47.48,680.38
NOV,1,12,23.31,1.57,0.273,8,3.32,108.63,22.55,44.79,781.01
NOV,1,13,28.25,6.94,0.234,6,2.36,128.00,25.50,39.97,756.18
NOV,1,14,33.62,18.70,0.262,25,2.14,225.94,27.47,37.05,741.11
NOV,1,15,37.63,7.92,0.240,21,2.46,258.99,28.45,34.16,692.04
NOV,1,16,39.58,3.96,0.226,13,1.83,180.82,29.41,32.56,536.09
NOV,1,17,39.45,3.59,0.280,20,2.39,266.59,28.84,32.61,309.29
NOV,1,18,37.73,2.25,0.428,29,2.84,303.01,27.02,36.80,102.67
NOV,1,19,17.96,2.05,0.908,53,2.14,269.44,24.56,43.25,3.68
NOV,1,20,5.64,2.79,0.816,54,1.36,265.80,23.50,47.33,6.31
NOV,1,21,7.34,13.48,0.666,39,2.28,187.51,23.32,48.73,7.48
NOV,1,22,11.72,26.13,0.322,54,2.21,155.43,21.78,52.69,2.57
NOV,1,23,14.08,4.62,0.290,49,2.35,162.57,19.77,65.39,2.73
NOV,2,0,7.84,3.38,0.287,21,2.61,137.79,18.59,64.69,2.80
NOV,2,1,10.06,2.67,0.202,18,2.60,131.23,17.41,66.85,2.88
NOV,2,2,8.59,2.92,0.198,15,2.41,131.58,16.62,69.14,2.95
NOV,2,3,3.82,2.27,0.214,14,1.90,108.80,15.94,72.01,2.96
NOV,2,4,2.00,2.42,0.215,11,2.04,121.05,15.08,75.58,3.01
NOV,2,5,2.91,2.20,0.208,21,3.24,105.19,14.58,75.61,3.03
NOV,2,6,6.32,2.35,0.239,10,2.95,89.50,13.93,76.59,3.06
NOV,2,7,7.02,2.18,0.332,16,2.90,94.03,13.40,78.82,5.81
NOV,2,8,2.00,1.99,0.344,22,3.45,101.69,15.12,72.72,128.89
NOV,2,9,2.00,2.02,0.347,14,4.53,100.16,18.04,62.96,325.14
NOV,2,10,3.62,1.99,0.373,10,4.60,96.37,20.68,54.28,518.83
NOV,2,11,8.62,2.64,0.311,11,4.95,97.13,22.82,47.79,684.99
NOV,2,12,12.88,3.73,0.301,11,4.50,84.75,24.29,44.78,775.69
NOV,2,13,16.20,5.13,0.326,23,5.03,80.77,25.48,43.04,759.87
NOV,2,14,18.76,4.52,0.311,17,5.16,75.06,26.40,41.55,757.81
NOV,2,15,12.59,3.96,0.288,26,6.19,87.53,26.91,37.61,702.74
NOV,2,16,12.98,2.87,0.313,27,6.68,89.74,26.49,39.45,543.54
NOV,2,17,12.17,4.53,0.334,40,6.96,82.08,25.41,43.17,342.34
NOV,2,18,8.66,3.56,0.324,51,6.51,90.10,23.92,45.95,137.85
NOV,2,19,4.10,2.34,0.346,53,6.16,89.80,21.50,54.26,3.78
NOV,2,20,4.44,1.83,0.295,32,6.58,85.36,19.82,58.92,2.75
NOV,2,21,6.05,2.04,0.257,26,6.36,80.76,18.47,61.23,2.84
NOV,2,22,4.95,3.10,0.258,16,5.41,80.08,17.72,64.00,2.88
NOV,2,23,10.46,2.29,0.243,9,5.47,85.75,17.42,64.82,2.91
NOV,3,0,11.15,1.10,0.221,7,5.66,80.09,17.28,65.00,2.97
NOV,3,1,11.76,1.10,0.213,20,5.06,78.08,17.20,65.24,2.93
NOV,3,2,10.85,1.26,0.204,7,4.07,75.15,16.87,67.26,2.92
NOV,3,3,10.08,1.80,0.209,6,4.21,75.87,16.20,69.73,2.96
NOV,3,4,9.64,2.43,0.189,5,3.58,75.35,15.93,70.75,2.99
NOV,3,5,8.84,2.92,0.180,1,3.81,82.57,15.81,71.28,2.95
NOV,3,6,9.55,2.57,0.180,4,4.32,81.05,15.07,73.89,3.04
NOV,3,7,7.44,2.44,0.202,10,3.11,85.95,14.62,75.86,4.42
NOV,3,8,7.02,2.88,0.239,10,3.76,77.81,15.57,72.67,82.83
NOV,3,9,8.55,2.81,0.258,NA,3.74,80.44,18.39,62.20,288.97
NOV,3,10,14.08,2.81,0.280,5,4.68,80.22,20.30,54.93,488.88
NOV,3,11,17.84,3.10,0.297,4,4.66,85.25,22.43,48.51,665.10
NOV,3,12,21.38,2.80,0.260,4,4.71,85.73,24.03,44.13,772.42
NOV,3,13,24.70,2.83,0.239,9,3.97,90.96,25.61,39.83,743.84
NOV,3,14,26.68,3.23,0.238,3,3.56,104.33,26.67,37.09,720.03
NOV,3,15,26.94,3.00,0.233,NA,3.05,122.28,28.18,34.32,739.83
NOV,3,16,25.61,3.25,0.248,6,2.86,114.15,28.68,33.12,537.39
