DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,1,0,8.47,7.75,2.48,57.44,1.65,251.48,16.92,39.40,3.03
FEB,1,1,8.53,7.38,2.40,NA,1.69,304.23,16.97,41.55,5.78
FEB,1,2,5.38,7.06,2.38,NA,1.52,285.56,16.34,41.92,3.09
FEB,1,3,6.37,6.90,2.36,NA,1.31,255.88,16.06,42.83,3.06
FEB,1,4,5.97,6.99,2.41,NA,1.68,244.83,15.65,44.43,3.02
FEB,1,5,6.79,8.07,2.34,NA,2.28,187.72,15.03,47.35,3.10
FEB,1,6,4.93,8.36,2.35,NA,2.39,111.44,13.88,50.78,9.83
FEB,1,7,7.90,6.61,2.30,NA,2.42,108.06,12.64,60.82,3.24
FEB,1,8,14.64,6.37,2.38,NA,3.02,89.03,12.12,67.13,11.54
FEB,1,9,17.48,6.35,2.38,NA,4.54,91.28,13.14,65.21,156.23
FEB,1,10,23.43,6.19,2.34,NA,6.08,80.23,14.94,59.26,273.55
FEB,1,11,26.56,6.08,2.34,NA,5.98,82.92,17.06,51.31,545.53
FEB,1,12,29.53,6.06,2.34,NA,5.86,80.21,17.92,47.39,519.18
FEB,1,13,31.60,5.88,2.34,NA,5.52,81.26,18.98,43.06,468.95
FEB,1,14,33.34,6.22,2.37,NA,5.16,81.73,19.81,40.52,484.31
FEB,1,15,34.74,19.67,2.43,NA,3.82,83.89,22.36,33.24,777.62
FEB,1,16,34.57,13.09,2.39,NA,4.24,76.66,22.34,34.06,462.32
FEB,1,17,34.00,11.74,2.28,NA,4.79,78.79,22.31,34.20,373.76
FEB,1,18,29.35,11.73,2.28,NA,4.17,67.49,20.72,37.49,88.05
FEB,1,19,27.50,25.23,2.35,NA,4.60,62.11,18.61,42.65,13.31
FEB,1,20,26.37,44.43,2.36,NA,5.04,57.24,17.40,47.08,3.04
FEB,1,21,25.63,11.53,2.29,NA,4.60,63.99,16.54,49.62,3.09
FEB,1,22,27.52,13.97,2.24,NA,4.55,66.18,15.91,51.92,3.08
FEB,1,23,25.60,8.44,2.26,NA,3.23,83.99,15.16,56.13,3.10
FEB,2,0,25.28,7.63,2.23,NA,4.83,90.60,13.94,62.99,6.53
