DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MZO,1,1,16.36,7.85,3.03,51.87,1.93,282.75,19.28,48.03,2.88
MZO,1,2,20.52,8.00,3.01,42.33,2.32,293.48,18.74,51.16,7.34
MZO,1,3,22.41,8.54,2.95,51.44,2.05,267.84,17.92,53.95,7.40
MZO,1,4,19.26,8.99,2.93,45.86,1.77,253.93,17.14,55.80,7.44
MZO,1,5,18.98,8.54,2.93,39.20,1.84,260.63,16.23,60.77,7.51
MZO,1,6,12.74,8.57,3.00,52.44,1.69,249.85,15.31,62.98,11.98
MZO,1,7,14.18,8.77,2.94,42.10,2.07,265.02,15.12,68.06,7.83
MZO,1,8,11.18,8.66,3.25,46.45,1.48,287.71,16.45,67.67,68.37
MZO,1,9,18.89,8.86,3.09,36.58,1.80,278.40,21.79,55.76,292.44
MZO,1,10,23.13,8.17,2.93,32.01,2.19,255.63,24.28,45.95,530.93
MZO,1,11,30.62,8.20,2.85,24.86,3.40,264.85,25.84,40.73,735.50
MZO,1,12,33.90,7.74,2.82,22.23,3.32,253.52,26.94,40.74,883.01
MZO,1,13,36.58,8.18,2.81,26.21,3.38,244.70,28.21,37.58,964.69
MZO,1,14,37.25,7.84,2.81,15.65,3.67,253.52,29.29,33.24,840.58
MZO,1,15,34.91,7.30,2.79,19.96,4.63,268.14,30.29,26.42,894.25
MZO,1,16,34.80,6.95,2.76,19.47,4.41,262.14,31.14,23.80,739.06
MZO,1,17,36.04,7.15,2.75,22.40,4.00,256.56,31.42,21.96,520.04
MZO,1,18,32.57,6.91,2.73,32.11,4.27,252.76,30.68,20.16,278.63
MZO,1,19,30.35,7.08,2.80,35.51,3.89,253.03,28.39,25.15,60.34
MZO,1,20,23.89,7.48,2.96,45.67,3.04,253.59,25.48,31.59,38.11
MZO,1,21,20.46,7.75,2.96,56.06,3.05,255.38,24.00,35.31,11.45
MZO,1,22,16.60,7.69,3.07,44.96,2.75,264.07,22.50,39.60,11.57
MZO,1,23,18.94,7.96,2.96,48.09,2.76,279.39,21.75,39.17,7.17
MZO,2,0,15.83,7.72,3.06,186.79,2.56,292.20,20.75,43.09,7.20
MZO,2,1,18.05,7.52,2.88,161.60,2.48,271.79,19.39,43.28,2.87
MZO,2,2,18.68,6.94,2.94,34.54,2.16,277.44,18.28,45.86,2.95
MZO,2,3,17.52,6.89,2.85,30.21,2.05,287.26,17.49,49.10,2.98
MZO,2,4,15.10,6.80,2.82,33.45,2.09,265.62,16.34,54.56,3.03
MZO,2,5,16.06,7.19,2.83,35.54,2.10,257.94,15.79,61.81,3.10
MZO,2,6,12.92,7.09,2.88,35.50,1.75,260.63,14.98,64.46,3.16
MZO,2,7,8.92,7.67,3.12,32.66,1.68,243.27,14.75,65.30,3.35
MZO,2,8,5.83,8.11,3.87,70.50,1.65,262.39,16.38,65.15,70.57
MZO,2,9,6.88,8.87,3.82,62.78,1.49,264.09,22.39,51.85,291.36
MZO,2,10,17.06,8.04,3.10,53.28,2.29,244.28,23.86,45.06,527.20
MZO,2,11,27.91,7.31,2.95,22.09,2.16,245.25,26.12,38.22,737.62
MZO,2,12,34.39,7.11,2.88,18.04,2.81,259.40,27.55,34.39,896.80
MZO,2,13,37.50,7.16,2.85,12.93,3.11,239.91,28.95,27.31,974.26
MZO,2,14,36.00,7.04,2.83,19.04,3.76,245.17,29.83,24.69,849.98
MZO,2,15,35.83,6.63,2.85,10.31,3.79,276.92,30.94,22.51,800.52
MZO,2,16,35.54,6.69,2.84,19.84,3.80,275.57,30.42,22.40,426.09
MZO,2,17,36.12,6.92,2.83,23.61,3.86,262.99,30.39,22.44,395.63
MZO,2,18,34.26,6.83,2.82,34.72,4.38,265.12,30.21,19.77,258.11
MZO,2,19,27.49,6.65,2.95,39.38,3.39,255.68,27.77,21.86,40.87
MZO,2,20,24.87,6.91,2.95,62.92,3.38,232.17,25.90,26.64,2.51
MZO,2,21,21.62,7.23,3.01,65.66,2.81,240.23,23.89,31.01,2.56
MZO,2,22,25.48,7.17,2.87,44.98,2.99,231.72,23.26,29.45,2.59
MZO,2,23,26.44,7.15,2.89,35.45,2.73,214.47,22.04,33.92,2.72
MZO,3,0,23.91,7.12,2.92,31.73,2.11,216.46,20.42,39.29,2.79
MZO,3,1,15.28,8.00,2.91,26.73,1.66,233.81,18.94,42.58,2.90
MZO,3,2,17.18,8.01,2.95,27.96,1.32,193.46,17.74,44.87,2.97
MZO,3,3,15.70,7.57,2.89,32.26,1.45,268.25,17.20,47.92,3.00
MZO,3,4,7.90,7.70,2.87,29.97,1.52,268.92,16.36,49.25,3.01
MZO,3,5,7.50,7.74,2.92,80.68,1.63,264.00,15.70,51.34,3.03
MZO,3,6,4.99,7.61,2.98,NA,1.76,288.26,15.24,54.26,3.12
MZO,3,7,5.18,9.51,3.24,NA,1.56,227.21,13.94,56.78,3.56
MZO,3,8,4.40,9.72,3.92,NA,1.51,197.93,16.82,55.43,80.55
MZO,3,9,10.47,12.32,3.53,NA,2.15,87.03,19.74,46.37,305.86
MZO,3,10,16.20,12.08,3.09,NA,2.25,134.69,23.18,41.22,565.79
MZO,3,11,32.57,9.17,2.84,107.55,2.57,162.91,26.06,35.51,759.27
MZO,3,12,34.58,8.50,2.79,119.49,3.26,219.95,28.17,24.76,896.69
MZO,3,13,31.67,7.48,2.76,108.64,3.98,230.23,29.40,18.76,997.54
MZO,3,14,32.16,7.18,2.80,46.04,5.11,235.14,30.09,17.47,851.80
MZO,3,15,31.91,6.57,2.77,61.61,5.51,237.69,30.98,13.12,908.81
MZO,3,16,29.47,6.19,2.76,85.71,5.58,234.66,31.41,11.35,764.28
MZO,3,17,29.01,6.77,2.75,42.98,5.07,209.80,31.21,11.70,556.88
MZO,3,18,27.76,6.90,2.77,42.18,4.71,203.38,30.02,12.09,293.02
MZO,3,19,25.06,6.70,2.82,53.85,4.18,209.63,27.85,13.07,81.72
MZO,3,20,21.87,6.90,2.91,45.03,3.91,234.90,24.51,17.08,2.76
MZO,3,21,21.67,6.83,2.94,37.87,3.19,254.78,22.50,22.86,2.67
MZO,3,22,22.78,6.76,2.94,41.78,3.44,242.80,21.41,29.56,2.78
MZO,3,23,25.13,7.33,2.92,39.53,2.56,279.33,20.20,38.11,2.82
MZO,4,0,27.08,7.27,2.85,28.14,3.28,267.67,19.66,44.93,2.83
MZO,4,1,25.13,7.39,2.85,17.96,3.00,256.11,18.58,48.89,2.95
MZO,4,2,23.35,7.96,2.86,21.81,2.48,236.56,17.28,54.53,2.95
MZO,4,3,23.57,7.97,2.86,18.39,2.13,239.68,16.25,55.79,3.05
MZO,4,4,23.85,8.31,2.84,18.53,2.16,225.72,15.45,57.30,3.07
MZO,4,5,19.40,8.33,2.87,23.26,1.32,209.30,13.89,60.76,3.14
MZO,4,6,17.72,8.07,2.89,28.88,1.83,249.75,13.45,63.24,3.20
MZO,4,7,15.97,7.78,3.02,27.78,1.66,260.21,13.07,64.56,3.67
MZO,4,8,11.18,8.61,3.54,37.50,1.87,296.82,14.32,64.41,75.15
MZO,4,9,13.41,9.27,3.42,29.72,1.49,229.76,20.56,50.60,327.89
MZO,4,10,20.44,8.96,3.26,38.35,2.15,243.65,22.45,42.31,576.04
MZO,4,11,31.01,8.35,2.91,27.76,2.38,239.20,24.55,34.23,780.25
MZO,4,12,34.33,8.09,2.86,15.48,3.78,245.39,25.49,28.86,906.71
MZO,4,13,32.26,7.46,2.83,20.34,4.39,235.80,26.76,19.95,993.35
MZO,4,14,31.22,7.33,2.85,15.73,5.30,256.65,27.93,16.16,946.71
MZO,4,15,32.62,6.97,2.87,16.92,5.20,275.14,29.35,16.80,908.54
MZO,4,16,34.18,6.88,2.87,17.82,5.29,268.04,29.69,15.39,750.47
MZO,4,17,33.75,6.93,2.86,27.64,5.10,265.77,29.78,13.56,524.73
MZO,4,18,26.51,6.67,2.85,28.95,4.47,264.57,29.02,13.44,308.98
MZO,4,19,21.17,6.87,2.98,36.51,3.67,265.33,26.14,17.75,40.60
MZO,4,20,14.89,7.77,3.11,50.02,3.09,266.19,23.33,24.18,2.62
MZO,4,21,13.13,7.79,3.14,56.31,2.78,260.41,22.07,28.01,2.74
MZO,4,22,12.77,7.77,3.05,47.23,2.25,221.29,20.82,29.18,2.78
MZO,4,23,13.70,7.73,2.99,37.77,2.64,240.39,19.99,31.63,2.83
MZO,5,0,10.94,7.89,2.97,24.93,1.72,185.29,18.79,33.63,2.92
MZO,5,1,10.57,9.01,3.03,33.18,1.47,225.07,17.68,35.87,2.97
MZO,5,2,10.28,8.43,3.02,34.87,1.36,122.32,16.91,40.20,3.08
MZO,5,3,6.52,9.66,3.03,44.89,1.25,96.21,15.72,43.45,3.08
MZO,5,4,9.43,15.66,3.10,33.69,1.29,185.12,15.07,45.28,3.12
MZO,5,5,4.92,16.10,2.99,27.65,1.82,264.29,15.25,45.44,3.12
MZO,5,6,8.28,15.57,3.04,36.05,1.88,132.29,13.38,51.04,3.25
MZO,5,7,12.33,25.51,3.17,53.57,2.07,122.04,13.00,53.12,3.55
MZO,5,8,6.81,18.05,3.33,75.75,2.10,122.84,13.51,51.47,63.72
MZO,5,9,5.89,15.77,3.26,61.94,3.90,108.00,17.74,40.63,247.98
MZO,5,10,8.55,13.08,3.26,59.75,3.96,106.07,19.73,39.48,417.80
MZO,5,11,22.14,10.71,3.12,55.19,4.65,94.07,21.71,42.63,452.49
MZO,5,12,31.10,10.45,3.06,38.88,3.71,109.22,23.84,41.09,559.36
MZO,5,13,37.12,11.12,3.00,35.07,3.43,129.81,25.54,34.87,540.92
MZO,5,14,39.62,12.45,2.99,23.87,2.96,141.41,27.23,30.51,756.81
MZO,5,15,42.46,12.71,2.90,16.37,2.35,139.10,29.40,23.65,875.82
MZO,5,16,37.60,11.21,2.90,18.02,2.41,202.88,30.69,18.11,723.61
MZO,5,17,38.83,11.15,2.93,15.59,2.35,226.73,30.74,17.85,506.96
MZO,5,18,37.26,13.96,3.06,29.87,3.11,267.91,29.53,19.53,281.18
MZO,5,19,28.25,11.68,3.26,43.90,2.72,295.26,28.02,20.90,83.66
MZO,5,20,13.99,11.68,3.60,53.22,3.03,200.23,25.08,28.64,2.46
MZO,5,21,19.94,33.67,3.02,77.33,5.45,73.51,21.82,43.63,2.73
MZO,5,22,20.26,42.59,2.98,77.30,5.13,70.72,19.92,47.90,2.84
MZO,5,23,16.70,50.27,2.95,66.51,5.33,85.19,17.94,54.17,3.06
MZO,6,0,16.72,53.12,3.48,56.85,5.78,78.30,15.97,59.31,3.12
MZO,6,1,18.83,40.36,3.00,69.56,5.45,76.17,14.64,63.96,3.20
MZO,6,2,21.36,36.57,2.90,36.81,6.35,70.55,13.61,67.38,3.26
MZO,6,3,23.58,24.18,2.91,27.61,5.77,83.33,13.31,68.91,3.24
MZO,6,4,24.52,17.97,2.93,13.87,5.16,83.69,13.21,69.91,3.21
MZO,6,5,16.83,51.57,2.95,29.45,6.10,74.74,13.00,71.08,3.27
MZO,6,6,25.65,13.83,2.98,27.54,6.76,64.33,12.94,69.54,7.76
MZO,6,7,25.24,11.01,3.06,20.25,5.69,73.06,12.92,68.43,3.61
MZO,6,8,21.71,12.23,3.13,23.84,5.42,79.07,12.96,68.01,42.01
MZO,6,9,23.60,12.36,3.15,26.22,6.45,66.11,13.69,65.13,119.36
MZO,6,10,23.78,25.28,3.10,32.72,6.28,70.01,14.85,60.92,285.00
MZO,6,11,25.20,28.99,3.04,35.30,6.27,70.02,16.88,53.89,488.23
MZO,6,12,28.48,16.65,3.03,33.15,5.86,64.36,18.27,49.15,659.92
MZO,6,13,31.97,9.69,3.05,26.99,5.70,61.14,19.24,46.12,671.73
MZO,6,14,30.61,14.65,3.09,24.84,5.47,68.69,19.84,44.23,575.87
MZO,6,15,31.06,22.35,3.05,27.14,5.84,69.05,21.17,40.25,893.87
MZO,6,16,31.64,22.13,3.02,39.42,6.19,68.97,21.29,39.40,628.01
MZO,6,17,32.35,16.47,3.00,33.62,5.65,70.42,21.66,38.10,446.81
MZO,6,18,31.27,16.14,3.10,40.06,4.65,66.97,20.81,39.30,179.92
MZO,6,19,28.60,19.79,3.06,41.62,4.95,57.98,18.86,43.69,49.42
MZO,6,20,27.02,16.31,3.04,42.10,6.00,60.71,16.88,48.19,3.12
MZO,6,21,25.85,9.66,3.03,37.84,5.33,69.39,15.76,50.83,3.10
MZO,6,22,25.90,14.98,2.96,23.48,6.13,73.02,14.44,53.48,3.20
MZO,6,23,20.29,35.46,2.94,33.84,6.06,77.61,13.23,57.13,3.27
MZO,7,0,22.81,22.56,2.93,25.66,4.87,82.70,12.41,59.68,3.36
MZO,7,1,23.61,20.21,2.93,36.68,5.44,74.13,11.79,61.97,3.35
MZO,7,2,22.26,33.50,2.92,24.63,6.30,74.98,11.33,64.93,3.39
MZO,7,3,25.69,10.11,2.92,14.47,5.27,92.76,10.75,67.31,3.44
MZO,7,4,24.53,16.98,2.92,11.79,4.59,63.47,10.89,67.64,3.41
MZO,7,5,27.22,11.01,2.93,13.22,3.60,79.85,11.15,66.51,3.35
MZO,7,6,25.06,11.23,2.95,13.80,3.62,75.81,11.05,65.42,3.38
MZO,7,7,25.03,8.31,3.00,15.63,3.42,89.88,10.73,63.46,3.67
MZO,7,8,20.89,7.76,3.08,18.26,4.03,105.44,10.50,62.71,60.30
MZO,7,9,20.96,8.78,3.08,46.59,4.53,94.42,12.76,56.07,288.99
MZO,7,10,27.42,8.10,3.07,23.72,4.10,97.66,15.88,48.81,548.85
MZO,7,11,29.84,9.42,3.06,21.92,4.11,93.83,18.02,44.33,764.18
MZO,7,12,33.42,8.87,3.04,28.83,3.00,125.50,20.79,40.13,868.27
MZO,7,13,37.57,12.47,3.06,27.29,2.44,172.70,23.36,35.53,866.31
MZO,7,14,41.00,43.25,3.26,36.36,2.50,136.90,25.39,31.29,839.46
MZO,7,15,51.49,68.22,4.06,48.83,1.97,186.46,27.77,27.71,836.46
MZO,7,16,57.29,54.57,3.97,37.32,2.14,169.23,28.56,25.81,566.20
MZO,7,17,53.87,41.75,3.39,47.08,2.26,192.98,28.30,25.53,403.09
MZO,7,18,52.57,28.71,3.21,65.68,2.17,204.58,26.90,27.69,185.61
MZO,7,19,46.46,18.45,3.30,70.41,1.83,214.90,24.79,30.35,32.79
MZO,7,20,23.37,21.98,4.06,92.01,1.66,222.56,22.59,33.33,2.67
MZO,7,21,23.72,12.92,3.34,102.02,3.19,55.51,22.45,33.60,4.90
MZO,7,22,24.80,11.84,3.16,39.82,3.86,70.53,21.16,34.36,2.74
MZO,7,23,21.12,11.86,3.08,44.25,4.83,91.86,19.17,40.92,2.90
MZO,8,0,22.24,31.04,3.02,32.15,5.11,77.52,17.90,45.62,2.95
MZO,8,1,16.70,59.11,2.99,44.37,5.03,84.15,16.89,49.07,3.03
MZO,8,2,24.15,23.16,3.00,32.16,4.52,86.04,15.82,52.23,3.12
MZO,8,3,23.23,31.67,2.98,29.33,4.38,79.56,15.45,53.99,3.07
MZO,8,4,27.11,9.48,2.99,22.94,3.68,104.18,14.37,56.84,3.18
MZO,8,5,24.92,8.35,3.02,29.78,3.98,104.79,13.33,60.84,3.27
MZO,8,6,25.43,7.27,3.01,46.86,3.82,105.03,12.73,63.85,3.30
MZO,8,7,24.48,6.28,3.04,19.97,4.14,97.94,12.10,67.10,3.81
MZO,8,8,19.66,6.13,3.11,20.63,4.05,104.03,12.16,68.26,49.16
MZO,8,9,19.17,6.20,3.14,25.81,3.93,110.13,13.05,67.02,135.52
MZO,8,10,23.37,7.38,3.13,21.02,4.61,98.66,16.50,55.91,536.99
