DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,1,0,0.0157,0.0029,2.57,NA,20,3.77,94,17.07
SEP,1,1,0.0266,0.0035,2.578,NA,14,2.35,172.03,15.74
SEP,1,2,0.0238,0.003,2.578,NA,15,1.85,297.06,16.12
SEP,1,3,0.0173,0.0032,2.607,NA,20,2.16,270.88,15.99
SEP,1,4,0.016,0.0033,2.581,NA,33,2.67,287.21,16.31
SEP,1,5,0.0149,0.0032,2.625,NA,28,2.39,287.67,16.43
SEP,1,6,0.0079,0.0032,2.738,NA,19,2.24,286.58,16.23
SEP,1,7,0.0016,0.0035,2.945,NA,29,1.68,275.15,16.13
SEP,1,8,0.0047,0.0037,2.808,NA,28,1.69,148.96,17.54
SEP,1,9,0.0095,0.0037,2.9,NA,28,1.63,203.42,22.23
SEP,1,10,0.02,0.0139,2.891,NA,23,1.9,206.44,23.8
SEP,1,11,0.0274,0.0047,2.728,NA,21,2.17,237.43,25.74
SEP,1,12,0.0376,0.0036,2.709,NA,16,2.21,249.18,26.85
SEP,1,13,0.0486,0.0031,2.665,NA,18,2.53,251.63,27.22
SEP,1,14,0.0545,0.0034,2.66,NA,18,2.28,243.07,27.7
SEP,1,15,0.0628,0.0035,2.652,NA,21,2.58,230.36,27.34
SEP,1,16,0.0752,0.0046,2.674,NA,22,2.42,244.91,28.94
SEP,1,17,0.0868,0.0088,2.83,NA,28,2.51,238.2,28.41
SEP,1,18,0.0776,0.0071,2.764,NA,30,2.27,250.88,28
SEP,1,19,0.0738,0.0086,2.808,NA,47,2.13,237.27,26.3
SEP,1,20,0.0503,0.0042,2.944,NA,38,2.83,234.93,23.23
SEP,1,21,0.0341,0.0033,2.645,NA,26,3.7,228.69,20.2
SEP,1,22,0.0323,0.0027,2.603,NA,16,3.55,242.39,19.25
SEP,1,23,0.0313,0.0028,2.589,NA,17,2.48,259.43,18.74
SEP,2,0,0.0299,0.0027,2.579,NA,15,2.19,234.23,18.21
SEP,2,1,0.0301,0.0024,2.555,NA,NA,2.22,259.69,17.76
SEP,2,2,0.0302,0.0019,2.564,NA,13,2.15,232.06,17.24
SEP,2,3,0.0264,0.0015,2.564,NA,16,1.98,236.68,17.11
SEP,2,4,0.0208,0.002,2.586,NA,26,2.71,175.04,16.35
SEP,2,5,0.0232,0.0018,2.587,NA,25,2.71,243.65,15.29
SEP,2,6,0.022,0.0015,2.642,NA,20,2.01,231.8,15.53
SEP,2,7,0.0223,0.0014,2.704,NA,38,2.49,215.48,15.01
SEP,2,8,0.0249,0.0015,2.746,NA,25,2.91,256.49,14.28
SEP,2,9,0.0289,0.0015,2.757,NA,6,2.34,244.67,16.19
SEP,2,10,0.0367,0.0014,2.72,NA,NA,2.43,268.69,20.72
SEP,2,11,0.0442,0.0015,2.669,NA,30,2.55,246.54,22.86
SEP,2,12,0.0544,0.0013,2.682,NA,16,2.97,269.31,24.33
SEP,2,13,0.0728,0.0014,2.791,NA,20,2.94,261.76,25.11
SEP,2,14,0.0713,0.0012,2.705,NA,21,3.18,257.34,26.29
SEP,2,15,0.0684,0.0014,2.666,NA,22,3.06,251.14,28.04
SEP,2,16,0.067,0.0013,2.667,NA,19,3.31,233.66,28.26
SEP,2,17,0.0671,0.0013,2.642,NA,16,2.87,214.89,28.17
SEP,2,18,0.0649,0.0017,2.696,NA,22,2.75,222.54,27.58
SEP,2,19,0.0604,0.0014,2.788,NA,25,2.59,245.85,25.55
