DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCT,1,1,0.028,0.003,2.82,NA,29,13.59,2.73,91.71,47.71
OCT,1,2,0.024,0.003,2.80,NA,19,12.66,3.23,93.99,48.13
OCT,1,3,0.029,0.002,2.80,NA,17,11.97,3.26,79.61,48.54
OCT,1,4,0.019,0.002,2.82,NA,20,10.43,2.22,94.85,55.11
OCT,1,5,0.013,0.002,2.85,NA,22,9.85,2.57,95.6,56.44
OCT,1,6,0.014,0.002,2.90,NA,27,9.51,3.25,110.54,57.22
OCT,1,7,0.009,0.023,3.04,NA,36,8.91,2.42,115.09,60.38
OCT,1,8,0.008,0.015,3.06,NA,58,11.73,3.14,108.28,51.75
OCT,1,9,0.025,0.003,3.01,NA,58,15.21,4.29,95.71,36.71
OCT,1,10,0.038,0.002,2.85,NA,32,18.8,4.33,95.38,25.49
OCT,1,11,0.044,0.001,2.80,NA,28,21.13,5.05,91.54,15.97
OCT,1,12,0.047,0.001,2.78,NA,26,22.88,5.14,81.33,12.27
OCT,1,13,0.052,0.001,2.80,NA,23,24.35,4.56,87.76,11.79
OCT,1,14,0.050,0.005,2.87,NA,26,25.89,4.2,78.89,11.72
OCT,1,15,0.050,0.004,2.81,NA,25,26.86,4.25,75.08,10.72
OCT,1,16,0.051,0.009,2.83,NA,32,27.35,3.76,98.85,10.35
OCT,1,17,0.049,0.025,2.86,NA,59,26.68,5.02,69.01,10.45
OCT,1,18,0.043,0.071,2.88,NA,42,24.73,5.86,52.26,11.89
OCT,1,19,0.037,0.036,2.86,NA,36,21.49,6.17,49.77,15.34
OCT,1,20,0.036,0.041,2.88,NA,42,18.59,6.39,48.75,19.05
OCT,1,21,0.038,0.003,2.80,NA,39,16.98,6.69,44.97,21.67
OCT,1,22,0.038,0.003,2.78,NA,19,16,6.39,48.67,23.88
OCT,1,23,0.038,0.010,2.77,NA,17,14.73,3.92,81.81,26.6
OCT,2,0,0.032,0.008,2.77,NA,21,12.18,2.63,159.3,30.1
OCT,2,1,0.031,0.008,2.78,NA,23,10.05,2.49,128.25,38.07
OCT,2,2,0.027,0.019,2.77,NA,26,8.73,1.83,128.71,44.56
OCT,2,3,0.025,0.007,2.77,NA,28,8.72,2.38,100.2,47.96
OCT,2,4,0.031,0.002,2.77,NA,14,8.59,3.24,87.94,53.41
OCT,2,5,0.031,0.002,2.79,NA,20,8.14,3.35,89.79,56.79
OCT,2,6,0.028,0.002,2.87,NA,17,7.8,3.42,85.44,60.22
OCT,2,7,0.021,0.002,3.01,NA,28,7.47,3.26,88.8,65.62
OCT,2,8,0.019,0.003,3.05,NA,36,10.54,3.3,95.27,61.64
OCT,2,9,0.033,0.003,2.88,NA,39,13.52,5.28,79,56.04
OCT,2,10,0.038,0.002,2.88,NA,30,15.62,5.04,82.56,47.53
OCT,2,11,0.043,0.002,2.86,NA,32,17.5,4.93,84.52,41.84
OCT,2,12,0.045,0.002,2.85,NA,34,19.42,5.29,87.2,35.96
OCT,2,13,0.046,0.002,2.85,NA,31,21.33,4.85,85.32,31.15
OCT,2,14,0.046,0.002,2.87,NA,27,22.75,4.59,88.86,28.48
OCT,2,15,0.046,0.002,2.87,NA,31,23.95,4.69,87.92,26.38
OCT,2,16,0.044,0.002,2.84,NA,29,24.5,4.35,72.12,24.57
OCT,2,17,0.025,0.004,2.90,NA,10,24.33,5.21,67.65,23.91
OCT,2,18,0.038,0.017,2.91,NA,26,22.74,6.11,50.99,25.9
OCT,2,19,0.033,0.015,2.93,NA,40,19.68,5.85,51.86,33.02
OCT,2,20,0.029,0.010,2.95,NA,34,17.09,4.53,51.73,41.42
OCT,2,21,0.030,0.008,2.87,NA,26,15.32,4.87,63.41,48.15
OCT,2,22,0.029,0.004,2.86,NA,23,14.06,4.54,72.64,52.81
OCT,2,23,0.024,0.004,2.86,NA,26,12.54,2.92,74.98,58.94
