DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ENE,1,0,0.0108,0.0069,4.085,184,9.8,2.5,168,61
ENE,1,1,0.005,0.0137,4.205,254,9.2,1.7,91,63
ENE,1,2,0.0038,0.0123,4.395,365,8.2,1.5,139,65
ENE,1,3,0.0051,0.0118,4.545,323,7.7,1.5,150,66
ENE,1,4,0.0027,0.0168,5.912,426,6.5,1.4,176,66
ENE,1,5,0.0013,0.011,4.258,287,5.7,1.9,128,72
ENE,1,6,0.0013,0.0076,4.004,154,4.8,1.8,123,76
ENE,1,7,0.0005,0.0056,3.985,137,3.6,1.7,117,79
ENE,1,8,0.0007,0.0053,3.96,134,3.7,1.9,126,81
ENE,1,9,0.0031,0.006,3.796,114,8.5,2,120,68
ENE,1,10,0.0147,0.0107,3.497,76,12.9,3.2,108,57
ENE,1,11,0.0248,0.0079,3.284,53,16,3.4,131,46
ENE,1,12,0.0295,0.0035,3.226,22,19.1,3,174,34
ENE,1,13,0.0343,0.0034,3.245,12,21.5,2.3,256,27
ENE,1,14,0.0385,0.0031,3.356,19,22.8,2.8,265,20
ENE,1,15,0.0407,0.0032,3.372,21,23.3,3.1,258,16
ENE,1,16,0.0421,0.0023,3.42,34,23.9,3.6,265,14
ENE,1,17,0.0408,0.0024,3.425,40,23.7,4.1,247,13
ENE,1,18,0.0416,0.0024,3.449,35,21.9,4,267,12
ENE,1,19,0.0317,0.0026,3.637,55,18.5,3.6,253,13
ENE,1,20,0.0235,0.0065,3.852,127,16.2,2.8,225,14
ENE,1,21,0.0253,0.0033,3.618,98,14.9,2.9,198,17
ENE,1,22,0.0217,0.0073,3.674,98,13.3,2.4,239,20
ENE,1,23,0.0227,0.0038,3.63,80,12.2,2.1,228,21
ENE,2,0,0.0142,0.0038,3.569,59,10.2,2,94,25
ENE,2,1,0.0081,0.0048,3.732,64,8.7,1.3,269,24
ENE,2,2,0.004,0.0052,3.721,74,7.4,1.3,143,31
ENE,2,3,0.0028,0.0052,3.573,68,6,1.3,175,33
ENE,2,4,0.0019,0.0161,3.588,62,5.2,2,91,40
ENE,2,5,0.0026,0.0142,3.512,43,3.8,1.2,156,46
ENE,2,6,0.0011,0.0135,3.522,42,3.6,1.8,130,47
ENE,2,7,0.0012,0.0256,3.547,52,2.8,1.6,129,52
ENE,2,8,0.0008,0.061,3.697,58,3.3,1.9,91,54
ENE,2,9,0.0049,0.1758,3.72,90,7.1,2.5,86,47
ENE,2,10,0.0123,0.0294,3.51,87,11.4,3.2,100,38
ENE,2,11,0.0244,0.0077,3.328,53,14.7,3.2,100,31
ENE,2,12,0.0323,0.0112,3.291,33,18.2,2.6,115,25
ENE,2,13,0.0409,0.0055,3.323,38,21.4,2.2,152,20
ENE,2,14,0.0455,0.0028,3.27,30,23.5,2.2,230,13
ENE,2,15,0.0454,0.0024,3.406,13,24.2,2.8,246,12
ENE,2,16,0.045,0.002,3.416,25,24.6,2.6,250,10
ENE,2,17,0.0465,0.0012,3.429,25,24.3,2.7,285,10
ENE,2,18,0.0423,0.0012,3.691,43,22.7,3,277,10
ENE,2,19,0.0171,0.0019,4.687,51,18.8,2.3,321,12
ENE,2,20,0.0015,0.0042,5.884,100,16,1.9,308,14
ENE,2,21,0.0004,0.0064,6.405,135,13.8,1.5,224,16
ENE,2,22,0.0048,0.0072,5.427,226,11.9,1.9,174,21
ENE,2,23,0.007,0.0082,5.36,180,10.5,1.4,78,23
ENE,3,0,0.0028,0.0166,4.467,158,9.3,1.4,198,21
ENE,3,1,0.0205,0.0146,4.625,158,8.1,1.7,125,29
ENE,3,2,0.0163,0.0123,4.249,182,6.9,1.6,140,33
ENE,3,3,0.0152,0.0154,3.82,178,6.5,2.2,108,33
ENE,3,4,0.0166,0.0124,3.763,115,6.3,2.4,117,34
ENE,3,5,0.0072,0.0036,3.595,82,4.7,2.1,131,36
ENE,3,6,0.0077,0.0157,3.549,69,4,1.7,143,38
