DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,1,0,0.0352,0.0115,1.037,111,19.39,5.87,82.94,52.43
ABRIL,1,1,0.0355,0.0093,1.017,45,18.18,5.82,67.91,56.66
ABRIL,1,2,0.0356,0.0082,1.003,39,17.48,5.87,65.87,58.53
ABRIL,1,3,0.0341,0.0093,0.974,46,16.64,5.17,69.78,57.28
ABRIL,1,4,0.0316,0.0098,0.961,38,15.74,5.21,68.62,57.90
ABRIL,1,5,0.0307,0.0099,0.959,45,15.10,4.81,74.04,60.55
ABRIL,1,6,0.0285,0.0087,0.974,48,14.60,4.42,78.15,62.05
ABRIL,1,7,0.0245,0.0078,1.091,57,14.15,3.91,85.18,63.48
ABRIL,1,8,0.0243,0.0071,1.103,48,15.55,4.65,85.13,60.71
ABRIL,1,9,0.0279,0.0066,1.047,56,17.57,6.62,87.12,55.60
ABRIL,1,10,0.0308,0.0060,1.056,39,19.70,7.06,94.82,45.76
ABRIL,1,11,0.0306,0.0056,1.048,37,20.71,7.42,102.15,42.14
ABRIL,1,12,0.0317,0.0049,1.064,37,21.87,7.76,95.40,37.86
ABRIL,1,13,0.0337,0.0048,1.034,28,23.38,6.69,99.28,33.25
ABRIL,1,14,0.0330,0.0046,1.037,34,24.14,7.07,89.71,30.79
ABRIL,1,15,0.0342,0.0046,1.048,28,25.13,6.94,83.93,28.18
ABRIL,1,16,0.0319,0.0049,1.022,33,24.82,7.49,81.35,29.36
ABRIL,1,17,0.0291,0.0047,1.001,27,24.42,7.43,77.39,29.75
ABRIL,1,18,0.0279,0.0048,1.018,36,23.44,7.29,75.05,32.16
ABRIL,1,19,0.0271,0.0050,1.017,46,21.38,6.90,69.50,36.77
ABRIL,1,20,0.0265,0.0059,1.054,72,19.08,6.58,70.17,41.83
ABRIL,1,21,0.0236,0.0072,1.059,55,16.80,6.35,66.16,52.10
ABRIL,1,22,0.0230,0.0088,1.033,46,15.15,6.52,61.74,58.29
ABRIL,1,23,0.0234,0.0093,1.011,52,14.22,6.01,62.78,61.82
ABRIL,2,0,0.0237,0.0092,0.994,45,13.49,6.55,65.18,64.45
ABRIL,2,1,0.0236,0.0088,0.981,47,12.79,7.12,64.28,67.12
ABRIL,2,2,0.0234,0.0071,0.979,41,12.38,5.84,68.85,68.64
ABRIL,2,3,0.0240,0.0077,0.968,31,12.31,6.10,67.61,68.55
ABRIL,2,4,0.0244,0.0075,0.971,29,12.07,4.39,79.32,68.89
ABRIL,2,5,0.0230,0.0064,0.978,22,11.74,4.16,90.80,69.64
ABRIL,2,6,0.0227,0.0054,0.986,30,11.26,4.88,81.60,71.02
ABRIL,2,7,0.0209,0.0048,1.022,29,10.99,4.24,86.09,71.97
ABRIL,2,8,0.0194,0.0045,1.040,36,12.78,3.92,85.17,66.89
ABRIL,2,9,0.0239,0.0039,1.044,26,15.46,5.28,76.64,57.27
ABRIL,2,10,0.0272,0.0047,1.034,30,18.31,6.13,84.76,48.29
ABRIL,2,11,0.0325,0.0039,1.059,19,20.07,7.16,90.85,42.51
ABRIL,2,12,0.0350,0.0037,1.072,26,21.70,6.40,86.56,38.16
ABRIL,2,13,0.0367,0.0034,1.066,23,23.34,5.64,85.34,34.01
ABRIL,2,14,0.0373,0.0035,1.075,24,24.71,5.35,84.28,31.02
ABRIL,2,15,0.0378,0.0033,1.058,35,25.69,5.52,78.77,28.45
ABRIL,2,16,0.0370,0.0030,1.029,26,26.20,5.73,74.67,27.23
ABRIL,2,17,0.0361,0.0033,1.017,32,26.19,6.03,80.66,25.44
ABRIL,2,18,0.0350,0.0033,1.017,35,25.60,6.03,72.15,25.28
ABRIL,2,19,0.0320,0.0037,1.011,47,24.08,5.65,73.67,26.56
ABRIL,2,20,0.0259,0.0121,1.100,52,20.76,5.27,56.26,40.10
ABRIL,2,21,0.0239,0.0157,1.094,68,18.36,5.36,73.60,48.03
ABRIL,2,22,0.0264,0.0080,1.049,61,16.41,6.84,81.79,54.07
ABRIL,2,23,0.0265,0.0054,1.035,50,14.76,6.16,82.21,59.83
ABRIL,3,0,0.0265,0.0047,0.995,55,13.68,5.76,78.37,63.49
ABRIL,3,1,0.0261,0.0050,0.982,40,12.86,5.28,78.67,66.25
ABRIL,3,2,0.0265,0.0054,0.975,38,12.52,4.94,80.72,67.09
ABRIL,3,3,0.0266,0.0051,0.971,30,12.04,4.42,82.18,67.82
ABRIL,3,4,0.0274,0.0047,0.968,30,11.73,4.15,84.26,68.03
ABRIL,3,5,0.0260,0.0044,0.969,30,11.34,3.64,85.34,68.79
ABRIL,3,6,0.0243,0.0041,0.996,46,10.83,3.40,91.90,70.37
ABRIL,3,7,0.0201,0.0039,1.066,47,10.34,3.19,92.44,72.13
ABRIL,3,8,0.0195,0.0036,1.064,47,12.57,3.56,88.04,66.09
ABRIL,3,9,0.0254,0.0036,1.051,48,14.44,4.47,75.63,58.81
ABRIL,3,10,0.0270,0.0038,1.097,35,16.64,4.26,87.81,52.36
ABRIL,3,11,0.0304,0.0039,1.107,NA,18.53,3.59,86.86,47.08
ABRIL,3,12,0.0372,0.0041,1.072,NA,22.06,2.72,118.28,39.56
ABRIL,3,13,0.0432,0.0052,1.084,5,24.63,2.05,192.14,32.74
ABRIL,3,14,0.0490,0.0143,1.084,1,26.90,2.07,214.98,28.24
ABRIL,3,15,0.0531,0.0175,1.080,NA,27.87,2.56,229.82,23.29
ABRIL,3,16,0.0483,0.0141,1.080,4,28.62,2.48,158.78,19.82
ABRIL,3,17,0.0498,0.0113,1.063,7,29.32,2.41,252.03,18.98
ABRIL,3,18,0.0498,0.0094,1.028,26,28.60,2.13,171.63,19.21
ABRIL,3,19,0.0467,0.0061,1.024,65,26.48,1.98,163.48,20.86
ABRIL,3,20,0.0334,0.0677,1.112,61,23.57,4.72,58.82,17.18
ABRIL,3,21,0.0315,0.0126,1.093,73,21.26,4.77,63.76,17.89
ABRIL,3,22,0.0311,0.0069,1.044,96,19.62,4.51,86.03,21.58
ABRIL,3,23,0.0300,0.0045,1.033,47,17.92,5.50,80.23,29.90
ABRIL,4,0,0.0290,0.0042,1.023,29,16.04,4.71,88.95,36.24
ABRIL,4,1,0.0278,0.0046,0.976,32,14.68,5.02,82.42,44.13
ABRIL,4,2,0.0262,0.0061,0.987,28,13.05,4.64,87.34,53.60
ABRIL,4,3,0.0242,0.0060,0.993,28,11.84,3.80,93.14,60.83
ABRIL,4,4,0.0232,0.0058,0.991,27,10.98,3.91,89.58,64.50
ABRIL,4,5,0.0231,0.0057,0.994,31,10.64,3.84,95.06,64.95
ABRIL,4,6,0.0220,0.0053,1.050,32,9.97,3.71,99.92,68.01
ABRIL,4,7,0.0190,0.0051,1.063,53,9.09,3.33,104.30,71.04
ABRIL,4,8,0.0188,0.0053,1.101,42,11.19,4.06,99.64,65.62
ABRIL,4,9,0.0237,0.0053,1.096,38,13.79,4.78,88.41,55.10
ABRIL,4,10,0.0272,0.0053,1.099,34,16.24,4.44,93.54,46.42
ABRIL,4,11,0.0325,0.0051,1.054,29,19.15,3.97,102.61,36.55
ABRIL,4,12,0.0378,0.0049,1.056,23,22.05,3.68,109.18,28.85
ABRIL,4,13,0.0434,0.0080,1.016,31,25.29,2.27,160.59,22.50
ABRIL,4,14,0.0522,0.0257,1.030,22,27.66,2.08,201.16,16.80
ABRIL,4,15,0.0557,0.0168,0.993,21,28.75,2.12,190.51,13.69
ABRIL,4,16,0.0548,0.0136,1.038,22,29.26,2.54,130.34,11.83
ABRIL,4,17,0.0554,0.0105,0.972,22,29.71,2.25,166.29,10.96
ABRIL,4,18,0.0526,0.0056,0.954,25,28.79,2.62,171.76,9.32
ABRIL,4,19,0.0439,0.0048,1.096,33,25.19,1.98,112.83,9.85
ABRIL,4,20,0.0277,0.0092,1.284,51,23.44,3.13,77.53,14.73
ABRIL,4,21,0.0297,0.0086,1.134,65,21.89,4.11,62.97,23.25
ABRIL,4,22,0.0272,0.0080,1.085,53,20.14,3.82,67.80,28.91
ABRIL,4,23,0.0281,0.0081,1.015,39,18.55,4.94,79.92,33.86
ABRIL,5,0,0.0279,0.0074,0.995,34,17.00,4.05,76.37,40.81
ABRIL,5,1,0.0288,0.0098,0.995,35,16.48,3.38,84.89,44.39
ABRIL,5,2,0.0275,0.0079,0.986,37,15.22,4.04,73.21,50.81
ABRIL,5,3,0.0278,0.0073,0.997,31,14.22,4.21,83.63,55.69
ABRIL,5,4,0.0267,0.0069,0.998,33,13.43,4.13,85.98,58.82
ABRIL,5,5,0.0236,0.0066,1.022,24,12.62,3.96,96.41,61.60
ABRIL,5,6,0.0202,0.0064,1.096,31,11.28,4.38,106.28,67.51
ABRIL,5,7,0.0174,0.0060,1.123,32,10.68,4.20,100.96,69.57
ABRIL,5,8,0.0174,0.0058,1.154,38,12.53,4.52,92.91,64.86
ABRIL,5,9,0.0211,0.0058,1.157,46,14.87,4.98,88.99,55.92
ABRIL,5,10,0.0266,0.0059,1.101,30,17.31,4.67,98.57,47.27
ABRIL,5,11,0.0331,0.0054,1.098,14,20.14,3.67,99.27,38.29
ABRIL,5,12,0.0409,0.0057,1.085,19,23.62,2.40,131.34,29.03
ABRIL,5,13,0.0482,0.0060,1.084,17,26.04,2.49,189.27,20.98
ABRIL,5,14,0.0550,0.0075,1.110,22,27.96,2.11,201.97,17.97
ABRIL,5,15,0.0554,0.0063,1.010,10,29.10,2.41,185.94,13.47
ABRIL,5,16,0.0525,0.0050,1.027,20,29.51,2.80,272.15,13.33
ABRIL,5,17,0.0516,0.0050,1.058,23,29.15,3.00,260.66,14.01
ABRIL,5,18,0.0482,0.0047,1.089,19,28.42,3.26,264.39,14.31
ABRIL,5,19,0.0413,0.0049,1.338,33,25.83,3.03,292.48,18.14
ABRIL,5,20,0.0380,0.0053,1.162,59,23.91,2.68,194.86,20.44
