DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,1,0,0.0206,0.007,1.365,68,21.15,3.4,91.87,58.55
MAYO,1,1,0.0234,0.0079,1.294,52,20.7,3.61,75.56,61.31
MAYO,1,2,0.0249,0.0086,1.257,44,19.64,4,88.65,63.79
MAYO,1,3,0.0231,0.0087,1.251,43,18.67,2.64,110.55,66.65
MAYO,1,4,0.021,0.0086,1.255,38,17.68,1.92,148.93,68.79
MAYO,1,5,0.0171,0.0086,1.295,45,17.15,2.06,156.82,70.55
MAYO,1,6,0.013,0.0139,1.354,46,16.74,1.86,185.18,69.01
MAYO,1,7,0.0143,0.0107,1.479,72,16.94,1.39,213.9,59.42
MAYO,1,8,0.0174,0.0089,1.391,71,21.15,1.83,242.09,46.21
MAYO,1,9,0.0228,0.0086,1.327,55,23.94,1.81,164.47,38.34
MAYO,1,10,0.0314,0.0086,1.296,60,25.76,2.61,191.6,34.30
MAYO,1,11,0.0364,0.0082,1.252,50,27.31,3.13,216.03,28.52
MAYO,1,12,0.0365,0.0074,1.234,49,27.56,4.35,246.37,24.40
MAYO,1,13,0.0359,0.007,1.205,48,28.57,5.31,261.96,19.56
MAYO,1,14,0.0376,0.0067,1.21,53,29.38,5.31,266.7,16.98
MAYO,1,15,0.0395,0.0064,1.209,68,30.02,5.59,262.91,15.32
MAYO,1,16,0.0401,0.0061,1.194,88,30.08,5.48,258.19,14.96
MAYO,1,17,0.0383,0.0061,1.203,79,29.95,5.53,268.76,14.45
MAYO,1,18,0.0369,0.006,1.203,60,29.25,5.08,261.12,15.03
MAYO,1,19,0.0353,0.0062,1.23,53,27.34,5.14,259.52,18.80
MAYO,1,20,0.0297,0.0062,1.294,57,25.29,4.73,256.1,23.01
MAYO,1,21,0.0253,0.0065,1.409,88,24.06,4.28,249.51,25.45
MAYO,1,22,0.022,0.0071,1.357,65,22.86,4.06,249.76,28.58
MAYO,1,23,0.0206,0.0069,1.287,40,21.67,3.36,248.64,29.97
MAYO,2,0,0.0211,0.007,1.242,39,20.45,3.49,245.1,35.03
MAYO,2,1,0.0211,0.0074,1.287,37,19.79,3.42,270.19,40.24
MAYO,2,2,0.0165,0.0095,1.517,67,18.58,2.52,266.6,44.34
MAYO,2,3,0.0149,0.0094,1.404,100,17.49,2.15,270.17,47.10
MAYO,2,4,0.0159,0.0088,1.249,57,16.54,1.96,244.58,47.44
MAYO,2,5,0.0165,0.0087,1.202,37,15.61,1.74,267.36,51.96
MAYO,2,6,0.0138,0.0081,1.304,29,15.01,1.43,245.48,46.24
MAYO,2,7,0.009,0.0082,1.602,50,15.95,1.63,230.84,39.60
MAYO,2,8,0.0135,0.0089,1.379,56,20.56,2.39,263.34,39.68
MAYO,2,9,0.0217,0.0083,1.24,38,22.33,2.64,245.46,36.50
MAYO,2,10,0.0268,0.0079,1.254,38,24.25,3.13,255.6,29.46
MAYO,2,11,0.0279,0.0077,1.254,35,25.31,4.54,279.76,23.91
MAYO,2,12,0.0316,0.0073,1.207,35,26.73,4.43,269.03,18.75
MAYO,2,13,0.0361,0.0072,1.163,44,27.47,4.25,247.54,14.81
MAYO,2,14,0.0402,0.007,1.137,32,28.38,4.2,254.28,11.13
MAYO,2,15,0.0424,0.0067,1.175,41,28.91,4.66,250.98,9.10
MAYO,2,16,0.0443,0.0066,1.132,43,29.26,4.78,248.24,7.87
MAYO,2,17,0.0443,0.0065,1.101,38,29.25,4.95,255.49,7.81
MAYO,2,18,0.0418,0.0063,1.113,31,28.84,4.89,262.87,8.07
MAYO,2,19,0.0385,0.0066,1.184,35,27.49,4.27,269.69,8.89
MAYO,2,20,0.0297,0.0068,1.403,40,24.94,3.44,276.69,9.86
MAYO,2,21,0.0221,0.0072,1.56,56,22.82,2.04,243.86,11.60
MAYO,2,22,0.0205,0.0077,1.527,80,21.9,2.45,206.75,14.77
MAYO,2,23,0.0199,0.0077,1.385,74,20.77,2.38,204.81,22.16
MAYO,3,0,0.0207,0.0078,1.231,60,19.39,2.5,260.15,27.47
MAYO,3,1,0.0192,0.0081,1.202,45,17.91,1.71,212.81,30.01
MAYO,3,2,0.015,0.0076,1.25,39,17.15,1.81,290.11,30.46
MAYO,3,3,0.0119,0.0082,1.284,50,16.38,1.9,281.29,31.04
MAYO,3,4,0.0119,0.0083,1.294,53,15.85,2.06,299.82,30.81
MAYO,3,5,0.0115,0.0083,1.354,55,15.18,1.94,281.55,32.60
MAYO,3,6,0.005,0.0091,1.631,55,14.42,1.81,283.77,34.62
MAYO,3,7,0.0029,0.0111,2.022,183,14.51,1.8,231.44,37.63
MAYO,3,8,0.0094,0.0104,1.655,117,18.64,2.22,257.72,33.73
MAYO,3,9,0.0184,0.0095,1.509,72,21.06,2.82,285.81,24.76
MAYO,3,10,0.0306,0.0085,1.381,66,23.76,2.62,277.43,21.77
MAYO,3,11,0.0397,0.0075,1.357,55,25.6,2.73,248.28,22.31
MAYO,3,12,0.0419,0.0071,1.324,57,26.99,3.63,223.69,17.07
MAYO,3,13,0.044,0.0066,1.298,59,27.58,3.96,252.43,13.80
MAYO,3,14,0.0454,0.0067,1.308,57,28.77,3.89,252.7,12.78
MAYO,3,15,0.0466,0.0067,1.34,62,29.57,4.93,281,11.85
MAYO,3,16,0.0478,0.0064,1.287,57,30.12,4.81,275.69,10.57
MAYO,3,17,0.0472,0.0061,1.229,58,30.11,4.71,271.16,9.54
MAYO,3,18,0.0456,0.0062,1.209,50,29.34,4.63,270.13,9.09
MAYO,3,19,0.0416,0.006,1.241,48,27.86,3.85,266.35,9.31
