DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
SEPTIEMBRE,1,0,0.0199,0.0042,0.6799,21,16.12,3.18,102.97,97.5,2.57
SEPTIEMBRE,1,1,0.025,0.0037,0.6552,29,16,2.36,124.5,98.4,2.54
SEPTIEMBRE,1,2,0.0258,0.0039,0.6313,5,16.33,1.42,219.88,99.15,2.56
SEPTIEMBRE,1,3,0.0253,0.0036,0.6357,NA,16.24,1.13,225.49,99.32,2.52
SEPTIEMBRE,1,4,0.0113,0.0034,0.6597,9,16.01,1.24,165.2,99.45,2.59
SEPTIEMBRE,1,5,0.011,0.0034,0.6778,13,15.91,1.13,213.77,99.61,2.59
SEPTIEMBRE,1,6,0.0039,0.0034,0.757,15,15.9,1.18,183.76,99.77,2.49
SEPTIEMBRE,1,7,0.0021,0.0035,0.9069,19,16.02,1.29,234.97,99.9,10.82
SEPTIEMBRE,1,8,0.0054,0.0035,1.0534,17,16.47,1.44,258.93,NA,42.95
SEPTIEMBRE,1,9,0.0075,0.0035,1.0618,21,17.78,1.21,215.73,98.59,147.23
SEPTIEMBRE,1,10,0.0196,0.0033,1.0708,26,20.75,1.31,145.54,87.22,357.17
SEPTIEMBRE,1,11,0.0359,0.0038,0.8337,19,24.82,1.76,216.27,78.54,805.17
SEPTIEMBRE,1,12,0.0371,0.0038,0.7176,19,24.1,2.59,249.75,65.44,570.31
SEPTIEMBRE,1,13,0.0365,0.0034,0.7994,22,22.89,2.57,278.15,63.43,302.76
SEPTIEMBRE,1,14,0.0438,0.0032,0.7198,10,26.23,2.84,256.65,52.05,1017.92
SEPTIEMBRE,1,15,0.0445,0.0029,0.7638,9,25.7,2.71,285.31,48.61,557.2
SEPTIEMBRE,1,16,0.0433,0.0027,0.7092,14,25,3.87,234.39,51.33,526.26
SEPTIEMBRE,1,17,0.0397,0.0025,0.7,8,23.96,3.17,206.62,55.13,233.47
SEPTIEMBRE,1,18,0.0285,0.0025,0.9713,16,19.19,2.64,219.42,77.26,114.99
SEPTIEMBRE,1,19,0.0208,0.0026,0.9941,13,18.44,2.38,81.18,90.61,76.01
SEPTIEMBRE,1,20,0.0205,0.0025,1.0857,14,17.43,2.2,247.06,92.53,2.7
SEPTIEMBRE,1,21,0.0215,0.0024,0.9563,9,17.16,2,267.51,92.06,2.44
SEPTIEMBRE,1,22,0.0199,0.0026,0.8587,10,16.5,2.24,202.92,93.27,2.45
SEPTIEMBRE,1,23,0.0167,0.0027,0.747,8,16.67,1.98,179.3,94.49,2.46
SEPTIEMBRE,2,0,0.0135,0.0027,0.7733,12,16.73,1.41,273.6,95.33,2.52
SEPTIEMBRE,2,1,0.0139,0.0028,0.7493,NA,16.75,1.06,242.5,94.72,2.44
SEPTIEMBRE,2,2,0.011,0.0027,0.7345,10,16.77,0.99,127.33,95.26,2.46
SEPTIEMBRE,2,3,0.0048,0.0027,0.749,16,16.59,1.26,260.08,95.36,2.47
SEPTIEMBRE,2,4,0.0112,0.0027,0.7491,46,16.55,1.11,227.89,95,2.47
SEPTIEMBRE,2,5,0.0113,0.0026,0.7412,20,16.5,1.14,155.13,94.7,2.52
SEPTIEMBRE,2,6,0.0058,0.0028,0.902,16,15.67,1.72,259.27,96.63,2.61
SEPTIEMBRE,2,7,0.0115,0.0027,0.8644,12,15.43,1.88,144.4,98.96,4.54
SEPTIEMBRE,2,8,0.0248,0.0028,0.8048,11,15.15,1.9,92.54,99.47,24.27
SEPTIEMBRE,2,9,0.0236,0.0025,0.8559,7,15.35,1.69,107.62,99.78,48.74
SEPTIEMBRE,2,10,0.0253,0.0027,0.8478,9,15.89,1.53,154.38,99.74,99.26
SEPTIEMBRE,2,11,0.0222,0.0027,0.7873,10,16.87,1.29,133.24,98.31,164.75
SEPTIEMBRE,2,12,0.0207,0.0026,0.9029,13,17.92,2.31,196.79,96.42,251.18
SEPTIEMBRE,2,13,0.0243,0.0026,1.0799,16,19.24,2.2,269.69,97.57,403.22
SEPTIEMBRE,2,14,0.0378,0.0028,1.3753,21,21.23,2.09,288.08,91.74,527.33
SEPTIEMBRE,2,15,0.0582,0.0034,1.9768,25,22.62,1.69,220.21,75.12,427.81
SEPTIEMBRE,2,16,0.0578,0.0056,1.2318,27,22.26,1.6,208.22,75.82,276.51
SEPTIEMBRE,2,17,0.06,0.0059,1.1511,32,21.79,1.56,165.67,74.38,156.46
SEPTIEMBRE,2,18,0.0416,0.0059,1.0447,25,20.89,2.07,120.17,75.13,118.09
SEPTIEMBRE,2,19,0.0351,0.0047,0.8084,21,19.45,3.59,89.36,76.84,67.26
SEPTIEMBRE,2,20,0.0279,0.0038,0.883,17,17.61,3.24,113.59,84.62,17.57
SEPTIEMBRE,2,21,0.0125,0.0039,0.9069,18,16.88,2.93,111.68,90.71,2.51
SEPTIEMBRE,2,22,0.0112,0.0043,0.8911,26,16.75,2.19,116.28,93.03,27.03
SEPTIEMBRE,2,23,0.0064,0.0039,0.8546,19,16.56,1.87,120.62,96.42,6.99
SEPTIEMBRE,3,0,0.0142,0.0034,0.7267,13,16.38,2,134.48,97.22,14.71
SEPTIEMBRE,3,1,0.0227,0.0033,0.6516,11,15.8,3.62,101.23,95.72,7.24
SEPTIEMBRE,3,2,0.0261,0.0035,0.601,6,15.11,3.14,93.23,96.9,18.83
SEPTIEMBRE,3,3,0.0262,0.0033,0.5897,7,15.22,3.07,95.48,96.99,21.02
SEPTIEMBRE,3,4,0.0247,0.0031,0.5987,NA,15.36,3.34,97,94.83,5.04
SEPTIEMBRE,3,5,0.0255,0.003,0.6305,9,15.44,2.6,106.37,93.66,10.72
SEPTIEMBRE,3,6,0.0165,0.003,0.7109,10,15.49,2.59,112.34,92.97,9.49
SEPTIEMBRE,3,7,0.0119,0.003,0.8193,26,15.58,2.88,102.49,93.11,7.34
SEPTIEMBRE,3,8,0.0076,0.0031,0.8409,23,15.82,2.64,102.39,93.23,42.11
SEPTIEMBRE,3,9,0.01,0.0032,0.9349,23,16.65,2.99,101.82,89.65,88.5
SEPTIEMBRE,3,10,0.0164,0.0033,0.8192,28,17.8,2.92,99.88,84.6,231.96
SEPTIEMBRE,3,11,0.0243,0.0035,0.746,13,20.64,4.01,86.63,72.09,703.3
SEPTIEMBRE,3,12,0.029,0.0036,0.7175,8,23.24,3.41,101.46,59.51,727.49
SEPTIEMBRE,3,13,0.0343,0.0036,0.7256,14,23.4,3.28,92.94,56.04,592.13
SEPTIEMBRE,3,14,0.0365,0.0033,0.7394,12,23.21,2.6,84.27,55.44,313.74
SEPTIEMBRE,3,15,0.0344,0.0032,0.7838,13,22.7,2.26,130.56,57.41,150.51
SEPTIEMBRE,3,16,0.0329,0.0029,0.8018,14,22.58,2.06,151.8,63.34,511.29
SEPTIEMBRE,3,17,0.0468,0.003,0.7719,17,24.1,3.99,86.37,54.84,441.21
SEPTIEMBRE,3,18,0.0395,0.0031,0.8761,24,22.31,3.79,92.78,59.77,118.28
SEPTIEMBRE,3,19,0.027,0.003,0.8332,19,19.66,2.95,77.72,70.41,35.75
SEPTIEMBRE,3,20,0.0177,0.003,0.9336,21,18.67,2.41,99.23,76.32,20.3
SEPTIEMBRE,3,21,0.018,0.0029,0.8113,15,18.27,2.89,96.02,78.55,28.38
SEPTIEMBRE,3,22,0.0145,0.0027,0.7633,15,17.68,3.14,93.18,84.59,21.45
SEPTIEMBRE,3,23,0.0146,0.0025,0.701,16,17.57,3.32,92.84,85.65,10.54
SEPTIEMBRE,4,0,0.018,0.0025,0.6709,14,17.18,3.34,91.78,85.82,17.16
SEPTIEMBRE,4,1,0.0189,0.0026,0.6443,10,16.86,2.93,90.77,87.12,12.74
SEPTIEMBRE,4,2,0.0212,0.0026,0.6163,9,16.75,3.11,116.29,87.28,19.16
SEPTIEMBRE,4,3,0.0192,0.0025,0.6323,14,15.84,3.3,106.36,90.97,8.46
SEPTIEMBRE,4,4,0.0198,0.0024,0.6237,8,15.16,2.93,88.37,96.66,7.02
SEPTIEMBRE,4,5,0.0188,0.0025,0.6402,13,15.13,2.11,97.04,97.81,10.34
SEPTIEMBRE,4,6,0.0141,0.0025,0.7725,12,15.18,1.55,94.89,98.26,8.76
SEPTIEMBRE,4,7,0.0122,0.0025,0.8431,12,15.12,2,98.85,98.06,15.81
SEPTIEMBRE,4,8,0.0105,0.0024,0.8611,22,15.77,2.21,98.61,97,76.47
SEPTIEMBRE,4,9,0.0153,0.0024,0.9271,23,17.48,2.98,94.35,90.03,217.69
SEPTIEMBRE,4,10,0.0269,0.0025,0.7719,24,20.63,3.54,99.03,78.8,583.55
SEPTIEMBRE,4,11,0.0324,0.0023,0.7381,21,22.93,3.14,90.69,64.67,774.88
SEPTIEMBRE,4,12,0.0368,0.0025,0.6956,17,24.78,3.32,98.9,52.24,1041.3
SEPTIEMBRE,4,13,0.0398,0.0024,0.6913,10,26.1,2.77,101.1,44.65,1058.74
SEPTIEMBRE,4,14,0.0435,0.0023,0.6657,10,26.75,2.55,125.7,42.91,913.09
SEPTIEMBRE,4,15,0.046,0.0022,0.6569,10,27.46,2.69,114.51,39.64,976.72
SEPTIEMBRE,4,16,0.0423,0.0037,0.8614,10,27.48,2.73,205.66,39.09,502.5
SEPTIEMBRE,4,17,0.0399,0.0043,0.7743,8,27.02,1.8,180.88,41.12,367.61
SEPTIEMBRE,4,18,0.0359,0.0046,0.8008,13,26.4,2.43,232.92,42.64,130.85
SEPTIEMBRE,4,19,0.0333,0.0033,0.7727,26,19.53,3.84,216.56,73.51,12.78
SEPTIEMBRE,4,20,0.0311,0.0026,0.8108,23,15.58,2.36,178.3,95.76,17.51
SEPTIEMBRE,4,21,0.0288,0.0023,0.9637,64,15.52,1.74,208.81,98.58,2.6
SEPTIEMBRE,4,22,0.0273,0.0022,0.996,20,15.88,1.26,217.29,98.72,23.76
SEPTIEMBRE,4,23,0.0301,0.0023,0.7981,13,15.84,1.35,186.11,99.05,39.95
SEPTIEMBRE,5,0,0.029,0.0022,0.7138,7,15.9,1.14,162.72,99.53,17.16
SEPTIEMBRE,5,1,0.0279,0.0022,0.6829,4,15.81,1.49,137.37,99.56,22.33
SEPTIEMBRE,5,2,0.022,0.0022,0.7068,8,15.77,1.24,81.85,99.55,8.6
SEPTIEMBRE,5,3,0.0222,0.0022,0.6844,15,15.65,1.62,120.31,99.74,2.66
SEPTIEMBRE,5,4,0.0126,0.0022,0.7212,21,15.56,1.42,114.01,99.9,21.85
SEPTIEMBRE,5,5,0.0095,0.0024,0.6902,24,15.02,2.1,86.02,99.51,16.35
SEPTIEMBRE,5,6,0.0068,0.0022,0.7239,21,14.52,1.54,93.87,99.45,13.54
SEPTIEMBRE,5,7,0.0058,0.0025,0.7215,24,14.09,2.11,130.1,99.65,13.86
SEPTIEMBRE,5,8,0.0077,0.0024,0.8426,27,15.05,2.63,105.5,99.22,121.75
SEPTIEMBRE,5,9,0.015,0.0024,0.755,22,18.61,3.1,90.8,90.53,404.66
SEPTIEMBRE,5,10,0.0237,0.0024,0.7333,17,20.84,3.47,83.41,79.63,559.95
SEPTIEMBRE,5,11,0.0315,0.0024,0.7031,16,22.24,3.76,96.47,69.66,800.28
SEPTIEMBRE,5,12,0.041,0.0024,0.713,15,24.15,3,124.15,57.9,877.68
SEPTIEMBRE,5,13,0.0521,0.0025,0.7395,23,25.74,2.48,146.43,51.82,945.09
SEPTIEMBRE,5,14,0.0556,0.0027,0.7008,46,27.91,2.05,187.84,43.5,1016.3
SEPTIEMBRE,5,15,0.0549,0.0028,0.7237,22,27.87,2.07,213.94,41.77,832.73
SEPTIEMBRE,5,16,0.0627,0.0028,0.8097,25,28.01,2.42,174.79,40.46,722.06
SEPTIEMBRE,5,17,0.0684,0.006,0.8496,28,28.65,2.3,258.86,37.82,575.25
SEPTIEMBRE,5,18,0.0466,0.0052,0.958,31,22.33,4.71,178.91,60.6,111.47
SEPTIEMBRE,5,19,0.0383,0.0045,0.8466,32,15.75,3.9,175.42,94.94,20.03
SEPTIEMBRE,5,20,0.0268,0.003,0.9137,7,16.06,1.35,158.27,97.86,34.09
SEPTIEMBRE,5,21,0.0293,0.0026,0.7652,10,15.79,2.07,126.82,98.15,33.25
SEPTIEMBRE,5,22,0.0295,0.0024,0.7647,11,15.42,2.78,112.65,99.13,7.39
SEPTIEMBRE,5,23,0.0243,0.0023,0.7262,17,15.33,1.87,110.8,99.75,33.1
SEPTIEMBRE,6,0,0.0246,0.0021,0.6962,12,15.4,2.18,74.25,NA,6.45
SEPTIEMBRE,6,1,0.0245,0.0024,0.6912,13,15.7,2.76,81.32,NA,13.72
SEPTIEMBRE,6,2,0.0242,0.0021,0.6584,12,15.55,2.56,112.12,99.84,6.3
SEPTIEMBRE,6,3,0.0136,0.0023,0.7263,17,15.44,2.42,111.02,99.72,13.12
SEPTIEMBRE,6,4,0.0138,0.0024,0.7411,19,15.24,1.92,127.39,99.57,7.78
SEPTIEMBRE,6,5,0.0116,0.0024,0.8049,25,15.2,2.01,113.29,NA,20.39
SEPTIEMBRE,6,6,0.0105,0.0027,0.8796,25,15.22,2.19,90.18,NA,20.01
SEPTIEMBRE,6,7,0.0091,0.0027,0.9765,19,15.28,2.07,99.56,NA,16.97
SEPTIEMBRE,6,8,0.0096,0.0025,0.8463,24,15.7,2.08,112.9,99.68,69.34
SEPTIEMBRE,6,9,0.0164,0.0025,0.8708,17,17.17,2.25,96.21,97.44,206.54
SEPTIEMBRE,6,10,0.0238,0.0026,0.8436,16,18.63,3.14,83.45,91.26,299.42
SEPTIEMBRE,6,11,0.0326,0.0026,0.7665,15,20.2,3.85,83.5,80.48,416.41
SEPTIEMBRE,6,12,0.0371,0.0026,0.7717,10,21.53,3.17,96.19,71.36,425.94
SEPTIEMBRE,6,13,0.0437,0.0026,0.7155,13,22.35,3.72,104.42,61.99,505.37
SEPTIEMBRE,6,14,0.0428,0.0024,0.711,8,23.12,2.74,119.8,56.55,496.59
SEPTIEMBRE,6,15,0.0385,0.0027,0.6589,7,25.88,2.36,112.41,45.2,895.75
SEPTIEMBRE,6,16,0.0443,0.0159,0.7333,9,26.82,1.91,143.27,40.83,788.51
SEPTIEMBRE,6,17,0.0347,0.0143,0.7035,15,26.35,2.81,231.53,41.15,471.54
SEPTIEMBRE,6,18,0.034,0.0046,0.8557,17,23.12,2.67,213.24,58.01,156.68
SEPTIEMBRE,6,19,0.0248,0.0035,1.0831,21,21.06,2.28,264.36,60.99,17.33
SEPTIEMBRE,6,20,0.0147,0.0036,1.0357,21,19.94,1.96,257.72,61.98,23.47
SEPTIEMBRE,6,21,0.0135,0.0028,0.8655,21,19.26,1.97,180.19,71.65,25.44
SEPTIEMBRE,6,22,0.0253,0.0025,0.6924,17,17.71,4.54,97.47,78.77,14.14
SEPTIEMBRE,6,23,0.0301,0.0025,0.6877,12,15.04,4.56,81.05,93.89,17.58
SEPTIEMBRE,7,0,0.0288,0.0026,0.6406,5,14.86,2.79,89.78,97.11,17.11
SEPTIEMBRE,7,1,0.0276,0.0025,0.6272,10,15.06,2.43,86,97.98,13.57
SEPTIEMBRE,7,2,0.0241,0.0026,0.6168,7,15.03,2.19,127.86,98.13,23.61
SEPTIEMBRE,7,3,0.0214,0.0026,0.6115,4,14.92,1.73,111.96,98.41,16.64
SEPTIEMBRE,7,4,0.0193,0.0025,0.6093,9,14.39,1.82,91.94,98.1,7.27
SEPTIEMBRE,7,5,0.0163,0.0025,0.6511,11,14.1,1.56,117.37,98.59,15.66
SEPTIEMBRE,7,6,0.008,0.0024,0.7596,13,14.15,1.62,113.58,98.65,11.8
SEPTIEMBRE,7,7,0.0038,0.0023,0.7966,17,14.21,1.74,124.61,99.15,5.09
SEPTIEMBRE,7,8,0.0029,0.0026,0.9574,34,14.49,1.17,98.57,99.52,35.92
SEPTIEMBRE,7,9,0.0061,0.0026,0.9692,35,15.56,1.2,185.17,99.26,130.59
SEPTIEMBRE,7,10,0.0126,0.0026,0.8792,25,17.51,1.54,149.42,96.09,294.28
SEPTIEMBRE,7,11,0.0217,0.0028,0.8212,23,19.77,1.78,99.22,87.9,397.94
SEPTIEMBRE,7,12,0.0295,0.0029,0.7348,18,21.76,1.81,141.5,81.52,546.21
SEPTIEMBRE,7,13,0.0426,0.0028,0.7163,12,24,1.91,169.05,68.53,802.27
SEPTIEMBRE,7,14,0.0511,0.0028,0.6932,13,25.07,2.06,175.63,56.85,788.21
SEPTIEMBRE,7,15,0.0503,0.0033,0.904,8,25.24,2.26,165.64,51.65,568.21
SEPTIEMBRE,7,16,0.045,0.0055,0.905,13,25.22,2.85,236.03,49.76,487.51
SEPTIEMBRE,7,17,0.0413,0.0066,0.981,15,23.91,1.96,278.32,51.83,122.69
SEPTIEMBRE,7,18,0.0292,0.0045,1.1141,19,22.53,2.59,271.46,56.59,56.42
SEPTIEMBRE,7,19,0.0267,0.0034,0.7042,24,17.96,4.6,133.37,75.08,9.91
SEPTIEMBRE,7,20,0.0304,0.0028,0.7272,7,15.16,3.07,140.53,90.6,8.72
SEPTIEMBRE,7,21,0.0242,0.0027,0.8049,19,15.35,2.61,96.84,92.32,18.27
SEPTIEMBRE,7,22,0.0174,0.0026,0.8452,11,15.37,2.69,88.74,95.5,6.92
SEPTIEMBRE,7,23,0.0164,0.0026,0.7344,7,15.4,2.71,90.16,95.79,15.18
SEPTIEMBRE,8,0,0.0198,0.0025,0.7469,9,15.32,2.99,97.43,94.26,6.25
SEPTIEMBRE,8,1,0.0172,0.0027,0.7158,10,15.1,2.33,94.64,94.22,12.76
SEPTIEMBRE,8,2,0.0109,0.0027,0.7362,11,14.87,1.95,135.77,96.1,11.3
SEPTIEMBRE,8,3,0.0095,0.0026,0.7691,15,14.85,2.2,130.84,96.45,13.42
SEPTIEMBRE,8,4,0.0047,0.0026,0.7816,20,14.74,2.25,122.03,96.19,18.15
SEPTIEMBRE,8,5,0.0029,0.0026,0.7764,17,14.54,2,132.74,97.18,9.45
SEPTIEMBRE,8,6,0.0039,0.0026,0.7769,18,13.87,1.91,126.33,98.06,3.39
SEPTIEMBRE,8,7,0.0029,0.0028,0.9975,22,13.5,2.09,120.86,98.8,13.43
SEPTIEMBRE,8,8,0.0022,0.0029,1.2589,34,14.6,2.19,134.65,98.39,99.79
SEPTIEMBRE,8,9,0.0076,0.003,1.1705,33,16.82,3.11,103.22,91.67,256.64
SEPTIEMBRE,8,10,0.0201,0.0029,0.9644,21,19.94,3.56,100.3,80.36,562.17
SEPTIEMBRE,8,11,0.031,0.0029,0.8464,19,21.76,4.3,94.31,66.24,805.66
SEPTIEMBRE,8,12,0.0415,0.0032,0.7871,17,23.72,3.37,105.52,56.01,934.65
SEPTIEMBRE,8,13,0.0527,0.0043,0.8031,19,24.94,3.17,132.63,49.98,941.01
SEPTIEMBRE,8,14,0.0551,0.0051,0.7601,19,26.24,2.87,110.55,41.46,976.26
SEPTIEMBRE,8,15,0.0534,0.0065,0.7159,18,26.91,3.08,96.07,36.61,860.35
SEPTIEMBRE,8,16,0.057,0.0053,0.7084,15,27.17,3.09,120.91,34.68,686.53
SEPTIEMBRE,8,17,0.0621,0.0035,0.6922,13,27.07,3.06,130.07,35.56,464.18
SEPTIEMBRE,8,18,0.0452,0.0029,0.7642,22,23.31,4.01,158.83,50.97,55.35
SEPTIEMBRE,8,19,0.0331,0.0026,0.7825,21,19.57,3.53,214.68,65.33,14.96
SEPTIEMBRE,8,20,0.0294,0.0025,0.8619,18,17.73,3.05,278.48,73.35,11.55
SEPTIEMBRE,8,21,0.0209,0.0024,0.9125,24,16.72,2.09,281.06,81.97,8.6
SEPTIEMBRE,8,22,0.0198,0.0024,0.8256,17,16.34,2.38,310.13,89.82,16.91
SEPTIEMBRE,8,23,0.0173,0.0024,0.8619,12,16.42,1.47,197.39,91.37,2.59
SEPTIEMBRE,9,0,0.0144,0.0023,0.9029,13,15.74,1.66,206.12,92.07,11.63
SEPTIEMBRE,9,1,0.0097,0.0022,0.7709,NA,15.78,1.26,154.34,92.76,2.57
SEPTIEMBRE,9,2,0.0359,0.0022,0.7546,16,16.03,1.39,145.88,92.79,9.38
SEPTIEMBRE,9,3,0.0128,0.0024,0.784,23,16.11,2.25,91.19,94.75,7.48
SEPTIEMBRE,9,4,0.0158,0.0034,0.6818,22,16.39,2.61,61.69,90.91,12.92
SEPTIEMBRE,9,5,0.0222,0.0055,0.6763,17,16.35,2.91,60.96,87.58,23.93
SEPTIEMBRE,9,6,0.0188,0.0056,0.7629,17,15.78,2.57,105.35,86.84,2.56
SEPTIEMBRE,9,7,0.0107,0.0039,0.8456,26,15.45,2.62,98.23,88.08,9.54
SEPTIEMBRE,9,8,0.0128,0.0033,0.8949,25,16.18,2.52,91.24,84.78,82.09
SEPTIEMBRE,9,9,0.0165,0.0032,0.8947,35,18.44,2.66,86.77,77.87,303.03
SEPTIEMBRE,9,10,0.0323,0.003,0.7358,32,21.18,4.68,75.26,57.87,625.52
SEPTIEMBRE,9,11,0.0383,0.003,0.7306,21,22.61,4.67,65.61,51.41,807.41
SEPTIEMBRE,9,12,0.047,0.0027,0.747,18,24.05,4.03,90.55,45.54,934.23
SEPTIEMBRE,9,13,0.0541,0.0031,0.7285,16,25.45,3.7,74.44,35.77,998.98
SEPTIEMBRE,9,14,0.0558,0.0033,0.7281,17,26.25,3.74,84.2,33.88,949.1
SEPTIEMBRE,9,15,0.057,0.003,0.7059,18,26.81,3.51,92.52,32.42,822.67
SEPTIEMBRE,9,16,0.0527,0.0035,0.706,17,26.86,3.36,88.89,32.22,411.17
SEPTIEMBRE,9,17,0.0425,0.003,0.7822,22,25.52,3.83,75.15,38.62,230.24
SEPTIEMBRE,9,18,0.039,0.0039,0.7792,28,25.41,5.03,59.86,39.37,257.59
SEPTIEMBRE,9,19,0.0343,0.0034,0.8177,27,22.9,4.07,72.18,47.05,23.93
SEPTIEMBRE,9,20,0.0288,0.004,0.786,23,21.47,4.19,58.42,54.67,6.65
SEPTIEMBRE,9,21,0.0277,0.0095,0.7497,21,19.93,3.84,56.75,60.79,14.64
SEPTIEMBRE,9,22,0.0266,0.0069,0.7209,21,18.48,3.54,72.85,66.37,6.2
SEPTIEMBRE,9,23,0.0248,0.0044,0.7356,23,17.11,3.2,96.11,73.73,2.51
SEPTIEMBRE,10,0,0.025,0.0037,0.6657,21,16.49,2.77,83.97,76.5,7.95
SEPTIEMBRE,10,1,0.0251,0.0033,0.6805,15,15.93,3.26,110.41,77.21,7.29
SEPTIEMBRE,10,2,0.0261,0.0033,0.6573,15,15.3,3.24,106.86,75.34,4.16
SEPTIEMBRE,10,3,0.0322,0.0031,0.6413,15,14.46,2.93,107.66,77.16,2.67
SEPTIEMBRE,10,4,0.0334,0.003,0.7017,21,13.79,2.97,108.36,81.42,2.68
SEPTIEMBRE,10,5,0.0266,0.0028,0.6741,20,13.41,2.72,103.44,83.43,6.86
SEPTIEMBRE,10,6,0.0178,0.003,0.7382,24,13.01,2.95,121.6,84.68,17.38
SEPTIEMBRE,10,7,0.008,0.0029,0.821,32,12.31,1.74,116.78,88.02,13.83
SEPTIEMBRE,10,8,NA,0.0032,1.0006,46,16.72,1.21,145.16,80.28,171.4
SEPTIEMBRE,10,9,0.0281,0.0031,0.8353,40,18.93,2.93,107.8,68.5,394.27
SEPTIEMBRE,10,10,0.0459,0.003,0.7868,29,20.23,4.01,80,54.79,534.67
SEPTIEMBRE,10,11,0.0504,0.0029,0.7598,22,22.29,4.3,83.53,46.13,823.48
SEPTIEMBRE,10,12,0.0528,0.0029,0.7659,18,22.93,4.4,74.63,43.25,945.36
SEPTIEMBRE,10,13,0.0542,0.0034,0.7619,17,23.48,4.04,89.48,40.19,708.3
SEPTIEMBRE,10,14,0.0543,0.0031,0.7826,20,23.96,4.02,83.92,38.48,646.18
SEPTIEMBRE,10,15,0.0515,0.0081,0.7811,24,24.35,4.06,70.44,36.14,545.1
SEPTIEMBRE,10,16,0.0521,0.0113,0.7385,26,25.23,4.88,63.28,32.36,608.63
SEPTIEMBRE,10,17,0.0497,0.0086,0.7394,22,24.79,5.04,58.29,33.04,445.46
SEPTIEMBRE,10,18,0.0463,0.0394,0.9931,22,24.25,4.86,54.5,35.78,237.31
SEPTIEMBRE,10,19,0.0411,0.0171,0.8295,27,22.26,4.8,47.19,43.48,51.73
SEPTIEMBRE,10,20,0.0378,0.015,0.8205,28,20.02,4.36,48.81,52.43,8.06
SEPTIEMBRE,10,21,0.0367,0.0074,0.781,26,18.84,4.05,67.88,57.11,18.9
SEPTIEMBRE,10,22,0.0346,0.0045,0.7931,19,17.45,3.18,89.36,62.8,8.53
SEPTIEMBRE,10,23,0.0365,0.0037,0.7175,18,16.61,3.61,78.87,64.2,11.8
SEPTIEMBRE,11,0,0.0362,0.0035,0.6773,15,15.71,3.37,62.02,68.28,9.29
SEPTIEMBRE,11,1,0.0316,0.0082,0.7133,10,15.25,3.06,75.55,70.61,16.36
SEPTIEMBRE,11,2,0.029,0.0048,0.6813,19,14.17,2.83,91.74,76.55,12.92
SEPTIEMBRE,11,3,0.0225,0.0038,0.6693,12,13.51,2.49,86.81,80.92,6.87
SEPTIEMBRE,11,4,0.0228,0.0036,0.683,14,13.31,2.35,109.09,82.73,24.02
SEPTIEMBRE,11,5,0.0198,0.0035,0.7079,14,13.14,1.46,113.14,85.01,16.39
SEPTIEMBRE,11,6,0.009,0.0035,0.8956,26,13.73,1.41,96.93,84.54,19.03
SEPTIEMBRE,11,7,0.0069,0.0039,1.0431,34,13.68,1.46,98.25,85.05,9.09
SEPTIEMBRE,11,8,0.0084,0.004,0.9743,53,14.53,1.68,137.24,84.57,59.59
SEPTIEMBRE,11,9,0.0183,0.0038,0.9141,38,15.83,2.7,104.79,82.59,113.92
SEPTIEMBRE,11,10,0.0315,0.0048,0.9236,29,16.89,3.28,57.63,77.82,190.16
SEPTIEMBRE,11,11,0.041,0.0055,0.7716,13,19.42,4.26,78.54,63.48,476.59
