DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,1,0,0.0356,0.0026,NA,0.7322,7,14.55,3.16,109.83,98.95,9.76
OCTUBRE,1,1,0.0426,0.0026,NA,0.6958,10,14.41,3.68,72.96,99.40,19.24
OCTUBRE,1,2,0.0364,0.0027,NA,0.6838,5,14.36,1.99,110.82,99.82,10.89
OCTUBRE,1,3,0.0322,0.0025,NA,0.6773,7,14.24,2.25,141.52,99.88,7.51
OCTUBRE,1,4,0.0352,0.0026,NA,0.6842,10,14.05,2.4,99.39,99.91,7.47
OCTUBRE,1,5,0.0288,0.0027,NA,0.6979,9,13.76,2.13,107.07,NA,20.09
OCTUBRE,1,6,0.0225,0.0029,NA,0.8291,17,13.74,2.02,71.71,NA,13.76
OCTUBRE,1,7,0.0133,0.0034,NA,1.2114,18,13.48,1.5,141.66,99.93,14.17
OCTUBRE,1,8,0.0158,0.0045,NA,1.227,14,16.07,1.3,134.49,NA,94.60
OCTUBRE,1,9,0.0243,0.004,NA,0.919,16,16.59,1.96,136.23,95.15,211.23
OCTUBRE,1,10,0.0321,0.0039,NA,0.7556,12,19.03,1.61,145.25,87.20,317.77
OCTUBRE,1,11,0.0407,0.0038,NA,0.7425,15,21.66,1.73,138.04,80.70,531.09
OCTUBRE,1,12,0.0508,0.0063,NA,0.7843,13,23.64,1.34,200.11,73.88,590.07
OCTUBRE,1,13,0.0643,0.0095,NA,0.977,21,24.84,2.12,244.68,63.37,849.75
OCTUBRE,1,14,0.0697,0.0092,NA,0.9333,29,25.91,1.98,209.78,53.02,697.55
OCTUBRE,1,15,0.0555,0.0058,NA,0.8387,18,25.96,2.14,230.38,49.62,722.21
OCTUBRE,1,16,0.0502,0.0049,NA,0.7571,NA,26.97,2.18,234.9,44.09,678.58
OCTUBRE,1,17,0.0475,0.0041,NA,0.7367,NA,27.55,2.4,225.78,39.99,470.81
OCTUBRE,1,18,0.0406,0.0034,NA,0.7642,9,23,4.25,169.94,56.90,105.38
OCTUBRE,1,19,0.0282,0.0031,NA,0.7864,11,19.97,3.6,171.45,64.49,10.48
OCTUBRE,1,20,0.0233,0.0032,NA,0.8232,31,18.34,3.25,175,72.49,2.54
OCTUBRE,1,21,0.0148,0.0031,NA,1.0493,26,18.04,1.63,158.33,75.89,6.01
OCTUBRE,1,22,0.0117,0.0031,NA,0.9962,27,18.36,1.74,102.29,75.97,7.71
OCTUBRE,1,23,0.0044,0.0033,NA,0.9137,28,18.02,1.55,203.6,79.22,5.50
OCTUBRE,2,0,0.0315,0.0033,NA,0.7525,23,17.33,3.65,298.74,79.01,5.56
OCTUBRE,2,1,0.0371,0.0032,NA,0.6845,21,15.76,3.93,308.56,85.62,2.72
OCTUBRE,2,2,0.0298,0.0032,NA,0.7045,9,15.31,3.05,275.09,90.06,4.53
OCTUBRE,2,3,0.0352,0.0032,NA,0.6943,7,14.99,2.62,270.23,91.00,3.99
OCTUBRE,2,4,0.0317,0.0031,NA,0.6866,7,14.81,1.96,235.54,92.63,2.79
OCTUBRE,2,5,0.0282,0.0031,NA,0.7046,8,14.64,1.41,228.41,95.19,2.95
OCTUBRE,2,6,0.0256,0.0031,NA,0.7669,9,14.58,1.57,244.26,96.33,2.81
OCTUBRE,2,7,0.0200,0.003,NA,0.8799,35,14.54,1.59,269.38,96.66,4.45
OCTUBRE,2,8,0.0141,0.003,NA,1.0799,17,15.18,1.2,274.28,97.43,53.45
OCTUBRE,2,9,0.0230,0.003,NA,1.0021,8,17.49,1.96,265.53,95.77,300.68
OCTUBRE,2,10,0.0321,0.0041,NA,1.0023,9,20.11,1.53,235.38,86.02,216.45
OCTUBRE,2,11,0.0352,0.007,NA,1.0048,16,20.37,2.21,241.33,81.30,277.95
OCTUBRE,2,12,0.0419,0.0061,NA,0.8904,24,21.2,1.79,245.17,73.10,333.36
OCTUBRE,2,13,0.0509,0.005,NA,0.8682,17,24.88,1.94,200.39,56.41,884.82
OCTUBRE,2,14,0.0630,0.0043,NA,0.8462,17,26.51,2.09,200.71,47.67,894.41
OCTUBRE,2,15,0.0736,0.0077,NA,0.9187,23,27.62,1.98,204.37,40.86,866.87
OCTUBRE,2,16,0.0669,0.0074,NA,0.7867,24,28.6,1.96,228.36,37.82,764.76
OCTUBRE,2,17,0.0565,0.0053,NA,0.7813,24,27.58,2.35,251.72,40.31,508.68
OCTUBRE,2,18,0.0519,0.0039,NA,0.7895,16,26.11,2.21,184.59,44.55,299.33
OCTUBRE,2,19,0.0375,0.0066,NA,1.3818,7,21.45,2.39,138.59,62.19,12.90
OCTUBRE,2,20,0.0330,0.0089,NA,1.1755,22,20.49,2.53,174.81,66.11,2.43
