DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MARZO,1,0,0.025,0.006,0.011,0.87,77,19,0.97,159.56,32.55
MARZO,1,1,0.026,0.008,0.016,0.99,77,18,0.96,206.70,33.72
MARZO,1,2,0.018,0.006,0.014,0.91,70,17,1.49,294.32,36.17
MARZO,1,3,0.017,0.007,0.017,0.84,60,16,0.97,231.46,37.79
MARZO,1,4,0.022,0.006,0.011,0.76,57,15,1.45,226.15,41.35
MARZO,1,5,0.024,0.006,0.007,0.71,48,15,1.34,259.19,42.95
MARZO,1,6,0.015,0.006,0.012,0.77,47,13,0.97,243.74,43.75
MARZO,1,7,0.010,0.006,0.017,1.01,61,13,1.02,140.28,48.23
MARZO,1,8,0.029,0.010,0.022,1.68,122,13,1.12,75.21,51.16
MARZO,1,9,0.031,0.010,0.028,1.60,155,19,1.08,218.67,41.99
MARZO,1,10,0.022,0.007,0.023,1.35,120,21,1.52,259.07,35.94
MARZO,1,11,0.043,0.007,0.008,0.82,69,23,3.07,258.51,32.63
MARZO,1,12,0.052,0.006,0.005,0.75,51,26,2.31,241.04,27.52
MARZO,1,13,0.051,0.006,0.005,0.78,47,27,3.41,274.26,21.93
MARZO,1,14,0.052,0.006,0.005,0.78,39,28,3.75,281.20,21.04
MARZO,1,15,0.046,0.005,0.004,0.74,42,29,4.26,276.21,17.08
MARZO,1,16,0.050,0.005,0.004,0.71,52,29,4.27,262.33,16.22
MARZO,1,17,0.048,0.005,0.004,0.70,71,29,4.28,273.93,15.42
MARZO,1,18,0.046,0.005,0.006,0.73,59,28,3.86,264.97,16.91
MARZO,1,19,0.039,0.006,0.009,0.86,64,26,3.04,265.52,20.63
MARZO,1,20,0.025,0.006,0.016,1.04,75,23,2.39,262.01,24.34
MARZO,1,21,0.015,0.006,0.022,1.38,86,22,1.54,246.35,26.19
MARZO,1,22,0.030,0.006,0.014,1.07,109,21,2.23,241.96,28.59
MARZO,1,23,0.028,0.005,0.007,0.78,77,20,2.56,253.29,29.04
MARZO,2,0,0.027,0.005,0.006,0.74,50,18,2.32,269.53,32.09
MARZO,2,1,0.023,0.006,0.011,0.77,36,17,1.42,295.98,34.56
MARZO,2,2,0.021,0.006,0.013,0.79,48,16,1.15,253.48,35.56
MARZO,2,3,0.017,0.009,0.015,0.83,53,15,0.98,208.61,36.41
MARZO,2,4,0.014,0.008,0.017,0.89,62,14,0.99,206.92,38.30
MARZO,2,5,0.017,0.006,0.016,0.77,48,13,1.05,247.86,42.80
MARZO,2,6,0.014,0.006,0.017,0.84,43,13,1.39,279.88,44.81
MARZO,2,7,0.009,0.007,0.019,1.29,59,13,1.41,312.51,45.94
MARZO,2,8,0.014,0.008,0.018,1.89,107,13,1.02,247.08,48.41
MARZO,2,9,0.018,0.006,0.016,1.32,111,19,1.74,252.26,42.30
MARZO,2,10,0.031,0.006,0.006,0.81,63,21,2.53,254.50,38.08
MARZO,2,11,0.039,0.006,0.004,0.75,38,23,2.77,252.27,32.81
MARZO,2,12,0.044,0.005,0.004,0.76,41,25,3.42,239.12,27.05
MARZO,2,13,0.041,0.005,0.003,0.70,54,26,4.40,247.17,20.79
MARZO,2,14,0.044,0.005,0.004,0.73,53,27,3.77,243.40,18.85
MARZO,2,15,0.046,0.005,0.004,0.71,63,28,5.04,261.45,15.86
MARZO,2,16,0.045,0.005,0.004,0.71,94,29,5.65,272.85,13.60
MARZO,2,17,0.046,0.005,0.004,0.70,67,29,5.31,269.54,13.91
MARZO,2,18,0.045,0.005,0.005,0.69,71,28,5.29,261.45,14.48
MARZO,2,19,0.036,0.005,0.008,0.79,73,26,4.12,271.41,16.80
MARZO,2,20,0.024,0.005,0.013,0.93,70,23,3.06,267.43,22.37
