DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,1,0,0.021,0.008,0.022,1.62,110,20.42,1.523755,167.46,NA
ABRIL,1,1,0.022,0.007,0.014,1.34,102,19.71,1.707618,196.50,NA
ABRIL,1,2,0.026,0.014,0.018,1.36,70,19.00,1.02823,121.04,NA
ABRIL,1,3,0.021,0.010,0.018,1.41,75,17.88,1.13257,187.94,NA
ABRIL,1,4,0.026,0.007,0.009,1.26,66,17.31,1.208367,161.54,NA
ABRIL,1,5,0.024,0.006,0.007,1.22,61,16.06,0.958638,195.11,NA
ABRIL,1,6,0.020,0.006,0.010,1.29,56,15.36,0.964888,250.10,NA
ABRIL,1,7,0.054,0.007,0.015,1.61,65,15.14,0.963617,148.28,NA
ABRIL,1,8,0.045,0.008,0.018,1.91,109,17.91,0.966225,177.75,NA
ABRIL,1,9,0.026,0.008,0.017,1.68,162,21.80,1.237868,157.80,NA
ABRIL,1,10,0.043,0.008,0.005,1.28,90,24.55,1.607442,212.51,NA
ABRIL,1,11,0.056,0.038,0.007,1.29,81,26.32,1.699228,162.11,NA
ABRIL,1,12,0.071,0.026,0.006,1.34,74,27.82,2.107107,217.87,NA
ABRIL,1,13,0.085,0.032,0.006,1.34,75,29.43,1.962117,231.30,NA
ABRIL,1,14,0.084,0.019,0.004,1.24,77,30.22,2.122517,195.91,NA
ABRIL,1,15,0.081,0.014,0.004,1.22,74,31.54,2.299745,172.59,NA
ABRIL,1,16,0.070,0.008,0.003,1.16,63,32.13,2.604065,192.37,NA
ABRIL,1,17,0.074,0.010,0.005,1.24,61,31.78,2.631755,268.57,NA
ABRIL,1,18,0.078,0.015,0.007,1.34,66,31.16,3.51175,269.84,NA
ABRIL,1,19,0.064,0.010,0.010,1.43,81,29.01,3.618298,310.42,NA
ABRIL,1,20,0.037,0.008,0.020,1.80,92,26.66,2.3543,316.07,NA
ABRIL,1,21,0.033,0.021,0.016,1.61,121,25.15,4.077702,139.72,NA
ABRIL,1,22,0.054,0.035,0.008,1.27,248,23.60,6.109092,83.27,NA
ABRIL,1,23,0.039,0.020,0.007,1.21,173,22.08,4.748233,75.81,NA
ABRIL,2,0,0.045,0.013,0.006,1.21,81,20.68,3.342273,79.91,NA
ABRIL,2,1,0.036,0.013,0.005,1.16,66,19.56,3.616302,89.06,NA
ABRIL,2,2,0.042,0.015,0.005,1.13,63,18.79,3.90458,86.10,NA
ABRIL,2,3,0.051,0.008,0.003,1.13,56,17.86,3.427122,81.15,NA
ABRIL,2,4,0.036,0.007,0.004,1.15,49,17.12,2.475107,94.50,NA
ABRIL,2,5,0.028,0.007,0.005,1.20,49,16.30,1.166905,103.17,NA
ABRIL,2,6,0.022,0.006,0.006,1.23,55,15.29,1.014977,146.01,NA
ABRIL,2,7,0.021,0.006,0.006,1.26,62,14.54,1.888432,146.48,NA
ABRIL,2,8,0.021,0.006,0.007,1.35,68,15.84,2.377015,116.68,NA
ABRIL,2,9,0.038,0.006,0.005,1.34,66,19.32,3.06847,86.92,NA
ABRIL,2,10,0.036,0.006,0.005,1.35,60,22.74,2.589093,115.46,NA
ABRIL,2,11,0.046,0.009,0.004,1.31,53,25.79,1.933003,153.33,NA
ABRIL,2,12,0.059,0.014,0.004,1.34,76,27.88,2.616383,253.39,NA
ABRIL,2,13,0.064,0.014,0.004,1.36,64,28.94,3.367333,287.27,NA
ABRIL,2,14,0.069,0.011,0.003,1.28,66,30.05,2.804098,228.83,NA
ABRIL,2,15,0.069,0.009,0.004,1.28,62,31.43,2.310643,238.31,NA
ABRIL,2,16,0.067,0.008,0.003,1.25,63,31.80,2.684563,251.47,NA
ABRIL,2,17,0.064,0.007,0.004,1.25,51,31.79,2.757013,253.82,NA
ABRIL,2,18,0.062,0.007,0.003,1.18,42,31.12,2.72364,264.83,NA
ABRIL,2,19,0.059,0.007,0.006,1.29,59,29.12,1.942778,288.17,NA
ABRIL,2,20,0.030,0.007,0.019,2.08,85,25.93,0.945393,246.81,NA
ABRIL,2,21,0.011,0.007,0.030,3.60,157,24.35,0.946935,234.43,NA
ABRIL,2,22,0.020,0.008,0.030,3.45,176,23.23,0.973142,232.95,NA
ABRIL,2,23,0.023,0.007,0.016,1.80,133,22.29,1.303085,224.94,NA
ABRIL,3,0,0.029,0.007,0.011,1.50,105,21.15,1.316233,214.93,NA
ABRIL,3,1,0.033,0.007,0.014,1.37,88,19.59,1.104535,170.66,NA
ABRIL,3,2,0.023,0.007,0.011,1.33,84,18.91,1.05432,222.02,NA
ABRIL,3,3,0.040,0.007,0.003,1.17,66,19.58,2.47763,236.90,NA
ABRIL,3,4,0.032,0.007,0.004,1.17,60,17.68,2.191462,271.39,NA
ABRIL,3,5,0.027,0.007,0.006,1.20,50,16.44,1.806462,274.18,NA
ABRIL,3,6,0.022,0.006,0.008,1.27,63,15.59,1.253175,255.66,NA
ABRIL,3,7,0.017,0.007,0.011,1.45,65,15.33,1.081958,273.30,NA
ABRIL,3,8,0.012,0.007,0.017,1.74,82,18.57,1.075672,289.72,NA
ABRIL,3,9,0.026,0.007,0.012,1.58,80,23.16,1.010537,179.28,NA
ABRIL,3,10,0.041,0.007,0.007,1.39,75,25.03,2.650687,254.17,NA
ABRIL,3,11,0.052,0.007,0.004,1.31,63,26.89,2.463517,252.23,NA
ABRIL,3,12,0.057,0.007,0.004,1.30,50,29.06,2.48208,269.92,NA
ABRIL,3,13,0.059,0.006,0.003,1.25,42,30.25,2.87306,264.31,NA
ABRIL,3,14,0.064,0.007,0.003,1.24,43,31.63,2.09838,236.89,NA
ABRIL,3,15,0.066,0.006,0.003,1.23,44,32.32,2.634292,217.98,NA
ABRIL,3,16,0.067,0.006,0.003,1.23,50,32.81,2.385198,207.26,NA
ABRIL,3,17,0.066,0.007,0.005,1.25,58,32.71,3.13641,254.97,NA
ABRIL,3,18,0.067,0.006,0.004,1.29,71,31.79,2.50208,246.87,NA
ABRIL,3,19,0.061,0.006,0.008,1.43,74,30.23,2.451452,241.95,NA
ABRIL,3,20,0.041,0.006,0.009,1.40,107,27.74,2.472975,250.27,NA
ABRIL,3,21,0.047,0.006,0.006,1.29,104,26.17,3.431077,240.01,NA
ABRIL,3,22,0.045,0.007,0.005,1.26,107,24.87,3.512805,243.19,NA
ABRIL,3,23,0.041,0.007,0.004,1.22,107,23.19,2.868355,237.10,NA
ABRIL,4,0,0.040,0.007,0.004,1.20,83,21.91,2.538313,251.28,NA
ABRIL,4,1,0.041,0.007,0.003,1.15,71,21.25,2.351683,224.50,NA
ABRIL,4,2,0.037,0.007,0.003,1.15,62,19.87,2.383668,228.94,NA
ABRIL,4,3,0.033,0.006,0.003,1.13,67,19.04,3.433402,235.46,NA
ABRIL,4,4,0.029,0.006,0.003,1.14,68,18.21,2.261307,243.83,NA
ABRIL,4,5,0.027,0.006,0.004,1.15,54,17.27,1.862315,250.67,NA
ABRIL,4,6,0.026,0.006,0.005,1.17,59,16.63,1.925827,262.65,NA
ABRIL,4,7,0.019,0.006,0.007,1.30,57,15.72,1.49688,259.91,NA
ABRIL,4,8,0.016,0.006,0.009,1.45,61,16.76,1.954177,282.78,NA
ABRIL,4,9,0.020,0.006,0.007,1.40,64,18.70,1.723235,274.25,NA
ABRIL,4,10,0.031,0.006,0.005,1.34,64,23.08,2.233025,267.80,NA
ABRIL,4,11,0.040,0.006,0.004,1.29,55,26.37,2.628758,275.69,NA
ABRIL,4,12,0.049,0.006,0.003,1.24,43,28.08,2.805503,257.20,NA
ABRIL,4,13,0.056,0.007,0.003,1.25,44,28.69,3.477455,255.57,NA
ABRIL,4,14,0.058,0.006,0.003,1.24,46,29.90,3.544403,261.63,NA
ABRIL,4,15,0.061,0.007,0.004,1.28,57,30.49,3.70859,277.60,NA
ABRIL,4,16,0.061,0.007,0.004,1.28,62,28.86,4.177903,274.23,NA
ABRIL,4,17,0.060,0.007,0.004,1.24,64,28.79,3.3561,253.97,NA
ABRIL,4,18,0.060,0.007,0.005,1.33,79,28.21,3.74342,262.36,NA
ABRIL,4,19,0.056,0.007,0.005,1.34,86,27.02,3.062725,250.99,NA
ABRIL,4,20,0.042,0.006,0.011,1.55,93,25.42,2.41889,253.54,NA
ABRIL,4,21,0.038,0.006,0.010,1.49,102,24.10,2.79439,257.76,NA
ABRIL,4,22,0.037,0.006,0.009,1.42,95,22.48,3.284998,276.00,NA
ABRIL,4,23,0.037,0.006,0.007,1.30,79,20.90,2.876958,264.11,NA
ABRIL,5,0,0.039,0.006,0.006,1.27,67,19.72,1.93382,268.43,NA
ABRIL,5,1,0.035,0.006,0.007,1.30,69,18.69,0.961242,234.41,NA
ABRIL,5,2,0.031,0.006,0.007,1.27,72,17.98,1.41448,230.06,NA
ABRIL,5,3,0.032,0.006,0.004,1.18,53,17.21,1.480453,221.25,NA
ABRIL,5,4,0.032,0.007,0.004,1.20,56,16.09,1.656982,265.94,NA
ABRIL,5,5,0.020,0.006,0.009,1.24,59,15.12,1.676905,268.63,NA
ABRIL,5,6,0.023,0.006,0.011,1.34,56,14.54,1.224932,278.29,NA
ABRIL,5,7,0.020,0.007,0.011,1.44,76,14.20,1.640887,274.77,NA
ABRIL,5,8,0.019,0.007,0.016,1.78,75,17.72,1.102293,282.60,NA
ABRIL,5,9,0.028,0.006,0.010,1.49,80,21.94,1.902613,251.95,NA
ABRIL,5,10,0.042,0.006,0.005,1.37,64,24.19,2.155527,281.99,NA
ABRIL,5,11,0.050,0.006,0.004,1.32,48,26.20,1.967568,243.41,NA
ABRIL,5,12,0.057,0.006,0.003,1.31,46,27.72,2.07524,242.09,NA
ABRIL,5,13,0.061,0.006,0.003,1.29,50,28.54,2.009047,224.24,NA
ABRIL,5,14,0.058,0.006,0.003,1.31,48,28.35,2.516972,234.24,NA
ABRIL,5,15,0.059,0.006,0.004,1.31,42,29.17,2.770065,254.24,NA
ABRIL,5,16,0.064,0.006,0.005,1.36,61,28.96,3.621262,288.78,NA
ABRIL,5,17,0.057,0.006,0.006,1.37,60,28.08,3.49315,289.06,NA
ABRIL,5,18,0.054,0.006,0.006,1.38,55,28.09,2.676283,292.55,NA
ABRIL,5,19,0.050,0.006,0.008,1.49,61,27.10,2.15234,271.41,NA
ABRIL,5,20,0.032,0.006,0.015,1.75,90,25.00,2.091807,254.45,NA
ABRIL,5,21,0.032,0.006,0.012,1.53,107,23.38,2.11376,237.61,NA
ABRIL,5,22,0.037,0.006,0.009,1.39,98,22.58,2.066602,228.43,NA
ABRIL,5,23,0.036,0.006,0.007,1.33,71,21.76,1.542913,216.45,NA
ABRIL,6,0,0.052,0.008,0.009,1.29,79,20.33,1.719728,119.05,NA
ABRIL,6,1,0.030,0.007,0.009,1.32,71,19.09,1.0228,220.51,NA
ABRIL,6,2,0.024,0.007,0.009,1.36,68,18.29,1.066892,272.25,NA
ABRIL,6,3,0.028,0.007,0.010,1.29,56,17.56,1.051942,188.90,NA
ABRIL,6,4,0.096,0.010,0.014,1.38,63,16.72,1.220917,161.06,NA
ABRIL,6,5,0.035,0.009,0.016,1.38,64,15.81,1.260537,183.83,NA
ABRIL,6,6,0.019,0.008,0.017,1.39,58,15.05,1.267892,124.25,NA
ABRIL,6,7,0.039,0.010,0.016,1.50,77,13.87,0.965892,153.44,NA
ABRIL,6,8,0.027,0.009,0.017,2.12,130,15.36,1.025215,135.94,NA
ABRIL,6,9,0.023,0.008,0.015,1.63,152,19.11,1.236237,131.51,NA
ABRIL,6,10,0.046,0.007,0.008,1.43,96,24.17,1.487093,140.72,NA
ABRIL,6,11,0.059,0.010,0.005,1.37,73,25.93,1.737518,166.24,NA
ABRIL,6,12,0.065,0.008,0.004,1.36,70,27.27,2.173588,175.75,NA
ABRIL,6,13,0.060,0.007,0.003,1.30,48,28.20,2.901577,146.79,NA
ABRIL,6,14,0.056,0.007,0.002,1.26,56,29.45,4.273222,163.19,NA
ABRIL,6,15,0.056,0.007,0.003,1.27,98,29.75,5.678802,163.62,NA
