DATOS MÓVILES 2010_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,ENE,1,0,NA,NA,NA,NA,NA
2010,ENE,1,1,NA,NA,NA,NA,NA
2010,ENE,1,2,NA,NA,NA,NA,NA
2010,ENE,1,3,NA,NA,NA,NA,NA
2010,ENE,1,4,NA,NA,NA,NA,NA
2010,ENE,1,5,NA,NA,NA,NA,NA
2010,ENE,1,6,NA,NA,NA,NA,NA
2010,ENE,1,7,NA,NA,NA,NA,2.264285714
2010,ENE,1,8,NA,NA,NA,NA,2.2325
2010,ENE,1,9,NA,NA,NA,NA,2.18375
2010,ENE,1,10,NA,NA,NA,NA,2.115
2010,ENE,1,11,NA,NA,NA,NA,2.02625
2010,ENE,1,12,NA,NA,NA,NA,1.92125
2010,ENE,1,13,NA,NA,NA,NA,1.80375
2010,ENE,1,14,NA,NA,NA,NA,1.67875
2010,ENE,1,15,NA,NA,NA,NA,1.555
2010,ENE,1,16,NA,NA,NA,NA,1.43625
2010,ENE,1,17,NA,NA,NA,NA,1.325
2010,ENE,1,18,NA,NA,NA,NA,1.2225
2010,ENE,1,19,NA,NA,NA,NA,1.13625
2010,ENE,1,20,NA,NA,NA,NA,1.06625
2010,ENE,1,21,NA,NA,NA,NA,1.01375
2010,ENE,1,22,NA,NA,NA,NA,0.97375
2010,ENE,1,23,NA,95.78304348,12.71652174,NA,0.97
2010,ENE,2,0,NA,92.57416667,12.69708333,NA,0.9775
2010,ENE,2,1,NA,77.69916667,12.56875,NA,0.98875
2010,ENE,2,2,NA,62.27416667,12.47041667,NA,1.0075
2010,ENE,2,3,NA,47.60875,12.3875,NA,1.0275
2010,ENE,2,4,NA,36.87208333,12.32333333,NA,1.04625
2010,ENE,2,5,NA,34.55875,12.28166667,NA,1.06375
2010,ENE,2,6,NA,33.43833333,12.25541667,NA,1.07875
2010,ENE,2,7,NA,33.06458333,12.24708333,NA,1.0675
2010,ENE,2,8,NA,33.08,12.24583333,NA,1.05375
2010,ENE,2,9,NA,33.82416667,12.245,NA,1.04125
2010,ENE,2,10,NA,33.09083333,12.25458333,NA,1.03
2010,ENE,2,11,NA,31.205,12.28333333,NA,1.02375
2010,ENE,2,12,NA,28.52083333,12.31916667,NA,1.02625
2010,ENE,2,13,NA,29.29333333,12.37416667,NA,1.035
2010,ENE,2,14,NA,29.635,12.41166667,NA,1.05625
2010,ENE,2,15,NA,30.0525,12.44541667,NA,1.0825
2010,ENE,2,16,NA,30.00375,12.46333333,NA,1.1125
2010,ENE,2,17,NA,29.36291667,12.46958333,NA,1.15125
2010,ENE,2,18,NA,29.09333333,12.47166667,NA,1.19
2010,ENE,2,19,NA,28.27916667,12.47583333,NA,1.23
2010,ENE,2,20,NA,27.31833333,12.48166667,NA,1.2675
2010,ENE,2,21,NA,26.7875,12.4875,NA,1.30375
2010,ENE,2,22,NA,26.26083333,12.49625,NA,1.33375
2010,ENE,2,23,NA,25.94708333,12.50375,NA,1.3475
2010,ENE,3,0,NA,25.76375,12.51375,NA,1.3575
2010,ENE,3,1,NA,25.61458333,12.52625,NA,1.36125
2010,ENE,3,2,NA,25.81166667,12.5375,NA,1.36375
2010,ENE,3,3,NA,25.98583333,12.55333333,NA,1.35875
2010,ENE,3,4,NA,26.1225,12.56458333,NA,1.34875
2010,ENE,3,5,NA,26.36125,12.57875,NA,1.33375
2010,ENE,3,6,NA,26.32541667,12.58833333,NA,1.31
