DATOS MÓVILES 2010_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,FEB,1,0,NA,29.82083333,16.03333333,NA,NA
2010,FEB,1,1,NA,29.405,16.02916667,NA,NA
2010,FEB,1,2,NA,28.75125,15.99833333,NA,NA
2010,FEB,1,3,NA,27.835,15.95458333,NA,NA
2010,FEB,1,4,NA,26.87666667,15.88416667,NA,NA
2010,FEB,1,5,NA,25.92833333,15.83583333,NA,NA
2010,FEB,1,6,NA,25.28708333,15.755,NA,NA
2010,FEB,1,7,NA,25.2273913,15.63416667,NA,NA
2010,FEB,1,8,NA,23.64521739,15.50875,NA,NA
2010,FEB,1,9,NA,21.75956522,15.37291667,NA,NA
2010,FEB,1,10,NA,20.55043478,15.22125,NA,NA
2010,FEB,1,11,NA,19.43434783,15.0575,NA,NA
2010,FEB,1,12,NA,18.3173913,14.88458333,NA,NA
2010,FEB,1,13,NA,18.43136364,14.72958333,NA,NA
2010,FEB,1,14,NA,18.07818182,14.58916667,NA,NA
2010,FEB,1,15,NA,17.88318182,14.45666667,NA,NA
2010,FEB,1,16,NA,15.22818182,14.37833333,NA,NA
2010,FEB,1,17,NA,14.36,14.30666667,NA,NA
2010,FEB,1,18,NA,15.05545455,14.2275,NA,NA
2010,FEB,1,19,NA,14.795,14.11875,NA,NA
2010,FEB,1,20,NA,14.04136364,14.00416667,NA,NA
2010,FEB,1,21,NA,13.43090909,13.91166667,NA,NA
2010,FEB,1,22,NA,12.89090909,13.82875,NA,NA
2010,FEB,1,23,NA,12.96227273,13.73541667,NA,NA
2010,FEB,2,0,NA,13.07318182,13.63916667,NA,NA
2010,FEB,2,1,NA,13.08363636,13.5475,NA,NA
2010,FEB,2,2,NA,13.37045455,13.46416667,NA,NA
2010,FEB,2,3,NA,13.60227273,13.37166667,NA,NA
2010,FEB,2,4,NA,13.72772727,13.285,NA,NA
2010,FEB,2,5,NA,14.69863636,13.18166667,NA,NA
2010,FEB,2,6,NA,14.82545455,13.12833333,NA,NA
2010,FEB,2,7,NA,14.64130435,13.105,NA,NA
2010,FEB,2,8,NA,15.15782609,13.0725,NA,NA
2010,FEB,2,9,NA,16.04347826,13.04,NA,NA
2010,FEB,2,10,NA,16.61695652,13.02708333,NA,NA
2010,FEB,2,11,NA,17.42391304,13.035,NA,NA
2010,FEB,2,12,NA,17.90956522,13.06583333,NA,NA
2010,FEB,2,13,NA,17.61583333,13.09458333,NA,NA
2010,FEB,2,14,NA,17.84625,13.11125,NA,NA
2010,FEB,2,15,NA,17.78583333,13.11041667,NA,NA
2010,FEB,2,16,NA,17.72041667,13.06708333,NA,NA
2010,FEB,2,17,NA,17.49416667,13.0225,NA,NA
2010,FEB,2,18,NA,15.93083333,12.97125,NA,NA
2010,FEB,2,19,NA,15.28166667,12.89958333,NA,NA
2010,FEB,2,20,NA,15.0525,12.81458333,NA,NA
2010,FEB,2,21,NA,15.26875,12.73416667,NA,NA
2010,FEB,2,22,NA,15.24083333,12.64875,NA,NA
2010,FEB,2,23,NA,15.36291667,12.55666667,NA,NA
2010,FEB,3,0,NA,15.37041667,12.46875,NA,NA
2010,FEB,3,1,NA,15.61833333,12.36041667,NA,NA
2010,FEB,3,2,NA,15.67666667,12.24541667,NA,NA
2010,FEB,3,3,NA,15.7475,12.135,NA,NA
2010,FEB,3,4,NA,15.76208333,12.02291667,NA,NA
2010,FEB,3,5,NA,15.47416667,11.91625,NA,NA
2010,FEB,3,6,NA,15.75166667,11.79958333,NA,NA
2010,FEB,3,7,NA,15.81458333,11.69416667,NA,NA
2010,FEB,3,8,NA,15.25375,11.5825,NA,NA
2010,FEB,3,9,NA,14.65708333,11.47375,NA,NA
2010,FEB,3,10,NA,14.22666667,11.34791667,NA,NA
2010,FEB,3,11,NA,13.545,11.205,NA,NA
2010,FEB,3,12,NA,13.26833333,11.03708333,NA,NA
2010,FEB,3,13,NA,12.92083333,10.85333333,NA,NA
2010,FEB,3,14,NA,12.575,10.67791667,NA,NA
2010,FEB,3,15,NA,12.215,10.50666667,NA,NA
2010,FEB,3,16,NA,11.60791667,10.33125,NA,NA
2010,FEB,3,17,NA,10.87208333,10.14375,NA,NA
2010,FEB,3,18,NA,11.19458333,9.9725,NA,NA
2010,FEB,3,19,NA,11.19375,9.807916667,NA,NA
2010,FEB,3,20,NA,11.14708333,9.658333333,NA,NA
2010,FEB,3,21,NA,10.56083333,9.4975,NA,NA
2010,FEB,3,22,NA,10.4675,9.34125,NA,NA
2010,FEB,3,23,NA,10.32791667,9.179583333,NA,NA
2010,FEB,4,0,NA,10.09916667,9.022916667,NA,NA
2010,FEB,4,1,NA,9.855,8.87625,NA,NA
2010,FEB,4,2,NA,9.95625,8.730416667,NA,NA
2010,FEB,4,3,NA,9.635833333,8.59375,NA,NA
2010,FEB,4,4,NA,9.637916667,8.46125,NA,NA
2010,FEB,4,5,NA,9.155833333,8.345416667,NA,NA
2010,FEB,4,6,NA,8.732083333,8.215833333,NA,NA
2010,FEB,4,7,NA,8.328333333,8.113333333,NA,NA
2010,FEB,4,8,NA,8.50125,8.024166667,NA,NA
2010,FEB,4,9,NA,8.297916667,7.9525,NA,NA
2010,FEB,4,10,NA,7.93,7.899166667,NA,NA
2010,FEB,4,11,NA,7.995833333,7.86,NA,NA
2010,FEB,4,12,NA,8.13,7.8425,NA,NA
2010,FEB,4,13,NA,8.892916667,7.83875,NA,NA
2010,FEB,4,14,NA,9.111666667,7.84875,NA,1.208333333
2010,FEB,4,15,NA,9.685,7.877083333,NA,1.202857143
2010,FEB,4,16,NA,10.12208333,7.9325,NA,1.20625
2010,FEB,4,17,NA,10.25916667,8.013333333,NA,1.21
2010,FEB,4,18,NA,10.04333333,8.099583333,NA,1.2025
2010,FEB,4,19,NA,9.970416667,8.20125,NA,1.19625
2010,FEB,4,20,NA,10.18416667,8.3,NA,1.2025
2010,FEB,4,21,NA,10.86583333,8.412916667,NA,1.24125
2010,FEB,4,22,NA,11.30833333,8.533333333,NA,1.31125
2010,FEB,4,23,NA,11.12541667,8.675,NA,1.355
2010,FEB,5,0,NA,11.59166667,8.805833333,NA,1.37625
2010,FEB,5,1,NA,11.72458333,8.949166667,NA,1.3825
2010,FEB,5,2,NA,11.68083333,9.090833333,NA,1.38
2010,FEB,5,3,NA,11.43833333,9.215833333,NA,1.36875
2010,FEB,5,4,NA,11.30458333,9.34625,NA,1.33875
2010,FEB,5,5,NA,11.11916667,9.44875,NA,1.27625
2010,FEB,5,6,NA,11.13541667,9.553333333,NA,1.1775
2010,FEB,5,7,NA,11.82916667,9.63875,NA,1.095
2010,FEB,5,8,NA,12.65208333,9.73,NA,1.0425
2010,FEB,5,9,NA,13.3875,9.822916667,NA,1.01625
2010,FEB,5,10,NA,14.40791667,9.924166667,NA,1.00125
2010,FEB,5,11,NA,15.85375,10.07125,NA,0.99625
2010,FEB,5,12,NA,18.01333333,10.27666667,NA,1.0125
2010,FEB,5,13,NA,19.51875,10.53,NA,1.03875
2010,FEB,5,14,NA,20.92458333,10.74833333,NA,1.06625
2010,FEB,5,15,NA,20.96333333,10.9175,NA,1.08
2010,FEB,5,16,NA,21.08916667,11.04625,NA,1.0525
2010,FEB,5,17,NA,21.41291667,11.14041667,NA,1.0025
2010,FEB,5,18,NA,22.0275,11.21375,NA,0.94875
2010,FEB,5,19,NA,23.04375,11.26458333,NA,0.90125
2010,FEB,5,20,NA,25.44333333,11.31458333,NA,0.8575
2010,FEB,5,21,NA,30.94708333,11.35166667,NA,0.85375
2010,FEB,5,22,NA,38.28208333,11.40958333,NA,0.92375
2010,FEB,5,23,NA,41.13958333,11.47833333,NA,1.02375
2010,FEB,6,0,NA,45.21708333,11.57,NA,1.15375
2010,FEB,6,1,NA,47.81583333,11.65541667,NA,1.2875
2010,FEB,6,2,NA,50.29041667,11.75333333,NA,1.40375
2010,FEB,6,3,NA,52.745,11.865,NA,1.4925
2010,FEB,6,4,NA,55.59666667,11.9875,NA,1.56125
2010,FEB,6,5,NA,58.39375,12.12333333,NA,1.57875
2010,FEB,6,6,NA,60.57833333,12.25666667,NA,1.52125
2010,FEB,6,7,NA,62.15458333,12.3675,NA,1.4375
2010,FEB,6,8,NA,63.77666667,12.46875,NA,1.3425
2010,FEB,6,9,NA,65.29291667,12.55791667,NA,1.25125
2010,FEB,6,10,NA,68.84958333,12.65375,NA,1.185
2010,FEB,6,11,NA,69.63791667,12.74708333,NA,1.1425
2010,FEB,6,12,NA,68.25625,12.75708333,NA,1.1
2010,FEB,6,13,NA,67.20416667,12.69708333,NA,1.05875
2010,FEB,6,14,NA,66.47083333,12.63833333,NA,1.02
2010,FEB,6,15,NA,66.96291667,12.60708333,NA,0.9825
2010,FEB,6,16,NA,67.74958333,12.60041667,NA,0.95
2010,FEB,6,17,NA,67.94875,12.60041667,NA,0.9175
2010,FEB,6,18,NA,68.02458333,12.60083333,NA,0.87375
2010,FEB,6,19,NA,68.11875,12.605,NA,0.82625
2010,FEB,6,20,NA,70.07625,12.60541667,NA,0.8025
2010,FEB,6,21,NA,74.86083333,12.62416667,NA,0.86125
2010,FEB,6,22,NA,77.31916667,12.63458333,NA,0.9875
2010,FEB,6,23,NA,81.54333333,12.63958333,NA,1.14375
2010,FEB,7,0,NA,85.25166667,12.64083333,NA,1.32
2010,FEB,7,1,NA,89.41875,12.68291667,NA,1.51375
2010,FEB,7,2,NA,90.2575,12.74416667,NA,1.70625
2010,FEB,7,3,NA,91.41916667,12.84958333,NA,1.885
2010,FEB,7,4,NA,90.89208333,12.94375,NA,2.03
2010,FEB,7,5,NA,91.02958333,13.04083333,NA,2.08
2010,FEB,7,6,NA,90.63083333,13.16041667,NA,2.04
2010,FEB,7,7,NA,90.30375,13.29666667,NA,1.9475
2010,FEB,7,8,NA,89.9825,13.42791667,NA,1.815
2010,FEB,7,9,NA,89.67541667,13.60416667,NA,1.65375
2010,FEB,7,10,NA,86.60958333,13.7325,NA,1.48625
2010,FEB,7,11,NA,86.30458333,14.00333333,NA,1.32375
2010,FEB,7,12,NA,86.31583333,14.30708333,NA,1.17375
2010,FEB,7,13,NA,85.65708333,14.55625,NA,1.03625
2010,FEB,7,14,NA,85.155,14.74125,NA,0.92375
2010,FEB,7,15,NA,84.55708333,14.87958333,NA,0.835
2010,FEB,7,16,NA,83.60375,14.97583333,NA,0.765
2010,FEB,7,17,NA,83.27333333,15.06708333,NA,0.70375
2010,FEB,7,18,NA,83.11083333,15.14708333,NA,0.64875
2010,FEB,7,19,NA,82.89041667,15.2325,NA,0.5975
2010,FEB,7,20,NA,80.10916667,15.33416667,NA,0.56125
2010,FEB,7,21,NA,71.59625,15.41833333,NA,0.53625
2010,FEB,7,22,NA,62.85333333,15.49875,NA,0.52625
2010,FEB,7,23,NA,57.73708333,15.57208333,NA,0.585
2010,FEB,8,0,NA,50.81708333,15.64416667,NA,0.6475
2010,FEB,8,1,NA,44.77625,15.66291667,NA,0.71
2010,FEB,8,2,NA,41.86041667,15.65083333,NA,0.7725
2010,FEB,8,3,NA,38.67541667,15.58583333,NA,0.835
2010,FEB,8,4,NA,36.49083333,15.515,NA,0.885
2010,FEB,8,5,NA,34.39,15.43208333,NA,0.93
2010,FEB,8,6,NA,32.89083333,15.33,NA,0.9625
2010,FEB,8,7,NA,32.03583333,15.2325,NA,0.9275
2010,FEB,8,8,NA,31.72041667,15.14,NA,0.8975
2010,FEB,8,9,NA,32.38166667,15.01,NA,0.905
2010,FEB,8,10,NA,32.73625,14.92708333,NA,0.955
2010,FEB,8,11,NA,31.92833333,14.665,NA,1.01375
2010,FEB,8,12,NA,31.12375,14.37291667,NA,1.0625
2010,FEB,8,13,NA,31.19875,14.15041667,NA,1.0925
2010,FEB,8,14,NA,31.49791667,14.01416667,NA,1.1125
2010,FEB,8,15,NA,31.9675,13.92791667,NA,1.12625
2010,FEB,8,16,NA,32.63666667,13.87041667,NA,1.12375
2010,FEB,8,17,NA,33.08083333,13.83583333,NA,1.08125
2010,FEB,8,18,NA,33.45625,13.83,NA,0.99625
2010,FEB,8,19,NA,33.75875,13.83208333,NA,0.9075
2010,FEB,8,20,NA,32.98083333,13.81291667,NA,0.83625
2010,FEB,8,21,NA,32.25041667,13.805,NA,0.79125
2010,FEB,8,22,NA,31.7775,13.78833333,NA,0.76375
2010,FEB,8,23,NA,30.44458333,13.75291667,NA,0.765
2010,FEB,9,0,NA,29.81,13.70041667,NA,0.77375
2010,FEB,9,1,NA,29.47916667,13.66666667,NA,0.785
2010,FEB,9,2,NA,29.40708333,13.63041667,NA,0.8
2010,FEB,9,3,NA,29.43916667,13.61458333,NA,0.8175
2010,FEB,9,4,NA,29.64291667,13.60416667,NA,0.83125
2010,FEB,9,5,NA,29.54958333,13.60291667,NA,0.84
2010,FEB,9,6,NA,29.95583333,13.6075,NA,0.84625
2010,FEB,9,7,NA,30.49416667,13.6075,NA,0.83625
2010,FEB,9,8,NA,31.26875,13.61666667,NA,0.83375
2010,FEB,9,9,NA,31.845,13.64625,NA,0.8475
2010,FEB,9,10,NA,31.9025,13.67083333,NA,0.8775
2010,FEB,9,11,NA,31.56625,13.68208333,NA,0.91125
2010,FEB,9,12,NA,31.78166667,13.72291667,NA,0.94
2010,FEB,9,13,NA,31.92708333,13.76875,NA,0.9625
2010,FEB,9,14,NA,31.43875,13.81333333,NA,0.97625
2010,FEB,9,15,NA,30.88916667,13.85208333,NA,0.9825
2010,FEB,9,16,NA,30.25541667,13.9025,NA,0.98125
2010,FEB,9,17,NA,30.61291667,13.95625,NA,0.96625
2010,FEB,9,18,NA,30.77708333,14.01833333,NA,0.93875
2010,FEB,9,19,NA,31.13333333,14.08166667,NA,0.9125
2010,FEB,9,20,NA,33.37708333,14.16416667,NA,0.9125
2010,FEB,9,21,NA,37.09958333,14.25416667,NA,0.94875
2010,FEB,9,22,NA,39.0875,14.355,NA,1.01125
2010,FEB,9,23,NA,40.67708333,14.45708333,NA,1.0625
2010,FEB,10,0,NA,42.09,14.57208333,NA,1.11
2010,FEB,10,1,NA,42.82458333,14.66125,NA,1.14625
2010,FEB,10,2,NA,42.72791667,14.74333333,NA,1.1625
2010,FEB,10,3,NA,43.115,14.80375,NA,1.16
2010,FEB,10,4,NA,42.85291667,14.86833333,NA,1.13
2010,FEB,10,5,NA,42.86958333,14.91833333,NA,1.06375
2010,FEB,10,6,NA,42.96833333,14.975,NA,0.975
2010,FEB,10,7,NA,42.43,15.03166667,NA,0.9
2010,FEB,10,8,NA,40.96625,15.07,NA,0.835
2010,FEB,10,9,NA,39.38833333,15.08541667,NA,0.7875
2010,FEB,10,10,NA,38.76666667,15.08833333,NA,0.7625
2010,FEB,10,11,NA,39.11083333,15.07625,NA,0.75375
2010,FEB,10,12,NA,39.7925,15.03375,NA,0.755
2010,FEB,10,13,NA,40.32125,15.00333333,NA,0.76125
2010,FEB,10,14,NA,41.29,14.98291667,NA,0.77125
2010,FEB,10,15,NA,42.17208333,14.98958333,NA,0.78625
2010,FEB,10,16,NA,42.36958333,14.98916667,NA,0.795
2010,FEB,10,17,NA,42.22583333,14.97916667,NA,0.7975
2010,FEB,10,18,NA,42.10625,14.9575,NA,0.7925
2010,FEB,10,19,NA,41.92875,14.92375,NA,0.78375
2010,FEB,10,20,NA,39.92291667,14.89,NA,0.77375
2010,FEB,10,21,NA,35.82791667,14.83625,NA,0.76875
2010,FEB,10,22,NA,34.18666667,14.75958333,NA,0.765
2010,FEB,10,23,NA,33.23833333,14.69625,NA,0.79125
2010,FEB,11,0,NA,32.15833333,14.6225,NA,0.82375
2010,FEB,11,1,NA,32.92833333,14.57291667,NA,0.86125
2010,FEB,11,2,NA,33.34541667,14.56125,NA,0.9025
2010,FEB,11,3,NA,33.74166667,14.55875,NA,0.94375
2010,FEB,11,4,NA,34.53083333,14.5675,NA,0.98375
2010,FEB,11,5,NA,35.19666667,14.62083333,NA,1.01875
2010,FEB,11,6,NA,35.51333333,14.68041667,NA,1.0525
2010,FEB,11,7,NA,35.83208333,14.73666667,NA,1.0525
2010,FEB,11,8,NA,36.22833333,14.79083333,NA,1.0525
