DATOS MÓVILES 2010_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,JUN,1,0,NA,77.58285714,16.43666667,NA,NA
2010,JUN,1,1,NA,82.33238095,16.75541667,NA,NA
2010,JUN,1,2,NA,83.89761905,16.97875,NA,NA
2010,JUN,1,3,NA,85.52142857,17.09833333,NA,NA
2010,JUN,1,4,NA,84.9252381,17.22291667,NA,NA
2010,JUN,1,5,NA,83.33190476,17.33833333,NA,NA
2010,JUN,1,6,NA,82.35238095,17.25,NA,NA
2010,JUN,1,7,NA,82.72142857,17.07,NA,NA
2010,JUN,1,8,NA,80.01952381,16.79708333,NA,NA
2010,JUN,1,9,NA,77.99904762,16.63875,NA,NA
2010,JUN,1,10,NA,79.16666667,16.62958333,NA,NA
2010,JUN,1,11,NA,78.89714286,16.48083333,NA,NA
2010,JUN,1,12,NA,80.40809524,16.22875,NA,NA
2010,JUN,1,13,NA,78.31954545,16.11916667,NA,NA
2010,JUN,1,14,NA,80.44,15.9475,NA,NA
2010,JUN,1,15,NA,82.885,15.70208333,NA,NA
2010,JUN,1,16,NA,84.025,15.61791667,NA,NA
2010,JUN,1,17,NA,81.6652381,15.62708333,NA,NA
2010,JUN,1,18,NA,80.23590909,15.66875,NA,NA
2010,JUN,1,19,NA,79.85181818,15.70875,NA,NA
2010,JUN,1,20,NA,82.07363636,15.75666667,NA,NA
2010,JUN,1,21,NA,78.61409091,15.7925,NA,NA
2010,JUN,1,22,NA,78.75363636,15.76625,NA,NA
2010,JUN,1,23,NA,79.29,15.77875,NA,NA
2010,JUN,2,0,NA,78.73136364,15.86083333,NA,NA
2010,JUN,2,1,NA,73.76136364,15.82416667,NA,NA
2010,JUN,2,2,NA,72.27590909,15.87541667,NA,NA
2010,JUN,2,3,NA,71.68045455,15.86583333,NA,NA
2010,JUN,2,4,NA,71.62863636,15.80708333,NA,NA
2010,JUN,2,5,NA,71.67909091,15.72333333,NA,NA
2010,JUN,2,6,NA,71.62818182,15.66875,NA,NA
2010,JUN,2,7,NA,72.13136364,15.59541667,NA,NA
2010,JUN,2,8,NA,71.675,15.52666667,NA,NA
2010,JUN,2,9,NA,71.28863636,15.44041667,NA,NA
2010,JUN,2,10,NA,69.37363636,15.275,NA,NA
2010,JUN,2,11,NA,70.31318182,14.93583333,NA,NA
2010,JUN,2,12,NA,70.75095238,14.71666667,NA,NA
2010,JUN,2,13,NA,70.44333333,14.62291667,NA,NA
2010,JUN,2,14,NA,70.44333333,14.61333333,NA,NA
