DATOS MÓVILES 2013_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,MZO,1,0,3.54,57.2625,13.24958333,25.47625,0.31
2013,MZO,1,1,9.44,55.80958333,13.18833333,22.9925,0.33
2013,MZO,1,2,7.1,54.19083333,13.25291667,21.06,0.34375
2013,MZO,1,3,11.18,54.11041667,13.34208333,19.96125,0.3525
2013,MZO,1,4,5.89,54.42958333,13.41458333,20.1425,0.3725
2013,MZO,1,5,3.76,54.13916667,13.49125,20.53875,0.40125
2013,MZO,1,6,3.48,53.46083333,13.5325,21.675,0.44
2013,MZO,1,7,10.03,51.15083333,13.5225,21.04625,0.4825
2013,MZO,1,8,13.07,49.605,13.51416667,20.9925,0.55625
2013,MZO,1,9,12.74,48.9125,13.53,22.09875,0.65125
2013,MZO,1,10,13.24,48.51,13.75166667,22.98125,0.78875
2013,MZO,1,11,13.18,48.56208333,14.23375,23.92625,0.9375
2013,MZO,1,12,11.88,48.16166667,14.47208333,24.63875,1.045
2013,MZO,1,13,9.86,47.15208333,15.62875,25.75,1.13125
2013,MZO,1,14,12.83,47.15125,17.76125,26.83,1.2375
2013,MZO,1,15,16.75,47.83666667,19.22125,28.26625,1.37875
2013,MZO,1,16,17.28,48.45583333,21.03375,29.70125,1.4675
2013,MZO,1,17,12.05,49.30791667,21.85166667,31.0525,1.47375
2013,MZO,1,18,4.09,50.08,22.80125,32.965,1.39125
2013,MZO,1,19,7.88,51.1625,23.87208333,33.91125,1.3075
2013,MZO,1,20,6.21,51.16708333,24.55125,34.42875,1.2575
2013,MZO,1,21,10.45,50.72791667,26.07416667,33.9625,1.22125
2013,MZO,1,22,12.99,51.04875,27.84708333,33.80375,1.13875
2013,MZO,1,23,11.88,51.40416667,29.24083333,32.705,1.00625
2013,MZO,2,0,12.09,51.40125,29.78708333,31.23,0.89375
2013,MZO,2,1,9.61,50.75291667,29.8925,30.025,0.805
2013,MZO,2,2,8.05,49.68375,29.9025,28.155,0.7525
2013,MZO,2,3,3.7,48.21375,29.94,27.83625,0.68875
2013,MZO,2,4,3.71,46.50666667,29.9375,27.41375,0.61625
2013,MZO,2,5,1,45.45041667,29.91875,27.73,0.53875
2013,MZO,2,6,1,44.73166667,29.89416667,27.40875,0.47625
2013,MZO,2,7,4.02,44.65583333,30.21625,27.3475,0.43
2013,MZO,2,8,6.24,44.25958333,30.28125,27.69875,0.40125
2013,MZO,2,9,7.11,43.88458333,30.37666667,27.8225,0.40875
2013,MZO,2,10,5.5,43.11541667,31.00041667,28.54,0.43375
2013,MZO,2,11,4.52,42.8275,30.94541667,29.00375,0.46125
2013,MZO,2,12,3.01,44.68666667,30.89958333,30.36375,0.49625
2013,MZO,2,13,2.48,46.92083333,29.92333333,31.62875,0.52625
2013,MZO,2,14,3.82,47.54208333,28.28208333,32.795,0.555
2013,MZO,2,15,4.78,47.90791667,27.61875,34.3075,0.57875
2013,MZO,2,16,6.12,48.41375,27.14875,35.93125,0.5875
2013,MZO,2,17,7.95,48.39125,27.16041667,37.5275,0.57625
2013,MZO,2,18,9.08,47.84125,27.00958333,38.39,0.5575
2013,MZO,2,19,10.54,46.56833333,26.47291667,38.77,0.53875
2013,MZO,2,20,17.54,46.18375,27.3625,37.58,0.51875
2013,MZO,2,21,13.46,45.6525,26.31833333,37.34625,0.52125
2013,MZO,2,22,15.42,44.54083333,25.15083333,35.795,0.52375
2013,MZO,2,23,15.76,44.03875,24.98333333,34.16625,0.52125
2013,MZO,3,0,18.51,43.87,25.98708333,32.495,0.52125
2013,MZO,3,1,13.43,44.18416667,26.31,31.0375,0.5275
2013,MZO,3,2,6.09,43.87291667,26.505,30.27125,0.53
2013,MZO,3,3,5.94,43.85666667,26.545,29.79875,0.52
2013,MZO,3,4,6.74,44.84541667,26.60583333,30.125,0.50625
2013,MZO,3,5,8.12,45.04541667,26.56208333,28.89875,0.49375
2013,MZO,3,6,14.63,46.16,26.59333333,28.38375,0.5025
2013,MZO,3,7,20.38,47.79875,26.39416667,27.6375,0.5375
2013,MZO,3,8,24.47,50.18958333,26.49291667,26.6825,0.6125
2013,MZO,3,9,14.95,50.1525,26.50166667,26.4225,0.68375
2013,MZO,3,10,11.76,50.09208333,25.82416667,26.2675,0.75875
2013,MZO,3,11,9.12,50.19208333,25.43458333,26.81375,0.84625
2013,MZO,3,12,8.64,48.46333333,25.61458333,27.9025,0.92625
2013,MZO,3,13,7.5,46.47166667,25.68583333,29.60125,0.985
2013,MZO,3,14,4.84,44.74333333,25.31333333,32.3875,1.01625
2013,MZO,3,15,2.98,42.81458333,24.57625,35.95625,1.02
2013,MZO,3,16,2.62,40.85291667,23.39958333,40.12125,0.97125
2013,MZO,3,17,1.19,39.27833333,22.66833333,43.41125,0.9175
