DATOS MÓVILES 2013_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,MAY,1,0,12.82,65.48291667,14.35541667,46.86625,0.315
2013,MAY,1,1,14.35,65.19041667,14.55041667,43.25625,0.33875
2013,MAY,1,2,14.09,66.0725,14.89,39.245,0.3775
2013,MAY,1,3,15.53,65.89,14.96583333,34.99,0.41375
2013,MAY,1,4,20.75,65.66541667,15.0125,31.1075,0.45
2013,MAY,1,5,30.97,66.15583333,15.18666667,27.0125,0.49875
2013,MAY,1,6,28.29,66.42125,15.37583333,23.2025,0.56
2013,MAY,1,7,27.72,65.61166667,15.35375,20.71625,0.6525
2013,MAY,1,8,31.57,63.71,15.3125,18.43,0.8475
2013,MAY,1,9,30.76,64.10458333,15.41083333,17.28625,1.0875
2013,MAY,1,10,18.46,64.77375,15.42583333,18.1825,1.25
2013,MAY,1,11,11.65,65.67041667,15.49541667,20.3975,1.3525
2013,MAY,1,12,8.35,67.10375,15.59333333,24.08375,1.4275
2013,MAY,1,13,4.82,67.88708333,15.66208333,28.70875,1.4625
2013,MAY,1,14,3.56,68.60125,15.73375,33.2025,1.4525
2013,MAY,1,15,2.71,68.57416667,15.80958333,36.6575,1.39125
2013,MAY,1,16,1.4,68.85291667,15.89125,40.79875,1.2125
2013,MAY,1,17,1.46,68.6575,15.99416667,44.77375,0.95875
2013,MAY,1,18,1.48,68.6575,16.0875,47.45125,0.76125
2013,MAY,1,19,4.2,66.6025,16.1875,49.0175,0.64
2013,MAY,1,20,10.62,66.05958333,16.27708333,48.8175,0.5675
2013,MAY,1,21,11.97,66.30916667,16.36416667,48.05,0.5325
2013,MAY,1,22,11.66,66.695,16.47666667,47.23125,0.5325
2013,MAY,1,23,13.93,66.96333333,16.59208333,46.13875,0.55625
2013,MAY,2,0,16.66,67.03541667,16.65875,44.32375,0.58375
2013,MAY,2,1,23.62,66.94583333,16.51708333,41.07375,0.625
2013,MAY,2,2,30.79,66.895,16.37291667,36.30625,0.675
2013,MAY,2,3,37.66,68.28083333,16.88083333,31.2525,0.71125
2013,MAY,2,4,34.57,70.47916667,17.11,26.88375,0.74125
2013,MAY,2,5,27.89,70.95,17.07708333,23.57,0.75875
2013,MAY,2,6,37.8,72.19916667,17.31416667,20.34125,0.8
2013,MAY,2,7,36.26,74.62416667,17.55708333,16.83125,0.9175
2013,MAY,2,8,30.83,76.12041667,17.59333333,14.23125,1.11375
2013,MAY,2,9,27.2,76.84791667,17.59666667,13.51375,1.28625
2013,MAY,2,10,19.28,77.4575,17.59583333,15.4225,1.42125
2013,MAY,2,11,13.14,76.88916667,17.57875,19.31375,1.51125
2013,MAY,2,12,12.64,76.65708333,19.02708333,24.055,1.565
