DATOS MÓVILES 2014_NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,AGO,1,0,NA,67.29625,14.45125,63.325,0.25
2014,AGO,1,1,NA,65.17,14.52625,55.08875,0.25
2014,AGO,1,2,NA,64.55541667,14.49833333,47.60375,0.24875
2014,AGO,1,3,NA,65.38,14.48333333,39.26,0.255
2014,AGO,1,4,NA,67.09791667,14.44666667,31.39625,0.265
2014,AGO,1,5,NA,68.21791667,14.44458333,25.69,0.28125
2014,AGO,1,6,NA,68.51125,14.41791667,22.05625,0.29
2014,AGO,1,7,NA,68.63041667,14.38,20.1275,0.3025
2014,AGO,1,8,NA,69.0525,14.33166667,17.6825,0.33125
2014,AGO,1,9,NA,69.73166667,14.33708333,17.57625,0.36
2014,AGO,1,10,NA,69.68041667,14.21375,19.21,0.38125
2014,AGO,1,11,NA,69.415,14.11666667,24.44875,0.3975
2014,AGO,1,12,NA,71.16958333,14.84583333,33.62,0.40375
2014,AGO,1,13,NA,78.08375,16.10666667,32.8875,0.41875
2014,AGO,1,14,NA,81.48291667,16.97333333,32.0525,0.43625
2014,AGO,1,15,NA,78.77791667,17.48541667,30.9775,0.44875
2014,AGO,1,16,NA,73.24125,18.29916667,35.66375,0.44625
2014,AGO,1,17,NA,74.19958333,19.46791667,36.26714286,0.465
2014,AGO,1,18,NA,75.60166667,19.85291667,31.89714286,0.4675
2014,AGO,1,19,NA,76.38416667,19.8975,24.03428571,0.46125
2014,AGO,1,20,NA,78.62,19.9375,14.11,0.49
2014,AGO,1,21,NA,79.28208333,20.2325,21.02166667,0.51125
2014,AGO,1,22,NA,78.46583333,20.74,25.55166667,0.49875
2014,AGO,1,23,NA,77.60125,20.75958333,28.305,0.48125
2014,AGO,2,0,NA,77.60083333,20.69666667,24.10833333,0.45125
2014,AGO,2,1,NA,77.23541667,20.93416667,22.90428571,0.40625
2014,AGO,2,2,NA,77.28375,21.03583333,22.80571429,0.38125
2014,AGO,2,3,NA,77.00291667,21.10708333,23.71,0.365
2014,AGO,2,4,NA,76.12458333,21.17958333,22.31375,0.315
2014,AGO,2,5,NA,75.1275,21.29583333,17.80375,0.25875
2014,AGO,2,6,NA,76.05208333,21.39416667,15.94428571,0.24125
2014,AGO,2,7,NA,76.30458333,21.4875,15.24166667,0.24
2014,AGO,2,8,NA,76.30791667,21.60083333,NA,0.26375
2014,AGO,2,9,NA,77.44958333,21.6475,NA,0.2825
2014,AGO,2,10,NA,78.04666667,21.71958333,NA,0.2975
2014,AGO,2,11,NA,78.27958333,21.82583333,NA,0.3125
2014,AGO,2,12,NA,75.53833333,21.11625,NA,0.32125
2014,AGO,2,13,NA,67.66083333,20.03833333,NA,0.325
2014,AGO,2,14,NA,63.71916667,19.34625,41.21833333,0.32125
2014,AGO,2,15,NA,61.86,19.23791667,43.84571429,0.3075
2014,AGO,2,16,NA,59.91833333,18.71291667,45.74125,0.28
2014,AGO,2,17,NA,57.715,17.68625,51.16125,0.26
2014,AGO,2,18,NA,56.50708333,17.39625,54.6375,0.24875
2014,AGO,2,19,NA,55.25791667,17.68958333,56.04375,0.25
2014,AGO,2,20,NA,52.745,18.89666667,54.895,0.26125
2014,AGO,2,21,NA,51.6725,20.45666667,51.6925,0.28125
2014,AGO,2,22,NA,52.125,20.52875,47.34625,0.29625
2014,AGO,2,23,NA,52.84333333,21.01,41.6825,0.31375
2014,AGO,3,0,NA,54.23958333,21.43541667,36.36625,0.32625
2014,AGO,3,1,NA,54.78375,21.32166667,31.10875,0.33125
2014,AGO,3,2,NA,55.2,21.3425,25.57,0.33
2014,AGO,3,3,NA,55.46333333,21.35458333,20.995,0.31375
2014,AGO,3,4,NA,56.31041667,21.42791667,18.96857143,0.2975
2014,AGO,3,5,NA,57.15416667,21.36458333,16.41142857,0.2775
2014,AGO,3,6,NA,57.25875,21.36125,14.85,0.26625
2014,AGO,3,7,NA,58.03708333,21.36166667,NA,0.26
2014,AGO,3,8,NA,57.92541667,21.34166667,NA,0.2675
2014,AGO,3,9,NA,57.11791667,21.265,NA,0.27875
2014,AGO,3,10,NA,56.77916667,21.22916667,NA,0.29
2014,AGO,3,11,NA,57.1325,21.12958333,NA,0.3075
2014,AGO,3,12,NA,58.23125,20.99083333,NA,0.32125
2014,AGO,3,13,NA,58.96958333,20.7975,NA,0.32875
2014,AGO,3,14,NA,59.3275,20.67416667,47.28,0.3325
2014,AGO,3,15,NA,59.73166667,20.32791667,50.32857143,0.325
2014,AGO,3,16,NA,60.49958333,20.06041667,52.86625,0.30625
2014,AGO,3,17,NA,61.25083333,19.96791667,58.21,0.29375
2014,AGO,3,18,NA,61.74333333,19.93125,60.97,0.28625
2014,AGO,3,19,NA,62.61,19.56708333,62.42375,0.28
2014,AGO,3,20,NA,63.3025,19.12875,59.59875,0.27875
2014,AGO,3,21,NA,63.27333333,18.60291667,55.28125,0.28625
2014,AGO,3,22,NA,63.38541667,18.77791667,50.56,0.2875
2014,AGO,3,23,NA,63.28458333,18.44708333,44.7125,0.29125
2014,AGO,4,0,NA,63.03125,17.89166667,38.195,0.295
2014,AGO,4,1,NA,62.69666667,17.67791667,32.62875,0.29125
