DATOS MÓVILES 2015_ NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,MO3,MSO2,MCO,MNO2,MPM10
2015,JUN,1,0,31.12,24.815,1.674583333,15.14875,38.45625
2015,JUN,1,1,31.7475,24.81333333,1.664166667,14.53958333,38.35041667
2015,JUN,1,2,32.66541667,24.89666667,1.655,13.8175,37.43666667
2015,JUN,1,3,33.38875,25.12833333,1.647083333,13.38166667,36.76166667
2015,JUN,1,4,33.67291667,25.25625,1.639166667,13.17458333,36.37041667
2015,JUN,1,5,33.82833333,25.46333333,1.634166667,13.15625,36.2525
2015,JUN,1,6,33.77083333,25.63833333,1.629583333,13.30666667,37.48458333
2015,JUN,1,7,33.58708333,25.81833333,1.627083333,13.58875,36.98875
2015,JUN,1,8,33.51625,26.01416667,1.626666667,13.79666667,35.79041667
2015,JUN,1,9,33.70541667,26.11666667,1.624166667,13.7925,35.9775
2015,JUN,1,10,33.85208333,26.16166667,1.619166667,13.76541667,36.56166667
2015,JUN,1,11,33.955,26.1825,1.614583333,13.72541667,36.6975
2015,JUN,1,12,33.95333333,26.2025,1.61,13.67541667,36.70416667
2015,JUN,1,13,33.80708333,26.21666667,1.60625,13.61958333,36.64625
2015,JUN,1,14,33.61416667,26.2225,1.603333333,13.59958333,36.63833333
2015,JUN,1,15,33.57208333,26.225,1.60125,13.60458333,37.15208333
2015,JUN,1,16,33.78,26.25625,1.599583333,13.65416667,37.6325
2015,JUN,1,17,34.08125,26.25666667,1.601666667,13.81333333,38.65625
2015,JUN,1,18,34.17208333,26.24458333,1.603333333,13.91208333,39.19041667
2015,JUN,1,19,34.06541667,26.27125,1.604583333,14.065,39.66875
2015,JUN,1,20,33.71208333,26.28125,1.606666667,14.31666667,41.08375
2015,JUN,1,21,33.59166667,26.23666667,1.609166667,14.40208333,41.92541667
2015,JUN,1,22,33.535,26.18833333,1.611666667,14.47833333,42.12791667
2015,JUN,1,23,33.51208333,26.13208333,1.612916667,14.52708333,42.08125
2015,JUN,2,0,33.34625,26.06333333,1.617916667,14.74833333,43.36625
2015,JUN,2,1,33.07,26.01708333,1.622916667,14.95291667,44.44333333
2015,JUN,2,2,32.83916667,25.90583333,1.625416667,15.0825,45.12291667
2015,JUN,2,3,32.44416667,25.67041667,1.627083333,15.22541667,45.27208333
2015,JUN,2,4,32.19458333,25.55333333,1.627916667,15.32333333,45.25416667
2015,JUN,2,5,31.79916667,25.41541667,1.6275,15.40333333,45.24791667
2015,JUN,2,6,31.59333333,25.36666667,1.63,15.46333333,43.29
2015,JUN,2,7,31.60708333,25.30166667,1.634583333,15.34166667,43.73458333
2015,JUN,2,8,31.63208333,25.21125,1.639166667,15.25875,44.45416667
2015,JUN,2,9,31.44375,25.18833333,1.642916667,15.32125,44.975
2015,JUN,2,10,31.32083333,25.17333333,1.645,15.39333333,45.36333333
2015,JUN,2,11,31.35708333,25.17208333,1.64625,15.40583333,45.40125
2015,JUN,2,12,31.50833333,25.17083333,1.647083333,15.39958333,45.23875
2015,JUN,2,13,31.69291667,25.40708333,1.652083333,15.48708333,45.20916667
2015,JUN,2,14,31.88041667,26.27875,1.659166667,15.58875,45.845
2015,JUN,2,15,31.81666667,27.33083333,1.665833333,15.67958333,45.93166667
2015,JUN,2,16,31.57375,28.25125,1.672916667,15.70125,45.35375
2015,JUN,2,17,31.45333333,28.99958333,1.67375,15.6025,44.28791667
2015,JUN,2,18,31.65416667,30,1.673333333,15.52333333,43.50875
2015,JUN,2,19,32.1825,30.78833333,1.67125,15.36333333,43.58833333
2015,JUN,2,20,32.95083333,31.47583333,1.667083333,15.19458333,42.52125
2015,JUN,2,21,33.54875,31.91041667,1.66375,15.15708333,42.36791667
2015,JUN,2,22,34.17208333,32.09916667,1.66125,15.08083333,42.30333333
2015,JUN,2,23,34.78916667,32.24833333,1.65875,14.94166667,42.58208333
2015,JUN,3,0,35.2775,32.36708333,1.653333333,14.78791667,41.28458333
2015,JUN,3,1,35.69458333,32.42666667,1.64875,14.68083333,40.08875
2015,JUN,3,2,35.96291667,32.405,1.647083333,14.79666667,39.42958333
2015,JUN,3,3,36.53291667,32.38416667,1.645833333,14.70041667,39.28166667
2015,JUN,3,4,37.04583333,32.68458333,1.64625,14.68458333,39.46875
2015,JUN,3,5,37.44708333,33.27916667,1.647083333,14.86041667,39.66208333
2015,JUN,3,6,37.51375,33.23625,1.647083333,15.10291667,40.10375
2015,JUN,3,7,37.75166667,33.17708333,1.6475,15.21125,40.775
2015,JUN,3,8,37.76208333,33.13833333,1.6525,15.41583333,42.62333333
2015,JUN,3,9,37.7675,33.11541667,1.656666667,15.59166667,44.03958333
2015,JUN,3,10,37.8225,33.25208333,1.662083333,15.77458333,45.08916667
2015,JUN,3,11,38.035,33.65041667,1.66875,16.00625,45.95416667
2015,JUN,3,12,38.77375,33.94458333,1.672083333,16.12625,48.01958333
2015,JUN,3,13,39.48416667,34.14875,1.672083333,16.15833333,49.59458333
2015,JUN,3,14,40.09166667,33.27666667,1.665833333,16.03958333,49.47083333
2015,JUN,3,15,40.61,32.17875,1.659166667,15.87583333,49.28458333
2015,JUN,3,16,41.135,31.18166667,1.650416667,15.69625,49.03083333
2015,JUN,3,17,41.6175,30.53958333,1.646666667,15.55,48.80708333
2015,JUN,3,18,41.68208333,29.94125,1.64625,15.52125,48.91
2015,JUN,3,19,41.7375,29.32541667,1.6475,15.59083333,49.89875
2015,JUN,3,20,41.45166667,28.62333333,1.650833333,15.89958333,57.73666667
2015,JUN,3,21,41.2275,28.15625,1.65375,15.95208333,59.69333333
2015,JUN,3,22,40.66875,27.95416667,1.657916667,16.22291667,60.30125
2015,JUN,3,23,39.82625,27.88333333,1.664583333,16.75083333,62.1025
2015,JUN,4,0,39.27625,27.7775,1.67,16.99125,63.05166667
2015,JUN,4,1,39.07458333,27.79375,1.67375,17.06166667,63.74958333
2015,JUN,4,2,39.2,28.00416667,1.675833333,16.91541667,64.07875
2015,JUN,4,3,39.0075,28.2275,1.677916667,17.02,64.60083333
2015,JUN,4,4,38.28708333,28.07458333,1.68125,17.42,65.95916667
2015,JUN,4,5,37.71125,27.63625,1.688333333,17.74125,68.35416667
2015,JUN,4,6,37.82791667,27.74041667,1.694166667,17.58708333,69.80416667
2015,JUN,4,7,37.6725,27.845,1.701666667,17.615,70.45916667
2015,JUN,4,8,37.71166667,27.90416667,1.702083333,17.51416667,69.51333333
2015,JUN,4,9,37.88208333,27.93625,1.700833333,17.3775,68.61166667
2015,JUN,4,10,38.255,27.82625,1.697916667,17.1725,68.12333333
2015,JUN,4,11,38.4975,27.47166667,1.695,17.05458333,68.60416667
2015,JUN,4,12,39.02708333,27.2075,1.695,17.05416667,68.33583333
2015,JUN,4,13,40.18583333,26.925,1.730833333,17.02125,68.25958333
2015,JUN,4,14,40.885,26.83333333,1.737391304,17.025,68.49666667
2015,JUN,4,15,40.15375,26.67,1.745,17.00708333,68.27541667
2015,JUN,4,16,39.19,26.55583333,1.754285714,17.01458333,68.3775
2015,JUN,4,17,37.99458333,26.48333333,1.762,17.06125,69.21833333
2015,JUN,4,18,37.25541667,25.96333333,1.765789474,16.935,68.705
2015,JUN,4,19,36.72291667,25.65041667,1.768333333,16.67333333,66.83666667
2015,JUN,4,20,36.66833333,25.54458333,NA,16.16958333,60.43083333
2015,JUN,4,21,36.46208333,25.44458333,NA,15.94208333,60.53541667
2015,JUN,4,22,36.23,25.35375,NA,15.62083333,61.35208333
2015,JUN,4,23,35.94,25.21291667,NA,15.29416667,61.20916667
2015,JUN,5,0,35.59416667,25.12375,NA,15.04041667,59.99375
2015,JUN,5,1,35.01083333,25.01541667,NA,14.94625,59.1975
2015,JUN,5,2,34.315,24.85416667,NA,14.89333333,58.95958333
2015,JUN,5,3,33.57083333,24.66625,NA,14.82625,58.64583333
2015,JUN,5,4,33.51583333,24.51916667,NA,14.35583333,57.75916667
2015,JUN,5,5,33.56833333,24.31958333,NA,13.73458333,55.74333333
2015,JUN,5,6,33.36708333,24.16666667,NA,13.46875,54.1425
2015,JUN,5,7,33.04666667,24.03583333,NA,13.29583333,53.51541667
2015,JUN,5,8,32.73375,23.9525,NA,13.22625,53.75958333
2015,JUN,5,9,32.73708333,23.90875,NA,13.19625,54.41208333
2015,JUN,5,10,32.52666667,23.87958333,NA,13.17541667,54.21166667
2015,JUN,5,11,32.39791667,23.85083333,NA,13.04875,53.84541667
2015,JUN,5,12,30.43347826,23.80958333,NA,12.95166667,54.03958333
2015,JUN,5,13,27.50045455,23.56,NA,12.82916667,53.425
2015,JUN,5,14,27.24181818,23.50083333,NA,12.76125,53.17041667
2015,JUN,5,15,27.39272727,23.57,NA,12.71375,53.26458333
2015,JUN,5,16,27.74272727,23.65,NA,12.67416667,53.53708333
2015,JUN,5,17,28.16818182,23.52,NA,12.55,54.31125
2015,JUN,5,18,28.48318182,23.55291667,NA,12.46625,56.175
2015,JUN,5,19,28.64136364,23.57416667,NA,12.39375,57.78833333
2015,JUN,5,20,28.96045455,23.59166667,NA,12.45791667,56.50666667
2015,JUN,5,21,29.20318182,23.645,NA,12.655,56.00583333
2015,JUN,5,22,29.75772727,23.71041667,NA,12.84291667,56.49375
2015,JUN,5,23,30.48454545,23.76,NA,13.04041667,55.41958333
2015,JUN,6,0,31.08727273,23.83416667,NA,13.2775,56.28791667
2015,JUN,6,1,31.72772727,23.89291667,NA,13.4925,57.43833333
2015,JUN,6,2,32.02454545,23.91958333,NA,13.87916667,58.55291667
2015,JUN,6,3,32.395,23.95958333,NA,14.20458333,59.675
2015,JUN,6,4,32.90727273,24.02083333,NA,14.43583333,61.04166667
2015,JUN,6,5,33.47590909,24.08125,NA,14.63583333,61.87625
2015,JUN,6,6,34.095,24.15041667,NA,14.695,63.45333333
2015,JUN,6,7,34.76318182,24.23125,NA,14.77125,64.4425
2015,JUN,6,8,35.21,24.30166667,NA,14.84416667,64.68666667
2015,JUN,6,9,35.09227273,24.36375,NA,14.90083333,63.11125
2015,JUN,6,10,34.72681818,24.42416667,NA,15.00083333,62.44583333
2015,JUN,6,11,34.24954545,24.45791667,NA,15.03583333,61.20791667
2015,JUN,6,12,34.60869565,24.50333333,NA,14.98166667,59.79333333
2015,JUN,6,13,35.03958333,24.6625,NA,15.00208333,59.21375
2015,JUN,6,14,33.8325,24.92208333,NA,15.04958333,58.82833333
2015,JUN,6,15,33.765,25.11041667,NA,15.08458333,58.61458333
2015,JUN,6,16,33.69291667,25.24083333,NA,15.13083333,57.65166667
2015,JUN,6,17,33.93541667,25.35833333,NA,15.21208333,56.33916667
2015,JUN,6,18,34.32875,25.47916667,NA,15.38,54.825
2015,JUN,6,19,34.43208333,25.70666667,NA,15.65541667,54.39666667
2015,JUN,6,20,34.42666667,25.83708333,NA,15.495,57.50083333
2015,JUN,6,21,34.65583333,25.89916667,NA,15.20833333,58.7675
2015,JUN,6,22,34.84083333,25.94375,NA,14.96333333,56.19625
2015,JUN,6,23,35.03791667,25.9925,NA,14.66041667,56.04
2015,JUN,7,0,35.3275,26.01625,NA,14.445,59.74708333
2015,JUN,7,1,35.44333333,25.98833333,NA,14.22833333,58.19375
2015,JUN,7,2,35.69458333,25.92708333,NA,13.88875,57.85958333
2015,JUN,7,3,35.97875,25.86625,NA,13.54625,57.54625
2015,JUN,7,4,36.05625,25.80041667,NA,13.37458333,56.42666667
2015,JUN,7,5,35.96916667,25.74333333,NA,13.24125,56.315
2015,JUN,7,6,35.91,25.70916667,NA,13.16333333,54.02875
2015,JUN,7,7,36.05,25.6525,NA,12.94833333,51.61375
2015,JUN,7,8,36.2325,25.59041667,NA,12.74333333,49.66833333
2015,JUN,7,9,36.32125,25.52625,NA,12.61791667,49.37625
2015,JUN,7,10,36.48375,25.4475,NA,12.50958333,49.2575
2015,JUN,7,11,36.54625,25.3925,NA,12.49375,49.89833333
2015,JUN,7,12,36.64708333,25.36541667,NA,12.52083333,49.4425
2015,JUN,7,13,36.87041667,25.3275,NA,12.54,52.4975
2015,JUN,7,14,37.07541667,25.26916667,NA,12.53666667,58.61291667
2015,JUN,7,15,37.44666667,25.25041667,NA,12.55458333,65.22791667
2015,JUN,7,16,37.95666667,25.23958333,NA,12.53083333,71.18708333
2015,JUN,7,17,38.38291667,25.22583333,NA,12.47208333,73.8425
2015,JUN,7,18,38.52458333,25.55625,NA,12.5225,76.60583333
2015,JUN,7,19,38.66,25.56125,NA,12.65791667,77.45416667
2015,JUN,7,20,38.37291667,25.6625,NA,13.0525,75.23125
2015,JUN,7,21,38.44458333,25.9825,NA,13.29083333,72.56625
2015,JUN,7,22,38.66416667,26.28833333,NA,13.45,76.97958333
2015,JUN,7,23,38.5525,27.19916667,NA,13.83416667,76.24541667
2015,JUN,8,0,38.195,27.69625,NA,14.25041667,76.59875
2015,JUN,8,1,37.97916667,28.11,NA,14.60833333,78.58
2015,JUN,8,2,37.84291667,28.26791667,NA,14.79083333,77.58083333
2015,JUN,8,3,37.71291667,28.36416667,NA,14.90416667,77.95375
2015,JUN,8,4,37.73041667,28.36916667,NA,14.86458333,77.36208333
2015,JUN,8,5,37.88791667,28.325,NA,14.78291667,77.03583333
2015,JUN,8,6,37.89958333,28.22708333,NA,14.77583333,77.85416667
2015,JUN,8,7,37.77833333,28.12125,NA,14.89375,78.56666667
2015,JUN,8,8,37.63458333,28.02333333,NA,14.95958333,78.40916667
2015,JUN,8,9,37.64083333,27.91416667,NA,14.96416667,78.43666667
2015,JUN,8,10,37.69833333,27.80666667,NA,14.93708333,78.39666667
2015,JUN,8,11,37.82625,28.01916667,NA,14.94833333,77.52458333
2015,JUN,8,12,37.97291667,28.37541667,NA,15.04,78.79166667
2015,JUN,8,13,38.455,30.32458333,NA,15.30791667,76.30458333
2015,JUN,8,14,39.04291667,32.31916667,NA,15.50916667,71.8425
2015,JUN,8,15,39.50583333,33.42333333,NA,15.61833333,66.97125
2015,JUN,8,16,39.58958333,33.87375,NA,15.75791667,63.26416667
2015,JUN,8,17,39.50625,34.04208333,NA,15.97,62.05625
2015,JUN,8,18,39.77083333,33.70875,NA,15.83375,58.9175
2015,JUN,8,19,39.80708333,33.51333333,NA,15.70583333,57.96041667
2015,JUN,8,20,39.69416667,33.31041667,NA,15.58208333,57.52583333
2015,JUN,8,21,39.40125,33.01416667,NA,15.46166667,57.24666667
2015,JUN,8,22,39.08583333,32.80916667,NA,15.32666667,53.38791667
2015,JUN,8,23,39.19666667,32.01,NA,14.905,53.1575
2015,JUN,9,0,39.44708333,31.60416667,NA,14.45125,49.26541667
2015,JUN,9,1,39.70958333,31.25791667,NA,14.08875,47.39083333
2015,JUN,9,2,40.16541667,31.175,NA,13.86875,47.02041667
2015,JUN,9,3,40.64291667,31.11208333,NA,13.73583333,45.64416667
2015,JUN,9,4,40.88208333,31.1275,NA,13.75541667,45.56125
2015,JUN,9,5,40.78375,31.13208333,NA,13.96166667,44.51458333
2015,JUN,9,6,40.6575,31.16708333,NA,14.24333333,43.9825
2015,JUN,9,7,40.45625,31.205,NA,14.42541667,44.37291667
2015,JUN,9,8,40.465,31.23333333,NA,14.57416667,46.035
2015,JUN,9,9,40.53833333,31.24,NA,14.7125,47.73958333
2015,JUN,9,10,40.77125,31.21208333,NA,14.79666667,48.39541667
2015,JUN,9,11,40.9325,30.83791667,NA,14.85583333,49.79041667
2015,JUN,9,12,40.96625,30.30541667,NA,14.88208333,49.50875
2015,JUN,9,13,40.605,28.17041667,NA,14.67708333,49.1825
2015,JUN,9,14,40.05125,25.96083333,NA,14.47875,47.8025
2015,JUN,9,15,39.31166667,25.07166667,NA,14.44666667,46.60791667
2015,JUN,9,16,38.8125,24.74791667,NA,14.42083333,45.39625
2015,JUN,9,17,38.41916667,24.52541667,NA,14.32041667,44.05541667
2015,JUN,9,18,37.82291667,24.58333333,NA,14.35041667,48.17916667
2015,JUN,9,19,37.59208333,24.72083333,NA,14.21833333,52.86125
2015,JUN,9,20,37.73958333,25.19625,NA,14.135,53.13541667
2015,JUN,9,21,37.74583333,27.35875,NA,14.28791667,54.02666667
2015,JUN,9,22,37.71291667,27.32458333,NA,14.27916667,55.36041667
2015,JUN,9,23,37.69291667,27.15625,NA,14.21375,56.06166667
2015,JUN,10,0,37.74583333,26.98666667,NA,14.16,55.54333333
2015,JUN,10,1,37.71458333,26.91041667,NA,14.22041667,56.44083333
2015,JUN,10,2,37.55875,26.86083333,NA,14.23083333,57.79333333
2015,JUN,10,3,37.40541667,26.85208333,NA,14.23666667,57.99583333
2015,JUN,10,4,37.35458333,26.855,NA,14.16958333,57.75833333
2015,JUN,10,5,37.58791667,26.95333333,NA,13.99041667,57.99083333
2015,JUN,10,6,37.80083333,27.04708333,NA,13.76416667,58.38041667
2015,JUN,10,7,38.02208333,27.1425,NA,13.65166667,58.29041667
2015,JUN,10,8,38.00041667,27.24291667,NA,13.60958333,58.50333333
2015,JUN,10,9,37.89958333,27.35375,NA,13.54291667,58.49666667
2015,JUN,10,10,37.75541667,27.48416667,NA,13.50666667,58.05041667
2015,JUN,10,11,37.73125,27.62416667,NA,13.44875,58.05375
2015,JUN,10,12,38.3825,27.67041667,NA,13.30125,58.18125
2015,JUN,10,13,39.02958333,27.98565217,NA,13.22041667,58.59291667
2015,JUN,10,14,39.70333333,28.34090909,NA,13.1725,58.81041667
2015,JUN,10,15,40.52166667,27.86863636,NA,13.11083333,59.19375
2015,JUN,10,16,41.005,27.11,NA,13.02791667,60.02208333
2015,JUN,10,17,41.28125,26.67681818,NA,12.95916667,60.78708333
2015,JUN,10,18,41.2675,26.27909091,NA,13.04333333,57.6075
2015,JUN,10,19,41.28875,26.47681818,NA,13.18958333,52.20375
2015,JUN,10,20,41.2675,25.54045455,NA,13.26041667,52.56
2015,JUN,10,21,41.20375,23.85272727,NA,13.26916667,52.96
2015,JUN,10,22,40.84875,25.36363636,NA,13.63625,52.63666667
