DATOS MÓVILES 2015_ NATIVITAS,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,MO3,MSO2,MCO,MNO2,MPM10
2015,JUL,1,0,39.59625,8.451666667,NA,14.2825,49.74375
2015,JUL,1,1,39.14333333,8.337916667,NA,14.37958333,53.0725
2015,JUL,1,2,38.94833333,8.915833333,NA,14.41875,52.41625
2015,JUL,1,3,38.99291667,9.24,NA,14.32625,52.5425
2015,JUL,1,4,38.82291667,9.464166667,NA,14.48083333,52.88791667
2015,JUL,1,5,38.285,9.750833333,NA,14.70291667,54.54291667
2015,JUL,1,6,37.70916667,10.15666667,NA,15.05,54.35041667
2015,JUL,1,7,37.22708333,10.47958333,NA,15.315,52.88125
2015,JUL,1,8,36.80166667,10.77125,NA,15.50791667,51.24333333
2015,JUL,1,9,37.13083333,11.08291667,NA,15.30083333,50.64625
2015,JUL,1,10,37.95791667,11.54,NA,15.05708333,47.67458333
2015,JUL,1,11,38.7275,11.93083333,NA,14.90583333,46.97916667
2015,JUL,1,12,39.485,12.31333333,NA,14.95625,48.555
2015,JUL,1,13,40.44583333,12.68541667,NA,15.21,50.79375
2015,JUL,1,14,41.58666667,13.0325,NA,15.39125,52.53666667
2015,JUL,1,15,41.98416667,13.3,NA,15.46625,53.36041667
2015,JUL,1,16,41.82666667,13.51833333,NA,15.55375,56.21458333
2015,JUL,1,17,41.4675,13.71916667,NA,15.74666667,56.29083333
2015,JUL,1,18,40.93083333,13.93166667,NA,16.00125,57.34666667
2015,JUL,1,19,40.45,14.69958333,NA,16.30416667,57.3
2015,JUL,1,20,40.2525,15.61708333,NA,16.36083333,59.15041667
2015,JUL,1,21,40.295,16.16833333,NA,16.34833333,59.37666667
2015,JUL,1,22,40.24458333,16.75916667,NA,16.30333333,59.14208333
2015,JUL,1,23,40.21666667,17.98583333,NA,16.25583333,53.81
2015,JUL,2,0,40.3875,18.75291667,NA,16.1025,58.55583333
2015,JUL,2,1,40.13125,18.88416667,NA,16.19458333,59.26041667
2015,JUL,2,2,39.46625,18.36916667,NA,16.39416667,60.39583333
2015,JUL,2,3,38.785,18.13375,NA,16.67041667,59.15833333
2015,JUL,2,4,38.52833333,18.00541667,NA,16.54958333,60.07
2015,JUL,2,5,38.685,17.81625,NA,16.36708333,58.74208333
2015,JUL,2,6,38.83416667,17.50458333,NA,16.13083333,59.12125
2015,JUL,2,7,38.90458333,17.29916667,NA,15.95583333,60.30333333
2015,JUL,2,8,38.86958333,17.15708333,NA,15.87458333,62.10291667
2015,JUL,2,9,38.28166667,16.98791667,NA,16.0025,62.89166667
2015,JUL,2,10,37.16833333,16.64583333,NA,16.18458333,63.99916667
2015,JUL,2,11,36.18291667,16.37333333,NA,16.2925,63.74333333
2015,JUL,2,12,35.34166667,16.47833333,NA,16.30625,61.91583333
2015,JUL,2,13,34.20791667,16.31541667,NA,16.35541667,62.51541667
2015,JUL,2,14,33.08291667,16.07875,NA,16.47375,64.35041667
2015,JUL,2,15,32.56125,16.04416667,NA,16.52791667,63.17208333
2015,JUL,2,16,32.59166667,16.04833333,NA,16.51375,60.55541667
2015,JUL,2,17,32.53791667,16.05416667,NA,16.45416667,62.10375
2015,JUL,2,18,32.19916667,16.0975,NA,16.50666667,66.25291667
