DATOS MÓVILES 2016_ NATIVITAS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
MAY,1,0,37.68,89.78958333,4.857916667,73.64875,0.477
MAY,1,1,37.25,91.25875,4.885833333,59.52,0.3045
MAY,1,2,36.07,92.97,5.051666667,45.44125,0.2395
MAY,1,3,36.34,92.96083333,5.340416667,34.32125,0.19075
MAY,1,4,37.07,93.97625,5.765833333,26,0.17325
MAY,1,5,34.68,97.35833333,6.212083333,20.28,0.17075
MAY,1,6,31.93,99.59375,6.669583333,13.52,0.137
MAY,1,7,29.73,99.77625,7.484166667,8.705,0.14325
MAY,1,8,28.97,96.82333333,7.58875,7.435,0.117
MAY,1,9,41.48,90.84,7.405416667,10.28,0.2095
MAY,1,10,21.11,88.25875,7.94,19.26625,0.23575
MAY,1,11,11.45,87.37083333,8.199166667,30.52875,0.27325
MAY,1,12,3.72,87.44166667,8.357916667,42.82375,0.3445
MAY,1,13,2.95,87.12166667,8.471666667,54.5525,0.407
MAY,1,14,1.22,86.5325,8.555833333,68.1375,0.47575
MAY,1,15,0.82,86.24875,8.611666667,81.28625,0.562
MAY,1,16,0.08,86.29875,8.644583333,93.20375,0.617
MAY,1,17,0.08,86.65,8.75875,101.61,0.61075
MAY,1,18,0.08,85.22416667,8.9,104.535,0.64325
MAY,1,19,5.44,84.55083333,9.0375,102.62,0.61825
MAY,1,20,22.55,84.87875,9.1925,96.15625,0.58325
MAY,1,21,29.84,85.2475,9.37375,88.41,0.5645
MAY,1,22,25.84,83.98458333,9.549166667,79.5275,0.547
MAY,1,23,21.53,83.40666667,9.729166667,70.13125,0.45075
MAY,2,0,32.72,83.96166667,9.942083333,58.8675,0.40075
MAY,2,1,38.34,83.27333333,10.07291667,46.8275,0.357
MAY,2,2,36.85,84.28375,10.03416667,34.8625,0.30575
MAY,2,3,36.83,84.83458333,9.925,24.94125,0.30325
MAY,2,4,37.38,85.58,9.85,18.11125,0.28575
MAY,2,5,34.99,82.94041667,9.764583333,12.69125,0.24575
MAY,2,6,33.91,81.76375,9.622916667,7.7425,0.18825
MAY,2,7,37.64,82.86541667,9.549583333,3.50875,0.17825
MAY,2,8,38.76,84.56333333,9.293333333,1.4375,0.14075
MAY,2,9,34.08,85.735,8.93375,2.03875,0.09075
MAY,2,10,21.28,86.97416667,8.632083333,8.415,0.1445
MAY,2,11,14.06,89.0325,9.2925,18.7725,0.16325
MAY,2,12,16.45,90.9675,12.685,30.20125,0.21325
MAY,2,13,5.44,92.77666667,13.24583333,43.31625,0.247
MAY,2,14,3.22,94.75916667,13.24708333,55.17,0.30075
MAY,2,15,1.82,95.75583333,13.1775,63.44,0.4145
MAY,2,16,1.96,96.1225,13.09791667,70.61875,0.5445
MAY,2,17,1.42,96.34708333,13.52695652,77.4925,0.602
MAY,2,18,3.6,97.41333333,13.97681818,78.2625,0.6795
MAY,2,19,7.81,98.79916667,14.47571429,73.4475,0.6945
MAY,2,20,31.11,100.4575,14.36238095,63.76375,0.68575
MAY,2,21,25.63,107.3554167,14.23619048,52.13,0.677
MAY,2,22,23.69,109.75125,14.1147619,41.50125,0.6595
MAY,2,23,5.84,113.8316667,13.94571429,35.11875,0.59075
MAY,3,0,1.85,115.2741667,13.66,30.76625,0.52575
MAY,3,1,0.36,114.3633333,13.29238095,25.78875,0.49325
MAY,3,2,0.23,110.9954167,13.08095238,21.7825,0.4145
MAY,3,3,0.62,108.7004167,12.81904762,19.73375,0.4545
MAY,3,4,0.7,106.22,12.32952381,21.51,0.42075
MAY,3,5,2.26,104.6645833,11.7852381,23.57,0.40825
MAY,3,6,10.71,103.46375,11.27,24.7275,0.4645
MAY,3,7,21.23,102.85,10.27238095,22.84,0.43825
MAY,3,8,24.09,101.94375,9.648095238,20.01375,0.37325
