DATOS MÓVILES 2016_ NATIVITAS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
JUL,1,0,NA,49.42708333,6.494583333,38.1225,NA
JUL,1,1,NA,49.69708333,6.529166667,33.46875,NA
JUL,1,2,NA,50.14208333,5.90375,27.04625,NA
JUL,1,3,NA,50.8,5.530416667,19.8125,NA
JUL,1,4,NA,51.2825,5.365416667,15.54714286,NA
JUL,1,5,NA,51.39583333,5.225416667,11.12,NA
JUL,1,6,NA,52.10125,5.163333333,9.14,NA
JUL,1,7,NA,52.33583333,5.304583333,7.082857143,NA
JUL,1,8,NA,53.98458333,5.3525,5.622857143,NA
JUL,1,9,NA,54.37791667,5.343333333,4.08,NA
JUL,1,10,NA,52.17791667,5.845416667,5.587142857,NA
JUL,1,11,NA,51.79083333,6.000833333,9.07,NA
JUL,1,12,NA,52.19583333,5.657083333,12.06,NA
JUL,1,13,NA,51.99625,5.09375,16.48875,NA
JUL,1,14,NA,52.295,5.000833333,21.0675,NA
JUL,1,15,NA,53.29375,4.5875,25.66375,NA
JUL,1,16,NA,53.46958333,4.412916667,30.76625,NA
JUL,1,17,NA,53.77291667,4.89875,35.46875,NA
JUL,1,18,NA,54.11875,5.5125,38.76125,NA
JUL,1,19,NA,54.61041667,5.67625,40.47875,NA
JUL,1,20,NA,55.43375,5.892916667,40.24625,NA
JUL,1,21,NA,56.10208333,5.66875,38.2225,NA
JUL,1,22,NA,53.33958333,5.1925,36.06125,NA
JUL,1,23,NA,54.32166667,5.715833333,33.38375,NA
JUL,2,0,NA,54.945,5.532916667,30.6675,NA
JUL,2,1,NA,54.62708333,5.461666667,26.99,NA
JUL,2,2,NA,54.66458333,5.399166667,21.79875,NA
JUL,2,3,NA,54.09541667,5.34625,17.175,NA
JUL,2,4,NA,54.71458333,5.333333333,13.4075,NA
JUL,2,5,NA,54.63041667,5.318333333,12.43285714,NA
JUL,2,6,NA,54.27875,5.270833333,9.265714286,NA
JUL,2,7,NA,52.90916667,5.114166667,7.438333333,NA
JUL,2,8,NA,51.77416667,5.062083333,4.188333333,NA
JUL,2,9,NA,51.89333333,5.05375,2.581666667,NA
JUL,2,10,NA,51.84875,4.582916667,3.118333333,NA
JUL,2,11,NA,49.88541667,4.40875,5.926666667,NA
JUL,2,12,NA,48.295,4.41125,10.08666667,NA
JUL,2,13,NA,47.11958333,4.43375,12.96857143,NA
JUL,2,14,NA,46.455,4.452083333,17.46714286,NA
JUL,2,15,NA,44.68208333,4.452083333,19.60125,NA
JUL,2,16,NA,44.75130435,3.925,24.095,NA
JUL,2,17,NA,43.59043478,3.315416667,28.63625,NA
JUL,2,18,NA,42.74478261,2.69,32.28,NA
JUL,2,19,NA,42.65565217,2.513333333,33.625,NA
JUL,2,20,NA,41.80826087,2.296666667,33.5675,NA
JUL,2,21,NA,39.08217391,2.404166667,32.3525,NA
JUL,2,22,NA,36.91913043,2.284583333,29.905,NA
JUL,2,23,NA,37.34217391,1.41875,26.71,NA
JUL,3,0,NA,36.90652174,1.4,23.4875,NA
JUL,3,1,NA,37.25304348,1.415416667,20.02125,NA
JUL,3,2,NA,37.26695652,1.45,16.985,NA
JUL,3,3,NA,38.0073913,1.43125,13.95375,NA
JUL,3,4,NA,37.88478261,1.38375,11.425,NA
JUL,3,5,NA,38.5426087,1.348333333,9.125,NA
JUL,3,6,NA,39.05826087,1.341666667,8.585714286,NA
JUL,3,7,NA,39.25391304,1.284583333,7.444285714,NA
JUL,3,8,NA,38.26913043,1.278333333,5.991428571,NA
JUL,3,9,NA,37.86347826,1.3025,4.24,NA
JUL,3,10,NA,38.32909091,1.519166667,4.43,NA
JUL,3,11,NA,39.91545455,2.039166667,6.451428571,NA
JUL,3,12,NA,40.58318182,2.157916667,10.18857143,NA
JUL,3,13,NA,40.89909091,2.38875,16.05,NA
JUL,3,14,NA,41.43545455,3.185833333,20.88125,NA
JUL,3,15,NA,42.58363636,4.540833333,28.805,NA
JUL,3,16,NA,41.9173913,4.972083333,35.46625,NA
JUL,3,17,NA,41.95826087,5.057916667,41.0375,NA
JUL,3,18,NA,41.3073913,5.580833333,42.795,NA
JUL,3,19,NA,42.79043478,5.774166667,43.2875,NA
JUL,3,20,NA,42.01478261,5.865,42.34,NA
JUL,3,21,NA,41.7326087,5.664583333,39.3025,NA
JUL,3,22,NA,40.87304348,5.61,34.60875,NA
JUL,3,23,NA,40.35130435,5.745,29.08125,NA
JUL,4,0,NA,39.94782609,5.874583333,25.57125,NA
JUL,4,1,NA,39.44173913,5.9575,23.35125,NA
JUL,4,2,NA,38.60913043,6.025833333,23.385,NA
JUL,4,3,NA,37.76347826,6.25125,23.29125,NA
JUL,4,4,NA,37.93695652,6.295833333,22.82125,NA
JUL,4,5,NA,37.17826087,6.317916667,22.82375,NA
JUL,4,6,NA,35.78608696,6.329583333,22.62375,NA
JUL,4,7,NA,35.15608696,6.355416667,21.4975,NA
JUL,4,8,NA,35.23391304,6.34625,19.23625,NA
JUL,4,9,NA,34.93478261,6.315416667,16.69875,NA
JUL,4,10,NA,33.75375,6.365416667,15.09875,NA
JUL,4,11,NA,33.65125,6.559583333,14.67125,NA
JUL,4,12,NA,33.735,6.78125,16.1425,NA
JUL,4,13,NA,33.67958333,6.864583333,18.8,NA
JUL,4,14,NA,33.73541667,6.219166667,22.38,NA
JUL,4,15,NA,33.64125,5.337916667,27.485,NA
JUL,4,16,NA,34.69875,5.389583333,32.8175,NA
JUL,4,17,NA,35.73958333,5.721666667,37.53625,NA
JUL,4,18,NA,36.62625,5.458333333,41.03625,NA
JUL,4,19,NA,33.14333333,5.554583333,43.89625,NA
JUL,4,20,NA,31.94,5.6225,43.37625,NA
JUL,4,21,NA,32.44375,5.734166667,39.24125,NA
JUL,4,22,NA,33.48375,5.804583333,34.07875,NA
JUL,4,23,NA,34.45666667,5.814166667,27.70375,NA
JUL,5,0,NA,35.29833333,5.829166667,22.2375,NA
