DATOS MÓVILES 2017_NATIVITAS,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2017,ENE,1,0,25.21,97.10375,7.016666667,14.2875,2.589
2017,ENE,1,1,26.1,119.74875,6.966666667,11.2975,2.55175
2017,ENE,1,2,24.34,122.8752174,7.055,8.91375,2.48825
2017,ENE,1,3,24.42,125.4995455,7.131666667,7.31,2.42975
2017,ENE,1,4,19.78,150.215,7.205,5.71,2.29125
2017,ENE,1,5,16.14,161.3786364,7.249166667,3.92375,2.1415
2017,ENE,1,6,14.43,169.7563636,7.217916667,3.005,1.90175
2017,ENE,1,7,14.04,176.4709091,7.160416667,2.45,1.60325
2017,ENE,1,8,14.02,181.34,7.105416667,2.40375,1.51575
2017,ENE,1,9,12.46,182.5440909,7.0225,2.55875,1.3295
2017,ENE,1,10,11.11,183.8840909,6.898333333,3.37375,1.132
2017,ENE,1,11,13.87,187.0168182,6.745833333,4.9125,0.887
2017,ENE,1,12,6.83,189.6540909,6.5575,7.27375,0.717
2017,ENE,1,13,3.83,189.21,6.372083333,9.78375,0.577
2017,ENE,1,14,2.46,186.0436364,6.180833333,12.39,0.457
2017,ENE,1,15,2.19,186.6354545,5.995,15.45875,0.35075
2017,ENE,1,16,1.7,187.4313636,5.77625,18.6775,0.257
2017,ENE,1,17,1.7,185.7,5.559166667,21.49125,0.17575
2017,ENE,1,18,2.59,186.9940909,5.325416667,23.355,0.1245
2017,ENE,1,19,8.94,185.7622727,5.099583333,23.60875,0.107
2017,ENE,1,20,18.05,184.9909091,4.877083333,21.94125,0.13825
2017,ENE,1,21,14.41,185.5195455,4.63,20.4725,0.17075
2017,ENE,1,22,14.8,185.8104545,4.3725,18.7275,0.222
2017,ENE,1,23,18.75,180.7945455,4.097083333,16.02875,0.29575
2017,ENE,2,0,19,173.2409091,3.907083333,13.05125,0.40075
2017,ENE,2,1,18.63,152.5577273,3.789583333,10.0125,0.46075
2017,ENE,2,2,17.88,150.3247826,3.556666667,7.225,0.507
2017,ENE,2,3,16.75,148.2183333,3.355416667,5.34625,0.53325
2017,ENE,2,4,13.76,126.4445833,3.160416667,4.66125,0.5295
2017,ENE,2,5,13.48,117.7483333,3.025416667,3.61375,0.53325
2017,ENE,2,6,14.36,111.44625,2.944583333,2.7325,0.50825
2017,ENE,2,7,13.41,106.1745833,2.840833333,2.36,0.46075
2017,ENE,2,8,13.06,102.81875,2.765,2.09,0.41575
2017,ENE,2,9,14.32,101.8366667,2.755833333,2.23125,0.402
2017,ENE,2,10,11.16,100.73625,2.745,3.12125,0.3745
2017,ENE,2,11,11.28,97.47416667,2.726666667,4.81375,0.34075
2017,ENE,2,12,10.5,95.57875,2.708333333,7.225,0.302
2017,ENE,2,13,5.11,95.59458333,2.69625,10.1575,0.2545
2017,ENE,2,14,2.71,96.64791667,2.661666667,13.78625,0.222
2017,ENE,2,15,1.7,95.37875,2.664166667,17.66,0.1945
2017,ENE,2,16,1.7,94.46916667,2.6875,21.31,0.13825
2017,ENE,2,17,2.9,93.6175,2.7275,24.7425,0.097
2017,ENE,2,18,6.35,91.88083333,2.77375,27.1425,0.09075
2017,ENE,2,19,27.65,88.14041667,2.827916667,26.8225,0.17825
2017,ENE,2,20,34.43,85.08333333,2.921666667,24.6625,0.3145
2017,ENE,2,21,32.09,84.06958333,3.061666667,21.945,0.4295
2017,ENE,2,22,30.35,86.26,3.249166667,18.34125,0.5695
2017,ENE,2,23,28.22,94.55375,3.494583333,14.50375,0.7345
2017,ENE,3,0,26.86,96.27916667,3.68875,10.87875,0.84075
