DATOS MÓVILES 2017_NATIVITAS,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2017,MAY,1,0,26.27,75.25333333,5.524166667,20.09125,0.3195
2017,MAY,1,1,18.31,74.82375,5.545416667,16.16,0.3695
2017,MAY,1,2,22.69,73.54916667,5.344583333,12.07,0.417
2017,MAY,1,3,25.08,73.12458333,5.429166667,8.86,0.457
2017,MAY,1,4,23.62,73.525,5.570416667,6.81625,0.46825
2017,MAY,1,5,23.04,73.91208333,5.721666667,5.54125,0.46075
2017,MAY,1,6,23.92,74.91375,5.979583333,5.341428571,0.4195
2017,MAY,1,7,26.94,74.64541667,6.14875,4.685714286,0.387
2017,MAY,1,8,23.31,73.26708333,5.763333333,4.255714286,0.3845
2017,MAY,1,9,13.71,73.15583333,5.587083333,4.87,0.372
2017,MAY,1,10,11.4,74.78541667,5.277083333,7.207142857,0.352
2017,MAY,1,11,9.27,75.27333333,5.908333333,11.57,0.337
2017,MAY,1,12,7.17,75.17041667,6.417916667,16.80571429,0.32075
2017,MAY,1,13,6.02,74.84791667,6.870416667,23.17857143,0.30075
2017,MAY,1,14,3.4,74.58125,6.86875,25.83375,0.26825
2017,MAY,1,15,3.41,74.27333333,6.837916667,30.5025,0.22825
2017,MAY,1,16,1.7,74.47291667,6.800416667,34.87375,0.1645
2017,MAY,1,17,1.7,74.285,6.73,37.995,0.12575
2017,MAY,1,18,1.82,74.3325,6.645416667,39.71,0.097
2017,MAY,1,19,2.02,75.50958333,6.560416667,39.76375,0.072
2017,MAY,1,20,4.04,77.67083333,6.465833333,39.155,0.05825
2017,MAY,1,21,8.61,79.15375,6.351666667,36.67125,0.062
2017,MAY,1,22,9.24,80.78083333,6.205833333,33.94375,0.0845
2017,MAY,1,23,6.23,80.20666667,6.120833333,32.00125,0.09825
2017,MAY,2,0,5.96,79.5475,6.389166667,30.19375,0.10575
2017,MAY,2,1,6.18,79.05,6.35125,27.79875,0.10575
2017,MAY,2,2,8.59,78.79583333,6.255833333,25.16875,0.10575
2017,MAY,2,3,15.56,77.91583333,5.98375,22.23875,0.10825
2017,MAY,2,4,26.92,77.78666667,5.932916667,18.46,0.10825
2017,MAY,2,5,26.74,77.67125,5.973333333,15.5625,0.092
2017,MAY,2,6,25.88,77.42458333,5.9925,13.03375,0.08325
2017,MAY,2,7,25.33,78.67875,5.7425,10.3075,0.1195
2017,MAY,2,8,24.71,81.67583333,5.9,7.5475,0.17325
2017,MAY,2,9,22.69,84.04083333,6.215,5.3,0.21575
2017,MAY,2,10,15.96,84.30125,6.380416667,5.13,0.24325
2017,MAY,2,11,10.4,85.60875,5.777916667,6.8275,0.2645
2017,MAY,2,12,7,87.14041667,5.239583333,10.715,0.2795
2017,MAY,2,13,4.16,88.48291667,4.721666667,15.8475,0.28575
2017,MAY,2,14,1.83,89.32958333,4.692083333,20.74625,0.26825
2017,MAY,2,15,1.7,90.55916667,4.69375,24.82375,0.212
2017,MAY,2,16,1.71,91.54083333,4.704166667,28.985,0.15075
2017,MAY,2,17,2.78,92.8675,4.705833333,33.24375,0.10825
2017,MAY,2,18,4.35,94.13208333,4.70875,35.7675,0.08325
2017,MAY,2,19,4.34,102.925,4.70625,37.1925,0.067
2017,MAY,2,20,7.79,109.1666667,4.797083333,37.20375,0.0695
2017,MAY,2,21,12.43,108.76,4.855833333,34.84,0.08575
2017,MAY,2,22,9.61,107.0225,4.8725,32.15875,0.1045
2017,MAY,2,23,7.59,107.2083333,4.829583333,30.37375,0.1245
2017,MAY,3,0,7.93,107.31375,4.402083333,28.19625,0.1445
2017,MAY,3,1,10.58,108.0408333,4.433333333,25.31,0.1695
2017,MAY,3,2,7.43,109.8020833,4.444583333,22.77875,0.187
2017,MAY,3,3,5.66,109.5266667,4.405,20.4625,0.197
2017,MAY,3,4,5.64,108.61125,4.24875,18.16375,0.187
2017,MAY,3,5,6.88,107.5654167,4.053333333,16.7475,0.1695
2017,MAY,3,6,11.46,106.4220833,3.7225,15.56625,0.17575
2017,MAY,3,7,23.85,104.8558333,3.510833333,13.27375,0.20825
2017,MAY,3,8,19.59,103.1695833,3.3575,12.6775,0.2545
2017,MAY,3,9,17.18,100.85875,3.021666667,13.14,0.2895
2017,MAY,3,10,8.58,100.2270833,2.774166667,14.39,0.31075
2017,MAY,3,11,4.83,98.90541667,2.664166667,16.205,0.3245
2017,MAY,3,12,4.82,97.95791667,2.651666667,18.66625,0.3395
2017,MAY,3,13,4.37,97.19041667,2.677916667,21.44875,0.347
2017,MAY,3,14,3.67,96.48958333,2.690833333,24.605,0.3295
2017,MAY,3,15,3,96.20166667,2.707916667,29.58625,0.2895
2017,MAY,3,16,1.7,97.16791667,2.7375,32.98125,0.22825
2017,MAY,3,17,2.02,98.4875,2.7725,35.45375,0.177
2017,MAY,3,18,1.7,103.6808333,2.787916667,36.75375,0.1395
2017,MAY,3,19,3.62,101.0654167,2.789583333,36.38875,0.11325
2017,MAY,3,20,4.04,95.44,2.69875,35.0125,0.09325
2017,MAY,3,21,4.05,94.56375,2.640416667,33.46625,0.0795
2017,MAY,3,22,3.08,95.09875,2.637083333,31.97875,0.0745
2017,MAY,3,23,1.7,93.56,2.617916667,29.76125,0.06325
2017,MAY,4,0,3.6,92.16333333,2.608333333,27.19375,0.0595
2017,MAY,4,1,6.08,90.81541667,2.51625,24.65375,0.05575
2017,MAY,4,2,4.97,88.48791667,2.443333333,22.22,0.0545
2017,MAY,4,3,2.93,87.2225,2.376666667,20.73875,0.0495
2017,MAY,4,4,5.66,86.31375,2.315416667,19.28125,0.0445
