DATOS MÓVILES 2017_NATIVITAS,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2017,JUL,1,0,3.39,43.63521739,2.705416667,13.21,0.22575
2017,JUL,1,1,6.14,38.54521739,2.742083333,12.62875,0.22325
2017,JUL,1,2,1.7,37.62869565,2.794583333,12.82375,0.207
2017,JUL,1,3,1.7,36.3426087,2.833333333,13.58875,0.17575
2017,JUL,1,4,2.01,34.42869565,2.839583333,15.14625,0.13075
2017,JUL,1,5,5.1,32.29434783,2.81875,16.00125,0.08825
2017,JUL,1,6,10.34,31.47130435,2.7675,15.27875,0.06075
2017,JUL,1,7,11.94,29.49521739,2.712083333,14.1875,0.0495
2017,JUL,1,8,14.02,30.38045455,2.705416667,12.65,0.0545
2017,JUL,1,9,9.67,31.68380952,2.709583333,12.02625,0.06825
2017,JUL,1,10,6.6,32.32,2.712083333,11.45375,0.08575
2017,JUL,1,11,5.28,32.75736842,2.737916667,11.6425,0.1045
2017,JUL,1,12,5.01,31.96055556,2.724583333,12.36125,0.122
2017,JUL,1,13,3.5,NA,2.7375,14.40125,0.1345
2017,JUL,1,14,5.1,NA,2.882083333,17.7125,0.142
2017,JUL,1,15,4.14,NA,2.924166667,22.12875,0.1395
2017,JUL,1,16,6.33,NA,2.969166667,26.3675,0.132
2017,JUL,1,17,7.96,NA,2.98875,28.94875,0.1295
2017,JUL,1,18,7.47,NA,3.001666667,30.72875,0.12825
2017,JUL,1,19,10.29,NA,3.008333333,31.3325,0.13325
2017,JUL,1,20,19.6,NA,3.001666667,30.60375,0.16325
2017,JUL,1,21,6.89,NA,3.105,28.675,0.172
2017,JUL,1,22,7.9,NA,2.9925,25.8175,0.17825
2017,JUL,1,23,11.13,NA,3.07875,21.55875,0.18575
2017,JUL,2,0,11.84,NA,3.906666667,17.24625,0.1845
2017,JUL,2,1,10.49,NA,5.252916667,14.15875,0.17075
2017,JUL,2,2,4.3,NA,5.575,11.9225,0.1545
2017,JUL,2,3,5.49,NA,5.792916667,10.2,0.132
2017,JUL,2,4,4.28,NA,5.93625,9.52125,0.0845
2017,JUL,2,5,9.57,NA,5.985416667,8.54125,0.0645
2017,JUL,2,6,12.45,NA,6.025,7.4975,0.05325
2017,JUL,2,7,9.21,NA,6.044166667,7.37125,0.06075
2017,JUL,2,8,5.36,NA,6.089583333,7.975,0.06325
2017,JUL,2,9,3.9,NA,6.4275,8.94,0.067
2017,JUL,2,10,3.22,NA,6.552916667,9.88625,0.077
2017,JUL,2,11,3.15,NA,6.73875,11.32625,0.08575
2017,JUL,2,12,1.7,NA,6.646666667,13.10375,0.092
2017,JUL,2,13,NA,NA,6.542083333,15.89375,0.092
2017,JUL,2,14,1.7,NA,6.341666667,19.2475,0.08825
2017,JUL,2,15,1.8,NA,6.1975,22.50375,0.07075
2017,JUL,2,16,3.53,NA,6.280416667,25.1875,0.067
2017,JUL,2,17,3.32,NA,6.538333333,27.6575,0.06325
2017,JUL,2,18,2.61,NA,6.52875,29.58125,0.062
