DATOS MÓVILES 2017_NATIVITAS,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2017,SEP,1,0,4.85,12.83083333,5.269166667,8.1575,0.307
2017,SEP,1,1,2,13.15375,5.60375,8.7925,0.29825
2017,SEP,1,2,2.88,13.29208333,5.987916667,10.0475,0.23825
2017,SEP,1,3,7.29,13.53,6.119166667,10.5775,0.17825
2017,SEP,1,4,6.91,14.17958333,6.1725,11.26375,0.1295
2017,SEP,1,5,8.74,14.22083333,6.154583333,11.6025,0.09825
2017,SEP,1,6,11.1,14.64791667,6.174583333,11.09125,0.10075
2017,SEP,1,7,12.42,15.23875,6.163333333,9.9775,0.11575
2017,SEP,1,8,12.22,15.52458333,6.1275,8.86,0.13825
2017,SEP,1,9,12.59,15.68791667,6.544583333,7.52125,0.1695
2017,SEP,1,10,5.45,16.42041667,6.784583333,7.4675,0.19325
2017,SEP,1,11,1.7,17.1075,7.017083333,9.045,0.2095
2017,SEP,1,12,1.7,17.56125,7.23,11.01125,0.2195
2017,SEP,1,13,1.91,18.41375,6.758333333,13.015,0.2345
2017,SEP,1,14,2.98,18.5025,5.909583333,15.76,0.22825
2017,SEP,1,15,6.77,18.84375,6.902083333,18.45375,0.2195
2017,SEP,1,16,2.34,17.99583333,7.019166667,21.24625,0.1945
2017,SEP,1,17,3.6,19.18833333,7.619583333,22.93875,0.17825
2017,SEP,1,18,6.8,19.61666667,7.586666667,23.31875,0.192
2017,SEP,1,19,7.55,20.66541667,8.258333333,22.6,0.20575
2017,SEP,1,20,16.42,21.74916667,8.64625,20.765,0.252
2017,SEP,1,21,17.04,23.59041667,8.658333333,18.11875,0.3095
2017,SEP,1,22,3.05,24.28541667,9.24875,16.56875,0.31825
2017,SEP,1,23,5.73,24.80291667,11.06291667,15.14,0.31575
2017,SEP,2,0,4.49,25.06166667,10.98708333,13.41375,0.31325
2017,SEP,2,1,2.15,25.03916667,10.63166667,12.30125,0.28825
2017,SEP,2,2,4.9,25.405,10.42,11.275,0.24825
2017,SEP,2,3,5.07,25.74125,10.53333333,10.60125,0.217
2017,SEP,2,4,6.64,25.5375,10.6175,10.65875,0.1545
2017,SEP,2,5,7.63,25.55208333,10.80375,11.37125,0.0795
2017,SEP,2,6,10.06,25.80125,10.885,10.26375,0.07075
2017,SEP,2,7,14.51,25.79041667,10.95583333,8.99875,0.0845
2017,SEP,2,8,12.68,26.35208333,11.11583333,7.86625,0.107
2017,SEP,2,9,7.2,26.85375,12.0925,6.67875,0.12325
2017,SEP,2,10,4.08,27.30583333,12.91,6.7075,0.1395
2017,SEP,2,11,3.98,27.61041667,13.57333333,6.915,0.15325
2017,SEP,2,12,3.27,27.65541667,14.19375,7.47625,0.16825
2017,SEP,2,13,5.39,27.60458333,15.76,8.37375,0.177
2017,SEP,2,14,4.26,27.905,16.15125,9.68375,0.172
