DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
FEB,1,0,22.11,44.66916667,17.08958333,6.325,NA
FEB,1,1,23.48,46.28041667,16.61666667,4.6025,NA
FEB,1,2,24.26,47.89291667,14.79916667,3.2025,NA
FEB,1,3,24.2,49.89416667,14.77083333,2.27,NA
FEB,1,4,24.82,52.90125,14.74791667,2,NA
FEB,1,5,22.2,55.12,14.77,1.86125,NA
FEB,1,6,23.51,57.85,14.9175,1.48,NA
FEB,1,7,23.13,60.47125,15.08333333,1.203333333,NA
FEB,1,8,24.72,62.79833333,15.31375,0.806666667,NA
FEB,1,9,28.68,65.5875,15.67791667,0.481666667,NA
FEB,1,10,31.35,67.93958333,16.2775,1.045,NA
FEB,1,11,28.11,71.31166667,16.69958333,2.43,NA
FEB,1,12,22.41,71.90083333,22.90666667,4.865,NA
FEB,1,13,17.02,72.63583333,25.90416667,8.505,NA
FEB,1,14,9.4,71.98166667,25.83833333,10.60714286,NA
FEB,1,15,5.43,70.59875,25.22583333,11.54625,NA
FEB,1,16,8.41,70.30416667,24.07291667,14.34125,NA
FEB,1,17,7.05,68.6625,23.52875,16.33875,NA
FEB,1,18,8.55,66.9975,23.34791667,17.59875,NA
FEB,1,19,9.24,66.04708333,23.275,18.225,NA
FEB,1,20,16.92,64.46458333,23.30125,17.40375,NA
FEB,1,21,19.77,62.58083333,23.43708333,14.96625,NA
FEB,1,22,19,62.0625,23.66083333,12.29125,NA
FEB,1,23,18.05,61.73791667,23.9575,10.1925,NA
FEB,2,0,17.55,61.32458333,24.2475,7.52125,NA
FEB,2,1,17.24,60.79875,24.35208333,5.56,NA
FEB,2,2,13.6,59.71666667,24.35666667,3.9775,NA
FEB,2,3,12.49,58.26083333,24.33625,2.57,NA
FEB,2,4,15.7,56.44458333,24.3125,1.62875,NA
FEB,2,5,14.64,55.36666667,24.29625,1.3975,NA
FEB,2,6,15.09,55.09916667,24.26458333,1.22,NA
FEB,2,7,16.08,54.63666667,24.17875,1.10125,NA
FEB,2,8,17.99,54.05333333,24.09666667,1.01,NA
FEB,2,9,17.6,54.38583333,23.86541667,1.00125,NA
FEB,2,10,17.27,53.53125,23.27708333,1.315,NA
FEB,2,11,11.06,51.01125,22.76916667,2.3375,NA
FEB,2,12,11.52,50.78375,16.44375,3.94,NA
FEB,2,13,8.35,51.0225,13.14958333,5.99,NA
FEB,2,14,7.04,51.12791667,12.17291667,8.1575,NA
FEB,2,15,7.52,52.71375,12.07166667,9.92375,NA
FEB,2,16,6.12,51.85208333,11.82416667,11.91,NA
FEB,2,17,3.27,51.63416667,11.50583333,14.1225,NA
FEB,2,18,7.06,52.38875,11.15916667,15.8125,NA
