DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
ABR,1,0,17.36,35.8075,8.280416667,11.78375,NA
ABR,1,1,16.14,38.11208333,8.78,9.29125,NA
ABR,1,2,16.57,38.74291667,9.19625,6.8,NA
ABR,1,3,15.31,39.45541667,10.01416667,4.0725,NA
ABR,1,4,8.32,39.99041667,10.28333333,3.01875,NA
ABR,1,5,6.06,40.82583333,10.36708333,3.2925,NA
ABR,1,6,13.51,41.70916667,10.57708333,3.89125,NA
ABR,1,7,17.18,42.99291667,10.70041667,4.15625,NA
ABR,1,8,14.73,43.11916667,11.06625,4.34125,NA
ABR,1,9,12.37,43.38083333,11.49416667,4.32625,NA
ABR,1,10,8.55,43.31291667,11.80958333,5.33,NA
ABR,1,11,7.12,43.36416667,12.03375,6.59875,NA
ABR,1,12,4.56,43.71625,11.88125,8.67125,NA
ABR,1,13,3.15,43.84625,11.85333333,10.46,NA
ABR,1,14,3.25,43.89958333,11.90125,12.44375,NA
ABR,1,15,4.63,43.915,12.18,14.51625,NA
ABR,1,16,2.89,43.63666667,11.78083333,16.4775,NA
ABR,1,17,2.34,43.73666667,11.65666667,18.56,NA
ABR,1,18,2.86,43.5725,11.61666667,19.8925,NA
ABR,1,19,6.33,43.81291667,11.54041667,21.42875,NA
ABR,1,20,22.18,43.69416667,11.59375,20.8725,NA
ABR,1,21,38.61,45.89166667,11.66333333,18.8525,NA
ABR,1,22,33.45,49.37416667,11.33291667,16.59375,NA
ABR,1,23,11.98,49.56041667,11.1325,15.69125,NA
ABR,2,0,13.73,49.02916667,10.69,14.3275,NA
ABR,2,1,15.47,47.615,10.1725,12.56875,NA
ABR,2,2,13.78,47.6775,9.728333333,10.85375,NA
ABR,2,3,15.37,47.57333333,8.715,8.53625,NA
ABR,2,4,8.96,47.52125,8.151666667,7.385,NA
ABR,2,5,11.68,47.85958333,7.807916667,7.6625,NA
ABR,2,6,16.68,47.82875,7.249166667,7.82375,NA
ABR,2,7,17.58,47.78791667,6.812916667,6.63,NA
ABR,2,8,20.85,48.65041667,6.339583333,5.805,NA
ABR,2,9,17.74,49.12166667,5.831666667,5.895,NA
ABR,2,10,14.95,50.62,5.425,5.9575,NA
ABR,2,11,6.66,49.65625,5.195652174,5.34,NA
ABR,2,12,1.62,48.83333333,5.060909091,4.7625,NA
ABR,2,13,1.61,48.57708333,4.936363636,6.5675,NA
ABR,2,14,1.38,48.50125,4.764090909,8.83375,NA
ABR,2,15,1.55,48.78333333,4.285454545,11.33125,NA
ABR,2,16,1.66,48.84333333,4.111363636,14.12875,NA
ABR,2,17,2.08,48.8825,3.98,16.365,NA
ABR,2,18,3.47,48.8775,3.915454545,18.485,NA
ABR,2,19,7.54,49.29666667,3.882727273,21.03625,NA
ABR,2,20,16.01,48.89666667,3.894545455,22.42375,NA
ABR,2,21,14.41,45.9825,3.885909091,21.39625,NA
ABR,2,22,5.76,40.99875,3.771818182,20.34375,NA
ABR,2,23,4.52,39.31916667,3.805,19.05625,NA
ABR,3,0,4.1,38.62166667,3.756363636,17.6025,NA
ABR,3,1,7.78,37.97375,3.489090909,15.8025,NA
ABR,3,2,4.84,37.35416667,3.174545455,14.2225,NA
ABR,3,3,4.86,36.2675,3.021818182,12.8775,NA
ABR,3,4,11.09,36.075,2.954090909,11.865,NA
ABR,3,5,10.79,36.10125,2.944090909,11.065,NA
ABR,3,6,15.35,36.04333333,2.953636364,9.74,NA
ABR,3,7,20.04,36.70166667,3.02,8.325,NA
ABR,3,8,17.44,36.74666667,3.043181818,7.2675,NA
ABR,3,9,10.68,36.9175,3.091363636,7.30375,NA
ABR,3,10,4.51,36.45916667,3.135909091,7.85625,NA
ABR,3,11,3.09,37.42333333,3.138695652,8.86875,NA
ABR,3,12,2.02,38.55375,3.114583333,10.5775,NA
ABR,3,13,2.09,38.23791667,3.077916667,12.70875,NA
ABR,3,14,1.83,38.18666667,3.077916667,15.2575,NA
ABR,3,15,2.18,38.0325,3.12125,18.43125,NA
ABR,3,16,2.67,38.805,3.1775,21.335,NA
ABR,3,17,3.17,38.70041667,3.184583333,23.5225,NA
ABR,3,18,3.47,39.46,3.169583333,25.0775,NA
ABR,3,19,5.77,39.91,3.131666667,26.1775,NA
ABR,3,20,13.18,40.57916667,3.08125,26.0925,NA
ABR,3,21,19.52,41.12666667,3.01875,24.81,NA
ABR,3,22,15.45,41.52,2.947916667,23.45125,NA
ABR,3,23,14.8,41.95708333,2.87875,21.6525,NA
ABR,4,0,20.99,42.84333333,2.83,19.32625,NA
ABR,4,1,21.79,43.43583333,2.826666667,16.645,NA
ABR,4,2,18.67,44.3625,2.845,13.97625,NA
ABR,4,3,9.85,45.36375,2.85125,11.8925,NA
ABR,4,4,15.89,46.05541667,3.125416667,10.09625,NA
ABR,4,5,19.5,46.8975,3.239583333,8.725,NA
ABR,4,6,23.31,47.3725,3.7725,7.175,NA
ABR,4,7,23.07,48.3725,4.263333333,5.65,NA
ABR,4,8,26.5,52.48,5.04375,4.76125,NA
ABR,4,9,28.83,57.55541667,5.815833333,4.53,NA
ABR,4,10,15.23,59.37666667,6.969583333,5.78375,NA
ABR,4,11,8.62,60.90666667,7.258333333,7.19375,NA
ABR,4,12,5.99,61.87916667,7.432916667,9.87,NA
ABR,4,13,4.93,62.93125,7.458333333,13.41,NA
ABR,4,14,3.32,63.85458333,7.477083333,17.4325,NA
