DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MAY,1,0,NA,59.30875,6.970869565,20.05,NA
MAY,1,1,NA,58.22458333,7.014347826,17.77625,NA
MAY,1,2,NA,58.015,7.129130435,15.72125,NA
MAY,1,3,NA,57.7025,7.223478261,14.385,NA
MAY,1,4,NA,57.91416667,8.286086957,12.83625,NA
MAY,1,5,NA,58.5425,9.033478261,11.05125,NA
MAY,1,6,NA,58.91625,9.370434783,9.2175,NA
MAY,1,7,NA,58.69958333,9.744347826,7.65875,NA
MAY,1,8,NA,56.95625,9.779565217,6.43625,NA
MAY,1,9,NA,53.6,9.983043478,6.13,NA
MAY,1,10,14.47,52.75416667,10.21565217,7.1325,NA
MAY,1,11,8.33,53.39458333,10.29478261,8.84875,NA
MAY,1,12,4.28,53.62833333,10.25391304,11.60875,NA
MAY,1,13,3.66,53.72708333,10.21173913,14.94125,NA
MAY,1,14,2.68,53.36833333,10.13695652,18.58625,NA
MAY,1,15,2.28,52.78875,9.81375,21.995,NA
MAY,1,16,3.99,53.34625,9.74,24.555,NA
MAY,1,17,2.86,68.33083333,9.645,25.76375,NA
MAY,1,18,3.92,75.38875,9.54,25.665,NA
MAY,1,19,5.41,73.28666667,9.265833333,24.8175,NA
MAY,1,20,9.09,71.57166667,8.552916667,23.39125,NA
MAY,1,21,5.79,71.10583333,8.09625,21.7825,NA
MAY,1,22,5.57,70.38083333,7.724583333,19.85,NA
MAY,1,23,5.95,71.88875,7.1875,17.78125,NA
MAY,2,0,6.82,71.63291667,7.130833333,16.32,NA
MAY,2,1,5.16,71.57958333,7.112916667,15.945,NA
MAY,2,2,5.51,70.9175,7.038333333,15.635,NA
MAY,2,3,11.03,70.11541667,6.918333333,14.795,NA
MAY,2,4,10.41,68.57541667,5.924583333,14.15125,NA
MAY,2,5,10.71,67.27083333,5.236666667,13.41875,NA
MAY,2,6,16.18,66.31583333,4.93125,12.62625,NA
MAY,2,7,26.63,65.77875,4.622916667,11.125,NA
MAY,2,8,22.6,65.32666667,4.319166667,10.1225,NA
MAY,2,9,11.37,64.73791667,3.987083333,10.0375,NA
MAY,2,10,3.95,63.42166667,3.654583333,10.9275,NA
MAY,2,11,3.14,62.2525,3.549583333,12.6125,NA
MAY,2,12,1.99,61.61625,3.569166667,14.54375,NA
MAY,2,13,3.72,61.10041667,4.7075,16.71375,NA
MAY,2,14,3.44,61.14541667,6.212083333,19.58125,NA
MAY,2,15,2.72,61.22541667,7.063333333,23.4175,NA
