DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
AGO,1,0,5.795882,18.87318613,7.927083333,20.91,NA
AGO,1,1,6.7368,18.82668613,8.003333333,18.60625,NA
AGO,1,2,4.8683,18.76218613,8.03875,16.94,NA
AGO,1,3,5.4016,18.86201946,7.986666667,15.45375,NA
AGO,1,4,8.5583,18.83347779,7.795,14.43875,NA
AGO,1,5,8.3889,18.86935279,7.655416667,13.22,NA
AGO,1,6,13.303,18.50576946,7.610416667,11.55,NA
AGO,1,7,16.026,18.64206113,7.625,9.98875,NA
AGO,1,8,13.183,18.50556113,7.634166667,8.74375,NA
AGO,1,9,6.4058,18.56714446,7.674166667,8.74375,NA
AGO,1,10,4.6941,18.47243613,7.549583333,9.02375,NA
AGO,1,11,3.1532,18.78597779,7.619166667,9.9275,NA
AGO,1,12,3.5813,18.90943613,7.68125,11.53,NA
AGO,1,13,3.7534,18.98064446,7.785,13.36375,NA
AGO,1,14,2.9038,19.40393613,7.859166667,16.04375,NA
AGO,1,15,3.236,19.23552363,7.926666667,18.88375,NA
AGO,1,16,1.9673,19.18660696,7.958333333,21.615,NA
AGO,1,17,2.8432,19.52056529,7.96375,23.3925,NA
AGO,1,18,6.2684,19.43969029,7.96,24.1225,NA
AGO,1,19,6.892,19.76173196,8.055833333,24.16625,NA
AGO,1,20,7.121,20.08289863,8.217916667,23.40625,NA
AGO,1,21,7.523,19.87085074,8.35,22.185,NA
AGO,1,22,8.3131,19.86198117,8.083333333,20.6325,NA
AGO,1,23,7.324287,19.54457609,7.49125,19.0875,NA
AGO,2,0,NA,19.24081665,7.023333333,17.47875,NA
AGO,2,1,3.42,19.10455578,6.96875,15.9925,NA
AGO,2,2,3.45,18.91968622,7.036666667,14.99625,NA
AGO,2,3,6.11,18.88855578,7.0475,13.995,NA
AGO,2,4,10.36,19.07616448,7.048333333,12.7425,NA
AGO,2,5,8.02,19.36959926,6.940416667,12.0075,NA
AGO,2,6,11.63,19.31029491,6.7925,11.155,NA
AGO,2,7,18.92,19.21677317,6.6625,9.64125,NA
AGO,2,8,11.41,19.64790361,6.619583333,8.97375,NA
AGO,2,9,4.53,19.47581665,6.346666667,9.035,NA
AGO,2,10,5.23,19.82768622,6.227083333,9.49125,NA
AGO,2,11,2.96,19.76659926,6.154583333,10.5475,NA
AGO,2,12,4.5,19.87777317,6.129166667,12.41625,NA
AGO,2,13,4.33,19.83346883,6.093333333,14.03875,NA
AGO,2,14,4.93,19.94090361,6.099583333,15.95375,NA
AGO,2,15,4.37,20.39055143,6.084583333,18.6775,NA
AGO,2,16,5.48,20.64550796,6.0875,20.5025,NA
AGO,2,17,5.61,20.87398622,6.147916667,21.52375,NA
AGO,2,18,6.11,20.81533404,6.200833333,22.22625,NA
AGO,2,19,6.32,20.77363839,6.125833333,22.43875,NA
